symbol,timestamp,a7_source_panel
ETHUSDT,2026-05-26,main_v2
ETHUSDT,2026-05-26,recent_patch_v1
ETHWUSDT,2026-05-26,main_v2
ETHWUSDT,2026-05-26,recent_patch_v1
EULUSDT,2026-05-26,main_v2
EULUSDT,2026-05-26,recent_patch_v1
EVAAUSDT,2026-05-26,main_v2
EVAAUSDT,2026-05-26,recent_patch_v1
FARTCOINUSDT,2026-05-26,main_v2
FARTCOINUSDT,2026-05-26,recent_patch_v1
FETUSDT,2026-05-26,main_v2
FETUSDT,2026-05-26,recent_patch_v1
FFUSDT,2026-05-26,main_v2
FFUSDT,2026-05-26,recent_patch_v1
FHEUSDT,2026-05-26,main_v2
FHEUSDT,2026-05-26,recent_patch_v1
FIDAUSDT,2026-05-26,main_v2
FIDAUSDT,2026-05-26,recent_patch_v1
FILUSDT,2026-05-26,main_v2
FILUSDT,2026-05-26,recent_patch_v1
FLOCKUSDT,2026-05-26,main_v2
FLOCKUSDT,2026-05-26,recent_patch_v1
FLOWUSDT,2026-05-26,main_v2
FLOWUSDT,2026-05-26,recent_patch_v1
FLUIDUSDT,2026-05-26,main_v2
FLUIDUSDT,2026-05-26,recent_patch_v1
FLUXUSDT,2026-05-26,main_v2
FLUXUSDT,2026-05-26,recent_patch_v1
FOGOUSDT,2026-05-26,main_v2
FOGOUSDT,2026-05-26,recent_patch_v1
FOLKSUSDT,2026-05-26,main_v2
FOLKSUSDT,2026-05-26,recent_patch_v1
FORMUSDT,2026-05-26,main_v2
FORMUSDT,2026-05-26,recent_patch_v1
FRAXUSDT,2026-05-26,main_v2
FRAXUSDT,2026-05-26,recent_patch_v1
FUSDT,2026-05-26,main_v2
FUSDT,2026-05-26,recent_patch_v1
GALAUSDT,2026-05-26,main_v2
GALAUSDT,2026-05-26,recent_patch_v1
GASUSDT,2026-05-26,main_v2
GASUSDT,2026-05-26,recent_patch_v1
GIGGLEUSDT,2026-05-26,main_v2
GIGGLEUSDT,2026-05-26,recent_patch_v1
GLMUSDT,2026-05-26,main_v2
GLMUSDT,2026-05-26,recent_patch_v1
GMTUSDT,2026-05-26,main_v2
GMTUSDT,2026-05-26,recent_patch_v1
GMXUSDT,2026-05-26,main_v2
GMXUSDT,2026-05-26,recent_patch_v1
GOATUSDT,2026-05-26,main_v2
GOATUSDT,2026-05-26,recent_patch_v1
GPSUSDT,2026-05-26,main_v2
GPSUSDT,2026-05-26,recent_patch_v1
GRASSUSDT,2026-05-26,main_v2
GRASSUSDT,2026-05-26,recent_patch_v1
GRIFFAINUSDT,2026-05-26,main_v2
GRIFFAINUSDT,2026-05-26,recent_patch_v1
GRTUSDT,2026-05-26,main_v2
GRTUSDT,2026-05-26,recent_patch_v1
GTCUSDT,2026-05-26,main_v2
GTCUSDT,2026-05-26,recent_patch_v1
GUAUSDT,2026-05-26,main_v2
GUAUSDT,2026-05-26,recent_patch_v1
GUNUSDT,2026-05-26,main_v2
GUNUSDT,2026-05-26,recent_patch_v1
GUSDT,2026-05-26,main_v2
GUSDT,2026-05-26,recent_patch_v1
HAEDALUSDT,2026-05-26,main_v2
HAEDALUSDT,2026-05-26,recent_patch_v1
HANAUSDT,2026-05-26,main_v2
HANAUSDT,2026-05-26,recent_patch_v1
HBARUSDT,2026-05-26,main_v2
HBARUSDT,2026-05-26,recent_patch_v1
HEIUSDT,2026-05-26,main_v2
HEIUSDT,2026-05-26,recent_patch_v1
HEMIUSDT,2026-05-26,main_v2
HEMIUSDT,2026-05-26,recent_patch_v1
HFTUSDT,2026-05-26,main_v2
HFTUSDT,2026-05-26,recent_patch_v1
HIGHUSDT,2026-05-26,main_v2
HIGHUSDT,2026-05-26,recent_patch_v1
HIVEUSDT,2026-05-26,main_v2
HIVEUSDT,2026-05-26,recent_patch_v1
HMSTRUSDT,2026-05-26,main_v2
HMSTRUSDT,2026-05-26,recent_patch_v1
HOLOUSDT,2026-05-26,main_v2
HOLOUSDT,2026-05-26,recent_patch_v1
HOMEUSDT,2026-05-26,main_v2
HOMEUSDT,2026-05-26,recent_patch_v1
HOTUSDT,2026-05-26,main_v2
HOTUSDT,2026-05-26,recent_patch_v1
HUMAUSDT,2026-05-26,main_v2
HUMAUSDT,2026-05-26,recent_patch_v1
HUSDT,2026-05-26,main_v2
HUSDT,2026-05-26,recent_patch_v1
HYPERUSDT,2026-05-26,main_v2
HYPERUSDT,2026-05-26,recent_patch_v1
HYPEUSDT,2026-05-26,main_v2
HYPEUSDT,2026-05-26,recent_patch_v1
ICNTUSDT,2026-05-26,main_v2
ICNTUSDT,2026-05-26,recent_patch_v1
ICPUSDT,2026-05-26,main_v2
ICPUSDT,2026-05-26,recent_patch_v1
ICXUSDT,2026-05-26,main_v2
ICXUSDT,2026-05-26,recent_patch_v1
IDOLUSDT,2026-05-26,main_v2
IDOLUSDT,2026-05-26,recent_patch_v1
IDUSDT,2026-05-26,main_v2
IDUSDT,2026-05-26,recent_patch_v1
ILVUSDT,2026-05-26,main_v2
ILVUSDT,2026-05-26,recent_patch_v1
IMXUSDT,2026-05-26,main_v2
IMXUSDT,2026-05-26,recent_patch_v1
INITUSDT,2026-05-26,main_v2
INITUSDT,2026-05-26,recent_patch_v1
INJUSDT,2026-05-26,main_v2
INJUSDT,2026-05-26,recent_patch_v1
INUSDT,2026-05-26,main_v2
INUSDT,2026-05-26,recent_patch_v1
IOSTUSDT,2026-05-26,main_v2
IOSTUSDT,2026-05-26,recent_patch_v1
IOTAUSDT,2026-05-26,main_v2
IOTAUSDT,2026-05-26,recent_patch_v1
IOTXUSDT,2026-05-26,main_v2
IOTXUSDT,2026-05-26,recent_patch_v1
IOUSDT,2026-05-26,main_v2
IOUSDT,2026-05-26,recent_patch_v1
IPUSDT,2026-05-26,main_v2
IPUSDT,2026-05-26,recent_patch_v1
IRYSUSDT,2026-05-26,main_v2
IRYSUSDT,2026-05-26,recent_patch_v1
JASMYUSDT,2026-05-26,main_v2
JASMYUSDT,2026-05-26,recent_patch_v1
JCTUSDT,2026-05-26,main_v2
JCTUSDT,2026-05-26,recent_patch_v1
JELLYJELLYUSDT,2026-05-26,main_v2
JELLYJELLYUSDT,2026-05-26,recent_patch_v1
JOEUSDT,2026-05-26,main_v2
JOEUSDT,2026-05-26,recent_patch_v1
JSTUSDT,2026-05-26,main_v2
JSTUSDT,2026-05-26,recent_patch_v1
JTOUSDT,2026-05-26,main_v2
JTOUSDT,2026-05-26,recent_patch_v1
JUPUSDT,2026-05-26,main_v2
JUPUSDT,2026-05-26,recent_patch_v1
KAIAUSDT,2026-05-26,main_v2
KAIAUSDT,2026-05-26,recent_patch_v1
KAITOUSDT,2026-05-26,main_v2
KAITOUSDT,2026-05-26,recent_patch_v1
KASUSDT,2026-05-26,main_v2
KASUSDT,2026-05-26,recent_patch_v1
KAVAUSDT,2026-05-26,main_v2
KAVAUSDT,2026-05-26,recent_patch_v1
KERNELUSDT,2026-05-26,main_v2
KERNELUSDT,2026-05-26,recent_patch_v1
KGENUSDT,2026-05-26,main_v2
KGENUSDT,2026-05-26,recent_patch_v1
KITEUSDT,2026-05-26,main_v2
KITEUSDT,2026-05-26,recent_patch_v1
KMNOUSDT,2026-05-26,main_v2
KMNOUSDT,2026-05-26,recent_patch_v1
KNCUSDT,2026-05-26,main_v2
KNCUSDT,2026-05-26,recent_patch_v1
KOMAUSDT,2026-05-26,main_v2
KOMAUSDT,2026-05-26,recent_patch_v1
KSMUSDT,2026-05-26,main_v2
KSMUSDT,2026-05-26,recent_patch_v1
LABUSDT,2026-05-26,main_v2
LABUSDT,2026-05-26,recent_patch_v1
LAUSDT,2026-05-26,main_v2
LAUSDT,2026-05-26,recent_patch_v1
LAYERUSDT,2026-05-26,main_v2
LAYERUSDT,2026-05-26,recent_patch_v1
LDOUSDT,2026-05-26,main_v2
LDOUSDT,2026-05-26,recent_patch_v1
LIGHTUSDT,2026-05-26,main_v2
LIGHTUSDT,2026-05-26,recent_patch_v1
LINEAUSDT,2026-05-26,main_v2
LINEAUSDT,2026-05-26,recent_patch_v1
LINKUSDT,2026-05-26,main_v2
LINKUSDT,2026-05-26,recent_patch_v1
LISTAUSDT,2026-05-26,main_v2
LISTAUSDT,2026-05-26,recent_patch_v1
LITUSDT,2026-05-26,main_v2
LITUSDT,2026-05-26,recent_patch_v1
LPTUSDT,2026-05-26,main_v2
LPTUSDT,2026-05-26,recent_patch_v1
LQTYUSDT,2026-05-26,main_v2
LQTYUSDT,2026-05-26,recent_patch_v1
LSKUSDT,2026-05-26,main_v2
LSKUSDT,2026-05-26,recent_patch_v1
LTCUSDT,2026-05-26,main_v2
LTCUSDT,2026-05-26,recent_patch_v1
LUMIAUSDT,2026-05-26,main_v2
LUMIAUSDT,2026-05-26,recent_patch_v1
LUNA2USDT,2026-05-26,main_v2
LUNA2USDT,2026-05-26,recent_patch_v1
LYNUSDT,2026-05-26,main_v2
LYNUSDT,2026-05-26,recent_patch_v1
MAGICUSDT,2026-05-26,main_v2
MAGICUSDT,2026-05-26,recent_patch_v1
MAGMAUSDT,2026-05-26,main_v2
MAGMAUSDT,2026-05-26,recent_patch_v1
MANAUSDT,2026-05-26,main_v2
MANAUSDT,2026-05-26,recent_patch_v1
MANTAUSDT,2026-05-26,main_v2
MANTAUSDT,2026-05-26,recent_patch_v1
MASKUSDT,2026-05-26,main_v2
MASKUSDT,2026-05-26,recent_patch_v1
MAVIAUSDT,2026-05-26,main_v2
MAVIAUSDT,2026-05-26,recent_patch_v1
MAVUSDT,2026-05-26,main_v2
MAVUSDT,2026-05-26,recent_patch_v1
MBOXUSDT,2026-05-26,main_v2
MBOXUSDT,2026-05-26,recent_patch_v1
MELANIAUSDT,2026-05-26,main_v2
MELANIAUSDT,2026-05-26,recent_patch_v1
MEMEUSDT,2026-05-26,main_v2
MEMEUSDT,2026-05-26,recent_patch_v1
MERLUSDT,2026-05-26,main_v2
MERLUSDT,2026-05-26,recent_patch_v1
METISUSDT,2026-05-26,main_v2
METISUSDT,2026-05-26,recent_patch_v1
METUSDT,2026-05-26,main_v2
METUSDT,2026-05-26,recent_patch_v1
MEUSDT,2026-05-26,main_v2
MEUSDT,2026-05-26,recent_patch_v1
MEWUSDT,2026-05-26,main_v2
MEWUSDT,2026-05-26,recent_patch_v1
MINAUSDT,2026-05-26,main_v2
MINAUSDT,2026-05-26,recent_patch_v1
MIRAUSDT,2026-05-26,main_v2
MIRAUSDT,2026-05-26,recent_patch_v1
MITOUSDT,2026-05-26,main_v2
MITOUSDT,2026-05-26,recent_patch_v1
MMTUSDT,2026-05-26,main_v2
MMTUSDT,2026-05-26,recent_patch_v1
MOCAUSDT,2026-05-26,main_v2
MOCAUSDT,2026-05-26,recent_patch_v1
MONUSDT,2026-05-26,main_v2
MONUSDT,2026-05-26,recent_patch_v1
MOODENGUSDT,2026-05-26,main_v2
MOODENGUSDT,2026-05-26,recent_patch_v1
MORPHOUSDT,2026-05-26,main_v2
MORPHOUSDT,2026-05-26,recent_patch_v1
MOVEUSDT,2026-05-26,main_v2
MOVEUSDT,2026-05-26,recent_patch_v1
MOVRUSDT,2026-05-26,main_v2
MOVRUSDT,2026-05-26,recent_patch_v1
MTLUSDT,2026-05-26,main_v2
MTLUSDT,2026-05-26,recent_patch_v1
MUBARAKUSDT,2026-05-26,main_v2
MUBARAKUSDT,2026-05-26,recent_patch_v1
MUSDT,2026-05-26,main_v2
MUSDT,2026-05-26,recent_patch_v1
MYXUSDT,2026-05-26,main_v2
MYXUSDT,2026-05-26,recent_patch_v1
NAORISUSDT,2026-05-26,main_v2
NAORISUSDT,2026-05-26,recent_patch_v1
NEARUSDT,2026-05-26,main_v2
NEARUSDT,2026-05-26,recent_patch_v1
NEIROUSDT,2026-05-26,main_v2
NEIROUSDT,2026-05-26,recent_patch_v1
NEOUSDT,2026-05-26,main_v2
NEOUSDT,2026-05-26,recent_patch_v1
NEWTUSDT,2026-05-26,main_v2
NEWTUSDT,2026-05-26,recent_patch_v1
NFPUSDT,2026-05-26,main_v2
NFPUSDT,2026-05-26,recent_patch_v1
NIGHTUSDT,2026-05-26,main_v2
NIGHTUSDT,2026-05-26,recent_patch_v1
NILUSDT,2026-05-26,main_v2
NILUSDT,2026-05-26,recent_patch_v1
NMRUSDT,2026-05-26,main_v2
NMRUSDT,2026-05-26,recent_patch_v1
NOMUSDT,2026-05-26,main_v2
NOMUSDT,2026-05-26,recent_patch_v1
NOTUSDT,2026-05-26,main_v2
NOTUSDT,2026-05-26,recent_patch_v1
NXPCUSDT,2026-05-26,main_v2
NXPCUSDT,2026-05-26,recent_patch_v1
OGNUSDT,2026-05-26,main_v2
OGNUSDT,2026-05-26,recent_patch_v1
