symbol,status,rows,main_rows,patch_rows,overlap_rows_dropped,timestamp_min,timestamp_max,duplicate_after_merge,inf_cells,premium_close_bps_na,funding_rate_na,age_days_min,age_days_max,output_path
1000SATSUSDT,ok,21432,21025,408,1,2024-01-01 00:00:00,2026-06-11 23:00:00,0,0,0,15918,19.416666666666668,912.375,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v3_patch_age_20260613\symbol=1000SATSUSDT\part.parquet
1000SHIBUSDT,ok,21432,21025,408,1,2024-01-01 00:00:00,2026-06-11 23:00:00,0,0,0,18471,184.0,1076.9583333333333,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v3_patch_age_20260613\symbol=1000SHIBUSDT\part.parquet
1000XECUSDT,ok,21432,21025,408,1,2024-01-01 00:00:00,2026-06-11 23:00:00,0,0,0,18471,184.0,1076.9583333333333,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v3_patch_age_20260613\symbol=1000XECUSDT\part.parquet
1INCHUSDT,ok,21432,21025,408,1,2024-01-01 00:00:00,2026-06-11 23:00:00,0,0,0,18471,184.0,1076.9583333333333,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v3_patch_age_20260613\symbol=1INCHUSDT\part.parquet
1MBABYDOGEUSDT,ok,15205,14798,408,1,2024-09-16 11:00:00,2026-06-11 23:00:00,0,0,0,11248,0.0,633.5,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v3_patch_age_20260613\symbol=1MBABYDOGEUSDT\part.parquet
2ZUSDT,ok,6060,5653,408,1,2025-10-02 12:00:00,2026-06-11 23:00:00,0,0,0,4389,0.0,252.45833333333334,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v3_patch_age_20260613\symbol=2ZUSDT\part.parquet
4USDT,ok,5917,5510,408,1,2025-10-08 11:00:00,2026-06-11 23:00:00,0,0,0,4282,0.0,246.5,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v3_patch_age_20260613\symbol=4USDT\part.parquet
AAVEUSDT,ok,21432,21025,408,1,2024-01-01 00:00:00,2026-06-11 23:00:00,0,0,0,18471,184.0,1076.9583333333333,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v3_patch_age_20260613\symbol=AAVEUSDT\part.parquet
ACEUSDT,ok,21432,21025,408,1,2024-01-01 00:00:00,2026-06-11 23:00:00,0,0,0,15711,13.583333333333334,906.5416666666666,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v3_patch_age_20260613\symbol=ACEUSDT\part.parquet
ACHUSDT,ok,21432,21025,408,1,2024-01-01 00:00:00,2026-06-11 23:00:00,0,0,0,18471,184.0,1076.9583333333333,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v3_patch_age_20260613\symbol=ACHUSDT\part.parquet
ACTUSDT,ok,13860,13453,408,1,2024-11-11 12:00:00,2026-06-11 23:00:00,0,0,0,10240,0.0,577.4583333333334,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v3_patch_age_20260613\symbol=ACTUSDT\part.parquet
ACUUSDT,ok,3396,2989,408,1,2026-01-21 12:00:00,2026-06-11 23:00:00,0,0,0,2392,0.0,141.45833333333334,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v3_patch_age_20260613\symbol=ACUUSDT\part.parquet
ACXUSDT,ok,13257,12850,408,1,2024-12-06 15:00:00,2026-06-11 23:00:00,0,0,0,9787,0.0,552.3333333333334,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v3_patch_age_20260613\symbol=ACXUSDT\part.parquet
ADAUSDT,ok,21432,21025,408,1,2024-01-01 00:00:00,2026-06-11 23:00:00,0,0,0,18471,184.0,1076.9583333333333,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v3_patch_age_20260613\symbol=ADAUSDT\part.parquet
AERGOUSDT,ok,10477,10070,408,1,2025-04-01 00:00:00,2026-06-11 23:00:00,0,0,0,7649,0.0,436.9583333333333,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v3_patch_age_20260613\symbol=AERGOUSDT\part.parquet
AEROUSDT,ok,13306,12899,408,1,2024-12-04 14:00:00,2026-06-11 23:00:00,0,0,0,9824,0.0,554.375,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v3_patch_age_20260613\symbol=AEROUSDT\part.parquet
AEVOUSDT,ok,19691,19284,408,1,2024-03-13 13:00:00,2026-06-11 23:00:00,0,0,0,14613,0.0,820.4166666666666,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v3_patch_age_20260613\symbol=AEVOUSDT\part.parquet
AGLDUSDT,ok,21432,21025,408,1,2024-01-01 00:00:00,2026-06-11 23:00:00,0,0,0,18471,155.89583333333334,1048.8541666666667,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v3_patch_age_20260613\symbol=AGLDUSDT\part.parquet
AGTUSDT,ok,9302,8895,408,1,2025-05-20 10:00:00,2026-06-11 23:00:00,0,0,0,6821,0.0,387.5416666666667,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v3_patch_age_20260613\symbol=AGTUSDT\part.parquet
AIAUSDT,ok,3877,3470,408,1,2026-01-01 00:00:00,2026-06-11 23:00:00,0,0,456,2866,0.0,161.95833333333334,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v3_patch_age_20260613\symbol=AIAUSDT\part.parquet
AINUSDT,ok,8078,7671,408,1,2025-07-10 10:00:00,2026-06-11 23:00:00,0,0,0,5903,0.0,336.5416666666667,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v3_patch_age_20260613\symbol=AINUSDT\part.parquet
AIOTUSDT,ok,9780,9373,408,1,2025-04-30 12:00:00,2026-06-11 23:00:00,0,0,0,7180,0.0,407.4583333333333,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v3_patch_age_20260613\symbol=AIOTUSDT\part.parquet
AIOUSDT,ok,7261,6854,408,1,2025-08-13 11:00:00,2026-06-11 23:00:00,0,0,0,5290,0.0,302.5,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v3_patch_age_20260613\symbol=AIOUSDT\part.parquet
AIXBTUSDT,ok,12918,12511,408,1,2024-12-20 18:00:00,2026-06-11 23:00:00,0,0,0,9533,0.0,538.2083333333334,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v3_patch_age_20260613\symbol=AIXBTUSDT\part.parquet
AKEUSDT,ok,6204,5797,408,1,2025-09-26 12:00:00,2026-06-11 23:00:00,0,0,0,4497,0.0,258.4583333333333,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v3_patch_age_20260613\symbol=AKEUSDT\part.parquet
AKTUSDT,ok,13693,13286,408,1,2024-11-18 11:00:00,2026-06-11 23:00:00,0,0,0,10114,0.0,570.5,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v3_patch_age_20260613\symbol=AKTUSDT\part.parquet
ALCHUSDT,ok,12493,12086,408,1,2025-01-07 11:00:00,2026-06-11 23:00:00,0,0,0,9214,0.0,520.5,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v3_patch_age_20260613\symbol=ALCHUSDT\part.parquet
ALGOUSDT,ok,21432,21025,408,1,2024-01-01 00:00:00,2026-06-11 23:00:00,0,0,0,18471,184.0,1076.9583333333333,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v3_patch_age_20260613\symbol=ALGOUSDT\part.parquet
ALICEUSDT,ok,21432,21025,408,1,2024-01-01 00:00:00,2026-06-11 23:00:00,0,0,0,18225,184.0,1076.9583333333333,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v3_patch_age_20260613\symbol=ALICEUSDT\part.parquet
ALLOUSDT,ok,5098,4691,408,1,2025-11-11 14:00:00,2026-06-11 23:00:00,0,0,0,3668,0.0,212.375,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v3_patch_age_20260613\symbol=ALLOUSDT\part.parquet
ALLUSDT,ok,7431,7024,408,1,2025-08-06 09:00:00,2026-06-11 23:00:00,0,0,0,6221,0.0,309.5833333333333,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v3_patch_age_20260613\symbol=ALLUSDT\part.parquet
ALPINEUSDT,ok,9639,9232,408,1,2025-05-06 09:00:00,2026-06-11 23:00:00,0,0,0,7074,0.0,401.5833333333333,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v3_patch_age_20260613\symbol=ALPINEUSDT\part.parquet
ALTUSDT,ok,20842,20435,408,1,2024-01-25 14:00:00,2026-06-11 23:00:00,0,0,0,15476,0.0,868.375,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v3_patch_age_20260613\symbol=ALTUSDT\part.parquet
ANIMEUSDT,ok,12103,11696,408,1,2025-01-23 17:00:00,2026-06-11 23:00:00,0,0,0,8642,0.0,504.25,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v3_patch_age_20260613\symbol=ANIMEUSDT\part.parquet
ANKRUSDT,ok,21432,21025,408,1,2024-01-01 00:00:00,2026-06-11 23:00:00,0,0,0,18308,184.0,1076.9583333333333,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v3_patch_age_20260613\symbol=ANKRUSDT\part.parquet
APEUSDT,ok,21432,21025,408,1,2024-01-01 00:00:00,2026-06-11 23:00:00,0,0,0,18471,184.0,1076.9583333333333,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v3_patch_age_20260613\symbol=APEUSDT\part.parquet
API3USDT,ok,21432,21025,408,1,2024-01-01 00:00:00,2026-06-11 23:00:00,0,0,0,15329,184.0,1076.9583333333333,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v3_patch_age_20260613\symbol=API3USDT\part.parquet
APRUSDT,ok,5558,5151,408,1,2025-10-23 10:00:00,2026-06-11 23:00:00,0,0,0,4013,0.0,231.54166666666666,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v3_patch_age_20260613\symbol=APRUSDT\part.parquet
APTUSDT,ok,21432,21025,408,1,2024-01-01 00:00:00,2026-06-11 23:00:00,0,0,0,18471,184.0,1076.9583333333333,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v3_patch_age_20260613\symbol=APTUSDT\part.parquet
ARBUSDT,ok,21432,21025,408,1,2024-01-01 00:00:00,2026-06-11 23:00:00,0,0,0,18471,184.0,1076.9583333333333,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v3_patch_age_20260613\symbol=ARBUSDT\part.parquet
ARCUSDT,ok,12251,11844,408,1,2025-01-17 13:00:00,2026-06-11 23:00:00,0,0,0,9033,0.0,510.4166666666667,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v3_patch_age_20260613\symbol=ARCUSDT\part.parquet
ARIAUSDT,ok,6757,6350,408,1,2025-09-03 11:00:00,2026-06-11 23:00:00,0,0,0,4797,0.0,281.5,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v3_patch_age_20260613\symbol=ARIAUSDT\part.parquet
ARKMUSDT,ok,21432,21025,408,1,2024-01-01 00:00:00,2026-06-11 23:00:00,0,0,0,18471,156.88541666666666,1049.84375,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v3_patch_age_20260613\symbol=ARKMUSDT\part.parquet
ARKUSDT,ok,21432,21025,408,1,2024-01-01 00:00:00,2026-06-11 23:00:00,0,0,0,17145,103.33125,996.2895833333333,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v3_patch_age_20260613\symbol=ARKUSDT\part.parquet
ARPAUSDT,ok,21432,21025,408,1,2024-01-01 00:00:00,2026-06-11 23:00:00,0,0,0,18471,184.0,1076.9583333333333,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v3_patch_age_20260613\symbol=ARPAUSDT\part.parquet
ARUSDT,ok,21432,21025,408,1,2024-01-01 00:00:00,2026-06-11 23:00:00,0,0,0,18471,184.0,1076.9583333333333,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v3_patch_age_20260613\symbol=ARUSDT\part.parquet
ASRUSDT,ok,9639,9232,408,1,2025-05-06 09:00:00,2026-06-11 23:00:00,0,0,0,7074,0.0,401.5833333333333,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v3_patch_age_20260613\symbol=ASRUSDT\part.parquet
ASTERUSDT,ok,6372,5965,408,1,2025-09-19 12:00:00,2026-06-11 23:00:00,0,0,0,4623,0.0,265.4583333333333,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v3_patch_age_20260613\symbol=ASTERUSDT\part.parquet
ASTRUSDT,ok,21432,21025,408,1,2024-01-01 00:00:00,2026-06-11 23:00:00,0,0,0,18471,184.0,1076.9583333333333,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v3_patch_age_20260613\symbol=ASTRUSDT\part.parquet
ATHUSDT,ok,10449,10042,408,1,2025-04-02 15:00:00,2026-06-11 23:00:00,0,0,0,7681,0.0,435.3333333333333,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v3_patch_age_20260613\symbol=ATHUSDT\part.parquet
ATOMUSDT,ok,21432,21025,408,1,2024-01-01 00:00:00,2026-06-11 23:00:00,0,0,0,18471,184.0,1076.9583333333333,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v3_patch_age_20260613\symbol=ATOMUSDT\part.parquet
ATUSDT,ok,5413,5006,408,1,2025-10-29 11:00:00,2026-06-11 23:00:00,0,0,0,3904,0.0,225.5,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v3_patch_age_20260613\symbol=ATUSDT\part.parquet
AUCTIONUSDT,ok,21432,21025,408,1,2024-01-01 00:00:00,2026-06-11 23:00:00,0,0,0,15856,16.458333333333332,909.4166666666666,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v3_patch_age_20260613\symbol=AUCTIONUSDT\part.parquet
AUSDT,ok,9112,8705,408,1,2025-05-28 08:00:00,2026-06-11 23:00:00,0,0,0,6678,0.0,379.625,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v3_patch_age_20260613\symbol=AUSDT\part.parquet
AVAAIUSDT,ok,12251,11844,408,1,2025-01-17 13:00:00,2026-06-11 23:00:00,0,0,0,9033,0.0,510.4166666666667,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v3_patch_age_20260613\symbol=AVAAIUSDT\part.parquet
AVAUSDT,ok,13091,12684,408,1,2024-12-13 13:00:00,2026-06-11 23:00:00,0,0,0,9663,0.0,545.4166666666666,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v3_patch_age_20260613\symbol=AVAUSDT\part.parquet
AVAXUSDT,ok,21432,21025,408,1,2024-01-01 00:00:00,2026-06-11 23:00:00,0,0,0,18471,184.0,1076.9583333333333,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v3_patch_age_20260613\symbol=AVAXUSDT\part.parquet
AVNTUSDT,ok,6609,6202,408,1,2025-09-09 15:00:00,2026-06-11 23:00:00,0,0,0,4801,0.0,275.3333333333333,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v3_patch_age_20260613\symbol=AVNTUSDT\part.parquet
AWEUSDT,ok,9280,8873,408,1,2025-05-21 08:00:00,2026-06-11 23:00:00,0,0,0,6804,0.0,386.625,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v3_patch_age_20260613\symbol=AWEUSDT\part.parquet
AXLUSDT,ok,19977,19570,408,1,2024-03-01 15:00:00,2026-06-11 23:00:00,0,0,0,14137,0.0,832.3333333333334,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v3_patch_age_20260613\symbol=AXLUSDT\part.parquet
AXSUSDT,ok,21432,21025,408,1,2024-01-01 00:00:00,2026-06-11 23:00:00,0,0,0,18005,184.0,1076.9583333333333,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v3_patch_age_20260613\symbol=AXSUSDT\part.parquet
B2USDT,ok,9635,9228,408,1,2025-05-06 13:00:00,2026-06-11 23:00:00,0,0,0,7071,0.0,401.4166666666667,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v3_patch_age_20260613\symbol=B2USDT\part.parquet
BABYUSDT,ok,10379,9972,408,1,2025-04-05 13:00:00,2026-06-11 23:00:00,0,0,0,7629,0.0,432.4166666666667,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v3_patch_age_20260613\symbol=BABYUSDT\part.parquet
BANANAS31USDT,ok,10719,10312,408,1,2025-03-22 09:00:00,2026-06-11 23:00:00,0,0,0,7884,0.0,446.5833333333333,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v3_patch_age_20260613\symbol=BANANAS31USDT\part.parquet
BANANAUSDT,ok,15982,15575,408,1,2024-08-15 02:00:00,2026-06-11 23:00:00,0,0,0,11678,0.0,665.875,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v3_patch_age_20260613\symbol=BANANAUSDT\part.parquet
BANDUSDT,ok,21432,21025,408,1,2024-01-01 00:00:00,2026-06-11 23:00:00,0,0,0,18471,184.0,1076.9583333333333,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v3_patch_age_20260613\symbol=BANDUSDT\part.parquet
BANKUSDT,ok,10062,9655,408,1,2025-04-18 18:00:00,2026-06-11 23:00:00,0,0,0,7391,0.0,419.2083333333333,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v3_patch_age_20260613\symbol=BANKUSDT\part.parquet
BANUSDT,ok,13693,13286,408,1,2024-11-18 11:00:00,2026-06-11 23:00:00,0,0,0,10094,0.0,570.5,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v3_patch_age_20260613\symbol=BANUSDT\part.parquet
BARDUSDT,ok,6397,5990,408,1,2025-09-18 11:00:00,2026-06-11 23:00:00,0,0,0,3991,0.0,266.5,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v3_patch_age_20260613\symbol=BARDUSDT\part.parquet
BASUSDT,ok,6947,6540,408,1,2025-08-26 13:00:00,2026-06-11 23:00:00,0,0,0,5055,0.0,289.4166666666667,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v3_patch_age_20260613\symbol=BASUSDT\part.parquet
BATUSDT,ok,21432,21025,408,1,2024-01-01 00:00:00,2026-06-11 23:00:00,0,0,0,18471,184.0,1076.9583333333333,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v3_patch_age_20260613\symbol=BATUSDT\part.parquet
BBUSDT,ok,18228,17821,408,1,2024-05-13 12:00:00,2026-06-11 23:00:00,0,0,0,13516,0.0,759.4583333333334,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v3_patch_age_20260613\symbol=BBUSDT\part.parquet
BCHUSDT,ok,21432,21025,408,1,2024-01-01 00:00:00,2026-06-11 23:00:00,0,0,0,18471,184.0,1076.9583333333333,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v3_patch_age_20260613\symbol=BCHUSDT\part.parquet
BEAMXUSDT,ok,21432,21025,408,1,2024-01-01 00:00:00,2026-06-11 23:00:00,0,0,0,15918,44.4375,937.3958333333334,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v3_patch_age_20260613\symbol=BEAMXUSDT\part.parquet
BEATUSDT,ok,5076,4669,408,1,2025-11-12 12:00:00,2026-06-11 23:00:00,0,0,0,3315,0.0,211.45833333333334,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v3_patch_age_20260613\symbol=BEATUSDT\part.parquet
BELUSDT,ok,21432,21025,408,1,2024-01-01 00:00:00,2026-06-11 23:00:00,0,0,0,18471,184.0,1076.9583333333333,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v3_patch_age_20260613\symbol=BELUSDT\part.parquet
BERAUSDT,ok,11769,11362,408,1,2025-02-06 15:00:00,2026-06-11 23:00:00,0,0,0,8671,0.0,490.3333333333333,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v3_patch_age_20260613\symbol=BERAUSDT\part.parquet
BICOUSDT,ok,21432,21025,408,1,2024-01-01 00:00:00,2026-06-11 23:00:00,0,0,0,18471,94.47916666666667,987.4375,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v3_patch_age_20260613\symbol=BICOUSDT\part.parquet
BIGTIMEUSDT,ok,21432,21025,408,1,2024-01-01 00:00:00,2026-06-11 23:00:00,0,0,0,15918,80.39583333333333,973.3541666666666,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v3_patch_age_20260613\symbol=BIGTIMEUSDT\part.parquet
BIOUSDT,ok,12588,12181,408,1,2025-01-03 12:00:00,2026-06-11 23:00:00,0,0,0,8474,0.0,524.4583333333334,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v3_patch_age_20260613\symbol=BIOUSDT\part.parquet
BLESSUSDT,ok,6279,5872,408,1,2025-09-23 09:00:00,2026-06-11 23:00:00,0,0,0,4554,0.0,261.5833333333333,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v3_patch_age_20260613\symbol=BLESSUSDT\part.parquet
BLUAIUSDT,ok,5605,5198,408,1,2025-10-21 11:00:00,2026-06-11 23:00:00,0,0,0,4048,0.0,233.5,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v3_patch_age_20260613\symbol=BLUAIUSDT\part.parquet
BLURUSDT,ok,21432,21025,408,1,2024-01-01 00:00:00,2026-06-11 23:00:00,0,0,0,18339,184.0,1076.9583333333333,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v3_patch_age_20260613\symbol=BLURUSDT\part.parquet
BMTUSDT,ok,10835,10428,408,1,2025-03-17 13:00:00,2026-06-11 23:00:00,0,0,0,7971,0.0,451.4166666666667,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v3_patch_age_20260613\symbol=BMTUSDT\part.parquet
BNBUSDT,ok,21432,21025,408,1,2024-01-01 00:00:00,2026-06-11 23:00:00,0,0,0,18471,184.0,1076.9583333333333,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v3_patch_age_20260613\symbol=BNBUSDT\part.parquet
BNTUSDT,ok,21432,21025,408,1,2024-01-01 00:00:00,2026-06-11 23:00:00,0,0,0,18471,143.5,1036.4583333333333,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v3_patch_age_20260613\symbol=BNTUSDT\part.parquet
BOMEUSDT,ok,19620,19213,408,1,2024-03-16 12:00:00,2026-06-11 23:00:00,0,0,0,14560,0.0,817.4583333333334,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v3_patch_age_20260613\symbol=BOMEUSDT\part.parquet
BRETTUSDT,ok,15854,15447,408,1,2024-08-20 10:00:00,2026-06-11 23:00:00,0,0,0,11735,0.0,660.5416666666666,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v3_patch_age_20260613\symbol=BRETTUSDT\part.parquet
BREVUSDT,ok,3926,3519,408,1,2025-12-30 10:00:00,2026-06-11 23:00:00,0,0,0,2789,0.0,163.54166666666666,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v3_patch_age_20260613\symbol=BREVUSDT\part.parquet
BROCCOLI714USDT,ok,10743,10336,408,1,2025-03-21 09:00:00,2026-06-11 23:00:00,0,0,0,7869,0.0,447.5833333333333,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v3_patch_age_20260613\symbol=BROCCOLI714USDT\part.parquet
BROCCOLIF3BUSDT,ok,10743,10336,408,1,2025-03-21 09:00:00,2026-06-11 23:00:00,0,0,0,6771,0.0,447.5833333333333,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v3_patch_age_20260613\symbol=BROCCOLIF3BUSDT\part.parquet
BRUSDT,ok,10740,10333,408,1,2025-03-21 12:00:00,2026-06-11 23:00:00,0,0,0,7900,0.0,447.4583333333333,G:\AlphaFactory_CryptoData\gold\features\binance_universe498_replay_1h_v3_patch_age_20260613\symbol=BRUSDT\part.parquet
