candidate_id,selected_for_pre_replay,selector_reason,reject_reason,selection_score,family,field_families,fields,operators,windows,wrapper_tags,expression,eval_status,active_ratio_0bar,active_ratio_field_native_lag1,inf_rows_0bar,inf_rows_field_native_lag1,expression_key,skeleton_key,production_key,operator_signature,horizon_signature
crypto_fg2_e1a8edb8cb6cc8f4,False,eligible_not_selected_by_caps_or_budget,eligible_prediversity,1.4435836,positioning_reversal,positioning|price,mark_close|top_long_short_position_ratio_mean,Sub|ZScore|Mean|ZScore|Mean,72|336,oi_positioning_wrapper_risk,"Sub(ZScore(Mean(top_long_short_position_ratio_mean,336)),ZScore(Mean(top_long_short_position_ratio_mean,72)))",pass,0.994738,0.994661,0.0,0.0,expr-70616185a7ff8408,skeleton-7762e3f46e546cc2,crypto_formula_gen_v2_adapter::positioning_reversal::positioning|price::72|336,Mean|Sub|ZScore,72|336
crypto_fg2_83d5593a9aba9d7d,True,selected_diversity_capped,eligible_prediversity,1.55187025,oi_price_interaction,open_interest|price,mark_close|open_interest_value_last,Mul|ZScore|Delta|ZScore|Delta,8|12,oi_positioning_wrapper_risk,"Mul(ZScore(Delta(open_interest_value_last,12)),ZScore(Delta(mark_close,8)))",pass,0.997557,0.997481,0.0,0.0,expr-bc73861ba1a3d07b,skeleton-c14ad246aa64fd6e,crypto_formula_gen_v2_adapter::oi_price_interaction::open_interest|price::8|12,Delta|Mul|ZScore,8|12
crypto_fg2_d9667d20f5c6b84e,False,eligible_not_selected_by_caps_or_budget,eligible_prediversity,1.47037606,oi_price_interaction,open_interest|price,index_close|open_interest_value_mean,Mul|Rank|Mean|ZScore|Delta,4|72,oi_positioning_wrapper_risk,"Mul(Rank(Mean(open_interest_value_mean,72)),ZScore(Delta(index_close,4)))",pass,0.998244,0.998168,0.0,0.0,expr-7c56eb4b049a6cff,skeleton-ded8d0d5aade90e2,crypto_formula_gen_v2_adapter::oi_price_interaction::open_interest|price::4|72,Delta|Mean|Mul|Rank|ZScore,4|72
crypto_fg2_931a6d15f9dc4138,False,eligible_not_selected_by_caps_or_budget,eligible_prediversity,1.4478721,positioning_reversal,positioning|price,mark_close|top_long_short_account_ratio_last,Sub|ZScore|Mean|ZScore|Mean,4|8,oi_positioning_wrapper_risk,"Sub(ZScore(Mean(top_long_short_account_ratio_last,8)),ZScore(Mean(top_long_short_account_ratio_last,4)))",pass,0.998168,0.998092,0.0,0.0,expr-cb91e00a8442f0d6,skeleton-7762e3f46e546cc2,crypto_formula_gen_v2_adapter::positioning_reversal::positioning|price::4|8,Mean|Sub|ZScore,4|8
crypto_fg2_d051baee391d38ca,True,selected_diversity_capped,eligible_prediversity,2.413723,basis_funding_crowding,basis|funding,funding_rate|premium_close,Mul|ZScore|ZScore|Mean,720,funding_wrapper_risk|basis_premium_wrapper_risk,"Mul(ZScore(premium_close),ZScore(Mean(funding_rate,720)))",pass,0.98704,0.986963,0.0,0.0,expr-b1770fd880516ca5,skeleton-b71bac576de51f5e,crypto_formula_gen_v2_adapter::basis_funding_crowding::basis|funding::720,Mean|Mul|ZScore,720
crypto_fg2_1084fef9c46a189f,False,eligible_not_selected_by_caps_or_budget,eligible_prediversity,1.54385525,oi_price_interaction,open_interest|price,mark_close|open_interest_value_mean,Mul|ZScore|Delta|ZScore|Delta,8|96,oi_positioning_wrapper_risk,"Mul(ZScore(Delta(open_interest_value_mean,96)),ZScore(Delta(mark_close,8)))",pass,0.991145,0.991069,0.0,0.0,expr-13f1463ad05133b0,skeleton-c14ad246aa64fd6e,crypto_formula_gen_v2_adapter::oi_price_interaction::open_interest|price::8|96,Delta|Mul|ZScore,8|96
crypto_fg2_9b2f8f58c3c17bc0,True,selected_diversity_capped,eligible_prediversity,1.63844329,taker_flow_state,liquidity|taker_ratio,taker_buy_sell_volume_ratio_mean|trade_quote_volume,Mul|ZScore|Mean|Rank|Mean,96|504,taker_flow_wrapper_risk,"Mul(ZScore(Mean(taker_buy_sell_volume_ratio_mean,96)),Rank(Mean(trade_quote_volume,504)))",pass,0.998244,0.998168,0.0,0.0,expr-2a51fe5f72d53c2e,skeleton-4b7c966f0b1870e8,crypto_formula_gen_v2_adapter::taker_flow_state::liquidity|taker_ratio::96|504,Mean|Mul|Rank|ZScore,96|504
crypto_fg2_1ae1f362184fc76e,False,eligible_not_selected_by_caps_or_budget,eligible_prediversity,1.54442775,oi_price_interaction,open_interest|price,mark_close|open_interest_value_last,Mul|ZScore|Delta|ZScore|Delta,4|96,oi_positioning_wrapper_risk,"Mul(ZScore(Delta(open_interest_value_last,4)),ZScore(Delta(mark_close,96)))",pass,0.991603,0.991527,0.0,0.0,expr-d9c44cbbdaa95175,skeleton-c14ad246aa64fd6e,crypto_formula_gen_v2_adapter::oi_price_interaction::open_interest|price::4|96,Delta|Mul|ZScore,4|96
crypto_fg2_5dbb875ed17c7860,True,selected_diversity_capped,eligible_prediversity,1.5089611,basis_funding_crowding,basis|funding,funding_rate|mark_trade_basis_bps,Sub|ZScore|Mean|ZScore|Mean,48|720,funding_wrapper_risk|basis_premium_wrapper_risk,"Sub(ZScore(Mean(mark_trade_basis_bps,48)),ZScore(Mean(funding_rate,720)))",pass,0.98704,0.986963,0.0,0.0,expr-3fa38fc1a1d299bc,skeleton-7762e3f46e546cc2,crypto_formula_gen_v2_adapter::basis_funding_crowding::basis|funding::48|720,Mean|Sub|ZScore,48|720
crypto_fg2_c38a9e64f1118b10,False,eligible_not_selected_by_caps_or_budget,eligible_prediversity,1.52844397,price_volatility_structure,price|volatility,index_close|mark_high,Mul|ZScore|Delta|ZScore|Mean,4|720,none,"Mul(ZScore(Delta(index_close,720)),ZScore(Mean(mark_high,4)))",pass,0.945039,0.944962,0.0,0.0,expr-8f1e44fa1a3e8779,skeleton-1f835c24e049b69a,crypto_formula_gen_v2_adapter::price_volatility_structure::price|volatility::4|720,Delta|Mean|Mul|ZScore,4|720
crypto_fg2_ae7b89fcb0006ceb,False,eligible_not_selected_by_caps_or_budget,eligible_prediversity,1.484373,oi_price_interaction,open_interest|price,index_close|open_interest_value_mean,Mul|ZScore|Delta|ZScore|Delta,96|720,oi_positioning_wrapper_risk,"Mul(ZScore(Delta(open_interest_value_mean,96)),ZScore(Delta(index_close,720)))",pass,0.94356,0.943483,0.0,0.0,expr-5ef37ede2d9858a8,skeleton-c14ad246aa64fd6e,crypto_formula_gen_v2_adapter::oi_price_interaction::open_interest|price::96|720,Delta|Mul|ZScore,96|720
crypto_fg2_f9dce1a80431a4cb,False,eligible_not_selected_by_caps_or_budget,eligible_prediversity,1.42386881,liquidity_volatility_guarded,liquidity|volatility,trade_low|trade_quote_volume,Mul|Rank|Mean|ZScore|Delta,96|720,none,"Mul(Rank(Mean(trade_quote_volume,96)),ZScore(Delta(trade_low,720)))",pass,0.945039,0.944962,0.0,0.0,expr-1f246180582916f2,skeleton-ded8d0d5aade90e2,crypto_formula_gen_v2_adapter::liquidity_volatility_guarded::liquidity|volatility::96|720,Delta|Mean|Mul|Rank|ZScore,96|720
crypto_fg2_f92cfa11e4814e46,False,eligible_not_selected_by_caps_or_budget,eligible_prediversity,1.51930067,positioning_reversal,positioning|price,global_long_short_account_ratio_mean|index_close,Mul|ZScore|Mean|Neg|ZScore|Delta,24|48,oi_positioning_wrapper_risk,"Mul(ZScore(Mean(global_long_short_account_ratio_mean,48)),Neg(ZScore(Delta(index_close,24))))",pass,0.998168,0.998092,0.0,0.0,expr-968b1bec35871690,skeleton-68fcd98ee78740fa,crypto_formula_gen_v2_adapter::positioning_reversal::positioning|price::24|48,Delta|Mean|Mul|Neg|ZScore,24|48
crypto_fg2_0c0df7a06893775a,True,selected_diversity_capped,eligible_prediversity,1.51939567,positioning_reversal,positioning|price,top_long_short_account_ratio_mean|trade_close,Mul|ZScore|Mean|Neg|ZScore|Delta,4|48,oi_positioning_wrapper_risk,"Mul(ZScore(Mean(top_long_short_account_ratio_mean,48)),Neg(ZScore(Delta(trade_close,4))))",pass,0.998244,0.998168,0.0,0.0,expr-51b3846b4c2e98e5,skeleton-68fcd98ee78740fa,crypto_formula_gen_v2_adapter::positioning_reversal::positioning|price::4|48,Delta|Mean|Mul|Neg|ZScore,4|48
crypto_fg2_0d7bacafd679e081,False,eligible_not_selected_by_caps_or_budget,eligible_prediversity,1.5463365,oi_price_interaction,open_interest|price,mark_close|open_interest_value_mean,Mul|ZScore|Delta|ZScore|Delta,8|72,oi_positioning_wrapper_risk,"Mul(ZScore(Delta(open_interest_value_mean,8)),ZScore(Delta(mark_close,72)))",pass,0.99313,0.993054,0.0,0.0,expr-4de908be39f96c29,skeleton-c14ad246aa64fd6e,crypto_formula_gen_v2_adapter::oi_price_interaction::open_interest|price::8|72,Delta|Mul|ZScore,8|72
crypto_fg2_01d7ac34a1167413,False,eligible_not_selected_by_caps_or_budget,eligible_prediversity,1.484373,oi_price_interaction,open_interest|price,index_close|open_interest_value_mean,Mul|ZScore|Delta|ZScore|Delta,72|720,oi_positioning_wrapper_risk,"Mul(ZScore(Delta(open_interest_value_mean,720)),ZScore(Delta(index_close,72)))",pass,0.94356,0.943483,0.0,0.0,expr-47e2b78fb075d5da,skeleton-c14ad246aa64fd6e,crypto_formula_gen_v2_adapter::oi_price_interaction::open_interest|price::72|720,Delta|Mul|ZScore,72|720
crypto_fg2_a411f9895d2fb613,True,selected_diversity_capped,eligible_prediversity,1.5532065,oi_price_interaction,open_interest|price,mark_close|open_interest_mean,Mul|ZScore|Delta|ZScore|Delta,4,oi_positioning_wrapper_risk,"Mul(ZScore(Delta(open_interest_mean,4)),ZScore(Delta(mark_close,4)))",pass,0.998626,0.99855,0.0,0.0,expr-b439f8c15b053354,skeleton-c14ad246aa64fd6e,crypto_formula_gen_v2_adapter::oi_price_interaction::open_interest|price::4,Delta|Mul|ZScore,4
crypto_fg2_ec306554c7a38c56,False,eligible_not_selected_by_caps_or_budget,eligible_prediversity,1.58111522,price_volatility_structure,price|volatility,mark_high|trade_close,Mul|ZScore|Delta|ZScore|Mean,168,none,"Mul(ZScore(Delta(trade_close,168)),ZScore(Mean(mark_high,168)))",pass,0.987176,0.987099,0.0,0.0,expr-b32c1de7692ea7e4,skeleton-1f835c24e049b69a,crypto_formula_gen_v2_adapter::price_volatility_structure::price|volatility::168,Delta|Mean|Mul|ZScore,168
crypto_fg2_cb12a3adbb323e6a,False,eligible_not_selected_by_caps_or_budget,eligible_prediversity,1.4467271,taker_flow_state,liquidity|taker_ratio,taker_buy_sell_volume_ratio_last|trade_count,Sub|ZScore|Mean|ZScore|Mean,4|720,taker_flow_wrapper_risk,"Sub(ZScore(Mean(taker_buy_sell_volume_ratio_last,4)),ZScore(Mean(taker_buy_sell_volume_ratio_last,720)))",pass,0.997252,0.997176,0.0,0.0,expr-3d9da5f24aeda0df,skeleton-7762e3f46e546cc2,crypto_formula_gen_v2_adapter::taker_flow_state::liquidity|taker_ratio::4|720,Mean|Sub|ZScore,4|720
crypto_fg2_8022ae1f6dee3e30,False,eligible_not_selected_by_caps_or_budget,eligible_prediversity,1.61254704,price_volatility_structure,price|volatility,index_close|trade_high,Sub|ZScore|Delta|ZScore|Delta,72|504,none,"Sub(ZScore(Delta(index_close,504)),ZScore(Delta(trade_high,72)))",pass,0.961527,0.961451,0.0,0.0,expr-2f20d9d341e4a7d1,skeleton-7bb80280bed53044,crypto_formula_gen_v2_adapter::price_volatility_structure::price|volatility::72|504,Delta|Sub|ZScore,72|504
crypto_fg2_157925489a7842eb,True,selected_diversity_capped,eligible_prediversity,1.59495122,price_volatility_structure,price|volatility,index_close|trade_low,Mul|ZScore|Delta|ZScore|Mean,4|72,none,"Mul(ZScore(Delta(index_close,4)),ZScore(Mean(trade_low,72)))",pass,0.998244,0.998168,0.0,0.0,expr-a6721c11d663ceaa,skeleton-1f835c24e049b69a,crypto_formula_gen_v2_adapter::price_volatility_structure::price|volatility::4|72,Delta|Mean|Mul|ZScore,4|72
crypto_fg2_bfb68177872d7a44,False,eligible_not_selected_by_caps_or_budget,eligible_prediversity,1.47349942,positioning_reversal,positioning|price,mark_close|top_long_short_position_ratio_mean,Mul|ZScore|Mean|Neg|ZScore|Delta,48|504,oi_positioning_wrapper_risk,"Mul(ZScore(Mean(top_long_short_position_ratio_mean,48)),Neg(ZScore(Delta(mark_close,504))))",pass,0.961527,0.961451,0.0,0.0,expr-ada0d2230c2095d5,skeleton-68fcd98ee78740fa,crypto_formula_gen_v2_adapter::positioning_reversal::positioning|price::48|504,Delta|Mean|Mul|Neg|ZScore,48|504
crypto_fg2_4e6bb5071f624a9d,False,eligible_not_selected_by_caps_or_budget,eligible_prediversity,1.62857704,price_volatility_structure,price|volatility,index_close|trade_low,Sub|ZScore|Delta|ZScore|Delta,72|336,none,"Sub(ZScore(Delta(index_close,72)),ZScore(Delta(trade_low,336)))",pass,0.974351,0.974275,0.0,0.0,expr-17b0c560309850fb,skeleton-7bb80280bed53044,crypto_formula_gen_v2_adapter::price_volatility_structure::price|volatility::72|336,Delta|Sub|ZScore,72|336
crypto_fg2_7edd9af45325d634,False,eligible_not_selected_by_caps_or_budget,eligible_prediversity,1.63682104,taker_flow_state,liquidity|taker_ratio,taker_buy_sell_volume_ratio_last|trade_volume,Mul|ZScore|Mean|Rank|Mean,8|336,taker_flow_wrapper_risk,"Mul(ZScore(Mean(taker_buy_sell_volume_ratio_last,8)),Rank(Mean(trade_volume,336)))",pass,0.996947,0.99687,0.0,0.0,expr-957a228714764ae1,skeleton-4b7c966f0b1870e8,crypto_formula_gen_v2_adapter::taker_flow_state::liquidity|taker_ratio::8|336,Mean|Mul|Rank|ZScore,8|336
crypto_fg2_799334713a320165,False,eligible_not_selected_by_caps_or_budget,eligible_prediversity,1.484403,oi_price_interaction,open_interest|price,open_interest_last|trade_close,Mul|ZScore|Delta|ZScore|Delta,48|720,oi_positioning_wrapper_risk,"Mul(ZScore(Delta(open_interest_last,48)),ZScore(Delta(trade_close,720)))",pass,0.943584,0.943507,0.0,0.0,expr-3775995a50599edd,skeleton-c14ad246aa64fd6e,crypto_formula_gen_v2_adapter::oi_price_interaction::open_interest|price::48|720,Delta|Mul|ZScore,48|720
crypto_fg2_592d2173da25feeb,False,eligible_not_selected_by_caps_or_budget,eligible_prediversity,1.47349942,positioning_reversal,positioning|price,mark_close|top_long_short_account_ratio_last,Mul|ZScore|Mean|Neg|ZScore|Delta,504,oi_positioning_wrapper_risk,"Mul(ZScore(Mean(top_long_short_account_ratio_last,504)),Neg(ZScore(Delta(mark_close,504))))",pass,0.961527,0.961451,0.0,0.0,expr-3b29825d134924ad,skeleton-68fcd98ee78740fa,crypto_formula_gen_v2_adapter::positioning_reversal::positioning|price::504,Delta|Mean|Mul|Neg|ZScore,504
crypto_fg2_ce91bdf575b1d935,False,eligible_not_selected_by_caps_or_budget,eligible_prediversity,1.44596335,positioning_reversal,positioning|price,top_long_short_position_ratio_last|trade_close,Sub|ZScore|Mean|ZScore|Mean,12|48,oi_positioning_wrapper_risk,"Sub(ZScore(Mean(top_long_short_position_ratio_last,12)),ZScore(Mean(top_long_short_position_ratio_last,48)))",pass,0.996641,0.996565,0.0,0.0,expr-d6f44f6849171ccd,skeleton-7762e3f46e546cc2,crypto_formula_gen_v2_adapter::positioning_reversal::positioning|price::12|48,Mean|Sub|ZScore,12|48
crypto_fg2_3ed256a0cf9eb1ca,True,selected_diversity_capped,eligible_prediversity,1.62857704,price_volatility_structure,price|volatility,mark_close|mark_low,Sub|ZScore|Delta|ZScore|Delta,336,none,"Sub(ZScore(Delta(mark_close,336)),ZScore(Delta(mark_low,336)))",pass,0.974351,0.974275,0.0,0.0,expr-395fbe2f2ec905c4,skeleton-7bb80280bed53044,crypto_formula_gen_v2_adapter::price_volatility_structure::price|volatility::336,Delta|Sub|ZScore,336
crypto_fg2_a663f592dcb45f81,False,eligible_not_selected_by_caps_or_budget,eligible_prediversity,1.45654006,oi_price_interaction,open_interest|price,mark_close|open_interest_last,Mul|Rank|Mean|ZScore|Delta,168|720,oi_positioning_wrapper_risk,"Mul(Rank(Mean(open_interest_last,720)),ZScore(Delta(mark_close,168)))",pass,0.987176,0.987099,0.0,0.0,expr-c182f69fb83e8069,skeleton-ded8d0d5aade90e2,crypto_formula_gen_v2_adapter::oi_price_interaction::open_interest|price::168|720,Delta|Mean|Mul|Rank|ZScore,168|720
crypto_fg2_b23af9a1c0bd85da,False,eligible_not_selected_by_caps_or_budget,eligible_prediversity,1.59495122,price_volatility_structure,price|volatility,mark_close|trade_high,Mul|ZScore|Delta|ZScore|Mean,12|24,none,"Mul(ZScore(Delta(mark_close,12)),ZScore(Mean(trade_high,24)))",pass,0.998244,0.998168,0.0,0.0,expr-e90b17a884ef28e4,skeleton-1f835c24e049b69a,crypto_formula_gen_v2_adapter::price_volatility_structure::price|volatility::12|24,Delta|Mean|Mul|ZScore,12|24
crypto_fg2_258048e37e69c198,True,selected_diversity_capped,eligible_prediversity,1.3716605,basis_funding_crowding,basis|funding,funding_rate|mark_trade_basis_bps,Mul|ZScore|ZScore|Mean,168,funding_wrapper_risk|basis_premium_wrapper_risk,"Mul(ZScore(mark_trade_basis_bps),ZScore(Mean(funding_rate,168)))",pass,0.153338,0.153326,0.0,0.0,expr-0ae4d3b3a4454c76,skeleton-b71bac576de51f5e,crypto_formula_gen_v2_adapter::basis_funding_crowding::basis|funding::168,Mean|Mul|ZScore,168
