replay_contract_rank,candidate_id,family_id,primary_seed_field,source_fields,skeleton_key,production_key,motif,expression,eval_success,finite_share,nonzero_share,activity_ok,min_value,max_value,std_value,error,label_family,horizon_h,orientation_from_train,premay_all_positive,one_bar_lag_ok,control_ratio_premay_max,oriented_validation_spread,oriented_test_spread,oriented_recent_spread,decision
88,a7ab3_0b7b3deaa9bdd1bc,G2_basis_premium_dislocation,premium_close_bps,premium_close_bps,skeleton_0d0b63c5ed3bddab,prod_27561277934afe9f,rank_atom,"Rank(Sub(Rank(Decay(premium_close_bps,4)),Rank(Decay(premium_close_bps,24))))",True,0.994140625,1.0,True,0.0104166666666666,1.0,0.2885983669754531,,L1_cross_sectional_relative_return,1,-1.0,True,True,0.9586871305260204,0.0002131230371882,0.0003257607532463,0.0003300062996934,A7AB6_SMALL_REPLAY_PREFLIGHT_CLUE
88,a7ab3_0b7b3deaa9bdd1bc,G2_basis_premium_dislocation,premium_close_bps,premium_close_bps,skeleton_0d0b63c5ed3bddab,prod_27561277934afe9f,rank_atom,"Rank(Sub(Rank(Decay(premium_close_bps,4)),Rank(Decay(premium_close_bps,24))))",True,0.994140625,1.0,True,0.0104166666666666,1.0,0.2885983669754531,,L0_raw_forward_return,1,-1.0,True,True,0.9586871305260204,0.0002131230371882,0.0003257607532463,0.0003300062996934,A7AB6_SMALL_REPLAY_PREFLIGHT_CLUE
90,a7ab3_0caf6e64238a4009,G2_basis_premium_dislocation,premium_close_bps,premium_close_bps,skeleton_0d0b63c5ed3bddab,prod_27561277934afe9f,rank_atom,"Rank(Sub(Rank(Decay(premium_close_bps,12)),Rank(Decay(premium_close_bps,24))))",True,0.994140625,1.0,True,0.0104166666666666,1.0,0.2883611545893558,,L7_ranked_future_return,1,-1.0,True,True,0.7552204023352892,0.013867115284557,0.0179734117304744,0.0219497653868307,A7AB6_SMALL_REPLAY_PREFLIGHT_CLUE
92,a7ab3_259e51a3d817578c,G2_basis_premium_dislocation,premium_close_bps,premium_close_bps,skeleton_d28a4a1d3d3ef772,prod_a2ab8f346c2bbd14,horizon_spread,"Sub(Sub(Mean(premium_close_bps,24),Decay(premium_close_bps,12)),Sub(TSRank(premium_close_bps,168),Rank(premium_close_bps)))",True,0.994140625,1.0,True,-174.70935137362633,393.5716936355311,5.909173334640747,,L7_ranked_future_return,1,1.0,True,True,0.9299997775652288,0.0055083899963941,0.0169654355328903,0.0253292735538041,A7AB6_SMALL_REPLAY_PREFLIGHT_CLUE
94,a7ab3_3144de7015d18195,G2_basis_premium_dislocation,mark_index_basis_bps,mark_index_basis_bps,skeleton_aee8e5fc677d3eb9,prod_98c0d0faebaff24f,self_interaction,"Mul(Clip(Sub(Mean(mark_index_basis_bps,24),Decay(mark_index_basis_bps,12)),-3,3),Rank(Winsor(ZScore(mark_index_basis_bps),3)))",True,0.994140625,1.0,True,-5.0,5.0,1.4910739971483409,,L7_ranked_future_return,1,1.0,True,True,0.9475570636449948,0.012993870087055,0.0143269812754339,0.0217931444135373,A7AB6_SMALL_REPLAY_PREFLIGHT_CLUE
94,a7ab3_3144de7015d18195,G2_basis_premium_dislocation,mark_index_basis_bps,mark_index_basis_bps,skeleton_aee8e5fc677d3eb9,prod_98c0d0faebaff24f,self_interaction,"Mul(Clip(Sub(Mean(mark_index_basis_bps,24),Decay(mark_index_basis_bps,12)),-3,3),Rank(Winsor(ZScore(mark_index_basis_bps),3)))",True,0.994140625,1.0,True,-5.0,5.0,1.4910739971483409,,L1_cross_sectional_relative_return,1,1.0,True,True,0.8235712208413303,0.0002440543206154,0.000274847665937,0.0005599470233174,A7AB6_SMALL_REPLAY_PREFLIGHT_CLUE
94,a7ab3_3144de7015d18195,G2_basis_premium_dislocation,mark_index_basis_bps,mark_index_basis_bps,skeleton_aee8e5fc677d3eb9,prod_98c0d0faebaff24f,self_interaction,"Mul(Clip(Sub(Mean(mark_index_basis_bps,24),Decay(mark_index_basis_bps,12)),-3,3),Rank(Winsor(ZScore(mark_index_basis_bps),3)))",True,0.994140625,1.0,True,-5.0,5.0,1.4910739971483409,,L0_raw_forward_return,1,1.0,True,True,0.8235712208413308,0.0002440543206154,0.000274847665937,0.0005599470233174,A7AB6_SMALL_REPLAY_PREFLIGHT_CLUE
97,a7ab3_7005b0d4aa2dce2e,G3_seed_pair_interaction,mark_index_basis_bps,mark_index_basis_bps|premium_close_bps,skeleton_1d429891415e0cc1,prod_61a2a4525c78a9f7,pair_sub,"Sub(Clip(Delta(mark_index_basis_bps,4),-3,3),ZScore(Decay(Delta(premium_close_bps,1),4)))",True,0.998779296875,1.0,True,-14.40304887879291,14.277525332055411,3.817493269417816,,L1_cross_sectional_relative_return,4,-1.0,True,True,0.574380660782599,0.0003494833584899,0.0007051726328219,0.0006939839120585,A7AB6_SMALL_REPLAY_PREFLIGHT_CLUE
97,a7ab3_7005b0d4aa2dce2e,G3_seed_pair_interaction,mark_index_basis_bps,mark_index_basis_bps|premium_close_bps,skeleton_1d429891415e0cc1,prod_61a2a4525c78a9f7,pair_sub,"Sub(Clip(Delta(mark_index_basis_bps,4),-3,3),ZScore(Decay(Delta(premium_close_bps,1),4)))",True,0.998779296875,1.0,True,-14.40304887879291,14.277525332055411,3.817493269417816,,L0_raw_forward_return,4,-1.0,True,True,0.5743806607825986,0.0003494833584899,0.0007051726328219,0.0006939839120585,A7AB6_SMALL_REPLAY_PREFLIGHT_CLUE
98,a7ab3_2ad4a9e8d3c38900,G3_seed_pair_interaction,premium_close_bps,premium_close_bps|mark_index_basis_bps,skeleton_2cbec0d1f5703d87,prod_e8fb93c46df72833,pair_rank_mul,"Rank(Mul(Winsor(Delta(premium_close_bps,24),3),Sub(ZScore(Mean(mark_index_basis_bps,168)),ZScore(Mean(mark_index_basis_bps,24)))))",True,0.993896484375,1.0,True,0.0104166666666666,1.0,0.2869275260269696,,L7_ranked_future_return,4,1.0,True,True,0.9862537764350452,0.010166110593834,0.0068349271932547,0.0120393809486861,A7AB6_SMALL_REPLAY_PREFLIGHT_CLUE
100,a7ab3_7935162ab6cc52c9,G3_seed_pair_interaction,premium_close_bps,premium_close_bps|mark_index_basis_bps,skeleton_4d96ff8a113c4294,prod_0fff1f7ba38fa9ee,pair_zscore_sub,"ZScore(Sub(TSRank(Mean(premium_close_bps,168),72),TSRank(Delta(mark_index_basis_bps,4),168)))",True,0.988525390625,1.0,True,-3.574413856275233,3.7792375631549255,0.9947780321927768,,L7_ranked_future_return,4,1.0,True,True,0.7776954504798147,0.0174483134416793,0.0266896149577713,0.0257525205500065,A7AB6_SMALL_REPLAY_PREFLIGHT_CLUE
101,a7ab3_e142ac349de3313f,G3_seed_pair_interaction,mark_index_basis_bps,mark_index_basis_bps|premium_close_bps,skeleton_01f0940dda172970,prod_d4e46d0172c9a7fc,pair_rank_mul,"Rank(Mul(Decay(Delta(mark_index_basis_bps,24),24),Decay(premium_close_bps,24)))",True,0.98828125,1.0,True,0.0104166666666666,1.0,0.2886590239570655,,L7_ranked_future_return,1,1.0,True,True,0.9040588080861116,0.0076644033637253,0.0161336797506825,0.0102137581775099,A7AB6_SMALL_REPLAY_PREFLIGHT_CLUE
102,a7ab3_fdd86cd8983e9d9b,G3_seed_pair_interaction,mark_index_basis_bps,mark_index_basis_bps|trade_return_1h,skeleton_276435236aa0c134,prod_c4fd4ad3a823e496,pair_zscore_sub,"ZScore(Sub(Sub(Mean(mark_index_basis_bps,24),Decay(mark_index_basis_bps,12)),Winsor(Mean(trade_return_1h,24),3)))",True,0.98828125,1.0,True,-9.527459543517198,9.608834512510306,0.9947780321927768,,L7_ranked_future_return,1,1.0,True,True,0.4388934238787478,0.0211199486169061,0.0371599411476845,0.0278053044351723,A7AB6_SMALL_REPLAY_PREFLIGHT_CLUE
115,a7ab3_04daf24ce962db97,G3_seed_pair_interaction,realized_vol_24h,realized_vol_24h|realized_vol_168h,skeleton_dd3e0615c6931f24,prod_5e6f5eb5e868e520,pair_rank_mul,"Rank(Mul(TSRank(Sub(Mean(realized_vol_24h,4),Mean(realized_vol_24h,168)),24),Mul(Rank(Delta(realized_vol_168h,24)),TSRank(Mean(realized_vol_168h,168),72))))",True,0.842041015625,1.0,True,0.0104166666666666,1.0,0.2886571028951453,,L7_ranked_future_return,1,-1.0,True,True,0.99973230580447,0.0084255608062544,0.0142479720126625,0.0162893056082381,A7AB6_SMALL_REPLAY_PREFLIGHT_CLUE
116,a7ab3_e5d6e69d28752387,G3_seed_pair_interaction,realized_vol_168h,realized_vol_168h|realized_vol_24h,skeleton_7a30cffcc7fa7bfa,prod_390ec35ad3ccad00,pair_sub,"Sub(Sub(Rank(Decay(realized_vol_168h,4)),Rank(Decay(realized_vol_168h,12))),Rank(Clip(ZScore(realized_vol_24h),-3,3)))",True,0.8505859375,0.999452855912744,True,-1.2708333333333337,0.0520833333333333,0.2861124189859688,,L7_ranked_future_return,1,1.0,True,True,0.8866761720462625,0.0187043106511334,0.0261565531444486,0.0371090182949101,A7AB6_SMALL_REPLAY_PREFLIGHT_CLUE
126,a7ab3_5f3490d60d842a6e,G2_basis_premium_dislocation,mark_index_basis_bps,mark_index_basis_bps,skeleton_80be2e39216c5bd2,prod_54938092429b135b,single_atom,"ZScore(Sub(Decay(mark_index_basis_bps,24),Decay(mark_index_basis_bps,12)))",True,0.994140625,1.0,True,-9.52251236044885,9.617823785689454,0.9947780321927768,,L7_ranked_future_return,1,1.0,True,True,0.4439226250365132,0.0247989427187966,0.0345524745016226,0.0256028498944006,A7AB6_SMALL_REPLAY_PREFLIGHT_CLUE
128,a7ab3_6406fc0cf7ff3b35,G2_basis_premium_dislocation,premium_close_bps,premium_close_bps,skeleton_db44ca1a799bf920,prod_33d5176ca39ed498,horizon_spread,"Sub(Clip(Mean(premium_close_bps,24),-3,3),Rank(premium_close_bps))",True,0.994140625,1.0,True,-6.0,4.989583333333333,1.937980561991476,,L7_ranked_future_return,1,1.0,True,True,0.818843474644514,0.01197619195563,0.0207952908845491,0.0127101860285399,A7AB6_SMALL_REPLAY_PREFLIGHT_CLUE
