ordinal,token_id,field_id,token_kind,context_id,family,expression,base_dependencies,feature_available_lag_bars,alignment_shift_bars,execution_semantics,authority_ref,finite_ratio,finite_rows,variance,nonzero_ratio_of_finite,minimum,maximum,input_gradient_mean_abs,first_layer_weight_update_mean_abs,ablation_prediction_change_mean_abs,check_materialized,check_finite_adequacy,check_value_variation,check_gradient_reachable,check_parameter_updated,check_prediction_sensitive,consumption_pass
18,FIELD:listing_age_days,listing_age_days,BASE,BROAD_PANEL_BASELINE,listing_age_context,listing_age_days,['listing_age_days'],1,0,RAW_PANEL_ALIGNED_BASE_FIELD,CRYPTO_18M_COMPOSITIONAL_FIELD_REGISTRY,1.0,1487272,10508.481817367583,1.0,6.927083492279053,365.9583435058594,0.004659699276089668,0.03775519132614136,0.005603378638625145,True,True,True,True,True,True,True
19,FIELD:open_interest_last_change_1h,open_interest_last_change_1h,BASE,BROAD_PANEL_BASELINE,open_interest_level_change,open_interest_last_change_1h,['open_interest_last_change_1h'],1,0,RAW_PANEL_ALIGNED_BASE_FIELD,CRYPTO_18M_COMPOSITIONAL_FIELD_REGISTRY,0.9976527494634472,1483781,0.0005805253004359895,0.9999939344148496,-1.0,3.827993154525757,0.00490510743111372,0.03764694929122925,0.0031487150117754936,True,True,True,True,True,True,True
20,FIELD:open_interest_value_last_change_1h,open_interest_value_last_change_1h,BASE,BROAD_PANEL_BASELINE,open_interest_value,open_interest_value_last_change_1h,['open_interest_value_last_change_1h'],1,0,RAW_PANEL_ALIGNED_BASE_FIELD,CRYPTO_18M_COMPOSITIONAL_FIELD_REGISTRY,0.9976527494634472,1483781,0.0008697802038794115,1.0,-1.0,5.395636081695557,0.011685383506119251,0.04210823029279709,0.009307591244578362,True,True,True,True,True,True,True
21,FIELD:agg_avg_underlying_trades_per_agg,agg_avg_underlying_trades_per_agg,BASE,CORE3_MICROSTRUCTURE_PILOT,other,agg_avg_underlying_trades_per_agg,['agg_avg_underlying_trades_per_agg'],1,0,CORE3_AGGTRADES_BASE_FIELD,aggtrades_base_feature_registry_94.csv,1.0,13104,0.23206905998135086,1.0,1.5435208082199097,6.464601993560791,0.00928693637251854,0.029108161106705666,0.007868271321058273,True,True,True,True,True,True,True
22,FIELD:top_long_short_position_ratio_mean,top_long_short_position_ratio_mean,BASE,BROAD_PANEL_BASELINE,position_crowding,top_long_short_position_ratio_mean,['top_long_short_position_ratio_mean'],1,0,RAW_PANEL_ALIGNED_BASE_FIELD,CRYPTO_18M_COMPOSITIONAL_FIELD_REGISTRY,0.9980904636139186,1484432,0.2976584766746095,1.0,0.4104067385196686,7.182522296905518,0.007100912742316723,0.023469358682632446,0.006139666307717562,True,True,True,True,True,True,True
23,FIELD:index_open,index_open,BASE,BROAD_PANEL_BASELINE,price_level,index_open,['index_open'],1,0,RAW_PANEL_ALIGNED_BASE_FIELD,CRYPTO_18M_COMPOSITIONAL_FIELD_REGISTRY,0.9994997552566041,1486528,14026219.741721064,1.0,0.00016096000035759062,73574.6953125,0.01414338406175375,0.01998310536146164,0.005667902994900942,True,True,True,True,True,True,True
24,FIELD:agg_price_range_bps,agg_price_range_bps,BASE,CORE3_MICROSTRUCTURE_PILOT,price_microstructure,agg_price_range_bps,['agg_price_range_bps'],1,0,CORE3_AGGTRADES_BASE_FIELD,aggtrades_base_feature_registry_94.csv,1.0,13104,8931.371887668125,1.0,6.464129447937012,2371.5263671875,0.004820725880563259,0.031768497079610825,0.0027749110013246536,True,True,True,True,True,True,True
25,FIELD:trade_return_1h,trade_return_1h,BASE,BROAD_PANEL_BASELINE,price_return,trade_return_1h,['trade_return_1h'],1,0,RAW_PANEL_ALIGNED_BASE_FIELD,CRYPTO_18M_COMPOSITIONAL_FIELD_REGISTRY,0.9993827625343582,1486354,0.00013987774828588478,0.9823245337248058,-0.6223423480987549,0.6973963975906372,0.011679470539093018,0.041077010333538055,0.006566864904016256,True,True,True,True,True,True,True
26,FIELD:trade_count,trade_count,BASE,BROAD_PANEL_BASELINE,quote_volume_activity,trade_count,['trade_count'],1,0,RAW_PANEL_ALIGNED_BASE_FIELD,CRYPTO_18M_COMPOSITIONAL_FIELD_REGISTRY,1.0,1487272,1603429741.948789,1.0,39.0,3550298.0,0.004386555403470993,0.029198793694376945,0.006151481531560421,True,True,True,True,True,True,True
27,FIELD:agg_price_range_bps_max_24h,agg_price_range_bps_max_24h,BASE,CORE3_MICROSTRUCTURE_PILOT,rolling,agg_price_range_bps_max_24h,['agg_price_range_bps_max_24h'],1,0,CORE3_AGGTRADES_BASE_FIELD,aggtrades_base_feature_registry_94.csv,0.997481684981685,13071,54271.20832517054,1.0,39.62131118774414,2371.5263671875,0.006441826932132244,0.03457409888505936,0.0034763142466545105,True,True,True,True,True,True,True
28,FIELD:top_long_short_account_ratio_mean,top_long_short_account_ratio_mean,BASE,BROAD_PANEL_BASELINE,account_crowding,top_long_short_account_ratio_mean,['top_long_short_account_ratio_mean'],1,0,RAW_PANEL_ALIGNED_BASE_FIELD,CRYPTO_18M_COMPOSITIONAL_FIELD_REGISTRY,0.9980904636139186,1484432,1.1362412445838683,1.0,0.17165400087833405,14.537487030029297,0.010612116195261478,0.0384407639503479,0.008019276894629002,True,True,True,True,True,True,True
29,FIELD:agg_quantity,agg_quantity,BASE,CORE3_MICROSTRUCTURE_PILOT,activity_liquidity,agg_quantity,['agg_quantity'],1,0,CORE3_AGGTRADES_BASE_FIELD,aggtrades_base_feature_registry_94.csv,1.0,13104,392516783866.09235,1.0,697.4039916992188,14168592.0,0.011025570333003998,0.02947741001844406,0.007179046981036663,True,True,True,True,True,True,True
30,FIELD:premium_open,premium_open,BASE,BROAD_PANEL_BASELINE,basis_premium,premium_open,['premium_open'],1,0,RAW_PANEL_ALIGNED_BASE_FIELD,CRYPTO_18M_COMPOSITIONAL_FIELD_REGISTRY,1.0,1487272,2.4296126237048684e-06,0.7357470590450167,-0.2753404974937439,0.08829528093338013,0.006913881748914719,0.030494198203086853,0.006346428766846657,True,True,True,True,True,True,True
31,FIELD:agg_flow_minus_btcusdt_4h,agg_flow_minus_btcusdt_4h,BASE,CORE3_MICROSTRUCTURE_PILOT,cross_symbol,agg_flow_minus_btcusdt_4h,['agg_flow_minus_btcusdt_4h'],1,0,CORE3_AGGTRADES_BASE_FIELD,aggtrades_base_feature_registry_94.csv,0.9997710622710623,13101,0.0011674517377263265,0.6666666666666666,-0.17893104255199432,0.2522379457950592,0.004658396355807781,0.03765179216861725,0.0005187717033550143,True,True,True,True,True,True,True
32,FIELD:agg_sell_quantity,agg_sell_quantity,BASE,CORE3_MICROSTRUCTURE_PILOT,flow,agg_sell_quantity,['agg_sell_quantity'],1,0,CORE3_AGGTRADES_BASE_FIELD,aggtrades_base_feature_registry_94.csv,1.0,13104,104392951627.50716,1.0,321.947998046875,7643268.0,0.009780064225196838,0.029405493289232254,0.006255179177969694,True,True,True,True,True,True,True
33,FIELD:agg_large_notional_share_100k_plus,agg_large_notional_share_100k_plus,BASE,CORE3_MICROSTRUCTURE_PILOT,large_trade,agg_large_notional_share_100k_plus,['agg_large_notional_share_100k_plus'],1,0,CORE3_AGGTRADES_BASE_FIELD,aggtrades_base_feature_registry_94.csv,1.0,13104,0.02187702011099688,0.9996947496947497,0.0,0.664526641368866,0.0028947852551937103,0.030867349356412888,0.002487157704308629,True,True,True,True,True,True,True
34,FIELD:history_length_hours,history_length_hours,BASE,BROAD_PANEL_BASELINE,listing_age_context,history_length_hours,['history_length_hours'],1,0,RAW_PANEL_ALIGNED_BASE_FIELD,CRYPTO_18M_COMPOSITIONAL_FIELD_REGISTRY,1.0,1487272,1658261.752770005,1.0,1.0,4368.0,0.018275540322065353,0.0417659655213356,0.01328737661242485,True,True,True,True,True,True,True
35,FIELD:open_interest_last_change_4h,open_interest_last_change_4h,BASE,BROAD_PANEL_BASELINE,open_interest_level_change,open_interest_last_change_4h,['open_interest_last_change_4h'],1,0,RAW_PANEL_ALIGNED_BASE_FIELD,CRYPTO_18M_COMPOSITIONAL_FIELD_REGISTRY,0.9972009155016702,1483109,0.0024644346164171315,0.9999973029628976,-1.0,11.006044387817383,0.006094183772802353,0.024186355993151665,0.004514841828495264,True,True,True,True,True,True,True
36,FIELD:open_interest_value_last_change_4h,open_interest_value_last_change_4h,BASE,BROAD_PANEL_BASELINE,open_interest_value,open_interest_value_last_change_4h,['open_interest_value_last_change_4h'],1,0,RAW_PANEL_ALIGNED_BASE_FIELD,CRYPTO_18M_COMPOSITIONAL_FIELD_REGISTRY,0.9972009155016702,1483109,0.004349107469249155,1.0,-1.0,14.945168495178223,0.0045224810019135475,0.02731061913073063,0.0028750451747328043,True,True,True,True,True,True,True
37,FIELD:agg_first_agg_trade_id,agg_first_agg_trade_id,BASE,CORE3_MICROSTRUCTURE_PILOT,other,agg_first_agg_trade_id,['agg_first_agg_trade_id'],1,0,CORE3_AGGTRADES_BASE_FIELD,aggtrades_base_feature_registry_94.csv,1.0,13104,3.767614863355903e+17,1.0,513967168.0,2225810176.0,0.004904853645712137,0.03034863993525505,0.004118956625461578,True,True,True,True,True,True,True
38,FIELD:index_low,index_low,BASE,BROAD_PANEL_BASELINE,price_level,index_low,['index_low'],1,0,RAW_PANEL_ALIGNED_BASE_FIELD,CRYPTO_18M_COMPOSITIONAL_FIELD_REGISTRY,0.9994997552566041,1486528,13925390.786665818,1.0,0.0001512400049250573,73213.859375,0.0046120923943817616,0.019983766600489616,0.0019227664452046156,True,True,True,True,True,True,True
39,FIELD:agg_buy_sell_vwap_spread_bps,agg_buy_sell_vwap_spread_bps,BASE,CORE3_MICROSTRUCTURE_PILOT,price_microstructure,agg_buy_sell_vwap_spread_bps,['agg_buy_sell_vwap_spread_bps'],1,0,CORE3_AGGTRADES_BASE_FIELD,aggtrades_base_feature_registry_94.csv,1.0,13104,11.397662163027611,1.0,-47.8888053894043,80.2042236328125,0.003861281555145979,0.04163777828216553,0.0015993027482181787,True,True,True,True,True,True,True
40,FIELD:taker_buy_sell_volume_ratio_last,taker_buy_sell_volume_ratio_last,BASE,BROAD_PANEL_BASELINE,quote_volume_activity,taker_buy_sell_volume_ratio_last,['taker_buy_sell_volume_ratio_last'],1,0,RAW_PANEL_ALIGNED_BASE_FIELD,CRYPTO_18M_COMPOSITIONAL_FIELD_REGISTRY,0.9980904636139186,1484432,13946.591776270043,0.9996490240037941,0.0,142227.0,0.004787551239132881,0.01855863630771637,0.0014185395557433367,True,True,True,True,True,True,True
41,FIELD:agg_price_range_bps_max_4h,agg_price_range_bps_max_4h,BASE,CORE3_MICROSTRUCTURE_PILOT,rolling,agg_price_range_bps_max_4h,['agg_price_range_bps_max_4h'],1,0,CORE3_AGGTRADES_BASE_FIELD,aggtrades_base_feature_registry_94.csv,0.9997710622710623,13101,18600.117959613934,1.0,10.516221046447754,2371.5263671875,0.006933534052222967,0.033222150057554245,0.005172890145331621,True,True,True,True,True,True,True
42,FIELD:agg_trade_count_1k_10k,agg_trade_count_1k_10k,BASE,CORE3_MICROSTRUCTURE_PILOT,activity_liquidity,agg_trade_count_1k_10k,['agg_trade_count_1k_10k'],1,0,CORE3_AGGTRADES_BASE_FIELD,aggtrades_base_feature_registry_94.csv,1.0,13104,351345114.647025,1.0,1129.0,351272.0,0.004039717838168144,0.036453455686569214,0.0028765485621988773,True,True,True,True,True,True,True
43,FIELD:premium_low,premium_low,BASE,BROAD_PANEL_BASELINE,basis_premium,premium_low,['premium_low'],1,0,RAW_PANEL_ALIGNED_BASE_FIELD,CRYPTO_18M_COMPOSITIONAL_FIELD_REGISTRY,1.0,1487272,8.350723596451964e-06,0.8829830723633606,-0.44085532426834106,0.005630699917674065,0.006722072139382362,0.02192585915327072,0.0025010399986058474,True,True,True,True,True,True,True
44,FIELD:agg_flow_minus_ethusdt_4h,agg_flow_minus_ethusdt_4h,BASE,CORE3_MICROSTRUCTURE_PILOT,cross_symbol,agg_flow_minus_ethusdt_4h,['agg_flow_minus_ethusdt_4h'],1,0,CORE3_AGGTRADES_BASE_FIELD,aggtrades_base_feature_registry_94.csv,0.9997710622710623,13101,0.0011438411819343608,0.6666666666666666,-0.2522379457950592,0.17893104255199432,0.0075567010790109634,0.03686385229229927,0.009151190519332886,True,True,True,True,True,True,True
45,FIELD:agg_buy_agg_trade_count,agg_buy_agg_trade_count,BASE,CORE3_MICROSTRUCTURE_PILOT,flow,agg_buy_agg_trade_count,['agg_buy_agg_trade_count'],1,0,CORE3_AGGTRADES_BASE_FIELD,aggtrades_base_feature_registry_94.csv,1.0,13104,695082707.4994582,1.0,1695.0,485450.0,0.0040612551383674145,0.04094291478395462,0.003137545194476843,True,True,True,True,True,True,True
46,FIELD:agg_large_trade_count_ratio_100k_plus,agg_large_trade_count_ratio_100k_plus,BASE,CORE3_MICROSTRUCTURE_PILOT,large_trade,agg_large_trade_count_ratio_100k_plus,['agg_large_trade_count_ratio_100k_plus'],1,0,CORE3_AGGTRADES_BASE_FIELD,aggtrades_base_feature_registry_94.csv,1.0,13104,6.769242276728627e-05,0.9996947496947497,0.0,0.04630114510655403,0.011601684615015984,0.031003568321466446,0.014709957875311375,True,True,True,True,True,True,True
47,FIELD:age_percentile_active_universe,age_percentile_active_universe,BASE,BROAD_PANEL_BASELINE,listing_age_context,age_percentile_active_universe,['age_percentile_active_universe'],1,0,RAW_PANEL_ALIGNED_BASE_FIELD,CRYPTO_18M_COMPOSITIONAL_FIELD_REGISTRY,1.0,1487272,0.06851220245173337,1.0,0.005747126415371895,1.0,0.005336252972483635,0.0,0.0,True,True,True,True,False,False,False
48,FIELD:open_interest_last_change_24h,open_interest_last_change_24h,BASE,BROAD_PANEL_BASELINE,open_interest_level_change,open_interest_last_change_24h,['open_interest_last_change_24h'],1,0,RAW_PANEL_ALIGNED_BASE_FIELD,CRYPTO_18M_COMPOSITIONAL_FIELD_REGISTRY,0.9959415628076101,1481236,0.038761594942439866,0.999998649776268,-1.0,39.91549301147461,0.005372415296733379,0.02187526971101761,0.003799840807914734,True,True,True,True,True,True,True
49,FIELD:open_interest_value_last_change_24h,open_interest_value_last_change_24h,BASE,BROAD_PANEL_BASELINE,open_interest_value,open_interest_value_last_change_24h,['open_interest_value_last_change_24h'],1,0,RAW_PANEL_ALIGNED_BASE_FIELD,CRYPTO_18M_COMPOSITIONAL_FIELD_REGISTRY,0.9959415628076101,1481236,0.10237269354751129,1.0,-1.0,87.92941284179688,0.007925901561975479,0.0206463523209095,0.003816713811829686,True,True,True,True,True,True,True
50,FIELD:agg_last_agg_trade_id,agg_last_agg_trade_id,BASE,CORE3_MICROSTRUCTURE_PILOT,other,agg_last_agg_trade_id,['agg_last_agg_trade_id'],1,0,CORE3_AGGTRADES_BASE_FIELD,aggtrades_base_feature_registry_94.csv,1.0,13104,3.767670179411843e+17,1.0,514012416.0,2225850624.0,0.0032915216870605946,0.03034864366054535,0.0026122508570551872,True,True,True,True,True,True,True
51,FIELD:index_high,index_high,BASE,BROAD_PANEL_BASELINE,price_level,index_high,['index_high'],1,0,RAW_PANEL_ALIGNED_BASE_FIELD,CRYPTO_18M_COMPOSITIONAL_FIELD_REGISTRY,0.9994997552566041,1486528,14122886.730173264,1.0,0.00016284000594168901,73762.3828125,0.01010249461978674,0.019980542361736298,0.004258823115378618,True,True,True,True,True,True,True
52,FIELD:agg_close_to_open_bps,agg_close_to_open_bps,BASE,CORE3_MICROSTRUCTURE_PILOT,price_microstructure,agg_close_to_open_bps,['agg_close_to_open_bps'],1,0,CORE3_AGGTRADES_BASE_FIELD,aggtrades_base_feature_registry_94.csv,1.0,13104,6228.762138857689,0.9996947496947497,-903.57177734375,925.4381103515625,0.0066387164406478405,0.04113917052745819,0.0044013927690684795,True,True,True,True,True,True,True
53,FIELD:taker_buy_sell_volume_ratio_mean,taker_buy_sell_volume_ratio_mean,BASE,BROAD_PANEL_BASELINE,quote_volume_activity,taker_buy_sell_volume_ratio_mean,['taker_buy_sell_volume_ratio_mean'],1,0,RAW_PANEL_ALIGNED_BASE_FIELD,CRYPTO_18M_COMPOSITIONAL_FIELD_REGISTRY,0.9980904636139186,1484432,5296.496304613288,1.0,0.019168062135577202,62080.28515625,0.007907039485871792,0.020799051970243454,0.0031188298016786575,True,True,True,True,True,True,True
54,FIELD:agg_quantity_sum_4h,agg_quantity_sum_4h,BASE,CORE3_MICROSTRUCTURE_PILOT,rolling,agg_quantity_sum_4h,['agg_quantity_sum_4h'],1,0,CORE3_AGGTRADES_BASE_FIELD,aggtrades_base_feature_registry_94.csv,0.9997710622710623,13101,5044481876016.345,1.0,3492.156005859375,26587312.0,0.010938869789242744,0.03014175221323967,0.007549432571977377,True,True,True,True,True,True,True
55,FIELD:agg_trade_count_100_1k,agg_trade_count_100_1k,BASE,CORE3_MICROSTRUCTURE_PILOT,activity_liquidity,agg_trade_count_100_1k,['agg_trade_count_100_1k'],1,0,CORE3_AGGTRADES_BASE_FIELD,aggtrades_base_feature_registry_94.csv,1.0,13104,513634143.4988845,1.0,1594.0,477363.0,0.007472865283489227,0.03689293563365936,0.007645411416888237,True,True,True,True,True,True,True
56,FIELD:mark_index_basis_bps,mark_index_basis_bps,BASE,BROAD_PANEL_BASELINE,basis_premium,mark_index_basis_bps,['mark_index_basis_bps'],1,0,RAW_PANEL_ALIGNED_BASE_FIELD,CRYPTO_18M_COMPOSITIONAL_FIELD_REGISTRY,0.9990156474404144,1485808,238.5554914389764,0.9925542196569139,-2008.8270263671875,329.26116943359375,0.009485531598329544,0.02727682515978813,0.005987613461911678,True,True,True,True,True,True,True
57,FIELD:agg_btcusdt_flow_imbalance_4h,agg_btcusdt_flow_imbalance_4h,BASE,CORE3_MICROSTRUCTURE_PILOT,cross_symbol,agg_btcusdt_flow_imbalance_4h,['agg_btcusdt_flow_imbalance_4h'],1,0,CORE3_AGGTRADES_BASE_FIELD,aggtrades_base_feature_registry_94.csv,0.9997710622710623,13101,0.0018683802801755228,1.0,-0.17399975657463074,0.1619236320257187,0.003447545226663351,0.05510658398270607,0.002788066864013672,True,True,True,True,True,True,True
58,FIELD:agg_signed_aggressor_quantity,agg_signed_aggressor_quantity,BASE,CORE3_MICROSTRUCTURE_PILOT,flow,agg_signed_aggressor_quantity,['agg_signed_aggressor_quantity'],1,0,CORE3_AGGTRADES_BASE_FIELD,aggtrades_base_feature_registry_94.csv,1.0,13104,1921470649.567804,1.0,-1175767.0,463447.0,0.00898495689034462,0.026788143441081047,0.0014698691666126251,True,True,True,True,True,True,True
59,FIELD:agg_large_count_share_100k_plus,agg_large_count_share_100k_plus,BASE,CORE3_MICROSTRUCTURE_PILOT,large_trade,agg_large_count_share_100k_plus,['agg_large_count_share_100k_plus'],1,0,CORE3_AGGTRADES_BASE_FIELD,aggtrades_base_feature_registry_94.csv,1.0,13104,6.769242276728627e-05,0.9996947496947497,0.0,0.04630114510655403,0.005160320550203323,0.031003572046756744,0.005281598307192326,True,True,True,True,True,True,True
60,FIELD:open_interest_mean,open_interest_mean,BASE,BROAD_PANEL_BASELINE,open_interest_level_change,open_interest_mean,['open_interest_mean'],1,0,RAW_PANEL_ALIGNED_BASE_FIELD,CRYPTO_18M_COMPOSITIONAL_FIELD_REGISTRY,0.9980904636139186,1484432,2.603723473958151e+19,1.0,680.91357421875,197531926528.0,0.006856451276689768,0.0166661124676466,0.0049743554554879665,True,True,True,True,True,True,True
61,FIELD:agg_first_transact_time_ms,agg_first_transact_time_ms,BASE,CORE3_MICROSTRUCTURE_PILOT,other,agg_first_transact_time_ms,['agg_first_transact_time_ms'],1,0,CORE3_AGGTRADES_BASE_FIELD,aggtrades_base_feature_registry_94.csv,1.0,13104,2.0605777328535e+19,1.0,1704067203072.0,1719788371968.0,0.009233800694346428,0.03725834935903549,0.005741629749536514,True,True,True,True,True,True,True
