symbol,tier,score,metrics_2024_01,metrics_2025_01,metrics_2026_01,binance_klines,binance_premium,okx_oi,okx_orderbook,bybit_ticker,bybit_orderbook,ready_source_checks,non_ok_source_checks
BIGTIMEUSDT,midcap_candidate,8,ok,ok,ok,hold_418,hold_418,ok,ok,ok,ok,7,2
CFXUSDT,midcap_candidate,8,ok,ok,ok,hold_418,hold_418,ok,ok,ok,ok,7,2
COMPUSDT,midcap_candidate,8,ok,ok,ok,hold_418,hold_418,ok,ok,ok,ok,7,2
CRVUSDT,midcap_candidate,8,ok,ok,ok,hold_418,hold_418,ok,ok,ok,ok,7,2
DOTUSDT,midcap_candidate,8,ok,ok,ok,hold_418,hold_418,ok,ok,ok,ok,7,2
DYDXUSDT,midcap_candidate,8,ok,ok,ok,hold_418,hold_418,ok,ok,ok,ok,7,2
EGLDUSDT,midcap_candidate,8,ok,ok,ok,hold_418,hold_418,ok,ok,ok,ok,7,2
ENJUSDT,midcap_candidate,8,ok,ok,ok,hold_418,hold_418,ok,ok,ok,ok,7,2
ETHFIUSDT,midcap_candidate,8,hold_404,ok,ok,ok,hold_418,ok,ok,ok,ok,7,2
FILUSDT,midcap_candidate,8,ok,ok,ok,hold_418,hold_418,ok,ok,ok,ok,7,2
FLOWUSDT,midcap_candidate,8,ok,ok,ok,hold_418,hold_418,ok,ok,ok,ok,7,2
GALAUSDT,midcap_candidate,8,ok,ok,ok,hold_418,hold_418,ok,ok,ok,ok,7,2
GMTUSDT,midcap_candidate,8,ok,ok,ok,hold_418,hold_418,ok,ok,ok,ok,7,2
ICPUSDT,midcap_candidate,8,ok,ok,ok,hold_418,hold_418,ok,ok,ok,ok,7,2
IMXUSDT,midcap_candidate,8,ok,ok,ok,hold_418,hold_418,ok,ok,ok,ok,7,2
INJUSDT,midcap_candidate,8,ok,ok,ok,hold_418,hold_418,ok,ok,ok,ok,7,2
IOTAUSDT,midcap_candidate,8,ok,ok,ok,hold_418,hold_418,ok,ok,ok,ok,7,2
JTOUSDT,midcap_candidate,8,ok,ok,ok,hold_418,hold_418,ok,ok,ok,ok,7,2
JUPUSDT,midcap_candidate,8,hold_404,ok,ok,ok,hold_418,ok,ok,ok,ok,7,2
KSMUSDT,midcap_candidate,8,ok,ok,ok,hold_418,hold_418,ok,ok,ok,ok,7,2
LDOUSDT,midcap_candidate,8,ok,ok,ok,hold_418,hold_418,ok,ok,ok,ok,7,2
LPTUSDT,midcap_candidate,8,ok,ok,ok,hold_418,hold_418,ok,ok,ok,ok,7,2
LQTYUSDT,midcap_candidate,8,ok,ok,ok,hold_418,hold_418,ok,ok,ok,ok,7,2
MEMEUSDT,midcap_candidate,8,ok,ok,ok,hold_418,hold_418,ok,ok,ok,ok,7,2
MINAUSDT,midcap_candidate,8,ok,ok,ok,hold_418,hold_418,ok,ok,ok,ok,7,2
NOTUSDT,midcap_candidate,8,hold_404,ok,ok,ok,hold_418,ok,ok,ok,ok,7,2
ONDOUSDT,midcap_candidate,8,hold_404,ok,ok,ok,hold_418,ok,ok,ok,ok,7,2
OPUSDT,midcap_candidate,8,ok,ok,ok,hold_418,hold_418,ok,ok,ok,ok,7,2
ORDIUSDT,midcap_candidate,8,ok,ok,ok,hold_418,hold_418,ok,ok,ok,ok,7,2
PYTHUSDT,midcap_candidate,8,ok,ok,ok,hold_418,hold_418,ok,ok,ok,ok,7,2
QTUMUSDT,midcap_candidate,8,ok,ok,ok,hold_418,hold_418,ok,ok,ok,ok,7,2
RSRUSDT,midcap_candidate,8,ok,ok,ok,hold_418,hold_418,ok,ok,ok,ok,7,2
RUNEUSDT,midcap_candidate,8,ok,ok,ok,ok,hold_418,hold_200,hold_200,ok,ok,6,3
SANDUSDT,midcap_candidate,8,ok,ok,ok,hold_418,hold_418,ok,ok,ok,ok,7,2
SNXUSDT,midcap_candidate,8,ok,ok,ok,hold_418,hold_418,ok,ok,ok,ok,7,2
SSVUSDT,midcap_candidate,8,ok,ok,ok,hold_418,hold_418,ok,ok,ok,ok,7,2
STRKUSDT,midcap_candidate,8,hold_404,ok,ok,ok,hold_418,ok,ok,ok,ok,7,2
STXUSDT,midcap_candidate,8,ok,ok,ok,hold_418,hold_418,ok,ok,ok,ok,7,2
SUSHIUSDT,midcap_candidate,8,ok,ok,ok,hold_418,hold_418,ok,ok,ok,ok,7,2
TIAUSDT,midcap_candidate,8,ok,ok,ok,hold_418,hold_418,ok,ok,ok,ok,7,2
TRBUSDT,midcap_candidate,8,ok,ok,ok,hold_418,hold_418,ok,ok,ok,ok,7,2
TRXUSDT,midcap_candidate,8,ok,ok,ok,hold_418,hold_418,ok,ok,ok,ok,7,2
WAVESUSDT,midcap_candidate,8,ok,hold_404,hold_404,ok,hold_418,hold_200,hold_200,ok,ok,4,5
XLMUSDT,midcap_candidate,8,ok,ok,ok,hold_418,hold_418,ok,ok,ok,ok,7,2
XTZUSDT,midcap_candidate,8,ok,ok,ok,hold_418,hold_418,ok,ok,ok,ok,7,2
ZILUSDT,midcap_candidate,8,ok,ok,ok,hold_418,hold_418,ok,ok,ok,ok,7,2
ZRXUSDT,midcap_candidate,8,ok,ok,ok,hold_418,hold_418,ok,ok,ok,ok,7,2
EOSUSDT,reject_or_manual_review,4,ok,ok,hold_404,hold_418,hold_418,hold_200,hold_200,hold_200,hold_200,2,7
FTMUSDT,reject_or_manual_review,4,ok,ok,hold_404,hold_418,hold_418,hold_200,hold_200,hold_200,hold_200,2,7
HOOKUSDT,reject_or_manual_review,4,ok,ok,ok,hold_418,hold_418,hold_200,hold_200,hold_200,hold_200,3,6
MANTAUSDT,reject_or_manual_review,4,hold_404,ok,ok,hold_418,hold_418,hold_200,hold_200,ok,ok,4,5
PERPUSDT,reject_or_manual_review,4,ok,ok,ok,hold_418,hold_418,hold_200,hold_200,hold_200,hold_200,3,6
PORTALUSDT,reject_or_manual_review,4,hold_404,ok,ok,hold_418,hold_418,hold_200,hold_200,ok,ok,4,5
RENDERUSDT,reject_or_manual_review,4,hold_404,ok,ok,hold_418,hold_418,hold_200,hold_200,ok,ok,4,5
SAGAUSDT,reject_or_manual_review,4,hold_404,ok,ok,hold_418,hold_418,hold_200,hold_200,ok,ok,4,5
SXPUSDT,reject_or_manual_review,4,ok,ok,ok,hold_418,hold_418,hold_200,hold_200,hold_200,hold_200,3,6
TURBOUSDT,reject_or_manual_review,4,hold_404,ok,ok,hold_418,hold_418,ok,ok,hold_200,hold_200,4,5
PEPEUSDT,reject_or_manual_review,2,hold_404,hold_404,hold_404,hold_400,hold_418,ok,ok,hold_200,hold_200,2,7
COTIUSDT,watchlist_or_new_listing,7,ok,ok,ok,hold_418,ok,hold_200,hold_200,ok,ok,6,3
ENAUSDT,watchlist_or_new_listing,7,hold_404,ok,ok,hold_418,ok,ok,ok,ok,ok,7,2
KASUSDT,watchlist_or_new_listing,7,ok,ok,ok,hold_418,ok,hold_200,hold_200,ok,ok,6,3
NTRNUSDT,watchlist_or_new_listing,7,ok,ok,ok,ok,ok,hold_200,hold_200,hold_200,hold_200,5,4
PIXELUSDT,watchlist_or_new_listing,7,hold_404,ok,ok,ok,ok,hold_200,hold_200,ok,ok,6,3
1000SHIBUSDT,watchlist_or_new_listing,6,ok,ok,ok,hold_418,hold_418,ok,ok,hold_200,hold_200,5,4
AEVOUSDT,watchlist_or_new_listing,6,hold_404,ok,ok,hold_418,hold_418,ok,ok,ok,ok,6,3
AGIXUSDT,watchlist_or_new_listing,6,ok,hold_404,hold_404,ok,hold_418,hold_200,hold_200,hold_200,hold_200,2,7
ALTUSDT,watchlist_or_new_listing,6,hold_404,ok,ok,ok,hold_418,hold_200,hold_200,ok,ok,5,4
ANKRUSDT,watchlist_or_new_listing,6,ok,ok,ok,hold_418,hold_418,hold_200,hold_200,ok,ok,5,4
CAKEUSDT,watchlist_or_new_listing,6,ok,ok,ok,hold_418,hold_418,hold_200,hold_200,ok,ok,5,4
DYMUSDT,watchlist_or_new_listing,6,hold_404,ok,ok,ok,hold_418,hold_200,hold_200,ok,ok,5,4
FETUSDT,watchlist_or_new_listing,6,ok,ok,ok,ok,hold_418,hold_200,hold_200,hold_200,hold_200,4,5
HIGHUSDT,watchlist_or_new_listing,6,ok,ok,ok,hold_418,hold_418,hold_200,hold_200,ok,ok,5,4
IDUSDT,watchlist_or_new_listing,6,ok,ok,ok,hold_418,hold_418,hold_200,hold_200,ok,ok,5,4
KAVAUSDT,watchlist_or_new_listing,6,ok,ok,ok,hold_418,hold_418,hold_200,hold_200,ok,ok,5,4
MEWUSDT,watchlist_or_new_listing,6,hold_404,ok,ok,hold_418,hold_418,ok,ok,ok,ok,6,3
MKRUSDT,watchlist_or_new_listing,6,ok,ok,ok,ok,hold_418,hold_200,hold_200,hold_200,hold_200,4,5
RDNTUSDT,watchlist_or_new_listing,6,ok,ok,ok,ok,hold_418,hold_200,hold_200,hold_200,hold_200,4,5
RLCUSDT,watchlist_or_new_listing,6,ok,ok,ok,hold_418,hold_418,hold_200,hold_200,ok,ok,5,4
ROSEUSDT,watchlist_or_new_listing,6,ok,ok,ok,hold_418,hold_418,hold_200,hold_200,ok,ok,5,4
SKLUSDT,watchlist_or_new_listing,6,ok,ok,ok,hold_418,hold_418,hold_200,hold_200,ok,ok,5,4
TAOUSDT,watchlist_or_new_listing,6,hold_404,ok,ok,hold_418,hold_418,ok,ok,ok,ok,6,3
TONUSDT,watchlist_or_new_listing,6,hold_404,ok,ok,hold_418,hold_418,ok,ok,ok,ok,6,3
VETUSDT,watchlist_or_new_listing,6,ok,ok,ok,hold_418,hold_418,hold_200,hold_200,ok,ok,5,4
WIFUSDT,watchlist_or_new_listing,6,hold_404,ok,ok,hold_418,hold_418,ok,ok,ok,ok,6,3
WUSDT,watchlist_or_new_listing,6,hold_404,ok,ok,hold_418,hold_418,ok,ok,ok,ok,6,3
XMRUSDT,watchlist_or_new_listing,6,ok,ok,ok,hold_418,hold_418,hold_200,hold_200,ok,ok,5,4
OCEANUSDT,watchlist_or_new_listing,5,ok,ok,hold_404,hold_418,ok,hold_200,hold_200,hold_200,hold_200,3,6
OMNIUSDT,watchlist_or_new_listing,5,hold_404,ok,ok,ok,ok,hold_200,hold_200,hold_200,hold_200,4,5
