shard,manifest_path,decision,blockers,missing_numeric_fields,input_blueprint_count,hours_per_split,materialized_activity_ok_count,label_response_rows,non_l7_numeric_clue_rows,rank_label_diagnostic_clue_rows,portfolio_queue_count,selected_portfolio_queue_count,generated_at
s013,G:\AlphaFactory_CryptoData\research_runtime\a7ls10_company_numeric\shard_013\a7ls10_s013_manifest.json,PASS_A7LS10S013_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,,,64,2160,64,1280,16,30,10,6,2026-06-05T17:27:42Z
s014,G:\AlphaFactory_CryptoData\research_runtime\a7ls10_company_numeric\shard_014\a7ls10_s014_manifest.json,PASS_A7LS10S014_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,,,64,2160,64,1280,5,30,14,12,2026-06-05T17:39:04Z
s015,G:\AlphaFactory_CryptoData\research_runtime\a7ls10_company_numeric\shard_015\a7ls10_s015_manifest.json,PASS_A7LS10S015_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,,,64,2160,64,1280,1,5,4,4,2026-06-05T17:50:26Z
s016,G:\AlphaFactory_CryptoData\research_runtime\a7ls10_company_numeric\shard_016\a7ls10_s016_manifest.json,PASS_A7LS10S016_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,,,64,2160,64,1280,29,2,10,7,2026-06-05T18:01:44Z
s017,G:\AlphaFactory_CryptoData\research_runtime\a7ls10_company_numeric\shard_017\a7ls10_s017_manifest.json,PASS_A7LS10S017_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,,,64,2160,64,1280,1,13,8,8,2026-06-05T18:13:00Z
s018,G:\AlphaFactory_CryptoData\research_runtime\a7ls10_company_numeric\shard_018\a7ls10_s018_manifest.json,PASS_A7LS10S018_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,,,64,2160,64,1280,2,8,6,6,2026-06-05T18:24:19Z
s019,G:\AlphaFactory_CryptoData\research_runtime\a7ls10_company_numeric\shard_019\a7ls10_s019_manifest.json,PASS_A7LS10S019_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,,,64,2160,64,1280,17,1,7,7,2026-06-05T18:35:52Z
s020,G:\AlphaFactory_CryptoData\research_runtime\a7ls10_company_numeric\shard_020\a7ls10_s020_manifest.json,PASS_A7LS10S020_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,,,64,2160,64,1280,13,15,10,8,2026-06-05T18:47:22Z
s021,G:\AlphaFactory_CryptoData\research_runtime\a7ls10_company_numeric\shard_021\a7ls10_s021_manifest.json,PASS_A7LS10S021_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,,,64,2160,64,1280,3,5,4,4,2026-06-05T18:58:56Z
s022,G:\AlphaFactory_CryptoData\research_runtime\a7ls10_company_numeric\shard_022\a7ls10_s022_manifest.json,PASS_A7LS10S022_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,,,64,2160,64,1280,4,16,7,5,2026-06-05T19:10:15Z
s023,G:\AlphaFactory_CryptoData\research_runtime\a7ls10_company_numeric\shard_023\a7ls10_s023_manifest.json,PASS_A7LS10S023_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,,,64,2160,64,1280,13,42,18,15,2026-06-05T19:21:32Z
s024,G:\AlphaFactory_CryptoData\research_runtime\a7ls10_company_numeric\shard_024\a7ls10_s024_manifest.json,PASS_A7LS10S024_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,,,64,2160,64,1280,11,49,19,17,2026-06-05T19:32:30Z
s025,G:\AlphaFactory_CryptoData\research_runtime\a7ls10_company_numeric\shard_025\a7ls10_s025_manifest.json,PASS_A7LS10S025_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,,,64,2160,64,1280,6,35,17,17,2026-06-05T19:42:41Z
s026,G:\AlphaFactory_CryptoData\research_runtime\a7ls10_company_numeric\shard_026\a7ls10_s026_manifest.json,PASS_A7LS10S026_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,,,64,2160,64,1280,5,33,15,12,2026-06-05T19:52:32Z
s027,G:\AlphaFactory_CryptoData\research_runtime\a7ls10_company_numeric\shard_027\a7ls10_s027_manifest.json,PASS_A7LS10S027_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,,,64,2160,64,1280,19,40,17,13,2026-06-05T20:02:10Z
s028,G:\AlphaFactory_CryptoData\research_runtime\a7ls10_company_numeric\shard_028\a7ls10_s028_manifest.json,PASS_A7LS10S028_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,,,64,2160,64,1280,10,18,14,12,2026-06-05T20:11:55Z
s029,G:\AlphaFactory_CryptoData\research_runtime\a7ls10_company_numeric\shard_029\a7ls10_s029_manifest.json,PASS_A7LS10S029_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,,,64,2160,64,1280,10,17,11,8,2026-06-05T20:21:24Z
s030,G:\AlphaFactory_CryptoData\research_runtime\a7ls10_company_numeric\shard_030\a7ls10_s030_manifest.json,PASS_A7LS10S030_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,,,64,2160,64,1280,2,36,15,13,2026-06-05T20:31:20Z
s031,G:\AlphaFactory_CryptoData\research_runtime\a7ls10_company_numeric\shard_031\a7ls10_s031_manifest.json,PASS_A7LS10S031_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,,,64,2160,64,1280,7,86,29,15,2026-06-05T20:41:10Z
s032,G:\AlphaFactory_CryptoData\research_runtime\a7ls10_company_numeric\shard_032\a7ls10_s032_manifest.json,PASS_A7LS10S032_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,,,64,2160,64,1280,7,93,31,20,2026-06-05T20:51:00Z
s033,G:\AlphaFactory_CryptoData\research_runtime\a7ls10_company_numeric\shard_033\a7ls10_s033_manifest.json,PASS_A7LS10S033_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,,,64,2160,64,1280,15,8,5,5,2026-06-05T21:00:44Z
s034,G:\AlphaFactory_CryptoData\research_runtime\a7ls10_company_numeric\shard_034\a7ls10_s034_manifest.json,HOLD_A7LS10S034_PORTFOLIO_QUEUE_TOO_SMALL,portfolio_selected_lt_4,,64,2160,64,1280,6,3,4,2,2026-06-05T21:10:29Z
s035,G:\AlphaFactory_CryptoData\research_runtime\a7ls10_company_numeric\shard_035\a7ls10_s035_manifest.json,HOLD_A7LS10S035_MISSING_FIELDS,missing_numeric_fields,quote_volume,64,2160,0,0,0,0,0,0,2026-06-05T21:10:40Z
s036,G:\AlphaFactory_CryptoData\research_runtime\a7ls10_company_numeric\shard_036\a7ls10_s036_manifest.json,HOLD_A7LS10S036_MISSING_FIELDS,missing_numeric_fields,quote_volume,64,2160,0,0,0,0,0,0,2026-06-05T21:10:55Z
s037,G:\AlphaFactory_CryptoData\research_runtime\a7ls10_company_numeric\shard_037\a7ls10_s037_manifest.json,PASS_A7LS10S037_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,,,64,2160,64,1280,8,61,22,13,2026-06-05T21:20:47Z
s038,G:\AlphaFactory_CryptoData\research_runtime\a7ls10_company_numeric\shard_038\a7ls10_s038_manifest.json,PASS_A7LS10S038_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,,,64,2160,64,1280,11,89,30,20,2026-06-05T21:30:36Z
s039,G:\AlphaFactory_CryptoData\research_runtime\a7ls10_company_numeric\shard_039\a7ls10_s039_manifest.json,PASS_A7LS10S039_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,,,16,2160,16,320,30,46,13,7,2026-06-05T21:33:12Z
