feature,full_only,raw_non_null_rate,infer_non_null_rate,learn_non_null_rate,raw_variance,learn_variance,mean_within_symbol_time_variance,fraction_dates_with_cross_sectional_variance,raw_unique_values
QTLD30,True,1.0,1.0,1.0,0.016231810674071312,0.0163368321955204,0.01554010808467865,0.9945054945054945,1805
QTLD60,True,1.0,1.0,1.0,0.029184792190790176,0.029308602213859558,0.0271148681640625,0.9945054945054945,1803
RANK5,True,1.0,1.0,1.0,0.09612569212913513,0.09612171351909637,0.09531185030937195,0.9560439560439561,10
RANK10,True,1.0,1.0,1.0,0.10564424842596054,0.10565654933452606,0.10453309863805771,0.9615384615384616,25
RANK20,True,1.0,1.0,1.0,0.107316754758358,0.10772756487131119,0.10490149259567261,0.9945054945054945,76
RANK30,True,1.0,1.0,1.0,0.11149968206882477,0.11167337000370026,0.10787735879421234,0.9945054945054945,136
RANK60,True,1.0,1.0,1.0,0.11052427440881729,0.11024390906095505,0.10280144214630127,0.9945054945054945,319
RSV5,True,1.0,1.0,1.0,0.06695408374071121,0.06707056611776352,0.06617795675992966,1.0,1820
RSV10,True,1.0,1.0,1.0,0.06344881653785706,0.06356274336576462,0.06229984015226364,1.0,1820
RSV20,True,1.0,1.0,1.0,0.060944829136133194,0.061111584305763245,0.05907408520579338,1.0,1819
RSV30,True,1.0,1.0,1.0,0.0624847374856472,0.062342569231987,0.059278953820466995,1.0,1818
RSV60,True,1.0,1.0,1.0,0.06398014724254608,0.06384282559156418,0.05729163438081741,1.0,1809
IMAX5,True,1.0,1.0,1.0,0.1031477302312851,0.10361267626285553,0.10246709734201431,0.9560439560439561,5
IMAX10,True,1.0,1.0,1.0,0.1130470335483551,0.1129065752029419,0.11204411089420319,0.967032967032967,10
IMAX20,True,1.0,1.0,1.0,0.1161220371723175,0.11594942957162857,0.11377920210361481,0.978021978021978,20
IMAX30,True,1.0,1.0,1.0,0.11863593012094498,0.11916715651750565,0.11451330035924911,0.9835164835164835,30
IMAX60,True,1.0,1.0,1.0,0.11864393949508667,0.11972185969352722,0.11174426972866058,0.989010989010989,60
IMIN5,True,1.0,1.0,1.0,0.0951186791062355,0.0948941707611084,0.094322070479393,0.7967032967032966,5
IMIN10,True,1.0,1.0,1.0,0.10183369368314743,0.1026337519288063,0.10000858455896378,0.8626373626373627,10
IMIN20,True,1.0,1.0,1.0,0.09986032545566559,0.10025305300951004,0.09668046981096268,0.8681318681318682,20
IMIN30,True,1.0,1.0,1.0,0.09617950022220612,0.09554070979356766,0.09294433146715164,0.9230769230769231,30
IMIN60,True,1.0,1.0,1.0,0.07861088216304779,0.07667218893766403,0.07256297767162323,0.967032967032967,60
IMXD5,True,1.0,1.0,1.0,0.2765856981277466,0.27677521109580994,0.273826539516449,0.978021978021978,9
IMXD10,True,1.0,1.0,1.0,0.30323541164398193,0.3046382963657379,0.2984722852706909,0.989010989010989,19
IMXD20,True,1.0,1.0,1.0,0.2785269021987915,0.27779465913772583,0.2712699770927429,0.9945054945054945,39
IMXD30,True,1.0,1.0,1.0,0.27956119179725647,0.2781262695789337,0.2693900465965271,0.9945054945054945,58
IMXD60,True,1.0,1.0,1.0,0.2283596694469452,0.22733601927757263,0.20582298934459686,0.9945054945054945,93
CORR5,True,0.9945054945054945,0.9945054945054945,0.9944444444444445,0.35031843185424805,0.3520236015319824,0.3436978757381439,0.9945054945054945,1802
CORR10,True,0.9945054945054945,0.9945054945054945,0.9944444444444445,0.21892695128917694,0.21976548433303833,0.21322336792945862,0.9945054945054945,1802
CORR20,True,0.9945054945054945,0.9945054945054945,0.9944444444444445,0.1626143604516983,0.16375675797462463,0.1529330313205719,0.9945054945054945,1802
CORR30,True,0.9945054945054945,0.9945054945054945,0.9944444444444445,0.13243232667446136,0.13230285048484802,0.11860083043575287,0.9945054945054945,1802
CORR60,True,0.9945054945054945,0.9945054945054945,0.9944444444444445,0.10076116770505905,0.101515993475914,0.08457760512828827,0.9945054945054945,1802
CORD5,True,0.989010989010989,0.989010989010989,0.9888888888888889,0.3311108350753784,0.33210644125938416,0.32225537300109863,0.989010989010989,1792
CORD10,True,0.989010989010989,0.989010989010989,0.9888888888888889,0.220445454120636,0.2206372171640396,0.21114036440849304,0.989010989010989,1792
CORD20,True,0.989010989010989,0.989010989010989,0.9888888888888889,0.15971621870994568,0.15893839299678802,0.14833077788352966,0.989010989010989,1792
CORD30,True,0.989010989010989,0.989010989010989,0.9888888888888889,0.12158071994781494,0.12069138884544373,0.10803188383579254,0.989010989010989,1792
CORD60,True,0.989010989010989,0.989010989010989,0.9888888888888889,0.07381214201450348,0.07431656867265701,0.055362552404403687,0.989010989010989,1792
CNTP5,True,1.0,1.0,1.0,0.04774612560868263,0.04803340509533882,0.047071948647499084,0.9945054945054945,9
CNTP10,True,1.0,1.0,1.0,0.024652542546391487,0.024764850735664368,0.02396712824702263,0.9945054945054945,20
CNTP20,True,1.0,1.0,1.0,0.015653343871235847,0.01574590802192688,0.014922074973583221,0.9945054945054945,50
CNTP30,True,1.0,1.0,1.0,0.0131651870906353,0.013282044790685177,0.01241639070212841,0.9945054945054945,85
CNTP60,True,1.0,1.0,1.0,0.00997635442763567,0.010061568580567837,0.009201481007039547,0.9945054945054945,206
CNTN5,True,1.0,1.0,1.0,0.04592137783765793,0.0461873784661293,0.04524732008576393,0.9945054945054945,10
CNTN10,True,1.0,1.0,1.0,0.02184736728668213,0.021903021261096,0.021161852404475212,0.9945054945054945,20
CNTN20,True,1.0,1.0,1.0,0.012646188959479332,0.012671513482928276,0.011914760805666447,0.9945054945054945,49
CNTN30,True,1.0,1.0,1.0,0.009967170655727386,0.0100281136110425,0.009218244813382626,0.9945054945054945,82
CNTN60,True,1.0,1.0,1.0,0.006737696006894112,0.006764497607946396,0.005962791852653027,0.9945054945054945,208
CNTD5,True,1.0,1.0,1.0,0.17944897711277008,0.18047218024730682,0.17675411701202393,0.9945054945054945,14
CNTD10,True,1.0,1.0,1.0,0.08474277704954147,0.08499036729335785,0.08200176060199738,0.9945054945054945,28
CNTD20,True,1.0,1.0,1.0,0.048219747841358185,0.04836612939834595,0.045294322073459625,0.9945054945054945,58
CNTD30,True,1.0,1.0,1.0,0.0378890261054039,0.03815687820315361,0.034893132746219635,0.9945054945054945,107
CNTD60,True,1.0,1.0,1.0,0.025142107158899307,0.025281719863414764,0.022042442113161087,0.9945054945054945,261
SUMP5,True,0.9945054945054945,0.9945054945054945,0.9944444444444445,0.07342948019504547,0.07388915121555328,0.07221231609582901,0.9945054945054945,1725
SUMP10,True,0.9945054945054945,0.9945054945054945,0.9944444444444445,0.03963130712509155,0.039926376193761826,0.038432542234659195,0.9945054945054945,1793
SUMP20,True,0.9945054945054945,0.9945054945054945,0.9944444444444445,0.025388186797499657,0.02546003833413124,0.024146899580955505,0.9945054945054945,1795
SUMP30,True,0.9945054945054945,0.9945054945054945,0.9944444444444445,0.019310493022203445,0.019368380308151245,0.01790612004697323,0.9945054945054945,1793
SUMP60,True,0.9945054945054945,0.9945054945054945,0.9944444444444445,0.012864110060036182,0.012986920773983002,0.011327071115374565,0.9945054945054945,1794
SUMN5,True,0.9945054945054945,0.9945054945054945,0.9944444444444445,0.07342950254678726,0.07388915121555328,0.07221231609582901,0.9945054945054945,1725
SUMN10,True,0.9945054945054945,0.9945054945054945,0.9944444444444445,0.03963131457567215,0.03992638364434242,0.038432542234659195,0.9945054945054945,1793
SUMN20,True,0.9945054945054945,0.9945054945054945,0.9944444444444445,0.025388184934854507,0.02546003833413124,0.024146895855665207,0.9945054945054945,1795
SUMN30,True,0.9945054945054945,0.9945054945054945,0.9944444444444445,0.01931048184633255,0.019368382170796394,0.017906123772263527,0.9945054945054945,1793
SUMN60,True,0.9945054945054945,0.9945054945054945,0.9944444444444445,0.012864111922681332,0.012986917048692703,0.011327071115374565,0.9945054945054945,1795
SUMD5,True,0.9945054945054945,0.9945054945054945,0.9944444444444445,0.2937179207801819,0.29555651545524597,0.2888492941856384,0.9945054945054945,1725
SUMD10,True,0.9945054945054945,0.9945054945054945,0.9944444444444445,0.1585252434015274,0.1597055047750473,0.1537301391363144,0.9945054945054945,1795
SUMD20,True,0.9945054945054945,0.9945054945054945,0.9944444444444445,0.10155276209115982,0.10184016823768616,0.09658758342266083,0.9945054945054945,1795
SUMD30,True,0.9945054945054945,0.9945054945054945,0.9944444444444445,0.07724196463823318,0.07747350633144379,0.07162448018789291,0.9945054945054945,1794
SUMD60,True,0.9945054945054945,0.9945054945054945,0.9944444444444445,0.05145642161369324,0.051947686821222305,0.04530828073620796,0.9945054945054945,1795
VMA5,True,1.0,1.0,1.0,0.21569731831550598,0.21449103951454163,0.21510560810565948,0.9945054945054945,1811
VMA10,True,1.0,1.0,1.0,0.2735842168331146,0.2712130546569824,0.27253860235214233,0.9945054945054945,1810
VMA20,True,1.0,1.0,1.0,0.3791438043117523,0.37314632534980774,0.3767389953136444,0.9945054945054945,1811
VMA30,True,1.0,1.0,1.0,0.4333518445491791,0.42843949794769287,0.42944416403770447,0.9945054945054945,1811
VMA60,True,1.0,1.0,1.0,0.6200050711631775,0.613018810749054,0.6065093278884888,0.9945054945054945,1811
VSTD5,True,0.9945054945054945,0.9945054945054945,0.9944444444444445,0.07666506618261337,0.07690546661615372,0.07525738328695297,0.9945054945054945,1810
VSTD10,True,0.9945054945054945,0.9945054945054945,0.9944444444444445,0.09084121882915497,0.09046712517738342,0.08817104995250702,0.9945054945054945,1810
VSTD20,True,0.9945054945054945,0.9945054945054945,0.9944444444444445,0.1278097778558731,0.12584029138088226,0.12206337600946426,0.9945054945054945,1809
VSTD30,True,0.9945054945054945,0.9945054945054945,0.9944444444444445,0.1454843282699585,0.14325380325317383,0.13714401423931122,0.9945054945054945,1810
VSTD60,True,0.9945054945054945,0.9945054945054945,0.9944444444444445,0.22222256660461426,0.22033683955669403,0.2008250504732132,0.9945054945054945,1810
WVMA5,True,0.989010989010989,0.989010989010989,0.9888888888888889,0.09916865825653076,0.09933340549468994,0.09453807771205902,0.989010989010989,1800
WVMA10,True,0.989010989010989,0.989010989010989,0.9888888888888889,0.10877276211977005,0.10864235460758209,0.10013800859451294,0.989010989010989,1800
WVMA20,True,0.989010989010989,0.989010989010989,0.9888888888888889,0.16382598876953125,0.16478396952152252,0.14283064007759094,0.989010989010989,1800
WVMA30,True,0.989010989010989,0.989010989010989,0.9888888888888889,0.23052743077278137,0.2322407364845276,0.1905040144920349,0.989010989010989,1799
WVMA60,True,0.989010989010989,0.989010989010989,0.9888888888888889,0.40112245082855225,0.40383073687553406,0.2815028131008148,0.989010989010989,1800
VSUMP5,True,0.9945054945054945,0.9945054945054945,0.9944444444444445,0.04311848804354668,0.04289830103516579,0.04305713623762131,0.9835164835164835,1758
VSUMP10,True,0.9945054945054945,0.9945054945054945,0.9944444444444445,0.015205742791295052,0.015327160246670246,0.015183319337666035,0.9835164835164835,1791
VSUMP20,True,0.9945054945054945,0.9945054945054945,0.9944444444444445,0.006337830331176519,0.006388413719832897,0.006322587374597788,0.9835164835164835,1790
VSUMP30,True,0.9945054945054945,0.9945054945054945,0.9944444444444445,0.004881761502474546,0.00493005383759737,0.0048684896901249886,0.9835164835164835,1791
VSUMP60,True,0.9945054945054945,0.9945054945054945,0.9944444444444445,0.003751910524442792,0.003778453217819333,0.0037353732623159885,0.9835164835164835,1789
VSUMN5,True,0.9945054945054945,0.9945054945054945,0.9944444444444445,0.043118495494127274,0.042898308485746384,0.04305713623762131,0.9835164835164835,1758
VSUMN10,True,0.9945054945054945,0.9945054945054945,0.9944444444444445,0.015205742791295052,0.015327158384025097,0.015183317475020885,0.9835164835164835,1791
VSUMN20,True,0.9945054945054945,0.9945054945054945,0.9944444444444445,0.006337829865515232,0.006388415116816759,0.006322585046291351,0.9835164835164835,1791
VSUMN30,True,0.9945054945054945,0.9945054945054945,0.9944444444444445,0.004881761036813259,0.00493005383759737,0.004868487361818552,0.9835164835164835,1791
VSUMN60,True,0.9945054945054945,0.9945054945054945,0.9944444444444445,0.003751910524442792,0.0037784536834806204,0.0037353713996708393,0.9835164835164835,1790
VSUMD5,True,0.9945054945054945,0.9945054945054945,0.9944444444444445,0.1724739521741867,0.1715932935476303,0.17222855985164642,0.9835164835164835,1758
VSUMD10,True,0.9945054945054945,0.9945054945054945,0.9944444444444445,0.06082296743988991,0.06130865216255188,0.06073326990008354,0.9835164835164835,1791
VSUMD20,True,0.9945054945054945,0.9945054945054945,0.9944444444444445,0.025351321324706078,0.02555365301668644,0.025290340185165405,0.9835164835164835,1791
VSUMD30,True,0.9945054945054945,0.9945054945054945,0.9944444444444445,0.01952706277370453,0.019720209762454033,0.019473951309919357,0.9835164835164835,1791
VSUMD60,True,0.9945054945054945,0.9945054945054945,0.9944444444444445,0.01500764675438404,0.015113812871277332,0.014941486530005932,0.9835164835164835,1791
