variant,feature,split_importance,gain_importance
FULL_ALPHA158,VSTD10,0,0.0
FULL_ALPHA158,VSTD20,0,0.0
FULL_ALPHA158,VSTD30,1,12.046500205993652
FULL_ALPHA158,VSTD60,0,0.0
FULL_ALPHA158,WVMA5,0,0.0
FULL_ALPHA158,WVMA10,0,0.0
FULL_ALPHA158,WVMA20,0,0.0
FULL_ALPHA158,WVMA30,0,0.0
FULL_ALPHA158,WVMA60,1,7.433430194854736
FULL_ALPHA158,VSUMP5,0,0.0
FULL_ALPHA158,VSUMP10,0,0.0
FULL_ALPHA158,VSUMP20,1,12.995699882507324
FULL_ALPHA158,VSUMP30,0,0.0
FULL_ALPHA158,VSUMP60,0,0.0
FULL_ALPHA158,VSUMN5,0,0.0
FULL_ALPHA158,VSUMN10,0,0.0
FULL_ALPHA158,VSUMN20,0,0.0
FULL_ALPHA158,VSUMN30,0,0.0
FULL_ALPHA158,VSUMN60,0,0.0
FULL_ALPHA158,VSUMD5,1,4.537220001220703
FULL_ALPHA158,VSUMD10,0,0.0
FULL_ALPHA158,VSUMD20,0,0.0
FULL_ALPHA158,VSUMD30,1,7.681719779968262
FULL_ALPHA158,VSUMD60,0,0.0
FIRST_13_CONTROL,KMID,1,7.255209922790527
FIRST_13_CONTROL,KLEN,1,0.9630690217018127
FIRST_13_CONTROL,KMID2,0,0.0
FIRST_13_CONTROL,KUP,3,11.02012014389038
FIRST_13_CONTROL,KUP2,3,21.770009994506836
FIRST_13_CONTROL,KLOW,1,4.5329999923706055
FIRST_13_CONTROL,KLOW2,2,5.515039920806885
FIRST_13_CONTROL,KSFT,2,13.644539833068848
FIRST_13_CONTROL,KSFT2,2,7.252770185470581
FIRST_13_CONTROL,OPEN0,0,0.0
FIRST_13_CONTROL,HIGH0,0,0.0
FIRST_13_CONTROL,LOW0,1,5.044879913330078
FIRST_13_CONTROL,VWAP0,1,2.990959882736206
