second_pass_family,left_field,left_family,right_field,right_family,left_transform,right_transform,operator,blueprint_id,label_family,label_horizon_h,orientation_from_train,premay_positive_split_count,premay_all_positive,control_ratio_premay_max,one_bar_lag_recent_oriented,lag_ok,second_pass_candidate,near_miss,decision,train_2024_n,train_2024_mean_spread,train_2024_tstat,train_2024_nonoverlap_median_tstat,train_2024_nonoverlap_min_tstat,train_2024_positive_rate,validation_2025H1_n,validation_2025H1_mean_spread,validation_2025H1_tstat,validation_2025H1_nonoverlap_median_tstat,validation_2025H1_nonoverlap_min_tstat,validation_2025H1_positive_rate,test_2025H2_n,test_2025H2_mean_spread,test_2025H2_tstat,test_2025H2_nonoverlap_median_tstat,test_2025H2_nonoverlap_min_tstat,test_2025H2_positive_rate,recent_oos_2026JanApr_n,recent_oos_2026JanApr_mean_spread,recent_oos_2026JanApr_tstat,recent_oos_2026JanApr_nonoverlap_median_tstat,recent_oos_2026JanApr_nonoverlap_min_tstat,recent_oos_2026JanApr_positive_rate,avg_n_obs_recent,error
H3_cross_family_bridge,top_long_short_position_ratio_last,positioning,open_interest_last,open_interest,spread_short_long,zscore_168h,SafeDiv,core16he_H3_cross_family_bridge_top_long_short_position_ratio_last_spread_short_long_SafeDiv_open_interest_last_zscore_168h,L5_vol_adjusted_return,1,1.0,2,False,2.807692816102498,0.017261431612890222,True,False,False,HOLD_A7FFCORE16HE_PREMAY_UNSTABLE,695,0.012565889125643577,1.3462684735801933,1.3462684735801933,1.3462684735801933,0.5179856115107914,719,0.020176195081172136,2.3204037733958547,2.3204037733958547,2.3204037733958547,0.5354659248956884,719,-0.007190901900109233,-0.7167069218265194,-0.7167069218265194,-0.7167069218265194,0.49235048678720444,719,0.019784944910304886,1.2847086883143777,1.2847086883143777,1.2847086883143777,0.4993045897079277,95.86666666666666,
H3_cross_family_bridge,top_long_short_position_ratio_last,positioning,open_interest_last,open_interest,spread_short_long,zscore_168h,SafeDiv,core16he_H3_cross_family_bridge_top_long_short_position_ratio_last_spread_short_long_SafeDiv_open_interest_last_zscore_168h,L0_raw_forward_return,4,1.0,2,False,8.2536584212033,0.001376368140753434,True,False,False,HOLD_A7FFCORE16HE_PREMAY_UNSTABLE,692,0.000539807404068694,1.859636101617043,0.9847733682736852,0.38869668055719525,0.49421965317919075,716,0.00046374988315858837,3.268900222365542,1.5948304362247634,0.9468915939252958,0.5684357541899442,716,-0.00010047494220474206,-0.5340385092808508,-0.13619134097446836,-0.9540667383837586,0.4860335195530726,716,0.001276665073495308,3.4570372573363004,1.6598725460400314,1.422033273527757,0.5572625698324022,95.46666666666667,
H3_cross_family_bridge,top_long_short_position_ratio_last,positioning,open_interest_last,open_interest,spread_short_long,zscore_168h,SafeDiv,core16he_H3_cross_family_bridge_top_long_short_position_ratio_last_spread_short_long_SafeDiv_open_interest_last_zscore_168h,L1_cross_sectional_relative_return,4,1.0,2,False,8.253658421203292,0.0013763681407534343,True,False,False,HOLD_A7FFCORE16HE_PREMAY_UNSTABLE,692,0.000539807404068694,1.859636101617043,0.9847733682736854,0.38869668055719525,0.49421965317919075,716,0.0004637498831585882,3.2689002223655406,1.594830436224763,0.9468915939252955,0.5684357541899442,716,-0.00010047494220474218,-0.5340385092808514,-0.1361913409744684,-0.9540667383837588,0.4860335195530726,716,0.0012766650734953079,3.4570372573362995,1.6598725460400314,1.4220332735277565,0.5572625698324022,95.46666666666667,
H3_cross_family_bridge,top_long_short_position_ratio_last,positioning,open_interest_last,open_interest,spread_short_long,zscore_168h,SafeDiv,core16he_H3_cross_family_bridge_top_long_short_position_ratio_last_spread_short_long_SafeDiv_open_interest_last_zscore_168h,L3_liquidity_tier_relative_return,4,1.0,2,False,4.7682900934836185,0.00112473774622877,True,False,False,HOLD_A7FFCORE16HE_PREMAY_UNSTABLE,692,0.0006169459385843791,2.1502127954558676,1.0657476708315203,0.6527999071807972,0.5130057803468208,716,0.0005506901460277794,4.028294063694082,1.7886786411431181,1.431215146791,0.5726256983240223,716,-0.000152214403163479,-0.8184419798837278,-0.35863127228729796,-0.9489038969264522,0.49441340782122906,716,0.0009841229791848897,2.9570400258276632,1.4284057656547469,1.1787753705090278,0.5628491620111732,95.46666666666667,
H3_cross_family_bridge,top_long_short_position_ratio_last,positioning,open_interest_last,open_interest,spread_short_long,zscore_168h,SafeDiv,core16he_H3_cross_family_bridge_top_long_short_position_ratio_last_spread_short_long_SafeDiv_open_interest_last_zscore_168h,L5_vol_adjusted_return,4,1.0,2,False,5.171145097823271,0.08529089226779407,True,False,False,HOLD_A7FFCORE16HE_PREMAY_UNSTABLE,692,0.033369380864403296,1.8319420189682092,0.9699989624424694,0.5293682606961073,0.5072254335260116,716,0.055151731511796115,3.3667384298723766,1.771252159230773,0.9166775904188164,0.5446927374301676,716,-0.016698295257746097,-0.8521565175739552,-0.3788261654393352,-0.8092479566397143,0.49162011173184356,716,0.07946964082874508,2.727482171534327,1.3159480994836728,0.8887991713097393,0.5446927374301676,95.46666666666667,
H3_cross_family_bridge,top_long_short_position_ratio_last,positioning,open_interest_last,open_interest,spread_short_long,zscore_168h,SafeDiv,core16he_H3_cross_family_bridge_top_long_short_position_ratio_last_spread_short_long_SafeDiv_open_interest_last_zscore_168h,L0_raw_forward_return,8,1.0,3,True,8.709558573390229,0.0025477389982723523,True,False,False,HOLD_A7FFCORE16HE_CONTROL_LIKE,688,0.0008970391924778773,2.373981791894974,0.893450205141251,-0.15048594560818712,0.5218023255813954,712,0.001057173950912246,5.058317136945474,1.75397424423707,1.1353884701527288,0.5702247191011236,712,0.00013166186752179416,0.4570712171088985,0.192404499512604,-0.7027240881069534,0.4803370786516854,712,0.0025615939947345586,5.318670761104697,1.9907832220785173,1.0928258799036796,0.5955056179775281,94.93333333333334,
H3_cross_family_bridge,top_long_short_position_ratio_last,positioning,open_interest_last,open_interest,spread_short_long,zscore_168h,SafeDiv,core16he_H3_cross_family_bridge_top_long_short_position_ratio_last_spread_short_long_SafeDiv_open_interest_last_zscore_168h,L1_cross_sectional_relative_return,8,1.0,3,True,8.70955857339023,0.0025477389982723514,True,False,False,HOLD_A7FFCORE16HE_CONTROL_LIKE,688,0.0008970391924778773,2.3739817918949737,0.893450205141251,-0.15048594560818712,0.5218023255813954,712,0.001057173950912246,5.058317136945474,1.7539742442370698,1.1353884701527293,0.5702247191011236,712,0.00013166186752179416,0.4570712171088985,0.1924044995126038,-0.7027240881069534,0.4803370786516854,712,0.002561593994734558,5.318670761104695,1.9907832220785164,1.0928258799036794,0.5955056179775281,94.93333333333334,
H3_cross_family_bridge,top_long_short_position_ratio_last,positioning,open_interest_last,open_interest,spread_short_long,zscore_168h,SafeDiv,core16he_H3_cross_family_bridge_top_long_short_position_ratio_last_spread_short_long_SafeDiv_open_interest_last_zscore_168h,L3_liquidity_tier_relative_return,8,1.0,3,True,48.31117800284465,0.002130405527008496,True,False,False,HOLD_A7FFCORE16HE_CONTROL_LIKE,688,0.0011006868791109418,2.962581069554381,1.0593395695512042,0.017693488474254105,0.5436046511627907,712,0.0011652694557983522,5.8999593205514405,2.14439486963994,1.303937435069778,0.5870786516853933,712,2.086347841998171e-05,0.07397735428574617,0.039337046616344004,-0.7622856715013107,0.48735955056179775,712,0.002110031461204486,4.927429521665843,1.7219304657258285,0.9043685214886796,0.5955056179775281,94.93333333333334,
H3_cross_family_bridge,top_long_short_position_ratio_last,positioning,open_interest_last,open_interest,spread_short_long,zscore_168h,SafeDiv,core16he_H3_cross_family_bridge_top_long_short_position_ratio_last_spread_short_long_SafeDiv_open_interest_last_zscore_168h,L5_vol_adjusted_return,8,1.0,3,True,24.382021105183767,0.12318831473899622,True,False,False,HOLD_A7FFCORE16HE_CONTROL_LIKE,688,0.052275953528029544,2.1504919590276295,0.7713589524525386,-0.0021208929132788636,0.5276162790697675,712,0.10543091562726543,4.591696700231771,1.5924514339658262,1.1568008593799912,0.5660112359550562,712,0.005336374830228633,0.15653947792006415,0.12527815226878505,-0.6529799922839555,0.49859550561797755,712,0.13547784004972915,3.2817961674687903,1.1143072478453946,0.8836821973306626,0.5716292134831461,94.93333333333334,
H3_cross_family_bridge,top_long_short_position_ratio_last,positioning,open_interest_last,open_interest,spread_short_long,zscore_168h,SafeDiv,core16he_H3_cross_family_bridge_top_long_short_position_ratio_last_spread_short_long_SafeDiv_open_interest_last_zscore_168h,L0_raw_forward_return,24,1.0,3,True,3.346605953076949,0.0070164264905936986,True,False,False,HOLD_A7FFCORE16HE_CONTROL_LIKE,672,0.0021240366063244457,3.7323856196792344,0.8480756064537188,-1.0492128766146827,0.5416666666666666,696,0.0017295081868885813,5.233887380273194,1.1602535539763372,-0.39248966457722545,0.5675287356321839,696,0.0006998416440288857,1.290041589287861,0.2514976476263934,-0.773320084444259,0.5014367816091954,696,0.006971316086145614,8.41934140908251,1.639863737043255,0.5750285837681858,0.6522988505747126,92.8,
