control_id,base_candidate_id,control_mode,control_class,expression,production_family,horizon,availability_mask,uses_same_mask_as_candidate,feature_available_lag_bars,promotable,allowed_in_a7v5_replay,block_reason,decision
a7v3_rolling_self_reproduction_12_9fa317374c73__blocked_no_agg_mask_1b3c1eb1,a7v3_rolling_self_reproduction_12_9fa317374c73,no_agg_mask,blocked_before_replay,"Decay(agg_notional_1k_10k,4)",rolling_self_reproduction,12,,False,4,False,False,agg candidates must require agg_features_available,A7V4_BLOCKED_EXPECTED_CONTROL
a7v3_rolling_self_reproduction_12_9fa317374c73__blocked_zero_fill_core12_rank_041697f4,a7v3_rolling_self_reproduction_12_9fa317374c73,zero_fill_core12_rank,blocked_before_replay,"CrossSymbolRank(ZeroFill(Decay(agg_notional_1k_10k,4)))",rolling_self_reproduction,12,agg_features_available,True,4,False,False,missing agg rows cannot be converted into core12 zero-fill cross-sectional ranks,A7V4_BLOCKED_EXPECTED_CONTROL
a7v3_rolling_self_reproduction_12_9fa317374c73__blocked_same_hour_execution_lag0_8892a4a4,a7v3_rolling_self_reproduction_12_9fa317374c73,same_hour_execution_lag0,blocked_before_replay,"Decay(agg_notional_1k_10k,4)",rolling_self_reproduction,12,agg_features_available,True,0,False,False,same-hour close execution is forbidden for hourly aggTrades features,A7V4_BLOCKED_EXPECTED_CONTROL
a7v3_rolling_self_reproduction_12_e7538e540549__blocked_no_agg_mask_f33cc7b8,a7v3_rolling_self_reproduction_12_e7538e540549,no_agg_mask,blocked_before_replay,"Decay(agg_notional_gt_1m,4)",rolling_self_reproduction,12,,False,4,False,False,agg candidates must require agg_features_available,A7V4_BLOCKED_EXPECTED_CONTROL
a7v3_rolling_self_reproduction_12_e7538e540549__blocked_zero_fill_core12_rank_a4678c1e,a7v3_rolling_self_reproduction_12_e7538e540549,zero_fill_core12_rank,blocked_before_replay,"CrossSymbolRank(ZeroFill(Decay(agg_notional_gt_1m,4)))",rolling_self_reproduction,12,agg_features_available,True,4,False,False,missing agg rows cannot be converted into core12 zero-fill cross-sectional ranks,A7V4_BLOCKED_EXPECTED_CONTROL
a7v3_rolling_self_reproduction_12_e7538e540549__blocked_same_hour_execution_lag0_e4e99c60,a7v3_rolling_self_reproduction_12_e7538e540549,same_hour_execution_lag0,blocked_before_replay,"Decay(agg_notional_gt_1m,4)",rolling_self_reproduction,12,agg_features_available,True,0,False,False,same-hour close execution is forbidden for hourly aggTrades features,A7V4_BLOCKED_EXPECTED_CONTROL
a7v3_rolling_self_reproduction_12_df2cbf21af24__blocked_no_agg_mask_44e03b4a,a7v3_rolling_self_reproduction_12_df2cbf21af24,no_agg_mask,blocked_before_replay,"Decay(agg_notional_le_100,4)",rolling_self_reproduction,12,,False,4,False,False,agg candidates must require agg_features_available,A7V4_BLOCKED_EXPECTED_CONTROL
a7v3_rolling_self_reproduction_12_df2cbf21af24__blocked_zero_fill_core12_rank_1709f3af,a7v3_rolling_self_reproduction_12_df2cbf21af24,zero_fill_core12_rank,blocked_before_replay,"CrossSymbolRank(ZeroFill(Decay(agg_notional_le_100,4)))",rolling_self_reproduction,12,agg_features_available,True,4,False,False,missing agg rows cannot be converted into core12 zero-fill cross-sectional ranks,A7V4_BLOCKED_EXPECTED_CONTROL
a7v3_rolling_self_reproduction_12_df2cbf21af24__blocked_same_hour_execution_lag0_e16120dd,a7v3_rolling_self_reproduction_12_df2cbf21af24,same_hour_execution_lag0,blocked_before_replay,"Decay(agg_notional_le_100,4)",rolling_self_reproduction,12,agg_features_available,True,0,False,False,same-hour close execution is forbidden for hourly aggTrades features,A7V4_BLOCKED_EXPECTED_CONTROL
a7v3_rolling_self_reproduction_12_dd3b78a80285__blocked_no_agg_mask_32fc2bc4,a7v3_rolling_self_reproduction_12_dd3b78a80285,no_agg_mask,blocked_before_replay,"Decay(agg_quantity,4)",rolling_self_reproduction,12,,False,4,False,False,agg candidates must require agg_features_available,A7V4_BLOCKED_EXPECTED_CONTROL
a7v3_rolling_self_reproduction_12_dd3b78a80285__blocked_zero_fill_core12_rank_48420cf6,a7v3_rolling_self_reproduction_12_dd3b78a80285,zero_fill_core12_rank,blocked_before_replay,"CrossSymbolRank(ZeroFill(Decay(agg_quantity,4)))",rolling_self_reproduction,12,agg_features_available,True,4,False,False,missing agg rows cannot be converted into core12 zero-fill cross-sectional ranks,A7V4_BLOCKED_EXPECTED_CONTROL
a7v3_rolling_self_reproduction_12_dd3b78a80285__blocked_same_hour_execution_lag0_f8a2933c,a7v3_rolling_self_reproduction_12_dd3b78a80285,same_hour_execution_lag0,blocked_before_replay,"Decay(agg_quantity,4)",rolling_self_reproduction,12,agg_features_available,True,0,False,False,same-hour close execution is forbidden for hourly aggTrades features,A7V4_BLOCKED_EXPECTED_CONTROL
a7v3_rolling_self_reproduction_12_00b278cfd69c__blocked_no_agg_mask_5420b406,a7v3_rolling_self_reproduction_12_00b278cfd69c,no_agg_mask,blocked_before_replay,"Decay(agg_trade_count,4)",rolling_self_reproduction,12,,False,4,False,False,agg candidates must require agg_features_available,A7V4_BLOCKED_EXPECTED_CONTROL
a7v3_rolling_self_reproduction_12_00b278cfd69c__blocked_zero_fill_core12_rank_f58790ae,a7v3_rolling_self_reproduction_12_00b278cfd69c,zero_fill_core12_rank,blocked_before_replay,"CrossSymbolRank(ZeroFill(Decay(agg_trade_count,4)))",rolling_self_reproduction,12,agg_features_available,True,4,False,False,missing agg rows cannot be converted into core12 zero-fill cross-sectional ranks,A7V4_BLOCKED_EXPECTED_CONTROL
a7v3_rolling_self_reproduction_12_00b278cfd69c__blocked_same_hour_execution_lag0_3f803dd3,a7v3_rolling_self_reproduction_12_00b278cfd69c,same_hour_execution_lag0,blocked_before_replay,"Decay(agg_trade_count,4)",rolling_self_reproduction,12,agg_features_available,True,0,False,False,same-hour close execution is forbidden for hourly aggTrades features,A7V4_BLOCKED_EXPECTED_CONTROL
a7v3_rolling_self_reproduction_12_69861a81fba7__blocked_no_agg_mask_868f6698,a7v3_rolling_self_reproduction_12_69861a81fba7,no_agg_mask,blocked_before_replay,"Decay(agg_trade_count_100_1k,4)",rolling_self_reproduction,12,,False,4,False,False,agg candidates must require agg_features_available,A7V4_BLOCKED_EXPECTED_CONTROL
a7v3_rolling_self_reproduction_12_69861a81fba7__blocked_zero_fill_core12_rank_ce9ca800,a7v3_rolling_self_reproduction_12_69861a81fba7,zero_fill_core12_rank,blocked_before_replay,"CrossSymbolRank(ZeroFill(Decay(agg_trade_count_100_1k,4)))",rolling_self_reproduction,12,agg_features_available,True,4,False,False,missing agg rows cannot be converted into core12 zero-fill cross-sectional ranks,A7V4_BLOCKED_EXPECTED_CONTROL
a7v3_rolling_self_reproduction_12_69861a81fba7__blocked_same_hour_execution_lag0_4ca02bde,a7v3_rolling_self_reproduction_12_69861a81fba7,same_hour_execution_lag0,blocked_before_replay,"Decay(agg_trade_count_100_1k,4)",rolling_self_reproduction,12,agg_features_available,True,0,False,False,same-hour close execution is forbidden for hourly aggTrades features,A7V4_BLOCKED_EXPECTED_CONTROL
a7v3_rolling_self_reproduction_12_e7d584a35a3d__blocked_no_agg_mask_c245c88a,a7v3_rolling_self_reproduction_12_e7d584a35a3d,no_agg_mask,blocked_before_replay,"Decay(agg_trade_count_100k_1m,4)",rolling_self_reproduction,12,,False,4,False,False,agg candidates must require agg_features_available,A7V4_BLOCKED_EXPECTED_CONTROL
a7v3_rolling_self_reproduction_12_e7d584a35a3d__blocked_zero_fill_core12_rank_d5953649,a7v3_rolling_self_reproduction_12_e7d584a35a3d,zero_fill_core12_rank,blocked_before_replay,"CrossSymbolRank(ZeroFill(Decay(agg_trade_count_100k_1m,4)))",rolling_self_reproduction,12,agg_features_available,True,4,False,False,missing agg rows cannot be converted into core12 zero-fill cross-sectional ranks,A7V4_BLOCKED_EXPECTED_CONTROL
a7v3_rolling_self_reproduction_12_e7d584a35a3d__blocked_same_hour_execution_lag0_b70b3553,a7v3_rolling_self_reproduction_12_e7d584a35a3d,same_hour_execution_lag0,blocked_before_replay,"Decay(agg_trade_count_100k_1m,4)",rolling_self_reproduction,12,agg_features_available,True,0,False,False,same-hour close execution is forbidden for hourly aggTrades features,A7V4_BLOCKED_EXPECTED_CONTROL
a7v3_rolling_self_reproduction_12_ede80b2dbc95__blocked_no_agg_mask_bd6d17b5,a7v3_rolling_self_reproduction_12_ede80b2dbc95,no_agg_mask,blocked_before_replay,"Decay(agg_trade_count_10k_100k,4)",rolling_self_reproduction,12,,False,4,False,False,agg candidates must require agg_features_available,A7V4_BLOCKED_EXPECTED_CONTROL
a7v3_rolling_self_reproduction_12_ede80b2dbc95__blocked_zero_fill_core12_rank_b6cc9a31,a7v3_rolling_self_reproduction_12_ede80b2dbc95,zero_fill_core12_rank,blocked_before_replay,"CrossSymbolRank(ZeroFill(Decay(agg_trade_count_10k_100k,4)))",rolling_self_reproduction,12,agg_features_available,True,4,False,False,missing agg rows cannot be converted into core12 zero-fill cross-sectional ranks,A7V4_BLOCKED_EXPECTED_CONTROL
a7v3_rolling_self_reproduction_12_ede80b2dbc95__blocked_same_hour_execution_lag0_ee942ba9,a7v3_rolling_self_reproduction_12_ede80b2dbc95,same_hour_execution_lag0,blocked_before_replay,"Decay(agg_trade_count_10k_100k,4)",rolling_self_reproduction,12,agg_features_available,True,0,False,False,same-hour close execution is forbidden for hourly aggTrades features,A7V4_BLOCKED_EXPECTED_CONTROL
a7v3_rolling_self_reproduction_12_519354de8b22__blocked_no_agg_mask_1953e08b,a7v3_rolling_self_reproduction_12_519354de8b22,no_agg_mask,blocked_before_replay,"Decay(agg_trade_count_1k_10k,4)",rolling_self_reproduction,12,,False,4,False,False,agg candidates must require agg_features_available,A7V4_BLOCKED_EXPECTED_CONTROL
a7v3_rolling_self_reproduction_12_519354de8b22__blocked_zero_fill_core12_rank_143bc605,a7v3_rolling_self_reproduction_12_519354de8b22,zero_fill_core12_rank,blocked_before_replay,"CrossSymbolRank(ZeroFill(Decay(agg_trade_count_1k_10k,4)))",rolling_self_reproduction,12,agg_features_available,True,4,False,False,missing agg rows cannot be converted into core12 zero-fill cross-sectional ranks,A7V4_BLOCKED_EXPECTED_CONTROL
a7v3_rolling_self_reproduction_12_519354de8b22__blocked_same_hour_execution_lag0_0b60e5da,a7v3_rolling_self_reproduction_12_519354de8b22,same_hour_execution_lag0,blocked_before_replay,"Decay(agg_trade_count_1k_10k,4)",rolling_self_reproduction,12,agg_features_available,True,0,False,False,same-hour close execution is forbidden for hourly aggTrades features,A7V4_BLOCKED_EXPECTED_CONTROL
a7v3_rolling_self_reproduction_12_4ad10b772ccf__blocked_no_agg_mask_5ec52ce4,a7v3_rolling_self_reproduction_12_4ad10b772ccf,no_agg_mask,blocked_before_replay,"Decay(agg_trade_count_gt_1m,4)",rolling_self_reproduction,12,,False,4,False,False,agg candidates must require agg_features_available,A7V4_BLOCKED_EXPECTED_CONTROL
a7v3_rolling_self_reproduction_12_4ad10b772ccf__blocked_zero_fill_core12_rank_6a9ce94e,a7v3_rolling_self_reproduction_12_4ad10b772ccf,zero_fill_core12_rank,blocked_before_replay,"CrossSymbolRank(ZeroFill(Decay(agg_trade_count_gt_1m,4)))",rolling_self_reproduction,12,agg_features_available,True,4,False,False,missing agg rows cannot be converted into core12 zero-fill cross-sectional ranks,A7V4_BLOCKED_EXPECTED_CONTROL
a7v3_rolling_self_reproduction_12_4ad10b772ccf__blocked_same_hour_execution_lag0_cba9b41f,a7v3_rolling_self_reproduction_12_4ad10b772ccf,same_hour_execution_lag0,blocked_before_replay,"Decay(agg_trade_count_gt_1m,4)",rolling_self_reproduction,12,agg_features_available,True,0,False,False,same-hour close execution is forbidden for hourly aggTrades features,A7V4_BLOCKED_EXPECTED_CONTROL
a7v3_rolling_self_reproduction_12_ec56094dd3b6__blocked_no_agg_mask_d160d509,a7v3_rolling_self_reproduction_12_ec56094dd3b6,no_agg_mask,blocked_before_replay,"Decay(agg_trade_count_le_100,4)",rolling_self_reproduction,12,,False,4,False,False,agg candidates must require agg_features_available,A7V4_BLOCKED_EXPECTED_CONTROL
a7v3_rolling_self_reproduction_12_ec56094dd3b6__blocked_zero_fill_core12_rank_a31d0ea7,a7v3_rolling_self_reproduction_12_ec56094dd3b6,zero_fill_core12_rank,blocked_before_replay,"CrossSymbolRank(ZeroFill(Decay(agg_trade_count_le_100,4)))",rolling_self_reproduction,12,agg_features_available,True,4,False,False,missing agg rows cannot be converted into core12 zero-fill cross-sectional ranks,A7V4_BLOCKED_EXPECTED_CONTROL
a7v3_rolling_self_reproduction_12_ec56094dd3b6__blocked_same_hour_execution_lag0_f5cdfd21,a7v3_rolling_self_reproduction_12_ec56094dd3b6,same_hour_execution_lag0,blocked_before_replay,"Decay(agg_trade_count_le_100,4)",rolling_self_reproduction,12,agg_features_available,True,0,False,False,same-hour close execution is forbidden for hourly aggTrades features,A7V4_BLOCKED_EXPECTED_CONTROL
a7v3_rolling_self_reproduction_12_4beec949fff2__blocked_no_agg_mask_2ff84e26,a7v3_rolling_self_reproduction_12_4beec949fff2,no_agg_mask,blocked_before_replay,"Decay(agg_underlying_trade_count,4)",rolling_self_reproduction,12,,False,4,False,False,agg candidates must require agg_features_available,A7V4_BLOCKED_EXPECTED_CONTROL
a7v3_rolling_self_reproduction_12_4beec949fff2__blocked_zero_fill_core12_rank_0f3014bd,a7v3_rolling_self_reproduction_12_4beec949fff2,zero_fill_core12_rank,blocked_before_replay,"CrossSymbolRank(ZeroFill(Decay(agg_underlying_trade_count,4)))",rolling_self_reproduction,12,agg_features_available,True,4,False,False,missing agg rows cannot be converted into core12 zero-fill cross-sectional ranks,A7V4_BLOCKED_EXPECTED_CONTROL
a7v3_rolling_self_reproduction_12_4beec949fff2__blocked_same_hour_execution_lag0_ba0abd08,a7v3_rolling_self_reproduction_12_4beec949fff2,same_hour_execution_lag0,blocked_before_replay,"Decay(agg_underlying_trade_count,4)",rolling_self_reproduction,12,agg_features_available,True,0,False,False,same-hour close execution is forbidden for hourly aggTrades features,A7V4_BLOCKED_EXPECTED_CONTROL
a7v3_rolling_self_reproduction_12_4df5062b4697__blocked_no_agg_mask_399e19cf,a7v3_rolling_self_reproduction_12_4df5062b4697,no_agg_mask,blocked_before_replay,"Decay(agg_avg_agg_trade_notional,8)",rolling_self_reproduction,12,,False,8,False,False,agg candidates must require agg_features_available,A7V4_BLOCKED_EXPECTED_CONTROL
a7v3_rolling_self_reproduction_12_4df5062b4697__blocked_zero_fill_core12_rank_7e2f1b24,a7v3_rolling_self_reproduction_12_4df5062b4697,zero_fill_core12_rank,blocked_before_replay,"CrossSymbolRank(ZeroFill(Decay(agg_avg_agg_trade_notional,8)))",rolling_self_reproduction,12,agg_features_available,True,8,False,False,missing agg rows cannot be converted into core12 zero-fill cross-sectional ranks,A7V4_BLOCKED_EXPECTED_CONTROL
a7v3_rolling_self_reproduction_12_4df5062b4697__blocked_same_hour_execution_lag0_a0c93249,a7v3_rolling_self_reproduction_12_4df5062b4697,same_hour_execution_lag0,blocked_before_replay,"Decay(agg_avg_agg_trade_notional,8)",rolling_self_reproduction,12,agg_features_available,True,0,False,False,same-hour close execution is forbidden for hourly aggTrades features,A7V4_BLOCKED_EXPECTED_CONTROL
a7v3_rolling_self_reproduction_12_96dd62c4e646__blocked_no_agg_mask_944a784e,a7v3_rolling_self_reproduction_12_96dd62c4e646,no_agg_mask,blocked_before_replay,"Decay(agg_avg_underlying_trade_notional,8)",rolling_self_reproduction,12,,False,8,False,False,agg candidates must require agg_features_available,A7V4_BLOCKED_EXPECTED_CONTROL
a7v3_rolling_self_reproduction_12_96dd62c4e646__blocked_zero_fill_core12_rank_fee533ba,a7v3_rolling_self_reproduction_12_96dd62c4e646,zero_fill_core12_rank,blocked_before_replay,"CrossSymbolRank(ZeroFill(Decay(agg_avg_underlying_trade_notional,8)))",rolling_self_reproduction,12,agg_features_available,True,8,False,False,missing agg rows cannot be converted into core12 zero-fill cross-sectional ranks,A7V4_BLOCKED_EXPECTED_CONTROL
a7v3_rolling_self_reproduction_12_96dd62c4e646__blocked_same_hour_execution_lag0_efdd9465,a7v3_rolling_self_reproduction_12_96dd62c4e646,same_hour_execution_lag0,blocked_before_replay,"Decay(agg_avg_underlying_trade_notional,8)",rolling_self_reproduction,12,agg_features_available,True,0,False,False,same-hour close execution is forbidden for hourly aggTrades features,A7V4_BLOCKED_EXPECTED_CONTROL
a7v3_rolling_self_reproduction_12_7ad3ab89f2d4__blocked_no_agg_mask_ea7c4ef8,a7v3_rolling_self_reproduction_12_7ad3ab89f2d4,no_agg_mask,blocked_before_replay,"Decay(agg_max_trade_notional,8)",rolling_self_reproduction,12,,False,8,False,False,agg candidates must require agg_features_available,A7V4_BLOCKED_EXPECTED_CONTROL
a7v3_rolling_self_reproduction_12_7ad3ab89f2d4__blocked_zero_fill_core12_rank_afe9dde3,a7v3_rolling_self_reproduction_12_7ad3ab89f2d4,zero_fill_core12_rank,blocked_before_replay,"CrossSymbolRank(ZeroFill(Decay(agg_max_trade_notional,8)))",rolling_self_reproduction,12,agg_features_available,True,8,False,False,missing agg rows cannot be converted into core12 zero-fill cross-sectional ranks,A7V4_BLOCKED_EXPECTED_CONTROL
a7v3_rolling_self_reproduction_12_7ad3ab89f2d4__blocked_same_hour_execution_lag0_3310b001,a7v3_rolling_self_reproduction_12_7ad3ab89f2d4,same_hour_execution_lag0,blocked_before_replay,"Decay(agg_max_trade_notional,8)",rolling_self_reproduction,12,agg_features_available,True,0,False,False,same-hour close execution is forbidden for hourly aggTrades features,A7V4_BLOCKED_EXPECTED_CONTROL
a7v3_rolling_self_reproduction_12_688545fc21a6__blocked_no_agg_mask_b9ab7afb,a7v3_rolling_self_reproduction_12_688545fc21a6,no_agg_mask,blocked_before_replay,"Decay(agg_btcusdt_flow_imbalance_4h,4)",rolling_self_reproduction,12,,False,4,False,False,agg candidates must require agg_features_available,A7V4_BLOCKED_EXPECTED_CONTROL
a7v3_rolling_self_reproduction_12_688545fc21a6__blocked_zero_fill_core12_rank_b79d1b94,a7v3_rolling_self_reproduction_12_688545fc21a6,zero_fill_core12_rank,blocked_before_replay,"CrossSymbolRank(ZeroFill(Decay(agg_btcusdt_flow_imbalance_4h,4)))",rolling_self_reproduction,12,agg_features_available,True,4,False,False,missing agg rows cannot be converted into core12 zero-fill cross-sectional ranks,A7V4_BLOCKED_EXPECTED_CONTROL
