a7ls25_axis,semantic_pair,motif,rows
raw_multi_axis_reserved,basis_premium_like|funding_state_like,spread_rank,50
raw_multi_axis_reserved,liquidity_like,signed_spread,50
raw_multi_axis_reserved,liquidity_like,safe_div_abs,50
raw_multi_axis_reserved,liquidity_like,relative_shock,50
raw_multi_axis_reserved,funding_state_like|open_interest_like,smooth_mul,50
raw_multi_axis_reserved,funding_state_like|open_interest_like,signed_spread,50
raw_multi_axis_reserved,funding_state_like|open_interest_like,safe_div_abs,50
raw_multi_axis_reserved,funding_state_like|open_interest_like,relative_shock,50
raw_multi_axis_reserved,basis_premium_like|volatility_like,sub,50
raw_multi_axis_reserved,basis_premium_like|volatility_like,spread_rank,50
raw_multi_axis_reserved,open_interest_like|liquidity_like,sub,50
raw_multi_axis_reserved,open_interest_like|liquidity_like,spread_rank,50
raw_multi_axis_reserved,open_interest_like|liquidity_like,smooth_mul,50
raw_multi_axis_reserved,open_interest_like|liquidity_like,signed_spread,50
raw_multi_axis_reserved,open_interest_like|liquidity_like,safe_div_abs,50
raw_multi_axis_reserved,open_interest_like|liquidity_like,relative_shock,50
raw_multi_axis_reserved,basis_premium_like|funding_state_like,smooth_mul,50
raw_multi_axis_reserved,basis_premium_like|funding_state_like,signed_spread,50
raw_multi_axis_reserved,basis_premium_like|funding_state_like,safe_div_abs,50
raw_multi_axis_reserved,basis_premium_like|funding_state_like,relative_shock,50
raw_multi_axis_reserved,taker_flow_like|liquidity_like,sub,50
raw_multi_axis_reserved,taker_flow_like|liquidity_like,spread_rank,50
raw_multi_axis_reserved,taker_flow_like|liquidity_like,smooth_mul,50
raw_multi_axis_reserved,taker_flow_like|liquidity_like,signed_spread,50
raw_multi_axis_reserved,taker_flow_like|liquidity_like,safe_div_abs,50
raw_multi_axis_reserved,taker_flow_like|liquidity_like,relative_shock,50
raw_multi_axis_reserved,taker_flow_like|liquidity_like,mul,50
raw_multi_axis_reserved,taker_flow_like|liquidity_like,gated_sign,50
raw_multi_axis_reserved,positioning_like,mul,50
raw_multi_axis_reserved,positioning_like,gated_sign,50
raw_multi_axis_reserved,open_interest_like|volatility_like,sub,50
raw_multi_axis_reserved,open_interest_like|volatility_like,spread_rank,50
raw_multi_axis_reserved,open_interest_like|volatility_like,smooth_mul,50
raw_multi_axis_reserved,open_interest_like|volatility_like,signed_spread,50
raw_multi_axis_reserved,open_interest_like|volatility_like,safe_div_abs,50
raw_multi_axis_reserved,open_interest_like|volatility_like,relative_shock,50
raw_multi_axis_reserved,open_interest_like|volatility_like,mul,50
raw_multi_axis_reserved,open_interest_like|volatility_like,gated_sign,50
raw_multi_axis_reserved,funding_state_like|liquidity_like,signed_spread,50
raw_multi_axis_reserved,funding_state_like|liquidity_like,safe_div_abs,50
raw_multi_axis_reserved,funding_state_like|liquidity_like,relative_shock,50
raw_multi_axis_reserved,funding_state_like|liquidity_like,mul,50
raw_multi_axis_reserved,funding_state_like|liquidity_like,gated_sign,50
raw_multi_axis_reserved,basis_premium_like|taker_flow_like,mul,50
raw_multi_axis_reserved,basis_premium_like|taker_flow_like,gated_sign,50
raw_multi_axis_reserved,positioning_like|liquidity_like,sub,50
raw_multi_axis_reserved,positioning_like|liquidity_like,spread_rank,50
raw_multi_axis_reserved,positioning_like|liquidity_like,smooth_mul,50
raw_multi_axis_reserved,positioning_like|liquidity_like,signed_spread,50
raw_multi_axis_reserved,positioning_like|liquidity_like,safe_div_abs,50
raw_multi_axis_reserved,positioning_like|liquidity_like,relative_shock,50
raw_multi_axis_reserved,positioning_like|liquidity_like,mul,50
raw_multi_axis_reserved,positioning_like|liquidity_like,gated_sign,50
raw_multi_axis_reserved,positioning_like,sub,50
raw_multi_axis_reserved,positioning_like,spread_rank,50
raw_multi_axis_reserved,positioning_like,smooth_mul,50
raw_multi_axis_reserved,positioning_like,signed_spread,50
raw_multi_axis_reserved,positioning_like,safe_div_abs,50
raw_multi_axis_reserved,positioning_like,relative_shock,50
raw_multi_axis_reserved,positioning_like|taker_flow_like,safe_div_abs,50
raw_multi_axis_reserved,positioning_like|taker_flow_like,relative_shock,50
raw_multi_axis_reserved,liquidity_like|volatility_like,gated_sign,50
raw_multi_axis_reserved,liquidity_like,sub,50
raw_multi_axis_reserved,liquidity_like,spread_rank,50
raw_multi_axis_reserved,liquidity_like,smooth_mul,50
raw_multi_axis_reserved,open_interest_like|liquidity_like,mul,50
raw_multi_axis_reserved,open_interest_like|liquidity_like,gated_sign,50
raw_multi_axis_reserved,funding_state_like|open_interest_like,spread_rank,50
raw_multi_axis_reserved,basis_premium_like|volatility_like,mul,50
raw_multi_axis_reserved,basis_premium_like|volatility_like,relative_shock,50
raw_multi_axis_reserved,basis_premium_like|volatility_like,safe_div_abs,50
raw_multi_axis_reserved,basis_premium_like|volatility_like,signed_spread,50
raw_multi_axis_reserved,basis_premium_like|volatility_like,smooth_mul,50
raw_multi_axis_reserved,positioning_like|taker_flow_like,gated_sign,50
raw_multi_axis_reserved,positioning_like|taker_flow_like,mul,50
raw_multi_axis_reserved,basis_premium_like|volatility_like,gated_sign,50
raw_multi_axis_reserved,price_like,relative_shock,50
raw_multi_axis_reserved,basis_premium_like|taker_flow_like,sub,50
raw_multi_axis_reserved,basis_premium_like|taker_flow_like,spread_rank,50
raw_multi_axis_reserved,basis_premium_like|taker_flow_like,smooth_mul,50
raw_multi_axis_reserved,basis_premium_like|taker_flow_like,signed_spread,50
raw_multi_axis_reserved,basis_premium_like|taker_flow_like,safe_div_abs,50
raw_multi_axis_reserved,basis_premium_like|taker_flow_like,relative_shock,50
raw_multi_axis_reserved,price_like,safe_div_abs,50
raw_multi_axis_reserved,positioning_like|volatility_like,relative_shock,50
raw_multi_axis_reserved,positioning_like|volatility_like,mul,50
raw_multi_axis_reserved,positioning_like|volatility_like,gated_sign,50
raw_multi_axis_reserved,positioning_like|taker_flow_like,sub,50
raw_multi_axis_reserved,positioning_like|taker_flow_like,spread_rank,50
raw_multi_axis_reserved,positioning_like|taker_flow_like,smooth_mul,50
raw_multi_axis_reserved,positioning_like|taker_flow_like,signed_spread,50
raw_multi_axis_reserved,price_like|funding_state_like,safe_div_abs,50
raw_multi_axis_reserved,price_like|funding_state_like,relative_shock,50
raw_multi_axis_reserved,price_like,mul,50
raw_multi_axis_reserved,price_like,gated_sign,50
raw_multi_axis_reserved,positioning_like|volatility_like,sub,50
raw_multi_axis_reserved,positioning_like|volatility_like,spread_rank,50
raw_multi_axis_reserved,positioning_like|volatility_like,smooth_mul,50
raw_multi_axis_reserved,positioning_like|volatility_like,signed_spread,50
raw_multi_axis_reserved,positioning_like|volatility_like,safe_div_abs,50
raw_multi_axis_reserved,price_like|basis_premium_like,relative_shock,50
raw_multi_axis_reserved,price_like|basis_premium_like,mul,50
raw_multi_axis_reserved,price_like|basis_premium_like,gated_sign,50
raw_multi_axis_reserved,price_like,sub,50
raw_multi_axis_reserved,price_like,spread_rank,50
raw_multi_axis_reserved,price_like,smooth_mul,50
raw_multi_axis_reserved,price_like,signed_spread,50
raw_multi_axis_reserved,basis_premium_like|open_interest_like,mul,50
raw_multi_axis_reserved,basis_premium_like|open_interest_like,gated_sign,50
raw_multi_axis_reserved,price_like|open_interest_like,mul,50
raw_multi_axis_reserved,price_like|open_interest_like,gated_sign,50
raw_multi_axis_reserved,price_like|liquidity_like,sub,50
raw_multi_axis_reserved,price_like|liquidity_like,spread_rank,50
raw_multi_axis_reserved,price_like|liquidity_like,smooth_mul,50
raw_multi_axis_reserved,price_like|liquidity_like,signed_spread,50
raw_multi_axis_reserved,price_like|liquidity_like,safe_div_abs,50
raw_multi_axis_reserved,price_like|liquidity_like,relative_shock,50
raw_multi_axis_reserved,price_like|liquidity_like,mul,50
raw_multi_axis_reserved,price_like|liquidity_like,gated_sign,50
raw_multi_axis_reserved,price_like|funding_state_like,sub,50
raw_multi_axis_reserved,price_like|funding_state_like,spread_rank,50
raw_multi_axis_reserved,price_like|funding_state_like,smooth_mul,50
raw_multi_axis_reserved,price_like|funding_state_like,signed_spread,50
raw_multi_axis_reserved,price_like|positioning_like,safe_div_abs,50
raw_multi_axis_reserved,price_like|positioning_like,relative_shock,50
raw_multi_axis_reserved,price_like|funding_state_like,mul,50
raw_multi_axis_reserved,price_like|funding_state_like,gated_sign,50
raw_multi_axis_reserved,price_like|basis_premium_like,sub,50
raw_multi_axis_reserved,price_like|basis_premium_like,spread_rank,50
raw_multi_axis_reserved,price_like|basis_premium_like,smooth_mul,50
raw_multi_axis_reserved,price_like|basis_premium_like,signed_spread,50
raw_multi_axis_reserved,price_like|basis_premium_like,safe_div_abs,50
raw_multi_axis_reserved,price_like|open_interest_like,safe_div_abs,50
raw_multi_axis_reserved,price_like|open_interest_like,signed_spread,50
raw_multi_axis_reserved,price_like|open_interest_like,smooth_mul,50
raw_multi_axis_reserved,price_like|open_interest_like,spread_rank,50
raw_multi_axis_reserved,price_like|open_interest_like,sub,50
raw_multi_axis_reserved,price_like|positioning_like,gated_sign,50
raw_multi_axis_reserved,price_like|positioning_like,mul,50
raw_multi_axis_reserved,price_like|open_interest_like,relative_shock,50
raw_multi_axis_reserved,price_like|volatility_like,relative_shock,50
raw_multi_axis_reserved,basis_premium_like|open_interest_like,sub,50
raw_multi_axis_reserved,basis_premium_like|open_interest_like,spread_rank,50
raw_multi_axis_reserved,basis_premium_like|open_interest_like,smooth_mul,50
raw_multi_axis_reserved,basis_premium_like|open_interest_like,signed_spread,50
raw_multi_axis_reserved,basis_premium_like|open_interest_like,safe_div_abs,50
raw_multi_axis_reserved,basis_premium_like|open_interest_like,relative_shock,50
raw_multi_axis_reserved,price_like|volatility_like,safe_div_abs,50
raw_multi_axis_reserved,price_like|taker_flow_like,safe_div_abs,50
raw_multi_axis_reserved,price_like|taker_flow_like,signed_spread,50
raw_multi_axis_reserved,price_like|taker_flow_like,smooth_mul,50
raw_multi_axis_reserved,price_like|taker_flow_like,spread_rank,50
raw_multi_axis_reserved,price_like|taker_flow_like,sub,50
raw_multi_axis_reserved,price_like|volatility_like,gated_sign,50
raw_multi_axis_reserved,price_like|volatility_like,mul,50
raw_multi_axis_reserved,price_like|taker_flow_like,relative_shock,50
raw_multi_axis_reserved,price_like|positioning_like,signed_spread,50
raw_multi_axis_reserved,price_like|positioning_like,smooth_mul,50
raw_multi_axis_reserved,price_like|positioning_like,spread_rank,50
raw_multi_axis_reserved,price_like|positioning_like,sub,50
raw_multi_axis_reserved,price_like|taker_flow_like,mul,50
raw_multi_axis_reserved,price_like|taker_flow_like,gated_sign,50
raw_multi_axis_reserved,price_like|volatility_like,sub,50
raw_multi_axis_reserved,price_like|volatility_like,spread_rank,50
raw_multi_axis_reserved,price_like|volatility_like,smooth_mul,50
raw_multi_axis_reserved,price_like|volatility_like,signed_spread,50
raw_multi_axis_reserved,volatility_like,safe_div_abs,50
raw_multi_axis_reserved,volatility_like,relative_shock,50
raw_multi_axis_reserved,volatility_like,mul,50
raw_multi_axis_reserved,volatility_like,gated_sign,50
raw_multi_axis_reserved,basis_premium_like|funding_state_like,mul,50
raw_multi_axis_reserved,basis_premium_like|funding_state_like,gated_sign,50
raw_multi_axis_reserved,basis_premium_like,sub,50
raw_multi_axis_reserved,basis_premium_like,spread_rank,50
raw_multi_axis_reserved,basis_premium_like,smooth_mul,50
raw_multi_axis_reserved,basis_premium_like,signed_spread,50
raw_multi_axis_reserved,basis_premium_like,safe_div_abs,50
raw_multi_axis_reserved,basis_premium_like,relative_shock,50
raw_multi_axis_reserved,basis_premium_like,mul,50
raw_multi_axis_reserved,basis_premium_like,gated_sign,50
raw_multi_axis_reserved,taker_flow_like|volatility_like,sub,50
raw_multi_axis_reserved,taker_flow_like|volatility_like,spread_rank,50
raw_multi_axis_reserved,funding_state_like|volatility_like,spread_rank,50
raw_multi_axis_reserved,funding_state_like|volatility_like,smooth_mul,50
raw_multi_axis_reserved,funding_state_like|volatility_like,signed_spread,50
raw_multi_axis_reserved,funding_state_like|volatility_like,safe_div_abs,50
raw_multi_axis_reserved,funding_state_like|volatility_like,relative_shock,50
raw_multi_axis_reserved,funding_state_like|volatility_like,mul,50
raw_multi_axis_reserved,funding_state_like|volatility_like,gated_sign,50
raw_multi_axis_reserved,funding_state_like|taker_flow_like,sub,50
raw_multi_axis_reserved,funding_state_like|taker_flow_like,spread_rank,50
raw_multi_axis_reserved,funding_state_like|taker_flow_like,smooth_mul,50
raw_multi_axis_reserved,funding_state_like|taker_flow_like,signed_spread,50
raw_multi_axis_reserved,funding_state_like|taker_flow_like,safe_div_abs,50
raw_multi_axis_reserved,funding_state_like|taker_flow_like,relative_shock,50
raw_multi_axis_reserved,funding_state_like|taker_flow_like,mul,50
raw_multi_axis_reserved,taker_flow_like,mul,45
raw_multi_axis_reserved,taker_flow_like,gated_sign,45
raw_multi_axis_reserved,taker_flow_like,safe_div_abs,45
raw_multi_axis_reserved,taker_flow_like,relative_shock,45
raw_multi_axis_reserved,open_interest_like,gated_sign,45
raw_multi_axis_reserved,open_interest_like,mul,45
raw_multi_axis_reserved,taker_flow_like,signed_spread,45
raw_multi_axis_reserved,funding_state_like,sub,45
raw_multi_axis_reserved,taker_flow_like,single,45
raw_multi_axis_reserved,taker_flow_like,smooth_mul,45
raw_multi_axis_reserved,taker_flow_like,spread_rank,45
raw_multi_axis_reserved,taker_flow_like,sub,45
raw_multi_axis_reserved,funding_state_like,gated_sign,45
raw_multi_axis_reserved,funding_state_like,mul,45
raw_multi_axis_reserved,funding_state_like,relative_shock,45
raw_multi_axis_reserved,funding_state_like,safe_div_abs,45
raw_multi_axis_reserved,funding_state_like,signed_spread,45
raw_multi_axis_reserved,funding_state_like,single,45
raw_multi_axis_reserved,funding_state_like,smooth_mul,45
raw_multi_axis_reserved,funding_state_like,spread_rank,45
raw_multi_axis_reserved,open_interest_like,sub,45
raw_multi_axis_reserved,open_interest_like,single,45
raw_multi_axis_reserved,open_interest_like,relative_shock,45
raw_multi_axis_reserved,open_interest_like,safe_div_abs,45
raw_multi_axis_reserved,open_interest_like,signed_spread,45
raw_multi_axis_reserved,open_interest_like,spread_rank,45
raw_multi_axis_reserved,open_interest_like,smooth_mul,45
oi_positioning,open_interest_like|positioning_like|volatility_like,seed_relative_shock,24
strong_positioning_basis,basis_premium_like|age_x_volatility|positioning_like,seed_relative_shock,16
raw_multi_axis_reserved,volatility_like|regime_state,state_gate,10
strong_positioning_basis,basis_premium_like|age_x_volatility|positioning_like,seed_sub,8
strong_positioning_basis,basis_premium_like|age_x_volatility|positioning_like,seed_mul,8
oi_positioning,open_interest_like|positioning_like|positioning_like,seed_mul,8
oi_positioning,open_interest_like|liquidity_rank_active_universe|positioning_like,seed_smooth_mul,8
oi_positioning,open_interest_like|age_x_liquidity|positioning_like,seed_smooth_mul,8
oi_positioning,open_interest_like|positioning_like|liquidity_like,seed_signed_spread,8
