second_pass_family,left_field,left_transform,operator,right_field,right_transform,blueprint_id,label_family,label_horizon_h,orientation_from_train,premay_positive_split_count,premay_all_positive,control_ratio_premay_max,one_bar_lag_recent_oriented,lag_ok,h2_repair_candidate,near_miss,decision,train_2024_n,train_2024_mean_spread,train_2024_tstat,train_2024_nonoverlap_median_tstat,train_2024_nonoverlap_min_tstat,train_2024_positive_rate,validation_2025H1_n,validation_2025H1_mean_spread,validation_2025H1_tstat,validation_2025H1_nonoverlap_median_tstat,validation_2025H1_nonoverlap_min_tstat,validation_2025H1_positive_rate,test_2025H2_n,test_2025H2_mean_spread,test_2025H2_tstat,test_2025H2_nonoverlap_median_tstat,test_2025H2_nonoverlap_min_tstat,test_2025H2_positive_rate,recent_oos_2026JanApr_n,recent_oos_2026JanApr_mean_spread,recent_oos_2026JanApr_tstat,recent_oos_2026JanApr_nonoverlap_median_tstat,recent_oos_2026JanApr_nonoverlap_min_tstat,recent_oos_2026JanApr_positive_rate,avg_n_obs_recent,error
H2_I4_near_miss_repair,kline_taker_buy_quote_share,delta_2h,SafeDiv,median_quote_volume_168h,delta_4h,core16ke_H2_kline_taker_buy_quote_share_delta_2h_SafeDiv_median_quote_volume_168h_delta_4h,L3_liquidity_tier_relative_return,8,-1.0,2,False,7.318804113598305,0.00013089517120381134,False,False,False,HOLD_A7FFCORE16KE_PREMAY_UNSTABLE,701,-0.0008132321171422963,-2.4920523555712637,-1.049586971327192,-2.944644838319858,0.44079885877318115,708,6.126604125457017e-05,0.23311972652447346,0.4743280891732899,-1.406591932887228,0.5,706,-0.00020002348243970978,-0.8421728886875183,-0.4429532455101277,-1.4509512342878677,0.4915014164305949,712,-0.0006460691653597481,-1.3996726810617859,-0.9848773637453575,-1.653434095036459,0.46207865168539325,75.63055555555556,
H2_I4_near_miss_repair,kline_taker_buy_quote_share,delta_2h,SafeDiv,median_quote_volume_168h,delta_4h,core16ke_H2_kline_taker_buy_quote_share_delta_2h_SafeDiv_median_quote_volume_168h_delta_4h,L5_vol_adjusted_return,8,-1.0,2,False,5.303129711546626,0.05373911073199911,True,False,False,HOLD_A7FFCORE16KE_PREMAY_UNSTABLE,701,-0.05430806358899202,-2.3471609785574064,-0.9725444654266509,-2.763197520348882,0.4450784593437946,708,0.004972700328216206,0.1664575933886918,0.27430618399081697,-1.4822167843167282,0.4971751412429379,706,-0.03291782438838978,-1.0811344167901753,-0.4889607649453221,-1.8469408381390062,0.49008498583569404,712,-0.09856339928483142,-2.0091707544823256,-1.0818993754038775,-1.7054064137092342,0.4550561797752809,75.63055555555556,
H2_I4_near_miss_repair,kline_taker_buy_quote_share,delta_2h,SafeDiv,median_quote_volume_168h,delta_4h,core16ke_H2_kline_taker_buy_quote_share_delta_2h_SafeDiv_median_quote_volume_168h_delta_4h,L0_raw_forward_return,24,-1.0,1,False,3.8597720695150146,0.0004085279484347262,True,False,False,HOLD_A7FFCORE16KE_PREMAY_UNSTABLE,685,-0.0004786618772499867,-0.8371430978862132,-0.26497502415672736,-1.6082397271161972,0.472992700729927,692,0.0005923762071467311,1.2786143734522972,-0.0940304396590378,-2.062807700217137,0.5144508670520231,690,0.00028939574542262615,0.6677920933714352,-0.0999011220714581,-2.312589585139368,0.5101449275362319,696,-0.00042550265096854634,-0.5060288916353113,-0.00368827825450721,-2.0383311596579228,0.49712643678160917,73.925,
H2_I4_near_miss_repair,kline_taker_buy_quote_share,delta_2h,SafeDiv,median_quote_volume_168h,delta_4h,core16ke_H2_kline_taker_buy_quote_share_delta_2h_SafeDiv_median_quote_volume_168h_delta_4h,L1_cross_sectional_relative_return,24,-1.0,1,False,3.8597720695150177,0.0004085279484347264,True,False,False,HOLD_A7FFCORE16KE_PREMAY_UNSTABLE,685,-0.0004786618772499871,-0.8371430978862139,-0.26497502415672736,-1.6082397271161968,0.472992700729927,692,0.0005923762071467311,1.2786143734522974,-0.09403043965903787,-2.062807700217136,0.5144508670520231,690,0.00028939574542262615,0.6677920933714351,-0.09990112207145785,-2.312589585139368,0.5101449275362319,696,-0.00042550265096854607,-0.506028891635311,-0.0036882782545069187,-2.0383311596579228,0.49712643678160917,73.925,
H2_I4_near_miss_repair,kline_taker_buy_quote_share,delta_2h,SafeDiv,median_quote_volume_168h,delta_4h,core16ke_H2_kline_taker_buy_quote_share_delta_2h_SafeDiv_median_quote_volume_168h_delta_4h,L3_liquidity_tier_relative_return,24,-1.0,1,False,3.61695729165009,0.0003039673708790778,True,False,False,HOLD_A7FFCORE16KE_PREMAY_UNSTABLE,685,-0.0005347103898382111,-0.9772152806798841,-0.22282591048148626,-1.4450620997587342,0.46131386861313867,692,0.0005287112125235614,1.1527403105237464,-0.06734962195582755,-1.8989006860860043,0.5101156069364162,690,0.00036938874652505673,0.8510252997756587,0.04926001550935939,-2.2962281548387558,0.5115942028985507,696,-0.00034587543244330354,-0.4193686158621615,0.047511350945012715,-2.044881872328438,0.4956896551724138,73.925,
H2_I4_near_miss_repair,kline_taker_buy_quote_share,delta_2h,SafeDiv,median_quote_volume_168h,delta_4h,core16ke_H2_kline_taker_buy_quote_share_delta_2h_SafeDiv_median_quote_volume_168h_delta_4h,L5_vol_adjusted_return,24,-1.0,1,False,2.2076908733819596,0.055446852569894615,True,False,False,HOLD_A7FFCORE16KE_PREMAY_UNSTABLE,685,-0.03926929450567835,-1.0018432547328084,-0.25209281695102265,-1.7232684780370058,0.4802919708029197,692,0.07794039963826138,1.58820787072239,-0.20726408661086623,-1.6166751855496835,0.5043352601156069,690,0.04855038485054574,0.8442196460267142,-0.08662394811313644,-1.6683691646485157,0.5014492753623189,696,-0.048473523036428504,-0.4846615881023829,-0.05121240575928375,-1.9671612344538558,0.4956896551724138,73.925,
H2_I4_near_miss_repair,kline_taker_buy_quote_share,delta_2h,Mul,median_quote_volume_168h,zscore_72h,core16ke_H2_kline_taker_buy_quote_share_delta_2h_Mul_median_quote_volume_168h_zscore_72h,L0_raw_forward_return,1,1.0,1,False,2.976411653874143,-0.00033667356550259165,False,False,False,HOLD_A7FFCORE16KE_PREMAY_UNSTABLE,696,0.00025032613048712115,1.7476019917568797,1.7476019917568797,1.7476019917568797,0.5589080459770115,719,-5.78616953489162e-05,-0.6113112201544318,-0.6113112201544318,-0.6113112201544318,0.502086230876217,719,9.288816101794185e-05,0.9849100156423992,0.9849100156423992,0.9849100156423992,0.4993045897079277,719,-0.0002597057050294682,-1.837722138310439,-1.837722138310439,-1.837722138310439,0.47009735744089015,95.86666666666666,
H2_I4_near_miss_repair,kline_taker_buy_quote_share,delta_2h,Mul,median_quote_volume_168h,zscore_72h,core16ke_H2_kline_taker_buy_quote_share_delta_2h_Mul_median_quote_volume_168h_zscore_72h,L1_cross_sectional_relative_return,1,1.0,1,False,2.9764116538741408,-0.00033667356550259165,False,False,False,HOLD_A7FFCORE16KE_PREMAY_UNSTABLE,696,0.00025032613048712115,1.7476019917568797,1.7476019917568797,1.7476019917568797,0.5589080459770115,719,-5.786169534891623e-05,-0.6113112201544321,-0.6113112201544321,-0.6113112201544321,0.502086230876217,719,9.28881610179419e-05,0.9849100156423998,0.9849100156423998,0.9849100156423998,0.4993045897079277,719,-0.0002597057050294682,-1.8377221383104385,-1.8377221383104385,-1.8377221383104385,0.47009735744089015,95.86666666666666,
H2_I4_near_miss_repair,kline_taker_buy_quote_share,delta_2h,Mul,median_quote_volume_168h,zscore_72h,core16ke_H2_kline_taker_buy_quote_share_delta_2h_Mul_median_quote_volume_168h_zscore_72h,L3_liquidity_tier_relative_return,1,1.0,1,False,3.746968653980433,-0.0002977738096948734,False,False,False,HOLD_A7FFCORE16KE_PREMAY_UNSTABLE,696,0.00021907130897221017,1.6485989314785665,1.6485989314785665,1.6485989314785665,0.5660919540229885,719,-5.770140165245017e-05,-0.6244557776229502,-0.6244557776229502,-0.6244557776229502,0.5062586926286509,719,7.31473217958645e-05,0.794643565099694,0.794643565099694,0.794643565099694,0.5173852573018081,719,-0.00022075976373744355,-1.6423406945120873,-1.6423406945120873,-1.6423406945120873,0.4965229485396384,95.86666666666666,
H2_I4_near_miss_repair,kline_taker_buy_quote_share,delta_2h,Mul,median_quote_volume_168h,zscore_72h,core16ke_H2_kline_taker_buy_quote_share_delta_2h_Mul_median_quote_volume_168h_zscore_72h,L5_vol_adjusted_return,1,1.0,1,False,4.035591583878887,-0.03685711061707896,False,False,False,HOLD_A7FFCORE16KE_PREMAY_UNSTABLE,696,0.01521741463034631,1.637959722548239,1.637959722548239,1.637959722548239,0.5675287356321839,719,-0.0065967182309403915,-0.6310894438219815,-0.6310894438219815,-0.6310894438219815,0.5006954102920723,719,0.00567137060457936,0.5406465719948359,0.5406465719948359,0.5406465719948359,0.5034770514603616,719,-0.017154500813508635,-1.1151867945377663,-1.1151867945377663,-1.1151867945377663,0.49235048678720444,95.86666666666666,
