symbol,track,tier,priority,in_core12_base_panel,in_core12_agg_metrics_panel,in_metrics_gold,in_any_expanded_gold_panel,p0_backfill_needed,a7ac2_status
ONDOUSDT,secondary_liquid80_eligible_pool,midcap_candidate,P1_secondary_contract,False,False,False,False,True,MISSING_P0_EXPANDED_PANEL
OPUSDT,secondary_liquid80_eligible_pool,midcap_candidate,P1_secondary_contract,False,False,False,False,True,MISSING_P0_EXPANDED_PANEL
ORDIUSDT,secondary_liquid80_eligible_pool,midcap_candidate,P1_secondary_contract,False,False,False,False,True,MISSING_P0_EXPANDED_PANEL
PYTHUSDT,secondary_liquid80_eligible_pool,midcap_candidate,P1_secondary_contract,False,False,False,False,True,MISSING_P0_EXPANDED_PANEL
QTUMUSDT,secondary_liquid80_eligible_pool,midcap_candidate,P1_secondary_contract,False,False,False,False,True,MISSING_P0_EXPANDED_PANEL
RSRUSDT,secondary_liquid80_eligible_pool,midcap_candidate,P1_secondary_contract,False,False,False,False,True,MISSING_P0_EXPANDED_PANEL
SANDUSDT,secondary_liquid80_eligible_pool,midcap_candidate,P1_secondary_contract,False,False,False,False,True,MISSING_P0_EXPANDED_PANEL
SNXUSDT,secondary_liquid80_eligible_pool,midcap_candidate,P1_secondary_contract,False,False,False,False,True,MISSING_P0_EXPANDED_PANEL
SSVUSDT,secondary_liquid80_eligible_pool,midcap_candidate,P1_secondary_contract,False,False,False,False,True,MISSING_P0_EXPANDED_PANEL
STRKUSDT,secondary_liquid80_eligible_pool,midcap_candidate,P1_secondary_contract,False,False,False,False,True,MISSING_P0_EXPANDED_PANEL
STXUSDT,secondary_liquid80_eligible_pool,midcap_candidate,P1_secondary_contract,False,False,False,False,True,MISSING_P0_EXPANDED_PANEL
SUSHIUSDT,secondary_liquid80_eligible_pool,midcap_candidate,P1_secondary_contract,False,False,False,False,True,MISSING_P0_EXPANDED_PANEL
TIAUSDT,secondary_liquid80_eligible_pool,midcap_candidate,P1_secondary_contract,False,False,False,False,True,MISSING_P0_EXPANDED_PANEL
TRBUSDT,secondary_liquid80_eligible_pool,midcap_candidate,P1_secondary_contract,False,False,False,False,True,MISSING_P0_EXPANDED_PANEL
TRXUSDT,secondary_liquid80_eligible_pool,midcap_candidate,P1_secondary_contract,False,False,False,False,True,MISSING_P0_EXPANDED_PANEL
XLMUSDT,secondary_liquid80_eligible_pool,midcap_candidate,P1_secondary_contract,False,False,False,False,True,MISSING_P0_EXPANDED_PANEL
XTZUSDT,secondary_liquid80_eligible_pool,midcap_candidate,P1_secondary_contract,False,False,False,False,True,MISSING_P0_EXPANDED_PANEL
ZILUSDT,secondary_liquid80_eligible_pool,midcap_candidate,P1_secondary_contract,False,False,False,False,True,MISSING_P0_EXPANDED_PANEL
ZRXUSDT,secondary_liquid80_eligible_pool,midcap_candidate,P1_secondary_contract,False,False,False,False,True,MISSING_P0_EXPANDED_PANEL
RUNEUSDT,secondary_liquid80_eligible_pool,midcap_candidate,P1_secondary_contract,False,False,False,False,True,MISSING_P0_EXPANDED_PANEL
WAVESUSDT,secondary_liquid80_eligible_pool,midcap_candidate,P1_secondary_contract,False,False,False,False,True,MISSING_P0_EXPANDED_PANEL
