candidate_id,track_id,clue_role,original_label_family,translation_label_family,label_horizon_h,decision,control_ratio_premay_max,cost5_recent_oriented,cost10_recent_oriented,cost20_recent_oriented,robust_median_tstat_floor,premay_all_positive,lag_ok
a7ag1_b08367d59d86361851,G2_downside_risk_defense,downside_risk_defense_clue,L6_downside_avoidance,L1_cross_sectional_relative_return,1,HOLD_A7AG3_CONTROL_DOMINATED,3.826269990394245,-0.0006200854123752221,-0.0016200854123752221,-0.003620085412375222,0.35054760352079806,True,True
a7ag1_b08367d59d86361851,G2_downside_risk_defense,downside_risk_defense_clue,L6_downside_avoidance,L2_BTC_ETH_beta_residual_return,1,HOLD_A7AG3_CONTROL_DOMINATED,5.857024873651452,-0.0006288195458853123,-0.0016288195458853123,-0.0036288195458853124,0.8661529584774589,True,True
a7ag1_b08367d59d86361851,G2_downside_risk_defense,downside_risk_defense_clue,L6_downside_avoidance,L5_vol_adjusted_return,1,HOLD_A7AG3_CONTROL_DOMINATED,4.164434175444087,0.030637122607191182,0.02963712260719118,0.027637122607191183,0.9063753171459021,True,False
a7ag1_b08367d59d86361851,G2_downside_risk_defense,downside_risk_defense_clue,L6_downside_avoidance,L6_downside_avoidance,1,A7AG3_NUMERIC_REPLAY_CLUE,0.8046761675030744,0.0002590845806130621,-0.0007409154193869379,-0.002740915419386938,4.3637447992051905,True,True
a7ag1_a8a88db794d4433eb7,G2_downside_risk_defense,downside_risk_defense_clue,L6_downside_avoidance,L0_raw_forward_return,1,HOLD_A7AG3_CONTROL_DOMINATED,2.9290914155320373,-0.0006677598807755367,-0.0016677598807755367,-0.0036677598807755367,1.2407806645070383,True,True
a7ag1_a8a88db794d4433eb7,G2_downside_risk_defense,downside_risk_defense_clue,L6_downside_avoidance,L1_cross_sectional_relative_return,1,HOLD_A7AG3_CONTROL_DOMINATED,3.65162331039703,-0.0006677598807755368,-0.0016677598807755367,-0.0036677598807755367,1.2407806645070385,True,True
a7ag1_a8a88db794d4433eb7,G2_downside_risk_defense,downside_risk_defense_clue,L6_downside_avoidance,L2_BTC_ETH_beta_residual_return,1,HOLD_A7AG3_CONTROL_DOMINATED,3.132163246046263,-0.0006607229347879594,-0.0016607229347879594,-0.0036607229347879596,1.4635226757059618,True,True
a7ag1_a8a88db794d4433eb7,G2_downside_risk_defense,downside_risk_defense_clue,L6_downside_avoidance,L5_vol_adjusted_return,1,HOLD_A7AG3_CONTROL_DOMINATED,109.1389061615336,-0.00020490931568806648,-0.0012049093156880665,-0.0032049093156880665,0.052110978894689276,True,False
a7ag1_a8a88db794d4433eb7,G2_downside_risk_defense,downside_risk_defense_clue,L6_downside_avoidance,L6_downside_avoidance,1,A7AG3_NUMERIC_REPLAY_CLUE,0.7315635506767028,0.00012772344698024074,-0.0008722765530197593,-0.0028722765530197593,3.9680802386104896,True,True
a7ag1_36120f6861af94e8e3,G2_downside_risk_defense,downside_risk_defense_clue,L6_downside_avoidance,L0_raw_forward_return,1,HOLD_A7AG3_PRE_MAY_UNSTABLE,155.3725715628637,-0.001004899886591435,-0.0020048998865914353,-0.004004899886591435,-0.3558692011295705,False,True
a7ag1_36120f6861af94e8e3,G2_downside_risk_defense,downside_risk_defense_clue,L6_downside_avoidance,L1_cross_sectional_relative_return,1,HOLD_A7AG3_PRE_MAY_UNSTABLE,155.37257156286495,-0.001004899886591435,-0.002004899886591435,-0.004004899886591435,-0.3558692011295707,False,True
a7ag1_36120f6861af94e8e3,G2_downside_risk_defense,downside_risk_defense_clue,L6_downside_avoidance,L2_BTC_ETH_beta_residual_return,1,HOLD_A7AG3_PRE_MAY_UNSTABLE,55.313236415028875,-0.0010123931083549104,-0.0020123931083549105,-0.0040123931083549105,-0.03720998086782768,False,False
a7ag1_36120f6861af94e8e3,G2_downside_risk_defense,downside_risk_defense_clue,L6_downside_avoidance,L5_vol_adjusted_return,1,HOLD_A7AG3_PRE_MAY_UNSTABLE,27.243074233248464,-0.009212787690759745,-0.010212787690759745,-0.012212787690759746,-0.38428123186601687,False,False
a7ag1_36120f6861af94e8e3,G2_downside_risk_defense,downside_risk_defense_clue,L6_downside_avoidance,L6_downside_avoidance,1,A7AG3_NUMERIC_REPLAY_CLUE,0.7772680719409663,0.0013260164443304229,0.00032601644433042287,-0.0016739835556695772,4.309750630167326,True,True
a7ag1_6c33466a7d58f8ac84,G2_downside_risk_defense,downside_risk_defense_clue,L6_downside_avoidance,L0_raw_forward_return,1,HOLD_A7AG3_PRE_MAY_UNSTABLE,532.4694484210102,-0.001001156264742941,-0.002001156264742941,-0.004001156264742941,-0.38343615469076536,False,False
a7ag1_6c33466a7d58f8ac84,G2_downside_risk_defense,downside_risk_defense_clue,L6_downside_avoidance,L1_cross_sectional_relative_return,1,HOLD_A7AG3_PRE_MAY_UNSTABLE,532.4694484210323,-0.001001156264742941,-0.0020011562647429407,-0.004001156264742941,-0.38343615469076603,False,False
a7ag1_6c33466a7d58f8ac84,G2_downside_risk_defense,downside_risk_defense_clue,L6_downside_avoidance,L2_BTC_ETH_beta_residual_return,1,HOLD_A7AG3_PRE_MAY_UNSTABLE,83.52151784204739,-0.0009934419543717345,-0.0019934419543717343,-0.003993441954371735,-0.23761535807591774,False,False
a7ag1_6c33466a7d58f8ac84,G2_downside_risk_defense,downside_risk_defense_clue,L6_downside_avoidance,L5_vol_adjusted_return,1,HOLD_A7AG3_PRE_MAY_UNSTABLE,21.92146331099906,-0.013226958272018835,-0.014226958272018834,-0.016226958272018834,-1.3700031762743932,False,False
a7ag1_6c33466a7d58f8ac84,G2_downside_risk_defense,downside_risk_defense_clue,L6_downside_avoidance,L6_downside_avoidance,1,A7AG3_NUMERIC_REPLAY_CLUE,0.8176232491910048,0.001372268397217899,0.000372268397217899,-0.001627731602782101,5.535715605184096,True,True
a7ag1_0e2b47e66d7f7104e6,G2_downside_risk_defense,downside_risk_defense_clue,L6_downside_avoidance,L0_raw_forward_return,1,HOLD_A7AG3_PRE_MAY_UNSTABLE,164.81483362430382,-0.0009913222689220873,-0.001991322268922087,-0.003991322268922087,-0.815595293459137,False,True
