blueprint_id,core59_shard,core61_route,core61_reason,core61_blocked,semantic_pair,motif,label_family,label_horizon_h,decision,premay_positive_split_count,control_ratio,cost10,robust_ok,lag_ok,expression
a7ff24r_2427a1ccc1e625cc,s04,CORE62B_target_near_miss_repair_dryrun,near_miss_control_dominated,False,basis_premium_like|volatility_like,mul,L0_raw_forward_return,1,HOLD_A7FFCORE59S04_CONTROL_DOMINATED,3,1.1508335358438853,-0.0010630607688908,True,True,"Mul(mark_index_basis_bps,Mean(realized_vol_168h,2))"
a7ff24r_2427a1ccc1e625cc,s04,CORE62B_target_near_miss_repair_dryrun,near_miss_control_dominated,False,basis_premium_like|volatility_like,mul,L1_cross_sectional_relative_return,1,HOLD_A7FFCORE59S04_CONTROL_DOMINATED,3,1.1508335358438853,-0.0010630607688908,True,True,"Mul(mark_index_basis_bps,Mean(realized_vol_168h,2))"
a7ff24r_1271f36cfe6b4ca5,s04,CORE62B_target_near_miss_repair_dryrun,near_miss_control_dominated,False,basis_premium_like|volatility_like,mul,L5_vol_adjusted_return,1,HOLD_A7FFCORE59S04_CONTROL_DOMINATED,3,1.1516225935268969,0.0530174090908368,True,False,"Mul(Delta(premium_close_bps,4),realized_vol_168h)"
a7ff24r_70844c64a1855f7e,s05,CORE62B_target_near_miss_repair_dryrun,near_miss_control_dominated,False,basis_premium_like|basis_premium_like,mul,L5_vol_adjusted_return,1,HOLD_A7FFCORE59S05_CONTROL_DOMINATED,3,1.1618700138738225,0.0629368884180851,True,True,"Mul(Mean(mark_index_basis_bps,12),premium_close_bps)"
a7ff24r_5e93346f70a68d33,s05,CORE62B_target_near_miss_repair_dryrun,near_miss_control_dominated,False,basis_premium_like|volatility_like,gated_sign,L5_vol_adjusted_return,8,HOLD_A7FFCORE59S05_CONTROL_DOMINATED,3,1.1635154385646016,0.2700006537298506,True,True,"Mul(Delta(mark_index_basis_bps,8),Sign(realized_vol_168h))"
a7ff24r_0e97ef0c3cc5714a,s04,CORE62B_target_near_miss_repair_dryrun,near_miss_control_dominated,False,price_like|volatility_like,spread_rank,L3_liquidity_tier_relative_return,1,HOLD_A7FFCORE59S04_CONTROL_DOMINATED,3,1.1637196246244292,-0.0015333309895326,True,True,"Sub(CSRank(realized_vol_168h),CSRank(Delta(trade_return_1h,12)))"
a7ff24r_019b84afd725ae41,s02,CORE62B_target_near_miss_repair_dryrun,near_miss_pre_may_unstable,False,basis_premium_like|price_like,spread_rank,L0_raw_forward_return,1,HOLD_A7FFCORE59S02_PRE_MAY_UNSTABLE,2,1.16429595607313,-0.0018584953947282,False,True,"Sub(CSRank(Delta(premium_close_bps,4)),CSRank(trade_return_1h))"
a7ff24r_019b84afd725ae41,s02,CORE62B_target_near_miss_repair_dryrun,near_miss_pre_may_unstable,False,basis_premium_like|price_like,spread_rank,L1_cross_sectional_relative_return,1,HOLD_A7FFCORE59S02_PRE_MAY_UNSTABLE,2,1.16429595607313,-0.0018584953947282,False,True,"Sub(CSRank(Delta(premium_close_bps,4)),CSRank(trade_return_1h))"
a7ff24r_63d580b608efb854,s05,CORE62B_target_near_miss_repair_dryrun,near_miss_control_dominated,False,price_like|volatility_like,mul,L3_liquidity_tier_relative_return,1,HOLD_A7FFCORE59S05_CONTROL_DOMINATED,3,1.166477924328117,-0.0011280505220195,True,True,"Mul(realized_vol_24h,trade_return_1h)"
a7ff24r_7b56c2ce3f4ab61d,s05,CORE62B_target_near_miss_repair_dryrun,near_miss_control_dominated,False,basis_premium_like|volatility_like,gated_sign,L3_liquidity_tier_relative_return,1,HOLD_A7FFCORE59S05_CONTROL_DOMINATED,3,1.1703081905968993,-0.0016988817926443,True,True,"Mul(Delta(premium_close_bps,1),Sign(realized_vol_168h))"
a7ff24r_3538c7bde2c42f9a,s02,CORE62B_target_near_miss_repair_dryrun,near_miss_control_dominated,False,price_like|volatility_like,spread_rank,L3_liquidity_tier_relative_return,1,HOLD_A7FFCORE59S02_CONTROL_DOMINATED,3,1.174034145055327,-0.0015321882758203,True,True,"Sub(CSRank(ZScore(Mean(realized_vol_168h,12))),CSRank(trade_return_1h))"
a7ff24r_0974ac7eff3d7f9f,s04,CORE62B_target_near_miss_repair_dryrun,near_miss_control_dominated,False,price_like|volatility_like,sub,L0_raw_forward_return,1,HOLD_A7FFCORE59S04_CONTROL_DOMINATED,3,1.1794800698551633,-0.0013546928676808,True,True,"Sub(realized_vol_168h,trade_return_1h)"
a7ff24r_3538c7bde2c42f9a,s02,CORE62B_target_near_miss_repair_dryrun,near_miss_control_dominated,False,price_like|volatility_like,spread_rank,L5_vol_adjusted_return,1,HOLD_A7FFCORE59S02_CONTROL_DOMINATED,3,1.1815185096799807,0.0551535045369992,True,True,"Sub(CSRank(ZScore(Mean(realized_vol_168h,12))),CSRank(trade_return_1h))"
a7ff24r_fad5886189793630,s03,CORE62B_target_near_miss_repair_dryrun,near_miss_control_dominated,False,basis_premium_like,single,L3_liquidity_tier_relative_return,8,HOLD_A7FFCORE59S03_CONTROL_DOMINATED,3,1.1819882587557504,0.000260824956849,True,True,"Delta(mark_index_basis_bps,8)"
a7ff24r_0b842e7d57714bb0,s04,CORE62B_target_near_miss_repair_dryrun,near_miss_control_dominated,False,basis_premium_like|volatility_like,gated_sign,L3_liquidity_tier_relative_return,8,HOLD_A7FFCORE59S04_CONTROL_DOMINATED,3,1.1819882587557504,0.000260824956849,True,True,"Mul(Delta(mark_index_basis_bps,8),Sign(realized_vol_24h))"
a7ff24r_5e93346f70a68d33,s05,CORE62B_target_near_miss_repair_dryrun,near_miss_control_dominated,False,basis_premium_like|volatility_like,gated_sign,L3_liquidity_tier_relative_return,8,HOLD_A7FFCORE59S05_CONTROL_DOMINATED,3,1.1819882587557504,0.000260824956849,True,True,"Mul(Delta(mark_index_basis_bps,8),Sign(realized_vol_168h))"
a7ff24r_5b64bd43e2dd09cb,s05,CORE62B_target_near_miss_repair_dryrun,near_miss_control_dominated,False,basis_premium_like|price_like,sub,L1_cross_sectional_relative_return,1,HOLD_A7FFCORE59S05_CONTROL_DOMINATED,3,1.184160382625112,-0.001671828654825,True,True,"Sub(Delta(premium_close_bps,4),trade_return_1h)"
