field,canonical_field,route,dependencies,dependency_status,in_a7aif3_field_matrix,in_extension_registry,contract_status,formula_usage_count,is_system_required,example_expression
log1p_listing_age_days,log1p_listing_age_days,latent_schema,,not_applicable,False,True,OK_BACKFILLED_BY_EXTENSION_REGISTRY,3,False,"Sub(ZScore(Mean(taker_buy_sell_volume_ratio_mean,48)),CSRank(log1p_listing_age_days))"
mark_index_basis_bps,mark_index_basis_bps,base_schema,,not_applicable,True,False,OK_IN_A7AIF3_CONTRACT,2059,False,"Sub(CSRank(Delta(mark_index_basis_bps,4)),CSRank(ZScore(Mean(global_long_short_account_ratio_mean,3))))"
mark_trade_basis_bps,mark_trade_basis_bps,base_schema,,not_applicable,True,False,OK_IN_A7AIF3_CONTRACT,86,False,"Sub(CSRank(Delta(mark_trade_basis_bps,4)),CSRank(ZScore(Mean(global_long_short_account_ratio_last,3))))"
market_breadth_state,R2_market_breadth_state,upper_alias,,not_applicable,False,True,OK_BACKFILLED_BY_EXTENSION_REGISTRY,259,False,"Clip(Neg(Mul(ZScore(Mean(taker_buy_sell_volume_ratio_last,48)),Sign(TSRank(market_breadth_state,336)))),-3,3)"
open_interest_change_24h,open_interest_change_24h,latent_schema,,not_applicable,True,False,OK_IN_A7AIF3_CONTRACT,131,False,"SafeDiv(Abs(ZScore(Mean(open_interest_change_24h,168))),Abs(Decay(account_position_divergence,12)))"
open_interest_last,open_interest_last,base_schema,,not_applicable,True,False,OK_IN_A7AIF3_CONTRACT,80,False,"SafeDiv(Abs(ZScore(Mean(open_interest_last,168))),Abs(Decay(account_position_divergence,72)))"
open_interest_mean,open_interest_mean,base_schema,,not_applicable,True,False,OK_IN_A7AIF3_CONTRACT,234,False,"SafeDiv(Abs(ZScore(Mean(open_interest_mean,168))),Abs(Decay(account_position_divergence,72)))"
open_interest_value_change_24h,open_interest_value_change_24h,derived_dep_generated,open_interest_value_last,deps_resolved,False,True,OK_BACKFILLED_BY_EXTENSION_REGISTRY,14,False,"SafeDiv(Abs(ZScore(Mean(open_interest_value_change_24h,168))),Abs(Decay(account_position_divergence,72)))"
open_interest_value_last,open_interest_value_last,base_schema,,not_applicable,True,False,OK_IN_A7AIF3_CONTRACT,53,False,"SafeDiv(Abs(ZScore(Mean(open_interest_value_last,168))),Abs(Decay(account_position_divergence,72)))"
premium_abs_168h,premium_abs_168h,latent_schema,,not_applicable,False,True,OK_BACKFILLED_BY_EXTENSION_REGISTRY,89,False,"Sub(CSRank(Delta(premium_abs_168h,4)),CSRank(ZScore(Mean(global_long_short_account_ratio_last,3))))"
premium_close_bps,premium_close_bps,base_schema,,not_applicable,True,False,OK_IN_A7AIF3_CONTRACT,88,False,"Sub(CSRank(Delta(premium_close_bps,4)),CSRank(ZScore(Mean(global_long_short_account_ratio_last,3))))"
realized_vol_168h,realized_vol_168h,latent_schema,,not_applicable,True,False,OK_IN_A7AIF3_CONTRACT,0,True,
rolling_coverage_168h,rolling_coverage_168h,latent_schema,,not_applicable,False,True,OK_BACKFILLED_BY_EXTENSION_REGISTRY,300,False,"Clip(Mul(ZScore(Mean(taker_buy_sell_volume_ratio_mean,48)),Sign(TSRank(rolling_coverage_168h,168))),-3,3)"
sqrt_listing_age_days,sqrt_listing_age_days,latent_schema,,not_applicable,False,True,OK_BACKFILLED_BY_EXTENSION_REGISTRY,3,False,"Sub(ZScore(Mean(taker_buy_sell_volume_ratio_mean,48)),CSRank(sqrt_listing_age_days))"
stress_proxy_state,R10_stress_proxy_state,upper_alias,,not_applicable,False,True,OK_BACKFILLED_BY_EXTENSION_REGISTRY,270,False,"Neg(Mul(ZScore(Mean(taker_buy_sell_volume_ratio_last,48)),Sign(TSRank(stress_proxy_state,336))))"
taker_buy_sell_volume_ratio_last,taker_buy_sell_volume_ratio_last,base_schema,,not_applicable,True,False,OK_IN_A7AIF3_CONTRACT,2180,False,"Clip(Neg(Mul(ZScore(Mean(taker_buy_sell_volume_ratio_last,48)),Sign(TSRank(market_breadth_state,336)))),-3,3)"
taker_buy_sell_volume_ratio_mean,taker_buy_sell_volume_ratio_mean,base_schema,,not_applicable,True,False,OK_IN_A7AIF3_CONTRACT,380,False,"Clip(Mul(ZScore(Mean(taker_buy_sell_volume_ratio_mean,48)),Sign(TSRank(rolling_coverage_168h,168))),-3,3)"
top_global_account_divergence,top_global_account_divergence,derived_dep_generated,global_long_short_account_ratio_last;top_long_short_account_ratio_last,deps_resolved,False,True,OK_BACKFILLED_BY_EXTENSION_REGISTRY,466,False,"Sub(CSRank(Delta(mark_index_basis_bps,4)),CSRank(ZScore(Mean(top_global_account_divergence,3))))"
top_long_short_account_ratio_last,top_long_short_account_ratio_last,base_schema,,not_applicable,True,False,OK_IN_A7AIF3_CONTRACT,451,False,"Sub(CSRank(Delta(mark_index_basis_bps,4)),CSRank(ZScore(Mean(top_long_short_account_ratio_last,3))))"
top_long_short_account_ratio_mean,top_long_short_account_ratio_mean,base_schema,,not_applicable,True,False,OK_IN_A7AIF3_CONTRACT,420,False,"Sub(CSRank(Delta(mark_index_basis_bps,4)),CSRank(ZScore(Mean(top_long_short_account_ratio_mean,3))))"
top_long_short_position_ratio_last,top_long_short_position_ratio_last,base_schema,,not_applicable,True,False,OK_IN_A7AIF3_CONTRACT,392,False,"Sub(CSRank(Delta(mark_index_basis_bps,4)),CSRank(ZScore(Mean(top_long_short_position_ratio_last,3))))"
top_long_short_position_ratio_mean,top_long_short_position_ratio_mean,base_schema,,not_applicable,True,False,OK_IN_A7AIF3_CONTRACT,158,False,"Sub(CSRank(Delta(mark_index_basis_bps,4)),CSRank(ZScore(Mean(top_long_short_position_ratio_mean,3))))"
trade_close,trade_close,base_schema,,not_applicable,True,False,OK_IN_A7AIF3_CONTRACT,0,True,
