left_candidate_id,right_candidate_id,left_rank,right_rank,left_expression,right_expression,left_semantic_pair,right_semantic_pair,left_horizon_h,right_horizon_h,field_jaccard,operator_jaccard,same_expression,same_parameterless_signature,overlap_decision,overlap_reason
a7shadow2_c002,a7shadow2_c005,2,5,"Mul(CSRank(Mean(open_interest_mean,8)),Sign(Mean(premium_close_bps,48)))","Mul(CSRank(Mean(open_interest_mean,12)),Sign(Mean(premium_close_bps,48)))",open_interest|premium,open_interest|premium,24,24,1.000000,1.000000,False,True,DUPLICATE_PARAMETER_VARIANT,same_parameterless_signature_and_semantic_pair
a7shadow2_c002,a7shadow2_c006,2,6,"Mul(CSRank(Mean(open_interest_mean,8)),Sign(Mean(premium_close_bps,48)))","Mul(open_interest_last,Mean(premium_close_bps,504))",open_interest|premium,open_interest|premium,24,24,0.333333,0.500000,False,False,DISTINCT_OR_LOW_OVERLAP,low_overlap
a7shadow2_c002,a7shadow2_c007,2,7,"Mul(CSRank(Mean(open_interest_mean,8)),Sign(Mean(premium_close_bps,48)))","SafeDiv(TSRank(open_interest_value_last,336),CSRank(ZScore(Mean(funding_rate_delta_state_24h,72))))",open_interest|premium,funding_dense|open_interest,24,4,0.000000,0.285714,False,False,DISTINCT_OR_LOW_OVERLAP,low_overlap
a7shadow2_c002,a7shadow2_c008,2,8,"Mul(CSRank(Mean(open_interest_mean,8)),Sign(Mean(premium_close_bps,48)))","Mul(CSRank(open_interest_mean),Decay(premium_close_bps,168))",open_interest|premium,open_interest|premium,24,8,1.000000,0.400000,False,False,MECHANISM_CLUSTER_REVIEW,same_semantic_pair_partial_field_overlap
a7shadow2_c002,a7shadow2_c009,2,9,"Mul(CSRank(Mean(open_interest_mean,8)),Sign(Mean(premium_close_bps,48)))","Mul(Decay(premium_abs_state,336),Abs(ZScore(Mean(mark_trade_basis_bps,168))))",open_interest|premium,basis|premium,24,24,0.000000,0.285714,False,False,DISTINCT_OR_LOW_OVERLAP,low_overlap
a7shadow2_c003,a7shadow2_c004,3,4,"TSRank(open_interest_mean,504)","CSRank(TSRank(open_interest_mean,504))",open_interest,open_interest,24,24,1.000000,0.500000,False,False,MECHANISM_CLUSTER_REVIEW,same_semantic_pair_partial_field_overlap
a7shadow2_c003,a7shadow2_c005,3,5,"TSRank(open_interest_mean,504)","Mul(CSRank(Mean(open_interest_mean,12)),Sign(Mean(premium_close_bps,48)))",open_interest,open_interest|premium,24,24,0.500000,0.000000,False,False,DISTINCT_OR_LOW_OVERLAP,low_overlap
a7shadow2_c003,a7shadow2_c006,3,6,"TSRank(open_interest_mean,504)","Mul(open_interest_last,Mean(premium_close_bps,504))",open_interest,open_interest|premium,24,24,0.000000,0.000000,False,False,DISTINCT_OR_LOW_OVERLAP,low_overlap
a7shadow2_c003,a7shadow2_c007,3,7,"TSRank(open_interest_mean,504)","SafeDiv(TSRank(open_interest_value_last,336),CSRank(ZScore(Mean(funding_rate_delta_state_24h,72))))",open_interest,funding_dense|open_interest,24,4,0.000000,0.200000,False,False,DISTINCT_OR_LOW_OVERLAP,low_overlap
a7shadow2_c003,a7shadow2_c008,3,8,"TSRank(open_interest_mean,504)","Mul(CSRank(open_interest_mean),Decay(premium_close_bps,168))",open_interest,open_interest|premium,24,8,0.500000,0.000000,False,False,DISTINCT_OR_LOW_OVERLAP,low_overlap
a7shadow2_c003,a7shadow2_c009,3,9,"TSRank(open_interest_mean,504)","Mul(Decay(premium_abs_state,336),Abs(ZScore(Mean(mark_trade_basis_bps,168))))",open_interest,basis|premium,24,24,0.000000,0.000000,False,False,DISTINCT_OR_LOW_OVERLAP,low_overlap
a7shadow2_c004,a7shadow2_c005,4,5,"CSRank(TSRank(open_interest_mean,504))","Mul(CSRank(Mean(open_interest_mean,12)),Sign(Mean(premium_close_bps,48)))",open_interest,open_interest|premium,24,24,0.500000,0.200000,False,False,DISTINCT_OR_LOW_OVERLAP,low_overlap
a7shadow2_c004,a7shadow2_c006,4,6,"CSRank(TSRank(open_interest_mean,504))","Mul(open_interest_last,Mean(premium_close_bps,504))",open_interest,open_interest|premium,24,24,0.000000,0.000000,False,False,DISTINCT_OR_LOW_OVERLAP,low_overlap
a7shadow2_c004,a7shadow2_c007,4,7,"CSRank(TSRank(open_interest_mean,504))","SafeDiv(TSRank(open_interest_value_last,336),CSRank(ZScore(Mean(funding_rate_delta_state_24h,72))))",open_interest,funding_dense|open_interest,24,4,0.000000,0.400000,False,False,DISTINCT_OR_LOW_OVERLAP,low_overlap
a7shadow2_c004,a7shadow2_c008,4,8,"CSRank(TSRank(open_interest_mean,504))","Mul(CSRank(open_interest_mean),Decay(premium_close_bps,168))",open_interest,open_interest|premium,24,8,0.500000,0.250000,False,False,DISTINCT_OR_LOW_OVERLAP,low_overlap
a7shadow2_c004,a7shadow2_c009,4,9,"CSRank(TSRank(open_interest_mean,504))","Mul(Decay(premium_abs_state,336),Abs(ZScore(Mean(mark_trade_basis_bps,168))))",open_interest,basis|premium,24,24,0.000000,0.000000,False,False,DISTINCT_OR_LOW_OVERLAP,low_overlap
a7shadow2_c005,a7shadow2_c006,5,6,"Mul(CSRank(Mean(open_interest_mean,12)),Sign(Mean(premium_close_bps,48)))","Mul(open_interest_last,Mean(premium_close_bps,504))",open_interest|premium,open_interest|premium,24,24,0.333333,0.500000,False,False,DISTINCT_OR_LOW_OVERLAP,low_overlap
a7shadow2_c005,a7shadow2_c007,5,7,"Mul(CSRank(Mean(open_interest_mean,12)),Sign(Mean(premium_close_bps,48)))","SafeDiv(TSRank(open_interest_value_last,336),CSRank(ZScore(Mean(funding_rate_delta_state_24h,72))))",open_interest|premium,funding_dense|open_interest,24,4,0.000000,0.285714,False,False,DISTINCT_OR_LOW_OVERLAP,low_overlap
a7shadow2_c005,a7shadow2_c008,5,8,"Mul(CSRank(Mean(open_interest_mean,12)),Sign(Mean(premium_close_bps,48)))","Mul(CSRank(open_interest_mean),Decay(premium_close_bps,168))",open_interest|premium,open_interest|premium,24,8,1.000000,0.400000,False,False,MECHANISM_CLUSTER_REVIEW,same_semantic_pair_partial_field_overlap
a7shadow2_c005,a7shadow2_c009,5,9,"Mul(CSRank(Mean(open_interest_mean,12)),Sign(Mean(premium_close_bps,48)))","Mul(Decay(premium_abs_state,336),Abs(ZScore(Mean(mark_trade_basis_bps,168))))",open_interest|premium,basis|premium,24,24,0.000000,0.285714,False,False,DISTINCT_OR_LOW_OVERLAP,low_overlap
a7shadow2_c006,a7shadow2_c007,6,7,"Mul(open_interest_last,Mean(premium_close_bps,504))","SafeDiv(TSRank(open_interest_value_last,336),CSRank(ZScore(Mean(funding_rate_delta_state_24h,72))))",open_interest|premium,funding_dense|open_interest,24,4,0.000000,0.166667,False,False,DISTINCT_OR_LOW_OVERLAP,low_overlap
a7shadow2_c006,a7shadow2_c008,6,8,"Mul(open_interest_last,Mean(premium_close_bps,504))","Mul(CSRank(open_interest_mean),Decay(premium_close_bps,168))",open_interest|premium,open_interest|premium,24,8,0.333333,0.250000,False,False,DISTINCT_OR_LOW_OVERLAP,low_overlap
a7shadow2_c006,a7shadow2_c009,6,9,"Mul(open_interest_last,Mean(premium_close_bps,504))","Mul(Decay(premium_abs_state,336),Abs(ZScore(Mean(mark_trade_basis_bps,168))))",open_interest|premium,basis|premium,24,24,0.000000,0.400000,False,False,DISTINCT_OR_LOW_OVERLAP,low_overlap
a7shadow2_c007,a7shadow2_c008,7,8,"SafeDiv(TSRank(open_interest_value_last,336),CSRank(ZScore(Mean(funding_rate_delta_state_24h,72))))","Mul(CSRank(open_interest_mean),Decay(premium_close_bps,168))",funding_dense|open_interest,open_interest|premium,4,8,0.000000,0.142857,False,False,DISTINCT_OR_LOW_OVERLAP,low_overlap
a7shadow2_c007,a7shadow2_c009,7,9,"SafeDiv(TSRank(open_interest_value_last,336),CSRank(ZScore(Mean(funding_rate_delta_state_24h,72))))","Mul(Decay(premium_abs_state,336),Abs(ZScore(Mean(mark_trade_basis_bps,168))))",funding_dense|open_interest,basis|premium,4,24,0.000000,0.250000,False,False,DISTINCT_OR_LOW_OVERLAP,low_overlap
a7shadow2_c008,a7shadow2_c009,8,9,"Mul(CSRank(open_interest_mean),Decay(premium_close_bps,168))","Mul(Decay(premium_abs_state,336),Abs(ZScore(Mean(mark_trade_basis_bps,168))))",open_interest|premium,basis|premium,8,24,0.000000,0.333333,False,False,DISTINCT_OR_LOW_OVERLAP,low_overlap
