candidate_id,split,rank,month,abs_spread_contribution,abs_contribution_share
a7al2q_d6f7ebc0dbbdda7a,recent_oos_2026JanApr,2,2026-01,6.852182886891038,0.27886425130766834
a7al2q_d6f7ebc0dbbdda7a,recent_oos_2026JanApr,3,2026-03,5.673799700707614,0.23090742493672467
a7al2q_d6f7ebc0dbbdda7a,recent_oos_2026JanApr,4,2026-02,5.005184554435716,0.2036967002295975
a7al2q_d6f7ebc0dbbdda7a,known_may2026_stress,1,2026-05,5.193089498056807,1.0
a7al2q_6671d1fac5e57efe,validation_2025H1,1,2025-03,7.77184300707886,0.21425588572918794
a7al2q_6671d1fac5e57efe,validation_2025H1,2,2025-01,6.7040575212339775,0.18481893945658742
a7al2q_6671d1fac5e57efe,validation_2025H1,3,2025-02,6.462923825701173,0.1781713124434741
a7al2q_6671d1fac5e57efe,validation_2025H1,4,2025-04,5.869956540897845,0.16182425928011887
a7al2q_6671d1fac5e57efe,validation_2025H1,5,2025-05,4.800497646330182,0.13234118010599683
a7al2q_6671d1fac5e57efe,validation_2025H1,6,2025-06,4.664371448015204,0.1285884229846348
a7al2q_6671d1fac5e57efe,test_2025H2,1,2025-11,7.934641305270208,0.20033863548205055
a7al2q_6671d1fac5e57efe,test_2025H2,2,2025-08,7.760186055522813,0.1959338835414859
a7al2q_6671d1fac5e57efe,test_2025H2,3,2025-10,6.279937009417573,0.15855965795760715
a7al2q_6671d1fac5e57efe,test_2025H2,4,2025-09,5.94692829259408,0.15015165192868496
a7al2q_6671d1fac5e57efe,test_2025H2,5,2025-12,5.9191589864560985,0.14945051564716566
a7al2q_6671d1fac5e57efe,test_2025H2,6,2025-07,5.765294644877869,0.14556565544300587
a7al2q_6671d1fac5e57efe,recent_oos_2026JanApr,1,2026-01,6.699582508048237,0.2787882254441636
a7al2q_6671d1fac5e57efe,recent_oos_2026JanApr,2,2026-04,6.432468212163004,0.26767285811326613
a7al2q_6671d1fac5e57efe,recent_oos_2026JanApr,3,2026-03,5.661472181985396,0.23558957309968567
a7al2q_6671d1fac5e57efe,recent_oos_2026JanApr,4,2026-02,5.23755838674412,0.21794934334288468
a7al2q_6671d1fac5e57efe,known_may2026_stress,1,2026-05,4.881409827357828,1.0
