candidate_id,split,offset,n_dates,mean_spread,tstat,positive
a7al2q_f00f22bbcc48dc2c,validation_2025H1,13,180,0.001194772333983171,1.4146532425953566,True
a7al2q_f00f22bbcc48dc2c,validation_2025H1,14,180,0.0011976172265331052,1.4185820475700455,True
a7al2q_f00f22bbcc48dc2c,validation_2025H1,15,180,0.0011926219166495651,1.4226069006139481,True
a7al2q_f00f22bbcc48dc2c,validation_2025H1,16,180,0.0012095361498382865,1.4438586353778478,True
a7al2q_f00f22bbcc48dc2c,validation_2025H1,17,180,0.0011818085677080148,1.4457665147356231,True
a7al2q_f00f22bbcc48dc2c,validation_2025H1,18,180,0.0011888748265259828,1.4904570436551894,True
a7al2q_f00f22bbcc48dc2c,validation_2025H1,19,180,0.0011488791471909075,1.4757130868788368,True
a7al2q_f00f22bbcc48dc2c,validation_2025H1,20,180,0.0013432253865192647,1.6564803453748096,True
a7al2q_f00f22bbcc48dc2c,validation_2025H1,21,180,0.0014205212000483931,1.7611148889955546,True
a7al2q_f00f22bbcc48dc2c,validation_2025H1,22,180,0.0013807272232417302,1.710208598707537,True
a7al2q_f00f22bbcc48dc2c,validation_2025H1,23,179,0.0014313767511879162,1.7843751845216926,True
a7al2q_f00f22bbcc48dc2c,test_2025H2,0,183,0.001719321080169769,1.900619407620966,True
a7al2q_f00f22bbcc48dc2c,test_2025H2,1,183,0.0018036644898395307,1.9707018126987188,True
a7al2q_f00f22bbcc48dc2c,test_2025H2,2,183,0.0018419187070857468,1.943965254920775,True
a7al2q_f00f22bbcc48dc2c,test_2025H2,3,183,0.0018782332319065718,1.9676343816319828,True
a7al2q_f00f22bbcc48dc2c,test_2025H2,4,183,0.001850380989166325,1.9682161934241469,True
a7al2q_f00f22bbcc48dc2c,test_2025H2,5,183,0.0017640177075621086,1.8799618588023337,True
a7al2q_f00f22bbcc48dc2c,test_2025H2,6,183,0.0016716945632122863,1.7104658197005134,True
