candidate_id,variant,split,n_dates,btc_beta,eth_beta,beta_residual_alpha,beta_residual_alpha_tstat,raw_mean_spread
a7al2k_01759e5da72c472c,neutral_multiplier_flag,recent_oos_2026JanApr,2856,-0.010214093473615293,0.0716250006737502,0.002284869549244265,8.026638496503399,0.0021290672420006865
a7al2k_01759e5da72c472c,neutral_multiplier_flag,known_may2026_stress,576,0.15599872731235429,-0.010988639786168347,0.00290193657540325,4.502722064100556,0.002915162843621664
a7al2k_01759e5da72c472c,neutral_major_flag,validation_2025H1,4320,0.04904448214079549,0.043399496821485646,0.0017926047075412308,8.32848125066093,0.0017572291582238179
a7al2k_01759e5da72c472c,neutral_major_flag,test_2025H2,4392,0.06304206921623143,-0.01912957530832128,0.0037720623599305806,15.29597900300396,0.0036868261307513445
a7al2k_01759e5da72c472c,neutral_major_flag,recent_oos_2026JanApr,2856,-0.04682682810858416,0.08842125236379694,0.002189016484276352,7.512264384842357,0.0020383923662538298
a7al2k_01759e5da72c472c,neutral_major_flag,known_may2026_stress,576,0.20960924780141085,-0.0778878713907657,0.0035839208431266687,5.25001212362563,0.0038119103004643825
a7al2k_01759e5da72c472c,neutral_dominant_latent_state,validation_2025H1,4320,0.047960455219202766,0.09467793993418507,0.0007871429338624155,3.142650597978086,0.0006655891645771956
a7al2k_01759e5da72c472c,neutral_dominant_latent_state,test_2025H2,4392,0.012664498061765866,0.05249185621638022,0.005031726306106588,16.957532996368943,0.005075667481029267
a7al2k_01759e5da72c472c,neutral_dominant_latent_state,recent_oos_2026JanApr,2856,-0.09484447523141527,0.07790281754638367,0.0006039813332051111,1.4033985753367235,0.0005366039293694272
a7al2k_01759e5da72c472c,neutral_dominant_latent_state,known_may2026_stress,576,-0.1588458307371066,0.4042998885817104,0.0007437690890111913,0.7948259813622537,-0.0005788734842572187
a7al2k_01759e5da72c472c,exclude_meme,validation_2025H1,4320,-0.013500713794481672,0.11002515841955435,0.0012214118802615214,5.77928297414332,0.0010281031165984115
a7al2k_01759e5da72c472c,exclude_meme,test_2025H2,4392,0.030361847434500964,0.05033529306650506,0.0034624897724859502,14.478009044676512,0.003485986521924044
a7al2k_01759e5da72c472c,exclude_meme,recent_oos_2026JanApr,2856,-0.06762242846585748,0.07502589872403431,0.0017610446218299428,6.345905103343019,0.0016672392392980836
a7al2k_01759e5da72c472c,exclude_meme,known_may2026_stress,576,0.15346380565196044,-0.050756443124543874,0.003069678072773112,4.41010687290896,0.003215722630646896
a7al2k_01759e5da72c472c,exclude_multiplier,validation_2025H1,4320,-0.0055233631994620475,0.10320979442464481,0.0010692269022949102,5.024461044639939,0.0008932610460751282
a7al2k_01759e5da72c472c,exclude_multiplier,test_2025H2,4392,0.02572723674628431,0.0648106952665755,0.0034138686571723973,14.083862422207096,0.003457797900191837
a7al2k_01759e5da72c472c,exclude_multiplier,recent_oos_2026JanApr,2856,-0.08798934144124698,0.0904989407926793,0.0019078264874299788,6.866118110000956,0.0018025025133752454
a7al2k_01759e5da72c472c,exclude_multiplier,known_may2026_stress,576,0.0376590960187076,0.029796428051391363,0.002661097733736957,3.6520651359250533,0.0025562253498722315
a7al2k_01759e5da72c472c,exclude_major,validation_2025H1,4320,0.04904448214079549,0.043399496821485646,0.0017926047075412308,8.32848125066093,0.0017572291582238179
a7al2k_01759e5da72c472c,exclude_major,test_2025H2,4392,0.06304206921623143,-0.01912957530832128,0.0037720623599305806,15.29597900300396,0.0036868261307513445
a7al2k_01759e5da72c472c,exclude_major,recent_oos_2026JanApr,2856,-0.04682682810858416,0.08842125236379694,0.002189016484276352,7.512264384842357,0.0020383923662538298
a7al2k_01759e5da72c472c,exclude_major,known_may2026_stress,576,0.20960924780141085,-0.0778878713907657,0.0035839208431266687,5.25001212362563,0.0038119103004643825
a7al2k_0cf817ef95787b3d,original,validation_2025H1,4320,0.06310799942559292,-0.03640269656044388,0.00197375852087738,8.915020915240955,0.0020818026660040095
a7al2k_0cf817ef95787b3d,original,test_2025H2,4392,0.10930939773614018,-0.1212734551042388,0.004739756825252381,19.237056380915458,0.004496463641794852
a7al2k_0cf817ef95787b3d,original,recent_oos_2026JanApr,2856,0.03634944444916814,0.09888095379906602,0.004067255541977077,12.702085450234861,0.0037906611248732097
a7al2k_0cf817ef95787b3d,original,known_may2026_stress,576,0.011057172527006581,0.02973550023427035,0.006587534161535735,11.235329014887169,0.0064868497461751
a7al2k_0cf817ef95787b3d,one_bar_lag,validation_2025H1,4320,0.06526662786426987,-0.037643807262188765,0.001991199309747434,8.999329006574479,0.0021029323881084387
a7al2k_0cf817ef95787b3d,one_bar_lag,test_2025H2,4392,0.10937305584977966,-0.12138441144751176,0.004695122880997392,19.173764273056694,0.004451644295135924
a7al2k_0cf817ef95787b3d,one_bar_lag,recent_oos_2026JanApr,2856,0.03061878282196845,0.10301134674102112,0.003952304213665265,12.362822462011327,0.0036729932914598066
a7al2k_0cf817ef95787b3d,one_bar_lag,known_may2026_stress,576,0.015640246443385644,0.023528361813780662,0.006417520369050728,11.055848104671005,0.006336821000432127
a7al2k_0cf817ef95787b3d,neutral_liquidity_tier,validation_2025H1,4320,0.011151315498404816,-0.024558151739699323,0.0007131059517772924,3.2598601295752605,0.0007623714716210096
a7al2k_0cf817ef95787b3d,neutral_liquidity_tier,test_2025H2,4392,0.10594329221372359,-0.09625853630054418,0.002668659366840215,13.310535295155251,0.0024559251603155936
a7al2k_0cf817ef95787b3d,neutral_liquidity_tier,recent_oos_2026JanApr,2856,0.048672919883244695,0.054939377490609245,0.002668718839329684,9.219966333916807,0.002480324098167467
a7al2k_0cf817ef95787b3d,neutral_liquidity_tier,known_may2026_stress,576,0.05245154806550752,0.06149108708038389,0.005626990540945058,9.961158164679585,0.00541434960546895
a7al2k_0cf817ef95787b3d,neutral_meme_contract_group,validation_2025H1,4320,0.04029406647504727,-0.035947281942805755,0.0017805724328360168,7.872773431418381,0.0018707069470593398
a7al2k_0cf817ef95787b3d,neutral_meme_contract_group,test_2025H2,4392,0.09828505598994086,-0.09731106122888154,0.005417227610382248,22.646887239289416,0.005211187941410832
a7al2k_0cf817ef95787b3d,neutral_meme_contract_group,recent_oos_2026JanApr,2856,0.00987858739058288,0.11265177086105821,0.004279027964183106,12.557828615867248,0.004002354912375128
a7al2k_0cf817ef95787b3d,neutral_meme_contract_group,known_may2026_stress,576,-0.03401538737851627,0.07798152613723307,0.006683139439656525,10.205903815497466,0.006428533512057237
a7al2k_0cf817ef95787b3d,neutral_multiplier_flag,validation_2025H1,4320,0.06388117764640078,-0.024595397850147936,0.0017338634268261543,7.969937425393656,0.0018228332310109227
a7al2k_0cf817ef95787b3d,neutral_multiplier_flag,test_2025H2,4392,0.1149531531524495,-0.11136976099418995,0.004853102191714059,19.967152919967315,0.004614769809657251
a7al2k_0cf817ef95787b3d,neutral_multiplier_flag,recent_oos_2026JanApr,2856,0.06072707405203373,0.08668788525617932,0.004083041947346222,12.610584865992447,0.0038053717118001853
a7al2k_0cf817ef95787b3d,neutral_multiplier_flag,known_may2026_stress,576,0.09123950502704543,0.0066940634322492365,0.005652122927788796,9.45683394101404,0.005616161720436282
a7al2k_0cf817ef95787b3d,neutral_major_flag,validation_2025H1,4320,0.037675966721143185,0.006025809127893276,0.001969174751204042,8.74007514566023,0.0019874683544271734
a7al2k_0cf817ef95787b3d,neutral_major_flag,test_2025H2,4392,0.09655689597381797,-0.09212538532792017,0.004872621061474711,19.821081039436397,0.004673970564569436
a7al2k_0cf817ef95787b3d,neutral_major_flag,recent_oos_2026JanApr,2856,0.0005566139419575927,0.1259092029558455,0.004079532408572953,12.434300376833416,0.0037830806685882224
a7al2k_0cf817ef95787b3d,neutral_major_flag,known_may2026_stress,576,-0.040496719186143906,0.07749321164030853,0.007212661317752578,12.340454828792081,0.006960652547978014
a7al2k_0cf817ef95787b3d,neutral_dominant_latent_state,validation_2025H1,4320,0.04900698740799501,-0.007153555876475398,0.002538027481970109,10.566396488821937,0.00258677943549567
a7al2k_0cf817ef95787b3d,neutral_dominant_latent_state,test_2025H2,4392,0.08963685705162786,-0.05779386803556634,0.005672173671779477,18.50603037365109,0.005517817065041407
a7al2k_0cf817ef95787b3d,neutral_dominant_latent_state,recent_oos_2026JanApr,2856,0.043947622871137265,0.12304675136235559,0.0030669154036663407,6.856247171383255,0.0027242902676519933
a7al2k_0cf817ef95787b3d,neutral_dominant_latent_state,known_may2026_stress,576,0.32143188940612855,0.08263130228559312,0.008676791097513657,12.31643878427884,0.00835345279898043
a7al2k_0cf817ef95787b3d,exclude_meme,validation_2025H1,4320,0.03310542048066674,-0.03076776686031035,0.0017244811383155063,7.924895452690906,0.0018005888912493713
a7al2k_0cf817ef95787b3d,exclude_meme,test_2025H2,4392,0.11546348087219446,-0.10580219295918075,0.005333906823168337,22.76324267061639,0.005101087286576902
a7al2k_0cf817ef95787b3d,exclude_meme,recent_oos_2026JanApr,2856,0.013662356628124997,0.10290049102363283,0.004107586979269749,12.455882025393258,0.0038492078906189
a7al2k_0cf817ef95787b3d,exclude_meme,known_may2026_stress,576,-0.045064798281438515,0.04796382599197718,0.006557787722945003,10.522832677680986,0.006404804857174297
a7al2k_0cf817ef95787b3d,exclude_multiplier,validation_2025H1,4320,0.030078555918425107,-0.030132831986215573,0.0018079260174786605,8.228796386537129,0.0018807011989429932
a7al2k_0cf817ef95787b3d,exclude_multiplier,test_2025H2,4392,0.11438484035878449,-0.10643328595383247,0.005260535950705918,22.40924361519512,0.005028135936151464
a7al2k_0cf817ef95787b3d,exclude_multiplier,recent_oos_2026JanApr,2856,0.010813206366017528,0.10344833027612002,0.004222030949473119,12.865810430394262,0.003965838304966757
a7al2k_0cf817ef95787b3d,exclude_multiplier,known_may2026_stress,576,-0.022565635956253924,0.06618240371566048,0.006513451634880472,10.329175756046782,0.006296425062792326
a7al2k_0cf817ef95787b3d,exclude_major,validation_2025H1,4320,0.037675966721143185,0.006025809127893276,0.001969174751204042,8.74007514566023,0.0019874683544271734
