level,semantic_pair,motif,formula_count,materialization_count,company_wave_count,skeleton_count,production_key_count,formula_share,materialization_share,company_wave_share,materialization_rate_from_formula,company_rate_from_formula,materialization_dropoff,company_dropoff,materialization_absent,company_absent
L4_factor_candidate_probe,liquidity_like|volatility_like,signed_spread,36,0,0,1,36,0.00174765765328414,0.0,0.0,0.0,0.0,36,36,True,True
L4_factor_candidate_probe,basis_premium_like|price_like,spread_rank,32,0,0,1,32,0.0015534734695859022,0.0,0.0,0.0,0.0,32,32,True,True
L4_factor_candidate_probe,basis_premium_like|price_like,smooth_mul,31,0,0,1,31,0.0015049274236613429,0.0,0.0,0.0,0.0,31,31,True,True
L4_factor_candidate_probe,liquidity_like|volatility_like,smooth_mul,26,0,0,1,26,0.0012621971940385455,0.0,0.0,0.0,0.0,26,26,True,True
L4_factor_candidate_probe,liquidity_like|volatility_like,spread_rank,26,0,0,1,26,0.0012621971940385455,0.0,0.0,0.0,0.0,26,26,True,True
L4_factor_candidate_probe,basis_premium_like|volatility_like,gated_sign,24,0,0,1,24,0.0011651051021894267,0.0,0.0,0.0,0.0,24,24,True,True
L4_factor_candidate_probe,basis_premium_like|volatility_like,mul,24,0,0,1,24,0.0011651051021894267,0.0,0.0,0.0,0.0,24,24,True,True
L4_factor_candidate_probe,basis_premium_like|volatility_like,safe_div_abs,23,0,0,1,23,0.0011165590562648672,0.0,0.0,0.0,0.0,23,23,True,True
L4_factor_candidate_probe,basis_premium_like|volatility_like,sub,23,0,0,1,23,0.0011165590562648672,0.0,0.0,0.0,0.0,23,23,True,True
L4_factor_candidate_probe,basis_premium_like|liquidity_like,smooth_mul,15,0,0,1,15,0.0007281906888683917,0.0,0.0,0.0,0.0,15,15,True,True
L4_factor_candidate_probe,basis_premium_like|liquidity_like,spread_rank,15,0,0,1,15,0.0007281906888683917,0.0,0.0,0.0,0.0,15,15,True,True
L4_factor_candidate_probe,basis_premium_like|price_like,gated_sign,15,0,0,1,15,0.0007281906888683917,0.0,0.0,0.0,0.0,15,15,True,True
L4_factor_candidate_probe,basis_premium_like|price_like,mul,15,0,0,1,15,0.0007281906888683917,0.0,0.0,0.0,0.0,15,15,True,True
L4_factor_candidate_probe,basis_premium_like|price_like,safe_div_abs,15,0,0,1,15,0.0007281906888683917,0.0,0.0,0.0,0.0,15,15,True,True
L4_factor_candidate_probe,basis_premium_like|price_like,sub,15,0,0,1,15,0.0007281906888683917,0.0,0.0,0.0,0.0,15,15,True,True
L4_factor_candidate_probe,basis_premium_like|basis_premium_like,smooth_mul,13,0,0,1,13,0.0006310985970192727,0.0,0.0,0.0,0.0,13,13,True,True
L4_factor_candidate_probe,basis_premium_like|basis_premium_like,spread_rank,13,0,0,1,13,0.0006310985970192727,0.0,0.0,0.0,0.0,13,13,True,True
L4_factor_candidate_probe,basis_premium_like|volatility_like,relative_shock,12,0,0,1,12,0.0005825525510947133,0.0,0.0,0.0,0.0,12,12,True,True
L4_factor_candidate_probe,basis_premium_like|basis_premium_like,gated_sign,9,0,0,1,9,0.000436914413321035,0.0,0.0,0.0,0.0,9,9,True,True
L4_factor_candidate_probe,basis_premium_like|basis_premium_like,mul,9,0,0,1,9,0.000436914413321035,0.0,0.0,0.0,0.0,9,9,True,True
L4_factor_candidate_probe,basis_premium_like|basis_premium_like,safe_div_abs,9,0,0,1,9,0.000436914413321035,0.0,0.0,0.0,0.0,9,9,True,True
L4_factor_candidate_probe,basis_premium_like|basis_premium_like,sub,9,0,0,1,9,0.000436914413321035,0.0,0.0,0.0,0.0,9,9,True,True
L4_factor_candidate_probe,basis_premium_like|liquidity_like,gated_sign,8,0,0,1,8,0.00038836836739647554,0.0,0.0,0.0,0.0,8,8,True,True
L4_factor_candidate_probe,basis_premium_like|liquidity_like,mul,8,0,0,1,8,0.00038836836739647554,0.0,0.0,0.0,0.0,8,8,True,True
L4_factor_candidate_probe,basis_premium_like|liquidity_like,safe_div_abs,8,0,0,1,8,0.00038836836739647554,0.0,0.0,0.0,0.0,8,8,True,True
L4_factor_candidate_probe,basis_premium_like|liquidity_like,sub,8,0,0,1,8,0.00038836836739647554,0.0,0.0,0.0,0.0,8,8,True,True
L4_factor_candidate_probe,basis_premium_like|generic_numeric,smooth_mul,6,0,0,1,6,0.00029127627554735667,0.0,0.0,0.0,0.0,6,6,True,True
L4_factor_candidate_probe,basis_premium_like|generic_numeric,spread_rank,6,0,0,1,6,0.00029127627554735667,0.0,0.0,0.0,0.0,6,6,True,True
L4_factor_candidate_probe,basis_premium_like|price_like,relative_shock,6,0,0,1,6,0.00029127627554735667,0.0,0.0,0.0,0.0,6,6,True,True
L4_factor_candidate_probe,basis_premium_like|state_or_taxonomy,signed_spread,6,0,0,1,6,0.00029127627554735667,0.0,0.0,0.0,0.0,6,6,True,True
L4_factor_candidate_probe,basis_premium_like|state_or_taxonomy,smooth_mul,6,0,0,1,6,0.00029127627554735667,0.0,0.0,0.0,0.0,6,6,True,True
L4_factor_candidate_probe,basis_premium_like|generic_numeric,gated_sign,3,0,0,1,3,0.00014563813777367833,0.0,0.0,0.0,0.0,3,3,True,True
L4_factor_candidate_probe,basis_premium_like|generic_numeric,mul,3,0,0,1,3,0.00014563813777367833,0.0,0.0,0.0,0.0,3,3,True,True
L4_factor_candidate_probe,basis_premium_like|generic_numeric,safe_div_abs,3,0,0,1,3,0.00014563813777367833,0.0,0.0,0.0,0.0,3,3,True,True
L4_factor_candidate_probe,basis_premium_like|generic_numeric,sub,3,0,0,1,3,0.00014563813777367833,0.0,0.0,0.0,0.0,3,3,True,True
L4_factor_candidate_probe,basis_premium_like|state_or_taxonomy,gated_sign,3,0,0,1,3,0.00014563813777367833,0.0,0.0,0.0,0.0,3,3,True,True
L4_factor_candidate_probe,basis_premium_like|state_or_taxonomy,mul,3,0,0,1,3,0.00014563813777367833,0.0,0.0,0.0,0.0,3,3,True,True
L3_state_conditioned_feature,basis_premium_like|funding_like,signed_spread,482,219,19,9,482,0.023399194135637652,0.073,0.007916666666666667,0.45435684647302904,0.03941908713692946,263,463,False,False
L3_state_conditioned_feature,funding_like|positioning_like,gated_sign,421,162,13,9,421,0.020437885334239528,0.054,0.005416666666666667,0.3847980997624703,0.030878859857482184,259,408,False,False
L2_typed_two_field_interaction,basis_premium_like|volatility_like,smooth_mul,439,129,129,8,439,0.021311714160881595,0.043,0.05375,0.2938496583143508,0.2938496583143508,310,310,False,False
L3_state_conditioned_feature,basis_premium_like|funding_like,safe_div_abs,196,22,22,7,196,0.00951502500121365,0.007333333333333333,0.009166666666666667,0.11224489795918367,0.11224489795918367,174,174,False,False
L3_state_conditioned_feature,basis_premium_like|funding_like,relative_shock,462,314,314,8,462,0.022428273217146463,0.10466666666666667,0.13083333333333333,0.6796536796536796,0.6796536796536796,148,148,False,False
L3_state_conditioned_feature,basis_premium_like|funding_like,mean_reversion_gate,361,256,256,9,361,0.01752512257876596,0.08533333333333333,0.10666666666666667,0.7091412742382271,0.7091412742382271,105,105,False,False
L2_typed_two_field_interaction,basis_premium_like|volatility_like,safe_div_abs,124,24,24,5,124,0.006019709694645371,0.008,0.01,0.1935483870967742,0.1935483870967742,100,100,False,False
L2_typed_two_field_interaction,basis_premium_like|volatility_like,sub,124,24,24,5,124,0.006019709694645371,0.008,0.01,0.1935483870967742,0.1935483870967742,100,100,False,False
L3_state_conditioned_feature,basis_premium_like|funding_like,mul,151,62,62,6,151,0.007330452934608476,0.020666666666666667,0.025833333333333333,0.4105960264900662,0.4105960264900662,89,89,False,False
L2_typed_two_field_interaction,basis_premium_like|volatility_like,spread_rank,184,114,114,6,184,0.008932472450118937,0.038,0.0475,0.6195652173913043,0.6195652173913043,70,70,False,False
L2_typed_two_field_interaction,price_like|volatility_like,smooth_mul,112,42,42,6,112,0.005437157143550658,0.014,0.0175,0.375,0.375,70,70,False,False
L3_state_conditioned_feature,basis_premium_like|funding_like,gated_sign,196,127,127,7,196,0.00951502500121365,0.042333333333333334,0.05291666666666667,0.6479591836734694,0.6479591836734694,69,69,False,False
L2_typed_two_field_interaction,basis_premium_like|volatility_like,gated_sign,124,64,64,5,124,0.006019709694645371,0.021333333333333333,0.02666666666666667,0.5161290322580645,0.5161290322580645,60,60,False,False
L2_typed_two_field_interaction,basis_premium_like|volatility_like,mul,124,64,64,5,124,0.006019709694645371,0.021333333333333333,0.02666666666666667,0.5161290322580645,0.5161290322580645,60,60,False,False
L2_typed_two_field_interaction,price_like|volatility_like,sub,58,2,2,5,58,0.0028156706636244476,0.0006666666666666666,0.0008333333333333334,0.034482758620689655,0.034482758620689655,56,56,False,False
L2_typed_two_field_interaction,price_like|volatility_like,safe_div_abs,56,2,2,5,56,0.002718578571775329,0.0006666666666666666,0.0008333333333333334,0.03571428571428571,0.03571428571428571,54,54,False,False
L2_typed_two_field_interaction,price_like|volatility_like,mul,58,12,12,5,58,0.0028156706636244476,0.004,0.005,0.20689655172413793,0.20689655172413793,46,46,False,False
L2_typed_two_field_interaction,volatility_like|volatility_like,smooth_mul,56,11,11,6,56,0.002718578571775329,0.0036666666666666666,0.004583333333333333,0.19642857142857142,0.19642857142857142,45,45,False,False
L2_typed_two_field_interaction,price_like|volatility_like,gated_sign,56,12,12,5,56,0.002718578571775329,0.004,0.005,0.21428571428571427,0.21428571428571427,44,44,False,False
L2_typed_two_field_interaction,basis_premium_like|price_like,smooth_mul,212,172,172,8,212,0.010291761736006603,0.05733333333333333,0.07166666666666667,0.8113207547169812,0.8113207547169812,40,40,False,False
L1_single_field_transform,volatility_like,single,84,48,48,6,84,0.004077867857662993,0.016,0.02,0.5714285714285714,0.5714285714285714,36,36,False,False
L2_typed_two_field_interaction,price_like|volatility_like,spread_rank,62,32,32,5,62,0.0030098548473226857,0.010666666666666666,0.013333333333333334,0.5161290322580645,0.5161290322580645,30,30,False,False
L2_typed_two_field_interaction,volatility_like|volatility_like,gated_sign,31,1,1,5,31,0.0015049274236613429,0.0003333333333333333,0.0004166666666666667,0.03225806451612903,0.03225806451612903,30,30,False,False
L2_typed_two_field_interaction,volatility_like|volatility_like,mul,31,1,1,5,31,0.0015049274236613429,0.0003333333333333333,0.0004166666666666667,0.03225806451612903,0.03225806451612903,30,30,False,False
L2_typed_two_field_interaction,volatility_like|volatility_like,safe_div_abs,31,1,1,5,31,0.0015049274236613429,0.0003333333333333333,0.0004166666666666667,0.03225806451612903,0.03225806451612903,30,30,False,False
L2_typed_two_field_interaction,volatility_like|volatility_like,sub,31,1,1,5,31,0.0015049274236613429,0.0003333333333333333,0.0004166666666666667,0.03225806451612903,0.03225806451612903,30,30,False,False
L2_typed_two_field_interaction,volatility_like|volatility_like,spread_rank,31,11,11,5,31,0.0015049274236613429,0.0036666666666666666,0.004583333333333333,0.3548387096774194,0.3548387096774194,20,20,False,False
L2_typed_two_field_interaction,basis_premium_like|price_like,sub,62,52,52,5,62,0.0030098548473226857,0.017333333333333333,0.021666666666666667,0.8387096774193549,0.8387096774193549,10,10,False,False
L2_typed_two_field_interaction,basis_premium_like|basis_premium_like,smooth_mul,165,165,165,9,165,0.008010097577552309,0.055,0.06875,1.0,1.0,0,0,False,False
L2_typed_two_field_interaction,basis_premium_like|price_like,spread_rank,87,87,87,6,87,0.004223505995436671,0.029,0.03625,1.0,1.0,0,0,False,False
L1_single_field_transform,basis_premium_like,single,81,81,81,6,81,0.003932229719889315,0.027,0.03375,1.0,1.0,0,0,False,False
L2_typed_two_field_interaction,basis_premium_like|basis_premium_like,spread_rank,66,66,66,7,66,0.0032040390310209233,0.022,0.0275,1.0,1.0,0,0,False,False
L2_typed_two_field_interaction,basis_premium_like|price_like,gated_sign,62,62,62,5,62,0.0030098548473226857,0.020666666666666667,0.025833333333333333,1.0,1.0,0,0,False,False
L2_typed_two_field_interaction,basis_premium_like|price_like,mul,62,62,62,5,62,0.0030098548473226857,0.020666666666666667,0.025833333333333333,1.0,1.0,0,0,False,False
L2_typed_two_field_interaction,basis_premium_like|price_like,safe_div_abs,62,62,62,5,62,0.0030098548473226857,0.020666666666666667,0.025833333333333333,1.0,1.0,0,0,False,False
L2_typed_two_field_interaction,basis_premium_like|basis_premium_like,mul,41,41,41,6,41,0.0019903878829069374,0.013666666666666667,0.017083333333333332,1.0,1.0,0,0,False,False
L2_typed_two_field_interaction,basis_premium_like|basis_premium_like,sub,41,41,41,6,41,0.0019903878829069374,0.013666666666666667,0.017083333333333332,1.0,1.0,0,0,False,False
L1_single_field_transform,price_like,single,34,34,34,5,34,0.0016505655614350212,0.011333333333333334,0.014166666666666666,1.0,1.0,0,0,False,False
L2_typed_two_field_interaction,basis_premium_like|basis_premium_like,gated_sign,34,34,34,6,34,0.0016505655614350212,0.011333333333333334,0.014166666666666666,1.0,1.0,0,0,False,False
L2_typed_two_field_interaction,basis_premium_like|basis_premium_like,safe_div_abs,33,33,33,6,33,0.0016020195155104617,0.011,0.01375,1.0,1.0,0,0,False,False
