blueprint_id,label_family,label_horizon_h,orientation_from_train,robust_median_tstat_floor,robust_min_tstat_floor,robust_ok
a7ff33_c4e35734432be936,L7_ranked_future_return,4,-1.0,-3.4688202950962665,-2.1158571863237943,False
a7ff33_c4e35734432be936,L0_raw_forward_return,8,-1.0,-1.3662791330545194,-0.3980736093297402,False
a7ff33_c4e35734432be936,L1_cross_sectional_relative_return,8,-1.0,-1.3662791330545192,-0.39807360932973973,False
a7ff33_c4e35734432be936,L3_liquidity_tier_relative_return,8,-1.0,-1.4877896090992344,-0.5845097764561984,False
a7ff33_c4e35734432be936,L5_vol_adjusted_return,8,-1.0,-1.7829191543139442,-0.16583711678158847,False
a7ff33_c4e35734432be936,L7_ranked_future_return,8,-1.0,-1.8738868595189635,-0.9827502392798154,False
a7ff33_c4e35734432be936,L0_raw_forward_return,24,-1.0,-0.3546069441050842,0.9573437417028583,False
a7ff33_c4e35734432be936,L1_cross_sectional_relative_return,24,-1.0,-0.3546069441050842,0.9573437417028586,False
a7ff33_c4e35734432be936,L3_liquidity_tier_relative_return,24,-1.0,-0.37222789670049977,1.0111536705029434,False
a7ff33_c4e35734432be936,L5_vol_adjusted_return,24,-1.0,-0.8116462665899454,1.0430216465913442,False
a7ff33_c4e35734432be936,L7_ranked_future_return,24,-1.0,-0.1551826068451596,1.401133206311973,False
a7ff33_eda87df62c06d036,L0_raw_forward_return,1,1.0,3.3048145181849775,3.3048145181849775,True
a7ff33_eda87df62c06d036,L1_cross_sectional_relative_return,1,1.0,3.3048145181849775,3.3048145181849775,True
a7ff33_eda87df62c06d036,L3_liquidity_tier_relative_return,1,1.0,3.4683358170587875,3.4683358170587875,True
a7ff33_eda87df62c06d036,L5_vol_adjusted_return,1,1.0,5.82468454153549,5.82468454153549,True
a7ff33_eda87df62c06d036,L7_ranked_future_return,1,1.0,7.510686035600644,7.510686035600644,True
a7ff33_eda87df62c06d036,L0_raw_forward_return,4,-1.0,-2.319181120093056,-1.0078460736477302,False
a7ff33_eda87df62c06d036,L1_cross_sectional_relative_return,4,-1.0,-2.319181120093056,-1.0078460736477304,False
a7ff33_eda87df62c06d036,L3_liquidity_tier_relative_return,4,-1.0,-2.288020658425308,-1.1638664249198667,False
a7ff33_eda87df62c06d036,L5_vol_adjusted_return,4,1.0,-0.6035224878276524,-0.8681705773163125,False
a7ff33_eda87df62c06d036,L7_ranked_future_return,4,1.0,3.2292724080455146,1.781364546561033,True
a7ff33_eda87df62c06d036,L0_raw_forward_return,8,-1.0,-1.3194007440095326,-1.0470565936638352,False
a7ff33_eda87df62c06d036,L1_cross_sectional_relative_return,8,-1.0,-1.3194007440095326,-1.0470565936638352,False
a7ff33_eda87df62c06d036,L3_liquidity_tier_relative_return,8,-1.0,-1.2351685932002296,-0.8897916891369274,False
a7ff33_eda87df62c06d036,L5_vol_adjusted_return,8,-1.0,-1.395173773510452,-0.08987489329344493,False
a7ff33_eda87df62c06d036,L7_ranked_future_return,8,1.0,1.343727089354327,0.6302772204274529,True
a7ff33_eda87df62c06d036,L0_raw_forward_return,24,-1.0,-1.7218671431379633,0.043975287999600536,False
a7ff33_eda87df62c06d036,L1_cross_sectional_relative_return,24,-1.0,-1.7218671431379629,0.04397528799960053,False
a7ff33_eda87df62c06d036,L3_liquidity_tier_relative_return,24,-1.0,-1.6940543138923698,-0.006001122129919818,False
a7ff33_eda87df62c06d036,L5_vol_adjusted_return,24,-1.0,-1.1665213066681663,0.36807517519387056,False
a7ff33_eda87df62c06d036,L7_ranked_future_return,24,1.0,0.3719969759491326,-2.085993856263792,True
a7ff33_cbeab61121c2f170,L0_raw_forward_return,1,-1.0,5.101059874230129,5.101059874230129,True
a7ff33_cbeab61121c2f170,L1_cross_sectional_relative_return,1,-1.0,5.101059874230129,5.101059874230129,True
