field_id,rows,valid_rows,non_null_ratio,pre2024_non_null_ratio,top2024_non_null_ratio,mean,variance,minimum,maximum,assets_with_time_variation,field_family,value_type,unit,sparse_semantics,observable_lag_hours,lineage_ok,economic_role,current_runtime_baseline,admission_status,rejection_reason,qualification_block,report_only_rows_read_for_admission,field_selection_role,continuation_surface_member
global_long_short_account_ratio_mean,1522509,1519669,0.9981346579888855,0.9987077282041311,0.997685963188546,2.6082393388417313,1.1939166228687508,0.20198175311088562,17.580631256103516,211,account_crowding,RATIO,dimensionless,False,1,True,account-side crowding state,False,ADMITTED,,DEVELOPMENT_ADAPTIVE_ONLY,0,FROZEN_CURRENT_SURFACE_FAIL_CLOSED_ONLY,True
premium_high,1522509,1522500,0.9999940887048944,1.0,0.9999894603586523,0.001519197554862739,4.3551358374599485e-06,-0.17470063269138336,0.32505670189857483,211,basis_premium,RATIO,dimensionless,False,1,True,mark/index/trade dislocation state,False,ADMITTED,,DEVELOPMENT_ADAPTIVE_ONLY,0,FROZEN_CURRENT_SURFACE_FAIL_CLOSED_ONLY,True
active_universe_size,1522509,1522509,1.0,1.0,1.0,67.48806148272358,5715.632935010265,1.0,176.0,176,cross_asset_market_state,STATE,assets,False,1,True,observable active-universe context,False,ADMITTED,,DEVELOPMENT_ADAPTIVE_ONLY,0,FROZEN_CURRENT_SURFACE_FAIL_CLOSED_ONLY,True
listing_age_days,1522509,1522509,1.0,1.0,1.0,167.95481650081118,10906.480597691776,0.0,365.9583435058594,211,listing_age_context,AGE,days,False,1,True,point-in-time maturity context,False,ADMITTED,,DEVELOPMENT_ADAPTIVE_ONLY,0,FROZEN_CURRENT_SURFACE_FAIL_CLOSED_ONLY,True
open_interest_last_change_1h,1522509,1518801,0.9975645464164744,0.9978267697692158,0.9973592343067668,-4.670205400477563e-05,0.0006589768878070566,-1.0,3.8796093463897705,211,open_interest_level_change,RETURN,dimensionless,False,1,True,contract open-interest level or change,False,ADMITTED,,DEVELOPMENT_ADAPTIVE_ONLY,0,FROZEN_CURRENT_SURFACE_FAIL_CLOSED_ONLY,True
open_interest_value_last_change_1h,1522509,1518801,0.9975645464164744,0.9978267697692158,0.9973592343067668,9.698919107277688e-05,0.0009584774973828815,-1.0,5.395636081695557,211,open_interest_value,RETURN,dimensionless,False,1,True,notional open-interest level or change,False,ADMITTED,,DEVELOPMENT_ADAPTIVE_ONLY,0,FROZEN_CURRENT_SURFACE_FAIL_CLOSED_ONLY,True
top_long_short_position_ratio_mean,1522509,1519669,0.9981346579888855,0.9987077282041311,0.997685963188546,1.4459163273210862,0.29428460169227283,0.4104067385196686,7.182522296905518,211,position_crowding,RATIO,dimensionless,False,1,True,position-side crowding state,False,ADMITTED,,DEVELOPMENT_ADAPTIVE_ONLY,0,FROZEN_CURRENT_SURFACE_FAIL_CLOSED_ONLY,True
index_open,1522509,1521765,0.9995113329379334,1.0,0.9991287229819221,332.3229366382684,13809357.946500659,0.00016096000035759062,73574.6953125,211,price_level,PRICE,quote_per_base,False,1,True,price reference used only through normalized relations,False,ADMITTED,,DEVELOPMENT_ADAPTIVE_ONLY,0,FROZEN_CURRENT_SURFACE_FAIL_CLOSED_ONLY,True
trade_return_1h,1522509,1521366,0.9992492655215831,0.9986060216276044,0.9997529039639591,8.35160092299796e-05,0.00014337854669372127,-0.6223423480987549,0.6973963975906372,211,price_return,RETURN,dimensionless,False,1,True,observable price response,False,ADMITTED,,DEVELOPMENT_ADAPTIVE_ONLY,0,FROZEN_CURRENT_SURFACE_FAIL_CLOSED_ONLY,True
trade_count,1522509,1522509,1.0,1.0,1.0,18173.57587771238,1652253370.8875034,39.0,3550298.0,211,quote_volume_activity,COUNT,trades,False,1,True,trading activity and participation,False,ADMITTED,,DEVELOPMENT_ADAPTIVE_ONLY,0,FROZEN_CURRENT_SURFACE_FAIL_CLOSED_ONLY,True
top_long_short_account_ratio_mean,1522509,1519669,0.9981346579888855,0.9987077282041311,0.997685963188546,2.5505260575468442,1.1391799030400953,0.17165400087833405,14.537487030029297,211,account_crowding,RATIO,dimensionless,False,1,True,account-side crowding state,False,ADMITTED,,DEVELOPMENT_ADAPTIVE_ONLY,0,FROZEN_CURRENT_SURFACE_FAIL_CLOSED_ONLY,True
premium_open,1522509,1522500,0.9999940887048944,1.0,0.9999894603586523,7.33799779701126e-05,2.637001790200613e-06,-0.31320253014564514,0.08829528093338013,211,basis_premium,RATIO,dimensionless,False,1,True,mark/index/trade dislocation state,False,ADMITTED,,DEVELOPMENT_ADAPTIVE_ONLY,0,FROZEN_CURRENT_SURFACE_FAIL_CLOSED_ONLY,True
history_length_hours,1522509,1522509,1.0,1.0,1.0,1348.453620963817,1657939.2069474214,1.0,4368.0,211,listing_age_context,AGE,hours,False,1,True,point-in-time maturity context,False,ADMITTED,,DEVELOPMENT_ADAPTIVE_ONLY,0,FROZEN_CURRENT_SURFACE_FAIL_CLOSED_ONLY,True
open_interest_last_change_4h,1522509,1517496,0.9967074086261559,0.9968889753062415,0.9965652479919056,0.0008205661288990651,0.0031207135932911807,-1.0,12.609909057617188,211,open_interest_level_change,RETURN,dimensionless,False,1,True,contract open-interest level or change,False,ADMITTED,,DEVELOPMENT_ADAPTIVE_ONLY,0,FROZEN_CURRENT_SURFACE_FAIL_CLOSED_ONLY,True
open_interest_value_last_change_4h,1522509,1517496,0.9967074086261559,0.9968889753062415,0.9965652479919056,0.0014882539813540771,0.005102211965712822,-1.0,14.945168495178223,211,open_interest_value,RETURN,dimensionless,False,1,True,notional open-interest level or change,False,ADMITTED,,DEVELOPMENT_ADAPTIVE_ONLY,0,FROZEN_CURRENT_SURFACE_FAIL_CLOSED_ONLY,True
index_low,1522509,1521765,0.9995113329379334,1.0,0.9991287229819221,331.06798996892275,13710335.188400071,0.0001512400049250573,73213.859375,211,price_level,PRICE,quote_per_base,False,1,True,price reference used only through normalized relations,False,ADMITTED,,DEVELOPMENT_ADAPTIVE_ONLY,0,FROZEN_CURRENT_SURFACE_FAIL_CLOSED_ONLY,True
taker_buy_sell_volume_ratio_last,1522509,1519669,0.9981346579888855,0.9987077282041311,0.997685963188546,1.5616144368719447,13626.987533841095,0.0,142227.0,211,quote_volume_activity,RATIO,dimensionless,False,1,True,trading activity and participation,False,ADMITTED,,DEVELOPMENT_ADAPTIVE_ONLY,0,FROZEN_CURRENT_SURFACE_FAIL_CLOSED_ONLY,True
premium_low,1522509,1522500,0.9999940887048944,1.0,0.9999894603586523,-0.0014413268061102887,8.927811293669346e-06,-0.44085532426834106,0.005630699917674065,211,basis_premium,RATIO,dimensionless,False,1,True,mark/index/trade dislocation state,False,ADMITTED,,DEVELOPMENT_ADAPTIVE_ONLY,0,FROZEN_CURRENT_SURFACE_FAIL_CLOSED_ONLY,True
age_percentile_active_universe,1522509,1522509,1.0,1.0,1.0,0.781881751296494,0.07092068194917472,0.005681818351149559,1.0,176,listing_age_context,UNIT_INTERVAL,dimensionless,False,1,True,point-in-time maturity context,False,ADMITTED,,DEVELOPMENT_ADAPTIVE_ONLY,0,FROZEN_CURRENT_SURFACE_FAIL_CLOSED_ONLY,True
open_interest_last_change_24h,1522509,1511404,0.9927061186502018,0.990637012219746,0.9943261597411464,0.007529362561174173,0.045010535248087694,-1.0,39.91549301147461,211,open_interest_level_change,RETURN,dimensionless,False,1,True,contract open-interest level or change,False,ADMITTED,,DEVELOPMENT_ADAPTIVE_ONLY,0,FROZEN_CURRENT_SURFACE_FAIL_CLOSED_ONLY,True
open_interest_value_last_change_24h,1522509,1511404,0.9927061186502018,0.990637012219746,0.9943261597411464,0.012880699182796761,0.11094044883911597,-1.0,87.92941284179688,211,open_interest_value,RETURN,dimensionless,False,1,True,notional open-interest level or change,False,ADMITTED,,DEVELOPMENT_ADAPTIVE_ONLY,0,FROZEN_CURRENT_SURFACE_FAIL_CLOSED_ONLY,True
index_high,1522509,1521765,0.9995113329379334,1.0,0.9991287229819221,333.51551626503954,13904276.402121156,0.00016284000594168901,73762.3828125,211,price_level,PRICE,quote_per_base,False,1,True,price reference used only through normalized relations,False,ADMITTED,,DEVELOPMENT_ADAPTIVE_ONLY,0,FROZEN_CURRENT_SURFACE_FAIL_CLOSED_ONLY,True
taker_buy_sell_volume_ratio_mean,1522509,1519669,0.9981346579888855,0.9987077282041311,0.997685963188546,1.6353039421669615,5174.08594775948,0.019168062135577202,62080.28515625,211,quote_volume_activity,RATIO,dimensionless,False,1,True,trading activity and participation,False,ADMITTED,,DEVELOPMENT_ADAPTIVE_ONLY,0,FROZEN_CURRENT_SURFACE_FAIL_CLOSED_ONLY,True
mark_index_basis_bps,1522509,1521045,0.9990384293294818,1.0,0.9982855516741049,0.8457450594274463,253.10220924046763,-2008.8270263671875,329.26116943359375,211,basis_premium,BPS,bps,False,1,True,mark/index/trade dislocation state,False,ADMITTED,,DEVELOPMENT_ADAPTIVE_ONLY,0,FROZEN_CURRENT_SURFACE_FAIL_CLOSED_ONLY,True
open_interest_mean,1522509,1519669,0.9981346579888855,0.9987077282041311,0.997685963188546,606476805.4627639,2.603923172873179e+19,680.91357421875,197531926528.0,211,open_interest_level_change,VOLUME,contracts,False,1,True,contract open-interest level or change,False,ADMITTED,,DEVELOPMENT_ADAPTIVE_ONLY,0,FROZEN_CURRENT_SURFACE_FAIL_CLOSED_ONLY,True
taker_buy_quote_volume,1522509,1522509,1.0,1.0,1.0,4733387.252421178,1395410370424130.8,240.01437377929688,7216176128.0,211,quote_volume_activity,NOTIONAL,quote_asset,False,1,True,trading activity and participation,False,ADMITTED,,DEVELOPMENT_ADAPTIVE_ONLY,0,FROZEN_CURRENT_SURFACE_FAIL_CLOSED_ONLY,True
premium_close,1522509,1522500,0.9999940887048944,1.0,0.9999894603586523,7.245523084654053e-05,2.5794728108387683e-06,-0.30943283438682556,0.034321580082178116,211,basis_premium,RATIO,dimensionless,False,1,True,mark/index/trade dislocation state,False,ADMITTED,,DEVELOPMENT_ADAPTIVE_ONLY,0,FROZEN_CURRENT_SURFACE_FAIL_CLOSED_ONLY,True
open_interest_last,1522509,1519669,0.9981346579888855,0.9987077282041311,0.997685963188546,606499313.8456758,2.6050019051861828e+19,0.0,196469293056.0,211,open_interest_level_change,VOLUME,contracts,False,1,True,contract open-interest level or change,False,ADMITTED,,DEVELOPMENT_ADAPTIVE_ONLY,0,FROZEN_CURRENT_SURFACE_FAIL_CLOSED_ONLY,True
trade_volume,1522509,1522509,1.0,1.0,1.0,157278380.3390752,4.486144029113704e+18,6.315999984741211,291702177792.0,211,quote_volume_activity,VOLUME,base_asset,False,1,True,trading activity and participation,False,ADMITTED,,DEVELOPMENT_ADAPTIVE_ONLY,0,FROZEN_CURRENT_SURFACE_FAIL_CLOSED_ONLY,True
