candidate_id,family,field_families,fields,operators,windows,skeleton_key,production_key,a7al2g_policy,direct_rank_allowed,policy_reason,required_controls,one_bar_lag_required,matched_control_dominance_required,pass_rule,repaired_selector_status,repaired_selector_reason,rank_execution_allowed,requires_matched_control_bundle
crypto_fg2_c649a241fed6a55f,liquidity_volatility_guarded,liquidity|volatility,mark_high|trade_volume,Sub|Abs|ZScore|Delta|Abs|ZScore|Delta,72|504,skeleton-df45a983764233a6,crypto_formula_gen_v2_adapter::liquidity_volatility_guarded::liquidity|volatility::72|504,mutation_source_only_control_required,False,liquidity/volatility structure needs future and stale wrong-lag dominance,one_bar_lag_stress|wrong_lag_future_24h|wrong_lag_stale_168h|time_shuffle|symbol_shuffle|same_family_random,True,True,candidate robust score must exceed max matched wrong-lag/stale/shuffle controls; one-bar-lag must not collapse,selected_for_control_gated_pre_replay,mutation_source_only_control_required,False,True
crypto_fg2_7035940e742f28d3,liquidity_volatility_guarded,liquidity|volatility,trade_count|trade_high,Add|Rank|Delta|Neg|ZScore|Delta,24|72,skeleton-ff8553ca5864e159,crypto_formula_gen_v2_adapter::liquidity_volatility_guarded::liquidity|volatility::24|72,mutation_source_only_control_required,False,liquidity/volatility structure needs future and stale wrong-lag dominance,one_bar_lag_stress|wrong_lag_future_24h|wrong_lag_stale_168h|time_shuffle|symbol_shuffle|same_family_random,True,True,candidate robust score must exceed max matched wrong-lag/stale/shuffle controls; one-bar-lag must not collapse,selected_for_control_gated_pre_replay,mutation_source_only_control_required,False,True
crypto_fg2_71afa051e89efe97,liquidity_volatility_guarded,liquidity|volatility,mark_low|trade_count,Mul|ZScore|Delta|Rank|Mean,336|504,skeleton-6f032847c2252b83,crypto_formula_gen_v2_adapter::liquidity_volatility_guarded::liquidity|volatility::336|504,mutation_source_only_control_required,False,liquidity/volatility structure needs future and stale wrong-lag dominance,one_bar_lag_stress|wrong_lag_future_24h|wrong_lag_stale_168h|time_shuffle|symbol_shuffle|same_family_random,True,True,candidate robust score must exceed max matched wrong-lag/stale/shuffle controls; one-bar-lag must not collapse,selected_for_control_gated_pre_replay,mutation_source_only_control_required,False,True
crypto_fg2_6dabc7639d6211d3,liquidity_volatility_guarded,liquidity|volatility,trade_count|trade_high,Mul|Sign|Delta|Abs|ZScore|Delta,12|24,skeleton-2d041ee3f5fce6d3,crypto_formula_gen_v2_adapter::liquidity_volatility_guarded::liquidity|volatility::12|24,mutation_source_only_control_required,False,liquidity/volatility structure needs future and stale wrong-lag dominance,one_bar_lag_stress|wrong_lag_future_24h|wrong_lag_stale_168h|time_shuffle|symbol_shuffle|same_family_random,True,True,candidate robust score must exceed max matched wrong-lag/stale/shuffle controls; one-bar-lag must not collapse,selected_for_control_gated_pre_replay,mutation_source_only_control_required,False,True
crypto_fg2_e3eeee6c6c128159,positioning_reversal,positioning|price,top_long_short_account_ratio_last|trade_close,Sub|Rank|Mean|Rank|Mean,96,skeleton-612ffe194eccb811,crypto_formula_gen_v2_adapter::positioning_reversal::positioning|price::96,not_authorized_by_a7al1b_baseline,False,positioning/taker families did not pass A7AL-1 controls,one_bar_lag_stress|wrong_lag_future_24h|wrong_lag_stale_168h|time_shuffle|symbol_shuffle|same_family_random,True,True,candidate robust score must exceed max matched wrong-lag/stale/shuffle controls; one-bar-lag must not collapse,rejected_before_replay,not_authorized_by_a7al1b_baseline,,
crypto_fg2_6f44fa67b5a9ca06,positioning_reversal,positioning|price,index_close|top_long_short_position_ratio_last,Mul|Abs|ZScore|Delta|Sign|Delta,12|72,skeleton-c626ba6bf1687861,crypto_formula_gen_v2_adapter::positioning_reversal::positioning|price::12|72,not_authorized_by_a7al1b_baseline,False,positioning/taker families did not pass A7AL-1 controls,one_bar_lag_stress|wrong_lag_future_24h|wrong_lag_stale_168h|time_shuffle|symbol_shuffle|same_family_random,True,True,candidate robust score must exceed max matched wrong-lag/stale/shuffle controls; one-bar-lag must not collapse,rejected_before_replay,not_authorized_by_a7al1b_baseline,,
crypto_fg2_bc4bfd6a20077e8c,basis_funding_crowding,basis|funding,funding_rate|mark_trade_basis_bps,Sub|Abs|ZScore|Mean|Abs|ZScore|Mean,8|720,skeleton-746e1c41665c2005,crypto_formula_gen_v2_adapter::basis_funding_crowding::basis|funding::8|720,not_authorized_by_a7al1b_baseline,False,basis/funding families did not pass A7AL-1 controls,one_bar_lag_stress|wrong_lag_future_24h|wrong_lag_stale_168h|time_shuffle|symbol_shuffle|same_family_random,True,True,candidate robust score must exceed max matched wrong-lag/stale/shuffle controls; one-bar-lag must not collapse,rejected_before_replay,not_authorized_by_a7al1b_baseline,,
crypto_fg2_ed198b8d6c57d771,positioning_reversal,positioning|price,global_long_short_account_ratio_last|trade_close,Add|ZScore|Delta|Neg|Rank|Delta,12|96,skeleton-ae37e2737f6e97ed,crypto_formula_gen_v2_adapter::positioning_reversal::positioning|price::12|96,not_authorized_by_a7al1b_baseline,False,positioning/taker families did not pass A7AL-1 controls,one_bar_lag_stress|wrong_lag_future_24h|wrong_lag_stale_168h|time_shuffle|symbol_shuffle|same_family_random,True,True,candidate robust score must exceed max matched wrong-lag/stale/shuffle controls; one-bar-lag must not collapse,rejected_before_replay,not_authorized_by_a7al1b_baseline,,
crypto_fg2_1ed3dccb9ce838ca,taker_flow_state,liquidity|taker_ratio,taker_buy_sell_volume_ratio_mean|trade_volume,Mul|Abs|ZScore|Mean|Rank|Delta,12|168,skeleton-2ef3c76974d18388,crypto_formula_gen_v2_adapter::taker_flow_state::liquidity|taker_ratio::12|168,not_authorized_by_a7al1b_baseline,False,positioning/taker families did not pass A7AL-1 controls,one_bar_lag_stress|wrong_lag_future_24h|wrong_lag_stale_168h|time_shuffle|symbol_shuffle|same_family_random,True,True,candidate robust score must exceed max matched wrong-lag/stale/shuffle controls; one-bar-lag must not collapse,rejected_before_replay,not_authorized_by_a7al1b_baseline,,
crypto_fg2_90d8a2600b1cf58f,basis_funding_crowding,basis|funding,funding_rate|premium_close,Sub|Abs|ZScore|Mean|Abs|ZScore|Mean,72|720,skeleton-746e1c41665c2005,crypto_formula_gen_v2_adapter::basis_funding_crowding::basis|funding::72|720,not_authorized_by_a7al1b_baseline,False,basis/funding families did not pass A7AL-1 controls,one_bar_lag_stress|wrong_lag_future_24h|wrong_lag_stale_168h|time_shuffle|symbol_shuffle|same_family_random,True,True,candidate robust score must exceed max matched wrong-lag/stale/shuffle controls; one-bar-lag must not collapse,rejected_before_replay,not_authorized_by_a7al1b_baseline,,
crypto_fg2_413accdbe82945d8,basis_funding_crowding,basis|funding,funding_rate|mark_trade_basis_bps,Add|Rank|Delta|ZScore|Mean,96|168,skeleton-3b738ce4415cf9b3,crypto_formula_gen_v2_adapter::basis_funding_crowding::basis|funding::96|168,not_authorized_by_a7al1b_baseline,False,basis/funding families did not pass A7AL-1 controls,one_bar_lag_stress|wrong_lag_future_24h|wrong_lag_stale_168h|time_shuffle|symbol_shuffle|same_family_random,True,True,candidate robust score must exceed max matched wrong-lag/stale/shuffle controls; one-bar-lag must not collapse,rejected_before_replay,not_authorized_by_a7al1b_baseline,,
crypto_fg2_5867678edef93f9e,basis_funding_crowding,basis|funding,funding_rate|premium_close,Sub|Abs|ZScore|Mean|Abs|ZScore|Mean,504|720,skeleton-746e1c41665c2005,crypto_formula_gen_v2_adapter::basis_funding_crowding::basis|funding::504|720,not_authorized_by_a7al1b_baseline,False,basis/funding families did not pass A7AL-1 controls,one_bar_lag_stress|wrong_lag_future_24h|wrong_lag_stale_168h|time_shuffle|symbol_shuffle|same_family_random,True,True,candidate robust score must exceed max matched wrong-lag/stale/shuffle controls; one-bar-lag must not collapse,rejected_before_replay,not_authorized_by_a7al1b_baseline,,
crypto_fg2_1beccf4ae2ec1b40,basis_funding_crowding,basis|funding,funding_rate|premium_close_bps,Mul|Sign|Delta|ZScore|Mean,72|168,skeleton-d90c18cb1efbbe79,crypto_formula_gen_v2_adapter::basis_funding_crowding::basis|funding::72|168,not_authorized_by_a7al1b_baseline,False,basis/funding families did not pass A7AL-1 controls,one_bar_lag_stress|wrong_lag_future_24h|wrong_lag_stale_168h|time_shuffle|symbol_shuffle|same_family_random,True,True,candidate robust score must exceed max matched wrong-lag/stale/shuffle controls; one-bar-lag must not collapse,rejected_before_replay,not_authorized_by_a7al1b_baseline,,
crypto_fg2_3522cd90888d43d7,positioning_reversal,positioning|price,global_long_short_account_ratio_mean|index_close,Sub|ZScore|Mean|ZScore|Mean,4|12,skeleton-7762e3f46e546cc2,crypto_formula_gen_v2_adapter::positioning_reversal::positioning|price::4|12,not_authorized_by_a7al1b_baseline,False,positioning/taker families did not pass A7AL-1 controls,one_bar_lag_stress|wrong_lag_future_24h|wrong_lag_stale_168h|time_shuffle|symbol_shuffle|same_family_random,True,True,candidate robust score must exceed max matched wrong-lag/stale/shuffle controls; one-bar-lag must not collapse,rejected_before_replay,not_authorized_by_a7al1b_baseline,,
crypto_fg2_59eb7be56beb98b0,taker_flow_state,liquidity|taker_ratio,taker_buy_sell_volume_ratio_last|trade_volume,Sub|Rank|Delta|ZScore|Delta,24|72,skeleton-f0d571410f34225a,crypto_formula_gen_v2_adapter::taker_flow_state::liquidity|taker_ratio::24|72,not_authorized_by_a7al1b_baseline,False,positioning/taker families did not pass A7AL-1 controls,one_bar_lag_stress|wrong_lag_future_24h|wrong_lag_stale_168h|time_shuffle|symbol_shuffle|same_family_random,True,True,candidate robust score must exceed max matched wrong-lag/stale/shuffle controls; one-bar-lag must not collapse,rejected_before_replay,not_authorized_by_a7al1b_baseline,,
crypto_fg2_aa3661f8eb8b5435,basis_funding_crowding,basis|funding,funding_rate|premium_close_bps,Add|Rank|Delta|ZScore|Mean,24|168,skeleton-3b738ce4415cf9b3,crypto_formula_gen_v2_adapter::basis_funding_crowding::basis|funding::24|168,not_authorized_by_a7al1b_baseline,False,basis/funding families did not pass A7AL-1 controls,one_bar_lag_stress|wrong_lag_future_24h|wrong_lag_stale_168h|time_shuffle|symbol_shuffle|same_family_random,True,True,candidate robust score must exceed max matched wrong-lag/stale/shuffle controls; one-bar-lag must not collapse,rejected_before_replay,not_authorized_by_a7al1b_baseline,,
crypto_fg2_4e9ba42b824279e6,positioning_reversal,positioning|price,mark_close|top_long_short_position_ratio_last,Mul|ZScore|Mean|Neg|ZScore|Delta,72|96,skeleton-68fcd98ee78740fa,crypto_formula_gen_v2_adapter::positioning_reversal::positioning|price::72|96,not_authorized_by_a7al1b_baseline,False,positioning/taker families did not pass A7AL-1 controls,one_bar_lag_stress|wrong_lag_future_24h|wrong_lag_stale_168h|time_shuffle|symbol_shuffle|same_family_random,True,True,candidate robust score must exceed max matched wrong-lag/stale/shuffle controls; one-bar-lag must not collapse,rejected_before_replay,not_authorized_by_a7al1b_baseline,,
crypto_fg2_fdcc4a2b92b3cf1d,taker_flow_state,liquidity|taker_ratio,taker_buy_sell_volume_ratio_mean|trade_quote_volume,Mul|ZScore|Mean|Rank|Mean,8|12,skeleton-4b7c966f0b1870e8,crypto_formula_gen_v2_adapter::taker_flow_state::liquidity|taker_ratio::8|12,not_authorized_by_a7al1b_baseline,False,positioning/taker families did not pass A7AL-1 controls,one_bar_lag_stress|wrong_lag_future_24h|wrong_lag_stale_168h|time_shuffle|symbol_shuffle|same_family_random,True,True,candidate robust score must exceed max matched wrong-lag/stale/shuffle controls; one-bar-lag must not collapse,rejected_before_replay,not_authorized_by_a7al1b_baseline,,
crypto_fg2_20696f318b21a836,positioning_reversal,positioning|price,global_long_short_account_ratio_last|mark_close,Mul|Sign|Delta|Neg|ZScore|Delta,8|48,skeleton-47a54e07b92e8874,crypto_formula_gen_v2_adapter::positioning_reversal::positioning|price::8|48,not_authorized_by_a7al1b_baseline,False,positioning/taker families did not pass A7AL-1 controls,one_bar_lag_stress|wrong_lag_future_24h|wrong_lag_stale_168h|time_shuffle|symbol_shuffle|same_family_random,True,True,candidate robust score must exceed max matched wrong-lag/stale/shuffle controls; one-bar-lag must not collapse,rejected_before_replay,not_authorized_by_a7al1b_baseline,,
crypto_fg2_d0881b66a8dbe938,taker_flow_state,liquidity|taker_ratio,taker_buy_sell_volume_ratio_mean|trade_count,Add|ZScore|Delta|Rank|Mean,4|8,skeleton-69639e4aa99637a2,crypto_formula_gen_v2_adapter::taker_flow_state::liquidity|taker_ratio::4|8,not_authorized_by_a7al1b_baseline,False,positioning/taker families did not pass A7AL-1 controls,one_bar_lag_stress|wrong_lag_future_24h|wrong_lag_stale_168h|time_shuffle|symbol_shuffle|same_family_random,True,True,candidate robust score must exceed max matched wrong-lag/stale/shuffle controls; one-bar-lag must not collapse,rejected_before_replay,not_authorized_by_a7al1b_baseline,,
crypto_fg2_19dc36e900ebde39,taker_flow_state,liquidity|taker_ratio,taker_buy_quote_volume|taker_buy_sell_volume_ratio_mean,Mul|Sign|Delta|ZScore|Delta,4|72,skeleton-73a7996ef6b73def,crypto_formula_gen_v2_adapter::taker_flow_state::liquidity|taker_ratio::4|72,not_authorized_by_a7al1b_baseline,False,positioning/taker families did not pass A7AL-1 controls,one_bar_lag_stress|wrong_lag_future_24h|wrong_lag_stale_168h|time_shuffle|symbol_shuffle|same_family_random,True,True,candidate robust score must exceed max matched wrong-lag/stale/shuffle controls; one-bar-lag must not collapse,rejected_before_replay,not_authorized_by_a7al1b_baseline,,
