shard_id,has_manifest,decision,blockers,input_blueprint_count,materialized_activity_ok_count,label_response_rows,non_l7_numeric_clue_rows,rank_label_diagnostic_clue_rows,selected_portfolio_queue_count,queue_rows,lane_count,semantic_pair_count,motif_count,skeleton_count
a7ls18_s010,True,PASS_A7LS18a7ls18_s010_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,,512,500,10000,98,103,24,512,1,1,3,45
a7ls18_s011,True,PASS_A7LS18a7ls18_s011_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,,512,505,10100,51,91,22,512,1,1,3,42
a7ls18_s012,True,PASS_A7LS18a7ls18_s012_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,,512,504,10080,101,80,16,512,1,2,3,45
a7ls18_s013,True,PASS_A7LS18a7ls18_s013_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,,512,508,10160,94,75,14,512,1,1,2,34
a7ls18_s014,True,PASS_A7LS18a7ls18_s014_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,,512,511,10220,72,38,8,512,1,1,2,42
a7ls18_s015,True,PASS_A7LS18a7ls18_s015_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,,512,497,9940,72,49,17,512,1,1,2,49
a7ls18_s016,True,PASS_A7LS18a7ls18_s016_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,,512,508,10160,92,73,16,512,1,1,2,43
a7ls18_s017,True,PASS_A7LS18a7ls18_s017_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,,512,511,10220,67,61,18,512,1,1,2,46
a7ls18_s018,True,PASS_A7LS18a7ls18_s018_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,,512,510,10200,70,36,9,512,1,2,3,44
a7ls18_s019,True,PASS_A7LS18a7ls18_s019_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,,512,501,10020,99,40,10,512,1,1,3,42
a7ls18_s020,True,PASS_A7LS18a7ls18_s020_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,,512,510,10200,54,26,13,512,1,1,3,39
a7ls18_s021,True,PASS_A7LS18a7ls18_s021_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,,512,502,10040,90,58,15,512,1,1,3,49
a7ls18_s022,True,PASS_A7LS18a7ls18_s022_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,,512,503,10060,74,57,19,512,1,1,3,42
a7ls18_s023,True,PASS_A7LS18a7ls18_s023_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,,512,502,10040,81,48,15,512,1,2,3,45
a7ls18_s024,True,PASS_A7LS18a7ls18_s024_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,,512,505,10100,60,72,10,512,1,1,3,44
a7ls18_s025,True,PASS_A7LS18a7ls18_s025_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,,512,505,10100,98,130,13,512,1,1,3,44
a7ls18_s026,True,PASS_A7LS18a7ls18_s026_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,,512,507,10140,102,56,20,512,1,1,3,42
a7ls18_s027,True,PASS_A7LS18a7ls18_s027_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,,512,501,10020,45,107,19,512,1,1,3,40
a7ls18_s028,True,PASS_A7LS18a7ls18_s028_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,,512,505,10100,77,137,14,512,1,1,2,37
a7ls18_s029,True,PASS_A7LS18a7ls18_s029_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,,512,503,10060,64,89,13,512,1,2,3,41
a7ls18_s030,True,PASS_A7LS18a7ls18_s030_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,,512,505,10100,94,70,9,512,1,1,3,41
a7ls18_s031,True,PASS_A7LS18a7ls18_s031_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,,512,507,10140,30,76,12,512,1,1,3,41
a7ls18_s032,True,PASS_A7LS18a7ls18_s032_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,,512,503,10060,48,145,16,512,1,1,3,43
a7ls18_s033,True,PASS_A7LS18a7ls18_s033_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,,512,501,10020,12,183,21,512,1,1,3,42
a7ls18_s034,True,PASS_A7LS18a7ls18_s034_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,,512,502,10040,75,78,16,512,1,1,3,39
a7ls18_s035,True,PASS_A7LS18a7ls18_s035_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,,512,487,9740,15,61,7,512,1,8,7,21
a7ls18_s036,True,PASS_A7LS18a7ls18_s036_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,,512,511,10220,96,125,11,512,1,5,6,20
a7ls18_s037,True,PASS_A7LS18a7ls18_s037_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,,512,471,9420,3,42,10,512,1,3,7,19
a7ls18_s038,True,PASS_A7LS18a7ls18_s038_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,,512,512,10240,4,48,6,512,1,2,1,6
a7ls18_s039,True,PASS_A7LS18a7ls18_s039_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,,512,487,9740,4,451,13,512,1,10,7,21
a7ls18_s040,True,HOLD_A7LS18a7ls18_s040_PORTFOLIO_QUEUE_TOO_SMALL,portfolio_selected_lt_4,512,497,9940,1,7,3,512,1,15,6,25
a7ls18_s041,True,HOLD_A7LS18a7ls18_s041_PORTFOLIO_QUEUE_TOO_SMALL,portfolio_selected_lt_4,512,505,10100,2,4,3,512,1,3,3,9
a7ls18_s042,True,PASS_A7LS18a7ls18_s042_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,,512,512,10240,30,245,6,512,1,3,1,6
a7ls18_s043,True,PASS_A7LS18a7ls18_s043_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,,512,500,10000,5,44,10,512,1,6,7,21
a7ls18_s044,True,PASS_A7LS18a7ls18_s044_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,,512,472,9440,21,112,9,512,1,7,6,17
a7ls18_s045,True,PASS_A7LS18a7ls18_s045_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,,512,504,10080,4,48,7,512,1,5,6,12
a7ls18_s046,True,PASS_A7LS18a7ls18_s046_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,,512,470,9400,47,151,8,512,1,3,6,11
a7ls18_s047,True,PASS_A7LS18a7ls18_s047_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,,512,500,10000,94,106,22,512,2,4,12,52
a7ls18_s048,True,PASS_A7LS18a7ls18_s048_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,,512,498,9960,65,68,23,512,1,2,8,54
a7ls18_s049,True,PASS_A7LS18a7ls18_s049_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,,512,505,10100,90,71,32,512,1,3,8,78
a7ls18_s050,True,PASS_A7LS18a7ls18_s050_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,,512,505,10100,67,48,19,512,1,2,8,53
a7ls18_s051,True,PASS_A7LS18a7ls18_s051_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,,512,470,9400,74,38,22,512,1,3,9,64
a7ls18_s052,True,PASS_A7LS18a7ls18_s052_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,,512,500,10000,46,97,22,512,1,3,8,53
a7ls18_s053,True,PASS_A7LS18a7ls18_s053_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,,512,482,9640,4,5,4,512,1,1,6,39
a7ls18_s054,True,PASS_A7LS18a7ls18_s054_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,,512,483,9660,2,27,12,512,1,2,9,59
a7ls18_s055,True,PASS_A7LS18a7ls18_s055_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,,512,493,9860,1,42,17,512,1,2,7,81
a7ls18_s056,True,PASS_A7LS18a7ls18_s056_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,,512,481,9620,2,26,15,512,1,2,9,68
a7ls18_s057,True,PASS_A7LS18a7ls18_s057_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,,512,478,9560,4,21,10,512,1,3,8,55
a7ls18_s058,True,PASS_A7LS18a7ls18_s058_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,,512,468,9360,7,34,13,512,1,2,9,63
a7ls18_s059,True,PASS_A7LS18a7ls18_s059_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,,512,489,9780,3,93,18,512,1,3,8,53
a7ls18_s060,True,PASS_A7LS18a7ls18_s060_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,,512,502,10040,5,92,25,512,1,2,8,59
a7ls18_s061,True,HOLD_A7LS18a7ls18_s061_NO_NON_L7_NUMERIC_CLUES,no_non_l7_numeric_clues,512,507,10140,0,42,17,512,1,2,6,90
a7ls18_s062,True,PASS_A7LS18a7ls18_s062_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,,512,484,9680,5,36,9,512,1,2,7,50
a7ls18_s063,True,PASS_A7LS18a7ls18_s063_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,,512,500,10000,1,84,20,512,1,2,7,83
a7ls18_s064,True,PASS_A7LS18a7ls18_s064_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,,512,482,9640,2,18,11,512,1,3,6,83
a7ls18_s065,True,PASS_A7LS18a7ls18_s065_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,,512,510,10200,22,37,10,512,1,1,5,41
a7ls18_s066,True,PASS_A7LS18a7ls18_s066_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,,512,503,10060,32,41,16,512,1,2,6,42
a7ls18_s067,True,PASS_A7LS18a7ls18_s067_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,,512,502,10040,5,61,21,512,1,2,8,63
a7ls18_s068,True,PASS_A7LS18a7ls18_s068_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,,512,500,10000,13,37,20,512,1,2,6,88
a7ls18_s069,True,PASS_A7LS18a7ls18_s069_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,,512,487,9740,9,37,18,512,1,2,8,59
a7ls18_s070,True,PASS_A7LS18a7ls18_s070_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,,512,481,9620,9,31,17,512,1,2,8,63
a7ls18_s071,True,PASS_A7LS18a7ls18_s071_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,,512,502,10040,3,84,19,512,1,2,8,57
a7ls18_s072,True,PASS_A7LS18a7ls18_s072_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,,512,501,10020,7,36,14,512,1,2,8,57
a7ls18_s073,True,PASS_A7LS18a7ls18_s073_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,,512,501,10020,4,29,14,512,1,2,8,57
a7ls18_s074,True,PASS_A7LS18a7ls18_s074_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,,512,502,10040,1,49,16,512,1,2,7,76
a7ls18_s075,True,PASS_A7LS18a7ls18_s075_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,,512,484,9680,4,5,5,512,1,3,6,64
a7ls18_s076,True,PASS_A7LS18a7ls18_s076_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,,512,501,10020,5,50,13,512,1,2,8,57
a7ls18_s077,True,PASS_A7LS18a7ls18_s077_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,,512,501,10020,19,268,32,512,1,2,8,57
a7ls18_s078,True,PASS_A7LS18a7ls18_s078_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,,512,501,10020,48,300,33,512,1,2,8,57
a7ls18_s079,True,PASS_A7LS18a7ls18_s079_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,,512,496,9920,36,131,23,512,1,2,8,54
a7ls18_s080,True,PASS_A7LS18a7ls18_s080_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,,512,491,9820,30,181,27,512,1,2,8,56
a7ls18_s081,True,PASS_A7LS18a7ls18_s081_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,,512,504,10080,24,194,34,512,1,2,7,71
a7ls18_s082,True,PASS_A7LS18a7ls18_s082_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,,512,506,10120,29,212,39,512,1,2,7,79
a7ls18_s083,True,PASS_A7LS18a7ls18_s083_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,,512,501,10020,24,147,24,512,1,2,8,57
a7ls18_s084,True,PASS_A7LS18a7ls18_s084_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,,512,459,9180,42,138,28,512,1,3,9,69
a7ls18_s085,True,PASS_A7LS18a7ls18_s085_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,,512,501,10020,31,153,28,512,1,2,8,57
a7ls18_s086,True,PASS_A7LS18a7ls18_s086_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,,512,500,10000,12,153,24,512,1,2,8,58
a7ls18_s087,True,PASS_A7LS18a7ls18_s087_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,,512,478,9560,7,12,11,512,1,2,8,54
a7ls18_s088,True,PASS_A7LS18a7ls18_s088_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,,512,505,10100,26,30,14,512,1,2,6,49
a7ls18_s089,True,PASS_A7LS18a7ls18_s089_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,,512,501,10020,6,76,21,512,1,2,8,55
a7ls18_s090,True,PASS_A7LS18a7ls18_s090_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,,512,509,10180,8,20,17,512,1,1,6,92
a7ls18_s091,True,PASS_A7LS18a7ls18_s091_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,,512,463,9260,2,43,11,512,1,3,7,67
a7ls18_s092,True,PASS_A7LS18a7ls18_s092_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,,512,501,10020,7,77,22,512,1,2,8,55
a7ls18_s093,True,HOLD_A7LS18a7ls18_s093_NO_NON_L7_NUMERIC_CLUES,no_non_l7_numeric_clues,512,501,10020,0,60,19,512,1,2,7,74
a7ls18_s094,True,HOLD_A7LS18a7ls18_s094_NO_NON_L7_NUMERIC_CLUES,no_non_l7_numeric_clues,512,480,9600,0,101,25,512,2,3,7,83
a7ls18_s095,True,PASS_A7LS18a7ls18_s095_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,,512,467,9340,7,13,10,512,1,1,4,48
a7ls18_s096,True,PASS_A7LS18a7ls18_s096_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,,512,495,9900,30,26,10,512,1,1,4,48
a7ls18_s097,True,PASS_A7LS18a7ls18_s097_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,,512,492,9840,22,44,15,512,1,1,4,53
a7ls18_s098,True,PASS_A7LS18a7ls18_s098_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,,512,486,9720,35,22,9,512,1,2,4,48
a7ls18_s099,True,PASS_A7LS18a7ls18_s099_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,,512,511,10220,74,41,13,512,1,1,3,58
a7ls18_s100,True,PASS_A7LS18a7ls18_s100_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,,512,506,10120,40,32,16,512,1,1,3,61
a7ls18_s101,True,HOLD_A7LS18a7ls18_s101_PORTFOLIO_QUEUE_TOO_SMALL,portfolio_selected_lt_4,512,510,10200,1,2,3,512,1,2,3,39
a7ls18_s102,True,PASS_A7LS18a7ls18_s102_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,,512,510,10200,2,39,13,512,1,1,2,33
a7ls18_s103,True,HOLD_A7LS18a7ls18_s103_NO_NON_L7_NUMERIC_CLUES,no_non_l7_numeric_clues,512,510,10200,0,46,14,512,1,1,2,41
a7ls18_s104,True,HOLD_A7LS18a7ls18_s104_NO_NON_L7_NUMERIC_CLUES,no_non_l7_numeric_clues,512,509,10180,0,90,15,512,1,1,2,40
a7ls18_s105,True,HOLD_A7LS18a7ls18_s105_NO_NON_L7_NUMERIC_CLUES,no_non_l7_numeric_clues,512,505,10100,0,8,5,512,1,1,2,40
a7ls18_s106,True,PASS_A7LS18a7ls18_s106_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,,512,494,9880,12,12,7,512,1,2,3,46
a7ls18_s107,True,PASS_A7LS18a7ls18_s107_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,,512,493,9860,23,21,9,512,1,1,4,48
a7ls18_s108,True,PASS_A7LS18a7ls18_s108_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,,512,489,9780,11,31,9,512,1,1,3,49
a7ls18_s109,True,PASS_A7LS18a7ls18_s109_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,,512,495,9900,5,15,7,512,1,1,4,56
a7ls18_s110,True,PASS_A7LS18a7ls18_s110_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,,512,483,9660,13,29,10,512,1,2,3,46
a7ls18_s111,True,PASS_A7LS18a7ls18_s111_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,,512,505,10100,41,47,10,512,1,1,3,48
a7ls18_s112,True,PASS_A7LS18a7ls18_s112_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,,512,506,10120,12,20,9,512,1,1,4,41
a7ls18_s113,True,PASS_A7LS18a7ls18_s113_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,,512,502,10040,4,28,7,512,1,1,3,45
a7ls18_s114,True,PASS_A7LS18a7ls18_s114_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,,512,504,10080,25,42,15,512,1,1,3,48
a7ls18_s115,True,PASS_A7LS18a7ls18_s115_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,,512,501,10020,8,31,12,512,1,2,3,37
a7ls18_s116,True,PASS_A7LS18a7ls18_s116_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,,512,441,8820,7,23,9,512,1,1,5,52
a7ls18_s117,True,PASS_A7LS18a7ls18_s117_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,,512,490,9800,1,6,7,512,1,2,3,45
a7ls18_s118,True,PASS_A7LS18a7ls18_s118_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,,512,503,10060,29,41,12,512,1,1,4,43
a7ls18_s119,True,PASS_A7LS18a7ls18_s119_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,,512,507,10140,8,19,9,512,1,1,3,40
a7ls18_s120,True,PASS_A7LS18a7ls18_s120_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,,512,503,10060,7,44,20,512,1,1,3,45
a7ls18_s121,True,PASS_A7LS18a7ls18_s121_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,,512,503,10060,18,41,13,512,1,1,3,44
a7ls18_s122,True,PASS_A7LS18a7ls18_s122_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,,512,501,10020,5,18,9,512,1,2,4,49
a7ls18_s123,True,PASS_A7LS18a7ls18_s123_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,,512,504,10080,33,19,10,512,1,1,3,40
a7ls18_s124,True,PASS_A7LS18a7ls18_s124_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,,512,505,10100,16,28,12,512,1,1,4,48
a7ls18_s125,True,PASS_A7LS18a7ls18_s125_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,,512,502,10040,77,68,19,512,1,1,3,47
a7ls18_s126,True,PASS_A7LS18a7ls18_s126_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,,512,503,10060,46,63,15,512,1,2,4,50
a7ls18_s127,True,PASS_A7LS18a7ls18_s127_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,,512,505,10100,5,5,7,512,1,1,3,47
a7ls18_s128,True,PASS_A7LS18a7ls18_s128_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,,512,505,10100,4,15,5,512,1,1,3,45
a7ls18_s129,True,PASS_A7LS18a7ls18_s129_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,,512,503,10060,7,35,13,512,1,1,3,47
a7ls18_s130,True,PASS_A7LS18a7ls18_s130_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,,512,503,10060,6,60,12,512,1,1,3,42
a7ls18_s131,True,PASS_A7LS18a7ls18_s131_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,,512,503,10060,4,36,9,512,1,1,3,39
a7ls18_s132,True,PASS_A7LS18a7ls18_s132_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,,512,498,9960,104,49,13,512,2,3,5,41
a7ls18_s133,True,PASS_A7LS18a7ls18_s133_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,,512,497,9940,154,123,16,512,1,2,4,37
a7ls18_s134,True,PASS_A7LS18a7ls18_s134_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,,512,498,9960,38,205,21,512,1,1,4,38
a7ls18_s135,True,PASS_A7LS18a7ls18_s135_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,,512,496,9920,134,265,27,512,1,2,3,41
a7ls18_s136,True,PASS_A7LS18a7ls18_s136_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,,512,502,10040,179,249,24,512,1,1,3,37
a7ls18_s137,True,PASS_A7LS18a7ls18_s137_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,,512,505,10100,178,241,23,512,1,1,2,32
a7ls18_s138,True,PASS_A7LS18a7ls18_s138_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,,512,500,10000,212,177,27,512,1,2,3,36
a7ls18_s139,True,PASS_A7LS18a7ls18_s139_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,,512,500,10000,106,322,24,512,1,1,3,44
a7ls18_s140,True,PASS_A7LS18a7ls18_s140_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,,512,503,10060,130,333,23,512,1,1,2,32
a7ls18_s141,True,PASS_A7LS18a7ls18_s141_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,,512,500,10000,99,323,24,512,1,1,2,34
a7ls18_s142,True,PASS_A7LS18a7ls18_s142_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,,512,454,9080,36,130,17,512,1,2,5,41
a7ls18_s143,True,PASS_A7LS18a7ls18_s143_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,,512,481,9620,41,234,25,512,1,2,3,50
a7ls18_s144,True,PASS_A7LS18a7ls18_s144_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,,512,500,10000,3,112,16,512,1,1,2,37
a7ls18_s145,True,PASS_A7LS18a7ls18_s145_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,,512,502,10040,6,101,13,512,1,1,3,37
a7ls18_s146,True,PASS_A7LS18a7ls18_s146_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,,512,502,10040,6,141,19,512,1,1,2,33
a7ls18_s147,True,PASS_A7LS18a7ls18_s147_NUMERIC_PROBE_CLUES_FOUND_NO_SEARCH_AUTH,,115,112,2240,1,23,7,115,1,1,1,10
