status_file,shard_id,status,exit_code,started_at,ended_at,runtime,manifest_exists,status_manifest_conflict
D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s0_reward_sharded_720h_r2_20260613\a7v3s0_reward_shard_status.csv,a7v3s0_reward_s010,failed,,2026-06-13T05:50:12Z,2026-06-13T06:08:13Z,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s0_reward_sharded_720h_r2_20260613\shards\a7v3s0_reward_s010\reward_runtime,True,True
D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s0_reward_sharded_720h_r2_20260613\a7v3s0_reward_shard_status.csv,a7v3s0_reward_s011,failed,,2026-06-13T05:51:32Z,2026-06-13T06:08:53Z,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s0_reward_sharded_720h_r2_20260613\shards\a7v3s0_reward_s011\reward_runtime,True,True
D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s0_reward_sharded_720h_r2_20260613\a7v3s0_reward_shard_status.csv,a7v3s0_reward_s012,failed,,2026-06-13T06:08:13Z,2026-06-13T06:25:13Z,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s0_reward_sharded_720h_r2_20260613\shards\a7v3s0_reward_s012\reward_runtime,True,True
D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s0_reward_sharded_720h_r2_20260613\a7v3s0_reward_shard_status.csv,a7v3s0_reward_s013,failed,,2026-06-13T06:08:53Z,2026-06-13T06:26:53Z,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s0_reward_sharded_720h_r2_20260613\shards\a7v3s0_reward_s013\reward_runtime,True,True
D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s0_reward_sharded_720h_r2_20260613\a7v3s0_reward_shard_status.csv,a7v3s0_reward_s014,failed,,2026-06-13T06:25:13Z,2026-06-13T06:41:54Z,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s0_reward_sharded_720h_r2_20260613\shards\a7v3s0_reward_s014\reward_runtime,True,True
D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s0_reward_sharded_720h_r2_20260613\a7v3s0_reward_shard_status.csv,a7v3s0_reward_s015,failed,,2026-06-13T06:26:53Z,2026-06-13T06:44:54Z,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s0_reward_sharded_720h_r2_20260613\shards\a7v3s0_reward_s015\reward_runtime,True,True
D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s0_reward_sharded_720h_r2_20260613\a7v3s0_reward_shard_status.csv,a7v3s0_reward_s016,failed,,2026-06-13T06:41:54Z,2026-06-13T06:59:34Z,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s0_reward_sharded_720h_r2_20260613\shards\a7v3s0_reward_s016\reward_runtime,True,True
D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s0_reward_sharded_720h_r2_20260613\a7v3s0_reward_shard_status.csv,a7v3s0_reward_s017,failed,,2026-06-13T06:44:54Z,2026-06-13T07:04:34Z,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s0_reward_sharded_720h_r2_20260613\shards\a7v3s0_reward_s017\reward_runtime,True,True
D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s0_reward_sharded_720h_r2_20260613\a7v3s0_reward_shard_status.csv,a7v3s0_reward_s018,failed,,2026-06-13T06:59:34Z,2026-06-13T07:17:35Z,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s0_reward_sharded_720h_r2_20260613\shards\a7v3s0_reward_s018\reward_runtime,True,True
D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s0_reward_sharded_720h_r2_20260613\a7v3s0_reward_shard_status.csv,a7v3s0_reward_s019,failed,,2026-06-13T07:04:34Z,2026-06-13T07:22:35Z,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s0_reward_sharded_720h_r2_20260613\shards\a7v3s0_reward_s019\reward_runtime,True,True
D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s0_reward_sharded_720h_r2_20260613\a7v3s0_reward_shard_status.csv,a7v3s0_reward_s020,failed,,2026-06-13T07:17:35Z,2026-06-13T07:35:35Z,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s0_reward_sharded_720h_r2_20260613\shards\a7v3s0_reward_s020\reward_runtime,True,True
D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s0_reward_sharded_720h_r2_20260613\a7v3s0_reward_shard_status.csv,a7v3s0_reward_s021,failed,,2026-06-13T07:22:35Z,2026-06-13T07:40:55Z,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s0_reward_sharded_720h_r2_20260613\shards\a7v3s0_reward_s021\reward_runtime,True,True
D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s0_reward_sharded_720h_r2_20260613\a7v3s0_reward_shard_status.csv,a7v3s0_reward_s022,failed,,2026-06-13T07:35:35Z,2026-06-13T07:53:36Z,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s0_reward_sharded_720h_r2_20260613\shards\a7v3s0_reward_s022\reward_runtime,True,True
D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s0_reward_sharded_720h_r2_20260613\a7v3s0_reward_shard_status.csv,a7v3s0_reward_s023,failed,,2026-06-13T07:40:55Z,2026-06-13T08:00:36Z,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s0_reward_sharded_720h_r2_20260613\shards\a7v3s0_reward_s023\reward_runtime,True,True
D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s0_reward_sharded_720h_r2_20260613\a7v3s0_reward_shard_status.csv,a7v3s0_reward_s024,failed,,2026-06-13T07:53:36Z,2026-06-13T08:16:56Z,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s0_reward_sharded_720h_r2_20260613\shards\a7v3s0_reward_s024\reward_runtime,True,True
D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s0_reward_sharded_720h_r2_20260613\a7v3s0_reward_shard_status.csv,a7v3s0_reward_s025,failed,,2026-06-13T08:00:36Z,2026-06-13T08:24:37Z,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s0_reward_sharded_720h_r2_20260613\shards\a7v3s0_reward_s025\reward_runtime,True,True
D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s0_reward_sharded_720h_r2_20260613\a7v3s0_reward_shard_status.csv,a7v3s0_reward_s026,failed,,2026-06-13T08:16:56Z,2026-06-13T08:40:57Z,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s0_reward_sharded_720h_r2_20260613\shards\a7v3s0_reward_s026\reward_runtime,True,True
D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s0_reward_sharded_720h_r2_20260613\a7v3s0_reward_shard_status.csv,a7v3s0_reward_s027,failed,,2026-06-13T08:24:37Z,2026-06-13T08:48:57Z,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s0_reward_sharded_720h_r2_20260613\shards\a7v3s0_reward_s027\reward_runtime,True,True
D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s0_reward_sharded_720h_r2_20260613\a7v3s0_reward_shard_status.csv,a7v3s0_reward_s028,failed,,2026-06-13T08:40:57Z,2026-06-13T09:06:18Z,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s0_reward_sharded_720h_r2_20260613\shards\a7v3s0_reward_s028\reward_runtime,True,True
D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s0_reward_sharded_720h_r2_20260613\a7v3s0_reward_shard_status.csv,a7v3s0_reward_s029,failed,,2026-06-13T08:48:57Z,2026-06-13T09:14:58Z,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s0_reward_sharded_720h_r2_20260613\shards\a7v3s0_reward_s029\reward_runtime,True,True
D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s0_reward_sharded_720h_r2_20260613\a7v3s0_reward_shard_status.csv,a7v3s0_reward_s032,failed,,2026-06-13T09:06:18Z,2026-06-13T09:35:59Z,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s0_reward_sharded_720h_r2_20260613\shards\a7v3s0_reward_s032\reward_runtime,True,True
D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s0_reward_sharded_720h_r2_20260613\a7v3s0_reward_shard_status.csv,a7v3s0_reward_s034,failed,,2026-06-13T09:14:58Z,2026-06-13T09:42:19Z,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s0_reward_sharded_720h_r2_20260613\shards\a7v3s0_reward_s034\reward_runtime,True,True
D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s0_reward_sharded_720h_r2_20260613\a7v3s0_reward_shard_status.csv,a7v3s0_reward_s035,failed,,2026-06-13T09:35:59Z,2026-06-13T10:02:20Z,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s0_reward_sharded_720h_r2_20260613\shards\a7v3s0_reward_s035\reward_runtime,True,True
D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s0_reward_sharded_720h_r2_20260613\a7v3s0_reward_shard_status.csv,a7v3s0_reward_s044,failed,,2026-06-13T09:42:19Z,2026-06-13T10:08:40Z,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s0_reward_sharded_720h_r2_20260613\shards\a7v3s0_reward_s044\reward_runtime,True,True
D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s0_reward_sharded_720h_r2_20260613\a7v3s0_reward_shard_status.csv,a7v3s0_reward_s045,failed,,2026-06-13T10:02:20Z,2026-06-13T10:30:41Z,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s0_reward_sharded_720h_r2_20260613\shards\a7v3s0_reward_s045\reward_runtime,True,True
D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s0_reward_sharded_720h_r2_20260613\a7v3s0_reward_shard_status.csv,a7v3s0_reward_s046,failed,,2026-06-13T10:08:40Z,2026-06-13T10:37:01Z,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s0_reward_sharded_720h_r2_20260613\shards\a7v3s0_reward_s046\reward_runtime,True,True
D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s0_reward_sharded_720h_r2_20260613\a7v3s0_reward_shard_status.csv,a7v3s0_reward_s047,failed,,2026-06-13T10:30:41Z,2026-06-13T10:56:21Z,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s0_reward_sharded_720h_r2_20260613\shards\a7v3s0_reward_s047\reward_runtime,True,True
D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s0_reward_sharded_720h_r2_20260613\a7v3s0_reward_shard_status.csv,a7v3s0_reward_s060,failed,,2026-06-13T10:37:01Z,2026-06-13T11:04:02Z,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s0_reward_sharded_720h_r2_20260613\shards\a7v3s0_reward_s060\reward_runtime,True,True
D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s0_reward_sharded_720h_r2_20260613\a7v3s0_reward_shard_status.csv,a7v3s0_reward_s061,failed,,2026-06-13T10:56:21Z,2026-06-13T11:22:42Z,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s0_reward_sharded_720h_r2_20260613\shards\a7v3s0_reward_s061\reward_runtime,True,True
D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s0_reward_sharded_720h_r2_20260613\a7v3s0_reward_shard_status.csv,a7v3s0_reward_s062,failed,,2026-06-13T11:04:02Z,2026-06-13T11:27:42Z,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s0_reward_sharded_720h_r2_20260613\shards\a7v3s0_reward_s062\reward_runtime,True,True
D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s0_reward_sharded_720h_r2_20260613\a7v3s0_reward_shard_status.csv,a7v3s0_reward_s063,failed,,2026-06-13T11:22:42Z,2026-06-13T11:45:43Z,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s0_reward_sharded_720h_r2_20260613\shards\a7v3s0_reward_s063\reward_runtime,True,True
D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s0_reward_sharded_720h_r2_20260613\a7v3s0_reward_supplemental_30_35_status.csv,a7v3s0_reward_s031,failed,,2026-06-13T07:59:57Z,2026-06-13T08:23:58Z,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s0_reward_sharded_720h_r2_20260613\shards\a7v3s0_reward_s031\reward_runtime,True,True
D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s0_reward_sharded_720h_r2_20260613\a7v3s0_reward_supplemental_30_35_status.csv,a7v3s0_reward_s030,failed,,2026-06-13T07:59:57Z,2026-06-13T08:25:38Z,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s0_reward_sharded_720h_r2_20260613\shards\a7v3s0_reward_s030\reward_runtime,True,True
D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s0_reward_sharded_720h_r2_20260613\a7v3s0_reward_supplemental_30_35_status.csv,a7v3s0_reward_s032,failed,,2026-06-13T08:23:58Z,2026-06-13T08:50:59Z,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s0_reward_sharded_720h_r2_20260613\shards\a7v3s0_reward_s032\reward_runtime,True,True
D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s0_reward_sharded_720h_r2_20260613\a7v3s0_reward_supplemental_30_35_status.csv,a7v3s0_reward_s033,failed,,2026-06-13T08:25:38Z,2026-06-13T08:52:19Z,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s0_reward_sharded_720h_r2_20260613\shards\a7v3s0_reward_s033\reward_runtime,True,True
D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s0_reward_sharded_720h_r2_20260613\a7v3s0_reward_supplemental_30_35_status.csv,a7v3s0_reward_s034,failed,,2026-06-13T08:50:59Z,2026-06-13T09:20:20Z,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s0_reward_sharded_720h_r2_20260613\shards\a7v3s0_reward_s034\reward_runtime,True,True
D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s0_reward_sharded_720h_r2_20260613\a7v3s0_reward_supplemental_30_35_status.csv,a7v3s0_reward_s035,failed,,2026-06-13T08:52:19Z,2026-06-13T09:21:20Z,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s0_reward_sharded_720h_r2_20260613\shards\a7v3s0_reward_s035\reward_runtime,True,True
D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s0_reward_sharded_720h_r2_20260613\a7v3s0_reward_supplemental_36_47_status.csv,a7v3s0_reward_s036,failed,,2026-06-13T07:54:18Z,2026-06-13T08:17:59Z,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s0_reward_sharded_720h_r2_20260613\shards\a7v3s0_reward_s036\reward_runtime,True,True
D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s0_reward_sharded_720h_r2_20260613\a7v3s0_reward_supplemental_36_47_status.csv,a7v3s0_reward_s037,failed,,2026-06-13T07:54:18Z,2026-06-13T08:17:59Z,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s0_reward_sharded_720h_r2_20260613\shards\a7v3s0_reward_s037\reward_runtime,True,True
D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s0_reward_sharded_720h_r2_20260613\a7v3s0_reward_supplemental_36_47_status.csv,a7v3s0_reward_s038,failed,,2026-06-13T08:17:59Z,2026-06-13T08:42:20Z,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s0_reward_sharded_720h_r2_20260613\shards\a7v3s0_reward_s038\reward_runtime,True,True
D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s0_reward_sharded_720h_r2_20260613\a7v3s0_reward_supplemental_36_47_status.csv,a7v3s0_reward_s039,failed,,2026-06-13T08:17:59Z,2026-06-13T08:42:20Z,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s0_reward_sharded_720h_r2_20260613\shards\a7v3s0_reward_s039\reward_runtime,True,True
D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s0_reward_sharded_720h_r2_20260613\a7v3s0_reward_supplemental_36_47_status.csv,a7v3s0_reward_s041,failed,,2026-06-13T08:42:20Z,2026-06-13T09:07:20Z,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s0_reward_sharded_720h_r2_20260613\shards\a7v3s0_reward_s041\reward_runtime,True,True
D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s0_reward_sharded_720h_r2_20260613\a7v3s0_reward_supplemental_36_47_status.csv,a7v3s0_reward_s040,failed,,2026-06-13T08:42:20Z,2026-06-13T09:07:41Z,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s0_reward_sharded_720h_r2_20260613\shards\a7v3s0_reward_s040\reward_runtime,True,True
D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s0_reward_sharded_720h_r2_20260613\a7v3s0_reward_supplemental_36_47_status.csv,a7v3s0_reward_s042,failed,,2026-06-13T09:07:20Z,2026-06-13T09:35:01Z,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s0_reward_sharded_720h_r2_20260613\shards\a7v3s0_reward_s042\reward_runtime,True,True
D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s0_reward_sharded_720h_r2_20260613\a7v3s0_reward_supplemental_36_47_status.csv,a7v3s0_reward_s043,failed,,2026-06-13T09:07:41Z,2026-06-13T09:35:01Z,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s0_reward_sharded_720h_r2_20260613\shards\a7v3s0_reward_s043\reward_runtime,True,True
D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s0_reward_sharded_720h_r2_20260613\a7v3s0_reward_supplemental_36_47_status.csv,a7v3s0_reward_s045,failed,,2026-06-13T09:35:01Z,2026-06-13T10:00:42Z,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s0_reward_sharded_720h_r2_20260613\shards\a7v3s0_reward_s045\reward_runtime,True,True
D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s0_reward_sharded_720h_r2_20260613\a7v3s0_reward_supplemental_36_47_status.csv,a7v3s0_reward_s044,failed,,2026-06-13T09:35:01Z,2026-06-13T10:01:22Z,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s0_reward_sharded_720h_r2_20260613\shards\a7v3s0_reward_s044\reward_runtime,True,True
D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s0_reward_sharded_720h_r2_20260613\a7v3s0_reward_supplemental_36_47_status.csv,a7v3s0_reward_s046,failed,,2026-06-13T10:00:42Z,2026-06-13T10:28:43Z,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s0_reward_sharded_720h_r2_20260613\shards\a7v3s0_reward_s046\reward_runtime,True,True
D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s0_reward_sharded_720h_r2_20260613\a7v3s0_reward_supplemental_36_47_status.csv,a7v3s0_reward_s047,failed,,2026-06-13T10:01:22Z,2026-06-13T10:29:03Z,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s0_reward_sharded_720h_r2_20260613\shards\a7v3s0_reward_s047\reward_runtime,True,True
D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s0_reward_sharded_720h_r2_20260613\a7v3s0_reward_supplemental_48_63_status.csv,a7v3s0_reward_s048,failed,,2026-06-13T07:52:32Z,2026-06-13T08:16:12Z,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s0_reward_sharded_720h_r2_20260613\shards\a7v3s0_reward_s048\reward_runtime,True,True
D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s0_reward_sharded_720h_r2_20260613\a7v3s0_reward_supplemental_48_63_status.csv,a7v3s0_reward_s049,failed,,2026-06-13T07:52:32Z,2026-06-13T08:16:12Z,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s0_reward_sharded_720h_r2_20260613\shards\a7v3s0_reward_s049\reward_runtime,True,True
D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s0_reward_sharded_720h_r2_20260613\a7v3s0_reward_supplemental_48_63_status.csv,a7v3s0_reward_s050,failed,,2026-06-13T08:16:12Z,2026-06-13T08:38:13Z,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s0_reward_sharded_720h_r2_20260613\shards\a7v3s0_reward_s050\reward_runtime,True,True
D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s0_reward_sharded_720h_r2_20260613\a7v3s0_reward_supplemental_48_63_status.csv,a7v3s0_reward_s051,failed,,2026-06-13T08:16:12Z,2026-06-13T08:39:53Z,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s0_reward_sharded_720h_r2_20260613\shards\a7v3s0_reward_s051\reward_runtime,True,True
D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s0_reward_sharded_720h_r2_20260613\a7v3s0_reward_supplemental_48_63_status.csv,a7v3s0_reward_s052,failed,,2026-06-13T08:38:13Z,2026-06-13T09:03:34Z,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s0_reward_sharded_720h_r2_20260613\shards\a7v3s0_reward_s052\reward_runtime,True,True
D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s0_reward_sharded_720h_r2_20260613\a7v3s0_reward_supplemental_48_63_status.csv,a7v3s0_reward_s053,failed,,2026-06-13T08:39:53Z,2026-06-13T09:05:14Z,D:\HermesWorker\GDrive\AlphaFactory_CryptoData\research_runtime\a7v3s0_reward_sharded_720h_r2_20260613\shards\a7v3s0_reward_s053\reward_runtime,True,True
