blueprint_id,parent_subgraph_id,child_subgraph_id,arg_index,parent_expression,child_expression
a7ff55r3_abd178ebba0aa939,sg_efc8bd399fd2c26f,sg_9d0d001296fbe7e1,0,,open_interest_value_mean
a7ff55r3_abd178ebba0aa939,sg_efc8bd399fd2c26f,sg_1b6453892473a467,1,,4
a7ff55r3_9a67d110d80cd2fe,sg_8802ecd1e55ad81b,sg_9d0d001296fbe7e1,0,,open_interest_value_mean
a7ff55r3_9a67d110d80cd2fe,sg_8802ecd1e55ad81b,sg_1b6453892473a467,1,,4
a7ff55r3_bed51c39b20888c9,sg_7532da1b121123cc,sg_8802ecd1e55ad81b,0,,"Mean(open_interest_value_mean,4)"
a7ff55r3_bed51c39b20888c9,sg_8802ecd1e55ad81b,sg_9d0d001296fbe7e1,0,,open_interest_value_mean
a7ff55r3_bed51c39b20888c9,sg_8802ecd1e55ad81b,sg_1b6453892473a467,1,,4
a7ff55r3_ee86c209a3b299db,sg_296287138e14b6bf,sg_9d0d001296fbe7e1,0,,open_interest_value_mean
a7ff55r3_ee86c209a3b299db,sg_296287138e14b6bf,sg_fe5dbbcea5ce7e29,1,,8
a7ff55r3_845bacc524c707c7,sg_121d7f9e0218467a,sg_9d0d001296fbe7e1,0,,open_interest_value_mean
a7ff55r3_845bacc524c707c7,sg_121d7f9e0218467a,sg_fe5dbbcea5ce7e29,1,,8
a7ff55r3_57769e082e31af82,sg_c0851808b59cb92c,sg_121d7f9e0218467a,0,,"Mean(open_interest_value_mean,8)"
a7ff55r3_57769e082e31af82,sg_121d7f9e0218467a,sg_9d0d001296fbe7e1,0,,open_interest_value_mean
a7ff55r3_57769e082e31af82,sg_121d7f9e0218467a,sg_fe5dbbcea5ce7e29,1,,8
a7ff55r3_c32522ef39297200,sg_e201cae278770893,sg_9d0d001296fbe7e1,0,,open_interest_value_mean
a7ff55r3_c32522ef39297200,sg_e201cae278770893,sg_4d134bc072212ace,1,,24
a7ff55r3_8a81c56d8c850047,sg_da17367ac30bb3fd,sg_9d0d001296fbe7e1,0,,open_interest_value_mean
a7ff55r3_8a81c56d8c850047,sg_da17367ac30bb3fd,sg_4d134bc072212ace,1,,24
a7ff55r3_b1dc18531a4f6eda,sg_4818795ca08d978e,sg_da17367ac30bb3fd,0,,"Mean(open_interest_value_mean,24)"
a7ff55r3_b1dc18531a4f6eda,sg_da17367ac30bb3fd,sg_9d0d001296fbe7e1,0,,open_interest_value_mean
