candidate_id,cell,family,expression,fields,field_families,operators,windows,feature_role,diagnostic_only,static_valid,static_reject_reasons,expression_key,skeleton_key,production_key,label_or_future_field_count,lineage_allowed_fields,base_field_count,overlay_field_count,selected_for_a7al2l_replay_preflight,selector_reason
a7al2k_088aa2521b0e943a,J0_oi_derived_state,derived_oi_price_state,"Mul(ZScore(Delta(open_interest_last,4)),ZScore(Delta(trade_close,72)))",open_interest_last|trade_close,open_interest|price,Delta|Mul|ZScore,4|72,derived_interaction,False,True,,expr-23df0b386d08cf8b,skeleton-c14ad246aa64fd6e,a7al2k_derived_generator::derived_oi_price_state::open_interest|price::4|72,0,2,2,1,True,selected_diversity_capped
a7al2k_021b01ee43d79d3f,J0_oi_derived_state,derived_oi_price_state,"Sub(ZScore(Delta(open_interest_value_mean,168)),Rank(Delta(trade_close,48)))",open_interest_value_mean|trade_close,open_interest|price,Delta|Rank|Sub|ZScore,48|168,derived_interaction,False,True,,expr-e655e931aad0df9b,skeleton-e3c6dc2a999ed3be,a7al2k_derived_generator::derived_oi_price_state::open_interest|price::48|168,0,2,2,0,True,selected_diversity_capped
a7al2k_06913c1302bd8133,J0_oi_derived_state,derived_oi_price_state,"ZScore(Mean(Delta(open_interest_value_last,168),336))",open_interest_value_last,open_interest,Delta|Mean|ZScore,168|336,derived_interaction,False,True,,expr-927e8f121d352529,skeleton-8136d338878cf964,a7al2k_derived_generator::derived_oi_price_state::open_interest::168|336,0,1,1,1,True,selected_diversity_capped
a7al2k_029a1afe50f2c7f5,J0_oi_derived_state,derived_oi_price_state,"ZScore(Mean(Delta(open_interest_mean,72),168))",open_interest_mean,open_interest,Delta|Mean|ZScore,72|168,derived_interaction,False,True,,expr-37f447f39edcb1fb,skeleton-8136d338878cf964,a7al2k_derived_generator::derived_oi_price_state::open_interest::72|168,0,1,1,0,True,selected_diversity_capped
a7al2k_040bcb01da92d1c2,J0_oi_derived_state,derived_oi_price_state,"Add(ZScore(Delta(open_interest_value_mean,336)),Neg(ZScore(Delta(trade_close,168))))",open_interest_value_mean|trade_close,open_interest|price,Add|Delta|Neg|ZScore,168|336,derived_interaction,False,True,,expr-6491f3dcd505658e,skeleton-ce90f730823c326b,a7al2k_derived_generator::derived_oi_price_state::open_interest|price::168|336,0,2,2,0,True,selected_diversity_capped
a7al2k_057467cdb5547ae9,J0_oi_derived_state,derived_oi_price_state,"Sub(Rank(Delta(open_interest_last,336)),Rank(Delta(open_interest_last,8)))",open_interest_last,open_interest,Delta|Rank|Sub,8|336,derived_interaction,False,True,,expr-03114bcf3fede697,skeleton-8ad46b9059e6381f,a7al2k_derived_generator::derived_oi_price_state::open_interest::8|336,0,1,1,1,True,selected_diversity_capped
a7al2k_2e9e3938e83b2593,J0_oi_derived_state,derived_oi_price_state,"Add(ZScore(Mean(open_interest_value_mean,72)),Neg(ZScore(Mean(open_interest_value_mean,504))))",open_interest_value_mean,open_interest,Add|Mean|Neg|ZScore,72|504,derived_interaction,False,True,,expr-5fea5999c5a5cf95,skeleton-a352efeb5ebfebd6,a7al2k_derived_generator::derived_oi_price_state::open_interest::72|504,0,1,1,0,True,selected_diversity_capped
a7al2k_0a63a187954aab01,J0_oi_derived_state,derived_oi_price_state,"ZScore(Mean(Delta(open_interest_last,72),72))",open_interest_last,open_interest,Delta|Mean|ZScore,72,derived_interaction,False,True,,expr-87b77809c0d0265e,skeleton-8136d338878cf964,a7al2k_derived_generator::derived_oi_price_state::open_interest::72,0,1,1,1,True,selected_diversity_capped
a7al2k_2f84d96f3bf53005,J0_oi_derived_state,derived_oi_price_state,"Add(ZScore(Mean(open_interest_last,720)),Neg(ZScore(Mean(open_interest_last,72))))",open_interest_last,open_interest,Add|Mean|Neg|ZScore,72|720,derived_interaction,False,True,,expr-54ea1bce2efaf3e6,skeleton-a352efeb5ebfebd6,a7al2k_derived_generator::derived_oi_price_state::open_interest::72|720,0,1,1,1,True,selected_diversity_capped
a7al2k_0229cfd8f3eab064,J0_oi_derived_state,derived_oi_price_state,"Add(Rank(Mean(open_interest_value_mean,48)),Neg(Rank(Mean(trade_close,336))))",open_interest_value_mean|trade_close,open_interest|price,Add|Mean|Neg|Rank,48|336,derived_interaction,False,True,,expr-f35c08e848a5a62a,skeleton-014a9763a0041a9f,a7al2k_derived_generator::derived_oi_price_state::open_interest|price::48|336,0,2,2,0,True,selected_diversity_capped
a7al2k_26e0700cb648e974,J0_oi_derived_state,derived_oi_price_state,"Add(ZScore(Mean(open_interest_value_last,48)),Neg(ZScore(Mean(open_interest_value_last,96))))",open_interest_value_last,open_interest,Add|Mean|Neg|ZScore,48|96,derived_interaction,False,True,,expr-0a884e7d669e5cf5,skeleton-a352efeb5ebfebd6,a7al2k_derived_generator::derived_oi_price_state::open_interest::48|96,0,1,1,1,True,selected_diversity_capped
a7al2k_004eaca76fe52c4d,J0_oi_derived_state,derived_oi_price_state,"Mul(Rank(Mean(open_interest_mean,168)),Sign(Delta(open_interest_mean,4)))",open_interest_mean,open_interest,Delta|Mean|Mul|Rank|Sign,4|168,derived_interaction,False,True,,expr-3c2e864f6ded9510,skeleton-4c1e1eff7eb11f45,a7al2k_derived_generator::derived_oi_price_state::open_interest::4|168,0,1,1,0,True,selected_diversity_capped
a7al2k_0100761ae614cb7e,J0_oi_derived_state,derived_oi_price_state,"Mul(Abs(ZScore(Delta(open_interest_mean,12))),Neg(ZScore(Delta(index_close,168))))",index_close|open_interest_mean,open_interest|price,Abs|Delta|Mul|Neg|ZScore,12|168,derived_interaction,False,True,,expr-24693548a45a237f,skeleton-bbdbe24438ac9781,a7al2k_derived_generator::derived_oi_price_state::open_interest|price::12|168,0,2,2,0,True,selected_diversity_capped
a7al2k_03ce8aaac75e26e9,J0_oi_derived_state,derived_oi_price_state,"Mul(Sign(Delta(open_interest_last,24)),Abs(ZScore(Delta(trade_close,96))))",open_interest_last|trade_close,open_interest|price,Abs|Delta|Mul|Sign|ZScore,24|96,derived_interaction,False,True,,expr-fed71b12e70355c8,skeleton-2d041ee3f5fce6d3,a7al2k_derived_generator::derived_oi_price_state::open_interest|price::24|96,0,2,2,1,True,selected_diversity_capped
a7al2k_05e3ce5032cbf852,J0_oi_derived_state,derived_oi_price_state,"Mul(Abs(ZScore(Delta(open_interest_last,336))),Neg(ZScore(Delta(trade_close,168))))",open_interest_last|trade_close,open_interest|price,Abs|Delta|Mul|Neg|ZScore,168|336,derived_interaction,False,True,,expr-08576e230b5c72a0,skeleton-bbdbe24438ac9781,a7al2k_derived_generator::derived_oi_price_state::open_interest|price::168|336,0,2,2,1,True,selected_diversity_capped
a7al2k_2560d98ee2726361,J0_oi_derived_state,derived_oi_price_state,"Rank(Delta(open_interest_mean,24))",open_interest_mean,open_interest,Delta|Rank,24,derived_interaction,False,True,,expr-83876f0a0f677d7e,skeleton-377d45dadd905908,a7al2k_derived_generator::derived_oi_price_state::open_interest::24,0,1,1,0,True,selected_diversity_capped
a7al2k_03b845e52473af3d,J0_oi_derived_state,derived_oi_price_state,"Mul(Abs(ZScore(Delta(open_interest_value_mean,4))),Neg(ZScore(Delta(trade_close,4))))",open_interest_value_mean|trade_close,open_interest|price,Abs|Delta|Mul|Neg|ZScore,4,derived_interaction,False,True,,expr-b5cf927bc2dce9a8,skeleton-bbdbe24438ac9781,a7al2k_derived_generator::derived_oi_price_state::open_interest|price::4,0,2,2,0,True,selected_diversity_capped
a7al2k_04a3fb2cffa8fce4,J0_oi_derived_state,derived_oi_price_state,"Mul(Abs(ZScore(Delta(open_interest_last,24))),Neg(ZScore(Delta(trade_close,168))))",open_interest_last|trade_close,open_interest|price,Abs|Delta|Mul|Neg|ZScore,24|168,derived_interaction,False,True,,expr-c0c84616c70b67b3,skeleton-bbdbe24438ac9781,a7al2k_derived_generator::derived_oi_price_state::open_interest|price::24|168,0,2,2,1,True,selected_diversity_capped
a7al2k_08aca3ae094f347e,J0_oi_derived_state,derived_oi_price_state,"Add(ZScore(Delta(open_interest_value_last,8)),Neg(ZScore(Delta(index_close,4))))",index_close|open_interest_value_last,open_interest|price,Add|Delta|Neg|ZScore,4|8,derived_interaction,False,True,,expr-60300e789605c213,skeleton-ce90f730823c326b,a7al2k_derived_generator::derived_oi_price_state::open_interest|price::4|8,0,2,2,1,True,selected_diversity_capped
a7al2k_01d1b4e7df47638e,J0_oi_derived_state,derived_oi_price_state,"ZScore(Mean(Delta(open_interest_mean,72),72))",open_interest_mean,open_interest,Delta|Mean|ZScore,72,derived_interaction,False,True,,expr-2082304404512759,skeleton-8136d338878cf964,a7al2k_derived_generator::derived_oi_price_state::open_interest::72,0,1,1,0,True,selected_diversity_capped
a7al2k_0229869f681b44ec,J0_oi_derived_state,derived_oi_price_state,"Add(ZScore(Delta(open_interest_last,8)),Neg(ZScore(Delta(trade_close,8))))",open_interest_last|trade_close,open_interest|price,Add|Delta|Neg|ZScore,8,derived_interaction,False,True,,expr-a648466be22dd704,skeleton-ce90f730823c326b,a7al2k_derived_generator::derived_oi_price_state::open_interest|price::8,0,2,2,1,True,selected_diversity_capped
a7al2k_1511a572d1800d1b,J0_oi_derived_state,derived_oi_price_state,"Rank(Delta(open_interest_value_mean,4))",open_interest_value_mean,open_interest,Delta|Rank,4,derived_interaction,False,True,,expr-1b525522903c1bb0,skeleton-377d45dadd905908,a7al2k_derived_generator::derived_oi_price_state::open_interest::4,0,1,1,0,True,selected_diversity_capped
a7al2k_01667382f8586738,J0_oi_derived_state,derived_oi_price_state,"Mul(ZScore(Delta(open_interest_last,8)),ZScore(Delta(trade_close,8)))",open_interest_last|trade_close,open_interest|price,Delta|Mul|ZScore,8,derived_interaction,False,True,,expr-663e458ecc108450,skeleton-c14ad246aa64fd6e,a7al2k_derived_generator::derived_oi_price_state::open_interest|price::8,0,2,2,1,True,selected_diversity_capped
a7al2k_2178484591d16cd2,J0_oi_derived_state,derived_oi_price_state,"Add(ZScore(Mean(open_interest_last,24)),Neg(ZScore(Mean(open_interest_last,96))))",open_interest_last,open_interest,Add|Mean|Neg|ZScore,24|96,derived_interaction,False,True,,expr-41f8bf71053953e7,skeleton-a352efeb5ebfebd6,a7al2k_derived_generator::derived_oi_price_state::open_interest::24|96,0,1,1,1,True,selected_diversity_capped
a7al2k_02036e7b06bd3a93,J0_oi_derived_state,derived_oi_price_state,"Sub(ZScore(Delta(open_interest_last,504)),Rank(Delta(index_close,8)))",index_close|open_interest_last,open_interest|price,Delta|Rank|Sub|ZScore,8|504,derived_interaction,False,True,,expr-7a52c4f5f0c7b258,skeleton-e3c6dc2a999ed3be,a7al2k_derived_generator::derived_oi_price_state::open_interest|price::8|504,0,2,2,1,True,selected_diversity_capped
a7al2k_04fbcde8fd0700ac,J0_oi_derived_state,derived_oi_price_state,"Sub(ZScore(Delta(open_interest_value_mean,504)),Rank(Delta(index_close,96)))",index_close|open_interest_value_mean,open_interest|price,Delta|Rank|Sub|ZScore,96|504,derived_interaction,False,True,,expr-f65452f5ae60717d,skeleton-e3c6dc2a999ed3be,a7al2k_derived_generator::derived_oi_price_state::open_interest|price::96|504,0,2,2,0,True,selected_diversity_capped
a7al2k_048e9c8cf26b501e,J0_oi_derived_state,derived_oi_price_state,"Add(ZScore(Mean(open_interest_value_mean,336)),Neg(ZScore(Mean(open_interest_value_mean,72))))",open_interest_value_mean,open_interest,Add|Mean|Neg|ZScore,72|336,derived_interaction,False,True,,expr-7f112981eb878f8d,skeleton-a352efeb5ebfebd6,a7al2k_derived_generator::derived_oi_price_state::open_interest::72|336,0,1,1,0,True,selected_diversity_capped
a7al2k_06b8318f595f8506,J0_oi_derived_state,derived_oi_price_state,"Mul(Sign(Delta(open_interest_last,48)),Abs(ZScore(Delta(index_close,720))))",index_close|open_interest_last,open_interest|price,Abs|Delta|Mul|Sign|ZScore,48|720,derived_interaction,False,True,,expr-95593e3037f58f2c,skeleton-2d041ee3f5fce6d3,a7al2k_derived_generator::derived_oi_price_state::open_interest|price::48|720,0,2,2,1,True,selected_diversity_capped
a7al2k_1ef338b1faf7439f,J0_oi_derived_state,derived_oi_price_state,"Rank(Delta(open_interest_value_last,336))",open_interest_value_last,open_interest,Delta|Rank,336,derived_interaction,False,True,,expr-0929ba28f0d883a7,skeleton-377d45dadd905908,a7al2k_derived_generator::derived_oi_price_state::open_interest::336,0,1,1,1,True,selected_diversity_capped
a7al2k_1044ef5c3ee513e0,J0_oi_derived_state,derived_oi_price_state,"Add(ZScore(Mean(open_interest_last,720)),Neg(ZScore(Mean(open_interest_last,720))))",open_interest_last,open_interest,Add|Mean|Neg|ZScore,720,derived_interaction,False,True,,expr-d4f37bb584a02843,skeleton-a352efeb5ebfebd6,a7al2k_derived_generator::derived_oi_price_state::open_interest::720,0,1,1,1,True,selected_diversity_capped
a7al2k_08597caa7561bc97,J0_oi_derived_state,derived_oi_price_state,"Mul(ZScore(Delta(open_interest_last,336)),ZScore(Delta(trade_close,504)))",open_interest_last|trade_close,open_interest|price,Delta|Mul|ZScore,336|504,derived_interaction,False,True,,expr-f8f556ba8d7a646a,skeleton-c14ad246aa64fd6e,a7al2k_derived_generator::derived_oi_price_state::open_interest|price::336|504,0,2,2,1,True,selected_diversity_capped
a7al2k_0af21c31d3c141f8,J0_oi_derived_state,derived_oi_price_state,"Mul(Rank(Mean(open_interest_last,336)),Sign(Delta(open_interest_last,72)))",open_interest_last,open_interest,Delta|Mean|Mul|Rank|Sign,72|336,derived_interaction,False,True,,expr-fb2c8b8699cb6523,skeleton-4c1e1eff7eb11f45,a7al2k_derived_generator::derived_oi_price_state::open_interest::72|336,0,1,1,1,True,selected_diversity_capped
a7al2k_027bc62138c312a8,J0_oi_derived_state,derived_oi_price_state,"Mul(Rank(Mean(Delta(open_interest_value_last,48),504)),Sign(Delta(index_close,336)))",index_close|open_interest_value_last,open_interest|price,Delta|Mean|Mul|Rank|Sign,48|336|504,derived_interaction,False,True,,expr-4838d49111d28f5b,skeleton-ca868057ab9bb5ea,a7al2k_derived_generator::derived_oi_price_state::open_interest|price::48|336|504,0,2,2,1,True,selected_diversity_capped
a7al2k_04d0a29198348234,J0_oi_derived_state,derived_oi_price_state,"Sub(ZScore(Mean(open_interest_last,504)),ZScore(Mean(open_interest_last,96)))",open_interest_last,open_interest,Mean|Sub|ZScore,96|504,derived_interaction,False,True,,expr-95913a64d692f0fd,skeleton-7762e3f46e546cc2,a7al2k_derived_generator::derived_oi_price_state::open_interest::96|504,0,1,1,1,True,selected_diversity_capped
