blueprint_id,expression,a7input_queue,semantic_pair,motif,skeleton_key,production_key,row_count,label_family_count,horizon_count,dominant_decision,dominant_decision_share,median_control_ratio,min_control_ratio,median_positive_split_count,max_positive_split_count,max_recent_spread,max_cost5_recent,best_label_family,best_label_horizon_h,best_decision
a7ff24r_5fd29d53584be2bf,"Sub(CSRank(ZScore(Mean(mark_index_basis_bps,2))),CSRank(ZScore(Mean(premium_close_bps,4))))",ordinary_alpha,basis_premium_like|basis_premium_like,spread_rank,skel_f4061a64df347a31,prod_923c3aff5824fa57,16,4,4,HOLD_CORE56_CONTROL_DOMINATED,0.5,1.006554461405527,1.0003257500438094,2.0,3,0.0544090677965998,0.0534090677965998,L5_vol_adjusted,4,HOLD_CORE56_CONTROL_DOMINATED
a7ff24r_596e8f66dbea15c3,"SafeDiv(Delta(mark_index_basis_bps,1),Abs(premium_close_bps))",ordinary_alpha,basis_premium_like|basis_premium_like,safe_div_abs,skel_136259b72205469f,prod_b8468e58ad10b7b6,16,4,4,HOLD_CORE56_CONTROL_DOMINATED,0.75,1.0,1.0,3.0,3,0.0536848759454217,0.0526848759454217,L5_vol_adjusted,24,HOLD_CORE56_CONTROL_DOMINATED
a7ff24r_542b570f4bf41412,"Mul(Delta(mark_index_basis_bps,1),realized_vol_168h)",ordinary_alpha,basis_premium_like|volatility_like,mul,skel_0994b3a36a4d53ba,prod_f6e68c5950a2d88f,16,4,4,HOLD_CORE56_CONTROL_DOMINATED,0.75,1.0,1.0,3.0,3,0.0525454469687078,0.0515454469687078,L5_vol_adjusted,1,HOLD_CORE56_CONTROL_DOMINATED
a7ff24r_010c17f20813e83d,"Sub(mark_index_basis_bps,Mean(premium_close_bps,8))",ordinary_alpha,basis_premium_like|basis_premium_like,sub,skel_f8484b844efd270f,prod_6368f96f9b9f0fd3,16,4,4,HOLD_CORE56_PREMAY_UNSTABLE,0.75,1.470332855812644,1.0,1.0,3,0.0510520630687808,0.0500520630687808,L5_vol_adjusted,1,HOLD_CORE56_CONTROL_DOMINATED
a7ff24r_57e00327a34e91e3,"Delta(mark_index_basis_bps,24)",ordinary_alpha,basis_premium_like,single,skel_1d39996e97d5ace0,prod_6b5cfa223e66ae24,16,4,4,HOLD_CORE56_PREMAY_UNSTABLE,0.75,1.750787872910497,1.0,2.0,3,0.0504761710497731,0.0494761710497731,L5_vol_adjusted,1,HOLD_CORE56_CONTROL_DOMINATED
a7ff24r_6a8e4e33dbe4b09c,"Delta(mark_index_basis_bps,168)",ordinary_alpha,basis_premium_like,single,skel_1d39996e97d5ace0,prod_bf743c47201eac8f,16,4,4,HOLD_CORE56_PREMAY_UNSTABLE,0.6875,1.2155540748806821,1.0,1.0,3,0.0503386580454744,0.0493386580454744,L5_vol_adjusted,24,HOLD_CORE56_PREMAY_UNSTABLE
a7ff24r_84e6b7e0b4d14184,"SafeDiv(Delta(mark_index_basis_bps,4),Abs(trade_return_1h))",interaction_alpha,basis_premium_like|price_like,safe_div_abs,skel_136259b72205469f,prod_2a2892946c421914,16,4,4,HOLD_CORE56_CONTROL_DOMINATED,0.75,1.1102198118622533,1.0,3.0,3,0.0495188414574681,0.0485188414574681,L5_vol_adjusted,1,HOLD_CORE56_CONTROL_DOMINATED
a7ff24r_95db6511637ff25a,"Delta(trade_return_1h,48)",ordinary_alpha,price_like,single,skel_1d39996e97d5ace0,prod_369ca6b27934adff,16,4,4,HOLD_CORE56_PREMAY_UNSTABLE,0.8125,6.43754288532728,2.987302630335176,2.0,3,0.0493930202692138,0.0483930202692138,L5_vol_adjusted,24,HOLD_CORE56_CONTROL_DOMINATED
a7ff24r_ff9b56ccd0b1474f,"Delta(trade_return_1h,1)",ordinary_alpha,price_like,single,skel_1d39996e97d5ace0,prod_dda89efb17229ab4,16,4,4,HOLD_CORE56_CONTROL_DOMINATED,0.5625,1.0011606547940777,1.0001527327628954,3.0,3,0.0489406862274072,0.0479406862274072,L5_vol_adjusted,24,HOLD_CORE56_CONTROL_DOMINATED
a7ff24r_072721eac2a0cfd3,"Sub(Delta(mark_index_basis_bps,8),trade_return_1h)",ordinary_alpha,basis_premium_like|price_like,sub,skel_0994b3a36a4d53ba,prod_f25881a4a43474cc,16,4,4,HOLD_CORE56_PREMAY_UNSTABLE,0.6875,1.0,1.0,2.0,3,0.0485831654794777,0.0475831654794777,L5_vol_adjusted,1,HOLD_CORE56_CONTROL_DOMINATED
