left,right,intersection_hours,jaccard,left_covered_by_right,right_covered_by_left
session=late_utc_22_23,volume_burst,77,0.020660048296216798,0.043949771689497714,0.03752436647173489
funding_positive_extreme,volume_burst,45,0.01983252534156016,0.1717557251908397,0.021929824561403508
funding_abs_extreme_p90,session=europe_utc_08_13,110,0.019830539030106363,0.2743142144638404,0.020928462709284626
funding_abs_extreme_p90,oi_expansion_24h_p90,45,0.019650655021834062,0.11221945137157108,0.02326783867631851
basis_dislocation_p90,extreme_vol_168h_p95,136,0.019514994977758646,0.021491782553729456,0.17503217503217502
funding_abs_extreme_p90,session=asia_utc_00_07,136,0.018696728072587297,0.33915211970074816,0.019403623912112998
liquidity_shock_low_volume,oi_expansion_24h_p90,74,0.018321366674919536,0.03396053235429096,0.038262668045501554
market_crash_like,session=us_utc_14_21,128,0.017689331122166942,0.3595505617977528,0.0182648401826484
funding_abs_extreme_p90,session=us_utc_14_21,126,0.017300562954826307,0.314214463840399,0.01797945205479452
funding_boundary_8h_proxy,market_crash_like,49,0.016689373297002725,0.018638265500190185,0.13764044943820225
market_crash_like,session=asia_utc_00_07,118,0.016282599696426106,0.33146067415730335,0.016835497217862747
funding_positive_extreme,session=europe_utc_08_13,87,0.01601914932793224,0.3320610687022901,0.016552511415525113
market_crash_like,post_funding_1h_proxy,47,0.016002723867892407,0.13202247191011235,0.017884322678843226
funding_abs_extreme_p90,liquidity_shock_low_volume,40,0.015748031496062992,0.09975062344139651,0.018357044515832952
basis_dislocation_p95,extreme_vol_168h_p95,82,0.015636918382913808,0.018025939766981754,0.10553410553410554
market_crash_like,session=europe_utc_08_13,85,0.015379048308304687,0.23876404494382023,0.016171993911719938
market_crash_like,pre_funding_1h_proxy,44,0.014965986394557823,0.12359550561797752,0.0167427701674277
forced_deleveraging_proxy,post_funding_1h_proxy,43,0.014930555555555556,0.14576271186440679,0.016362252663622526
funding_abs_extreme_p90,funding_negative_extreme,160,0.01483404413128129,0.39900249376558605,0.015173067804646752
forced_deleveraging_proxy,funding_boundary_8h_proxy,41,0.01422129725979882,0.13898305084745763,0.015595283377710156
forced_deleveraging_proxy,session=us_utc_14_21,102,0.014164699347312874,0.34576271186440677,0.014554794520547944
forced_deleveraging_proxy,session=asia_utc_00_07,99,0.013740458015267175,0.33559322033898303,0.014124696818376373
funding_abs_extreme_p90,session=late_utc_22_23,29,0.013653483992467044,0.07231920199501247,0.016552511415525113
forced_deleveraging_proxy,pre_funding_1h_proxy,39,0.013522884882108182,0.13220338983050847,0.014840182648401826
forced_deleveraging_proxy,session=europe_utc_08_13,73,0.013326031398320556,0.24745762711864408,0.013888888888888888
funding_negative_extreme,market_crash_like,143,0.013292433537832311,0.013560929350403034,0.40168539325842695
extreme_vol_168h_p95,volume_burst,37,0.01325214899713467,0.047619047619047616,0.018031189083820662
funding_positive_extreme,oi_expansion_24h_p90,28,0.012915129151291513,0.10687022900763359,0.014477766287487074
basis_dislocation_p90,market_crash_like,83,0.012573852446599,0.013116308470290772,0.23314606741573032
derivative_dislocation_proxy,session=europe_utc_08_13,66,0.01217936888724857,0.28820960698689957,0.012557077625570776
derivative_dislocation_proxy,perp_pressure_proxy,40,0.012110202845897668,0.17467248908296942,0.012845215157353885
extreme_drawdown_30d_p05,oi_expansion_24h_p90,46,0.012051349227141734,0.023846552617936754,0.023784901758014478
derivative_dislocation_proxy,session=asia_utc_00_07,86,0.012024608501118568,0.37554585152838427,0.012269938650306749
market_crash_like,session=late_utc_22_23,25,0.01200192030724916,0.0702247191011236,0.014269406392694063
derivative_dislocation_proxy,volume_burst,27,0.011978704525288377,0.11790393013100436,0.013157894736842105
funding_positive_extreme,session=us_utc_14_21,85,0.011830201809324982,0.3244274809160305,0.012128995433789954
funding_positive_extreme,session=asia_utc_00_07,85,0.011828555524631227,0.3244274809160305,0.012127264945070623
funding_abs_extreme_p90,perp_pressure_proxy,40,0.011510791366906475,0.09975062344139651,0.012845215157353885
forced_deleveraging_proxy,funding_negative_extreme,117,0.01091112561783083,0.39661016949152544,0.011095305832147937
basis_dislocation_p90,forced_deleveraging_proxy,70,0.010682130321989928,0.011061946902654867,0.23728813559322035
forced_deleveraging_proxy,session=late_utc_22_23,21,0.010365251727541954,0.0711864406779661,0.011986301369863013
funding_abs_extreme_p90,post_funding_1h_proxy,31,0.010340226817878585,0.0773067331670823,0.011796042617960426
funding_abs_extreme_p90,oi_contraction_24h_p10,24,0.010178117048346057,0.059850374064837904,0.012115093387178193
basis_dislocation_p95,market_crash_like,49,0.010090609555189456,0.010771598153440316,0.13764044943820225
funding_abs_extreme_p90,pre_funding_1h_proxy,30,0.010003334444814937,0.07481296758104738,0.01141552511415525
derivative_dislocation_proxy,oi_expansion_24h_p90,21,0.00980392156862745,0.09170305676855896,0.010858324715615306
derivative_dislocation_proxy,session=us_utc_14_21,68,0.00948528386106849,0.29694323144104806,0.009703196347031963
funding_boundary_8h_proxy,liquidity_shock_low_volume,40,0.008389261744966443,0.015214910612400151,0.018357044515832952
basis_dislocation_p95,forced_deleveraging_proxy,40,0.00832639467110741,0.008793141349747197,0.13559322033898305
funding_positive_extreme,liquidity_shock_low_volume,17,0.007013201320132013,0.0648854961832061,0.007801743919229004
derivative_dislocation_proxy,oi_contraction_24h_p10,15,0.00683371298405467,0.06550218340611354,0.00757193336698637
funding_positive_extreme,market_crash_like,4,0.006514657980456026,0.015267175572519083,0.011235955056179775
derivative_dislocation_proxy,funding_negative_extreme,67,0.006257588493508919,0.2925764192139738,0.006353722143195828
forced_deleveraging_proxy,funding_abs_extreme_p90,4,0.005780346820809248,0.013559322033898305,0.00997506234413965
market_crash_like,perp_pressure_proxy,19,0.0055056505360765,0.05337078651685393,0.0061014771997430954
derivative_dislocation_proxy,liquidity_shock_low_volume,13,0.005427974947807933,0.056768558951965066,0.005966039467645709
forced_deleveraging_proxy,funding_positive_extreme,3,0.005415162454873646,0.010169491525423728,0.011450381679389313
funding_abs_extreme_p90,market_crash_like,4,0.005312084993359893,0.00997506234413965,0.011235955056179775
funding_positive_extreme,oi_contraction_24h_p10,11,0.00492831541218638,0.04198473282442748,0.005552751135790005
forced_deleveraging_proxy,perp_pressure_proxy,16,0.004715590922487474,0.05423728813559322,0.005138086062941554
derivative_dislocation_proxy,session=late_utc_22_23,9,0.004563894523326572,0.039301310043668124,0.005136986301369863
derivative_dislocation_proxy,post_funding_1h_proxy,11,0.003865073787772312,0.048034934497816595,0.004185692541856925
funding_positive_extreme,post_funding_1h_proxy,11,0.0038207711010767626,0.04198473282442748,0.004185692541856925
derivative_dislocation_proxy,pre_funding_1h_proxy,8,0.002808002808002808,0.034934497816593885,0.0030441400304414
funding_positive_extreme,session=late_utc_22_23,5,0.0024888003982080635,0.019083969465648856,0.0028538812785388126
funding_positive_extreme,pre_funding_1h_proxy,5,0.0017331022530329288,0.019083969465648856,0.001902587519025875
forced_deleveraging_proxy,liquidity_shock_low_volume,4,0.0016194331983805667,0.013559322033898305,0.0018357044515832951
liquidity_shock_low_volume,market_crash_like,4,0.0015804030027657052,0.0018357044515832951,0.011235955056179775
extreme_vol_168h_p95,perp_pressure_proxy,5,0.0012866700977869274,0.006435006435006435,0.0016056518946692357
derivative_dislocation_proxy,extreme_vol_168h_p95,1,0.0009950248756218905,0.004366812227074236,0.001287001287001287
extreme_vol_168h_p95,funding_abs_extreme_p90,1,0.0008496176720475786,0.001287001287001287,0.0024937655860349127
funding_positive_extreme,perp_pressure_proxy,2,0.0005927682276229994,0.007633587786259542,0.0006422607578676942
derivative_dislocation_proxy,extreme_drawdown_30d_p05,1,0.0004636068613815484,0.004366812227074236,0.0005184033177812338
extreme_drawdown_30d_p05,funding_abs_extreme_p90,1,0.00042936882782310007,0.0005184033177812338,0.0024937655860349127
