cluster_id,interval,representative_candidate_id,representative_expression,representative_motif,representative_horizon,representative_score_proxy,member_count,max_member_corr_to_rep
crypto_a3_1h_011,1h,crypto_a1_1h_12_price_funding_state_07c3e440d74b,"Mul(Rank(hl_range),ZScore(latest_known_funding_rate))",price_funding_state,12,0.19377452944555365,2,1.0
crypto_a3_1h_012,1h,crypto_a1_1h_1_price_basis_confirmation_e46bae96309e,"Mul(Rank(ret_6),Rank(premium_index))",price_basis_confirmation,1,0.18827596608974956,1,1.0
crypto_a3_1h_013,1h,crypto_a1_1h_1_price_basis_confirmation_a3ece719e014,"Mul(Rank(ret_3),Rank(premium_index))",price_basis_confirmation,1,0.1848645743582229,4,1.0
crypto_a3_1h_014,1h,crypto_a1_1h_3_price_basis_confirmation_e214c9f23d7a,"Mul(Rank(ret_12),Rank(mark_minus_index))",price_basis_confirmation,3,0.18075505711555104,2,1.0
crypto_a3_1h_015,1h,crypto_a1_1h_1_momentum_volatility_state_cf6bee74a8a0,"Mul(Rank(ret_24),ZScore(realized_vol_6))",momentum_volatility_state,1,0.16609736624427432,4,1.0
crypto_a3_1h_016,1h,crypto_a1_1h_3_price_basis_confirmation_e7abe58d387b,"Mul(Rank(ret_12),Rank(mark_index_ratio))",price_basis_confirmation,3,0.15781124195183754,2,1.0
crypto_a3_1h_017,1h,crypto_a1_1h_12_momentum_liquidity_state_32539992c449,"Mul(Rank(ret_24),ZScore(avg_trade_size_quote))",momentum_liquidity_state,12,0.1547254837807985,4,1.0
crypto_a3_1h_018,1h,crypto_a1_1h_6_price_basis_confirmation_e425c352d0e0,"Mul(Rank(hl_range),Rank(mark_index_ratio))",price_basis_confirmation,6,0.15358399919420265,2,1.0
crypto_a3_1h_019,1h,crypto_a1_1h_6_price_funding_state_eb768fc8185e,"Mul(Rank(hl_range),ZScore(funding_rate_persistence_3))",price_funding_state,6,0.15296107997461877,2,1.0
crypto_a3_1h_020,1h,crypto_a1_1h_12_price_basis_confirmation_569ea84b96cf,"Mul(Rank(hl_range),Rank(premium_index))",price_basis_confirmation,12,0.14459179394230226,1,1.0
crypto_a3_1h_021,1h,crypto_a1_1h_3_price_momentum_continuation_21296a630ab9,Rank(ret_1),price_momentum_continuation,3,0.14396102547402473,1,1.0
crypto_a3_1h_022,1h,crypto_a1_1h_12_momentum_volatility_state_96e06e74c1a6,"Mul(Rank(hl_range),ZScore(realized_vol_6))",momentum_volatility_state,12,0.13106992499731993,1,1.0
crypto_a3_1h_023,1h,crypto_a1_1h_12_price_momentum_continuation_221f03fc48c4,Rank(hl_range),price_momentum_continuation,12,0.12587932579268313,2,1.0
crypto_a3_1h_024,1h,crypto_a1_1h_12_momentum_volatility_state_7a42cf4c343f,"Mul(Rank(ret_24),ZScore(realized_vol_24))",momentum_volatility_state,12,0.12261321782172663,5,1.0
crypto_a3_1h_025,1h,crypto_a1_1h_12_momentum_liquidity_state_ba6c03059af3,"Mul(Rank(hl_range),ZScore(avg_trade_size_quote))",momentum_liquidity_state,12,0.11830952232957201,1,1.0
crypto_a3_1h_026,1h,crypto_a1_1h_1_momentum_volatility_state_a7e28ba60f6c,"Mul(Rank(ret_3),ZScore(realized_vol_12))",momentum_volatility_state,1,0.10497429265144614,1,1.0
crypto_a3_1h_027,1h,crypto_a1_1h_12_basis_premium_continuation_30d4777ce92b,Rank(mark_index_ratio),basis_premium_continuation,12,0.09870355998391447,2,1.0
crypto_a3_1h_028,1h,crypto_a1_1h_6_price_basis_confirmation_4f4039129e74,"Mul(Rank(hl_range),Rank(mark_minus_index))",price_basis_confirmation,6,0.09028805641793634,1,1.0
crypto_a3_1h_029,1h,crypto_a1_1h_12_price_momentum_continuation_a17e33e61990,Rank(abs_ret_1),price_momentum_continuation,12,0.08472287916125289,1,1.0
crypto_a3_1h_030,1h,crypto_a1_1h_1_basis_premium_continuation_2f57cd57cb58,Rank(premium_index),basis_premium_continuation,1,0.0836608694219889,2,1.0
crypto_a3_1h_031,1h,crypto_a1_1h_1_basis_premium_continuation_97d363b5f73e,Rank(mark_minus_index),basis_premium_continuation,1,0.07571059978592283,3,1.0
crypto_a3_5m_001,5m,crypto_a1_5m_1_price_basis_confirmation_dadc9f2d95fd,"Mul(Rank(ret_6),Rank(premium_index))",price_basis_confirmation,1,0.4168798969665841,8,1.0
crypto_a3_5m_002,5m,crypto_a1_5m_1_price_basis_confirmation_cce0a65546cc,"Mul(Rank(ret_3),Rank(premium_index))",price_basis_confirmation,1,0.41500834716875434,8,1.0
crypto_a3_5m_003,5m,crypto_a1_5m_1_price_basis_confirmation_93d3f6f5a4e9,"Mul(Rank(ret_1),Rank(premium_index))",price_basis_confirmation,1,0.41284099373353667,2,1.0
crypto_a3_5m_004,5m,crypto_a1_5m_1_basis_premium_continuation_0b1b94eae8ae,Rank(mark_index_ratio),basis_premium_continuation,1,0.4048287822557925,4,1.0
crypto_a3_5m_005,5m,crypto_a1_5m_3_price_basis_confirmation_0fc6f321b88d,"Mul(Rank(ret_12),Rank(premium_index))",price_basis_confirmation,3,0.40251820289585016,4,1.0
crypto_a3_5m_006,5m,crypto_a1_5m_1_basis_premium_continuation_bf4e339b6425,Rank(premium_index),basis_premium_continuation,1,0.39940161689372866,4,1.0
crypto_a3_5m_007,5m,crypto_a1_5m_1_price_momentum_continuation_42187ee9aec2,Rank(ret_6),price_momentum_continuation,1,0.3982910111748049,4,1.0
crypto_a3_5m_008,5m,crypto_a1_5m_1_price_momentum_continuation_e4e012f15888,Rank(ret_3),price_momentum_continuation,1,0.3955912179153153,4,1.0
crypto_a3_5m_009,5m,crypto_a1_5m_1_price_momentum_continuation_943c62c83b8a,Rank(ret_1),price_momentum_continuation,1,0.3885344633028941,2,1.0
crypto_a3_5m_010,5m,crypto_a1_5m_1_price_momentum_continuation_fb182ae60bbc,Rank(ret_12),price_momentum_continuation,1,0.3648154288157085,4,1.0
crypto_a3_5m_011,5m,crypto_a1_5m_1_momentum_liquidity_state_6ac032c57bbf,"Mul(Rank(ret_3),ZScore(avg_trade_size_quote))",momentum_liquidity_state,1,0.3587020120071047,8,1.0
crypto_a3_5m_012,5m,crypto_a1_5m_1_price_funding_state_8d0f23b892de,"Mul(Rank(ret_6),ZScore(latest_known_funding_rate))",price_funding_state,1,0.32368360218066927,11,1.0
crypto_a3_5m_013,5m,crypto_a1_5m_1_price_funding_state_0acfc41307ca,"Mul(Rank(ret_6),ZScore(funding_rate_persistence_3))",price_funding_state,1,0.3085851698612949,11,1.0
crypto_a3_5m_014,5m,crypto_a1_5m_6_momentum_volatility_state_421160228649,"Mul(Rank(ret_6),ZScore(quote_volume_mean_24))",momentum_volatility_state,6,0.30108077033300884,2,1.0
crypto_a3_5m_015,5m,crypto_a1_5m_1_price_funding_state_80326d0f1c39,"Mul(Rank(ret_1),ZScore(latest_known_funding_rate))",price_funding_state,1,0.2823932529127141,1,1.0
crypto_a3_5m_016,5m,crypto_a1_5m_1_basis_funding_state_7f72e6ecfaf2,"Mul(Rank(mark_index_ratio),ZScore(latest_known_funding_rate))",basis_funding_state,1,0.2480318647972447,8,1.0
crypto_a3_5m_017,5m,crypto_a1_5m_12_price_basis_confirmation_0aaa53790f21,"Mul(Rank(ret_24),Rank(premium_index))",price_basis_confirmation,12,0.23650198988432877,2,1.0
crypto_a3_5m_018,5m,crypto_a1_5m_1_price_funding_state_a7cfcdf47105,"Mul(Rank(ret_1),ZScore(funding_rate_persistence_3))",price_funding_state,1,0.20185791114903806,1,1.0
crypto_a3_5m_019,5m,crypto_a1_5m_1_basis_funding_state_bb27b67dd166,"Mul(Rank(mark_index_ratio),ZScore(funding_rate_persistence_3))",basis_funding_state,1,0.20076961806218077,8,1.0
crypto_a3_5m_020,5m,crypto_a1_5m_1_basis_premium_continuation_540c3d1d5b59,Rank(mark_minus_index),basis_premium_continuation,1,0.1935417273647047,4,1.0
crypto_a3_5m_021,5m,crypto_a1_5m_1_momentum_volatility_state_21b47af08a7e,"Mul(Rank(ret_3),ZScore(realized_vol_24))",momentum_volatility_state,1,0.10594498482892005,3,1.0
crypto_a3_5m_022,5m,crypto_a1_5m_1_momentum_volatility_state_7805a377f6b2,"Mul(Rank(ret_6),ZScore(realized_vol_12))",momentum_volatility_state,1,0.07114864054261118,2,1.0
