subgraph_id,expression,raw_inputs,candidate_roles,semantic_pairs,motifs,formula_gen_gate,semantic_bucket,motif_bucket,raw_input_count,expr_len
sg_3155c33f029fe5d0,"Mean(age_x_liquidity,4)",age_x_liquidity,exploratory_signal_probe,liquidity_like,single,diagnostic_or_repair_root_only,liquidity_like,single,1,23
sg_446bfdcbb1376687,"Mean(age_x_liquidity,8)",age_x_liquidity,exploratory_signal_probe,liquidity_like,single,diagnostic_or_repair_root_only,liquidity_like,single,1,23
sg_068987765b215e39,median_quote_volume_168h,median_quote_volume_168h,exploratory_signal_probe,liquidity_like,single,diagnostic_or_repair_root_only,liquidity_like,single,1,24
sg_10d876d8a3e715c4,"Delta(age_x_liquidity,4)",age_x_liquidity,exploratory_signal_probe,liquidity_like,single,diagnostic_or_repair_root_only,liquidity_like,single,1,24
sg_140b96c3588cd96a,"Mean(trade_count_168h,4)",trade_count_168h,exploratory_signal_probe,liquidity_like,single,diagnostic_or_repair_root_only,liquidity_like,single,1,24
sg_1b3fc3829f61c238,"Mean(trade_count_168h,8)",trade_count_168h,exploratory_signal_probe,liquidity_like,single,diagnostic_or_repair_root_only,liquidity_like,single,1,24
sg_1b41ee9109e27351,"Delta(age_x_liquidity,8)",age_x_liquidity,exploratory_signal_probe,liquidity_like,single,diagnostic_or_repair_root_only,liquidity_like,single,1,24
sg_c281fdc147dfffa8,"Mean(age_x_liquidity,72)",age_x_liquidity,exploratory_signal_probe,liquidity_like,single,diagnostic_or_repair_root_only,liquidity_like,single,1,24
sg_dbc5b2065e1f57df,"Mean(age_x_liquidity,24)",age_x_liquidity,exploratory_signal_probe,liquidity_like,single,diagnostic_or_repair_root_only,liquidity_like,single,1,24
sg_6dbaf2ef46412fd0,"Mean(trade_count_168h,72)",trade_count_168h,exploratory_signal_probe,liquidity_like,single,diagnostic_or_repair_root_only,liquidity_like,single,1,25
sg_7e1add09d9e8ce7c,"Delta(trade_count_168h,8)",trade_count_168h,exploratory_signal_probe,liquidity_like,single,diagnostic_or_repair_root_only,liquidity_like,single,1,25
sg_97782f911f8fe920,"Delta(age_x_liquidity,24)",age_x_liquidity,exploratory_signal_probe,liquidity_like,single,diagnostic_or_repair_root_only,liquidity_like,single,1,25
sg_e05096acb6fb3ec8,"Delta(trade_count_168h,4)",trade_count_168h,exploratory_signal_probe,liquidity_like,single,diagnostic_or_repair_root_only,liquidity_like,single,1,25
sg_e227898ba2a2bc02,"Mean(trade_count_168h,24)",trade_count_168h,exploratory_signal_probe,liquidity_like,single,diagnostic_or_repair_root_only,liquidity_like,single,1,25
sg_fce5110964b5271e,"Delta(age_x_liquidity,72)",age_x_liquidity,exploratory_signal_probe,liquidity_like,single,diagnostic_or_repair_root_only,liquidity_like,single,1,25
sg_3e4ecd2e2443289d,"Mean(trade_quote_volume,4)",trade_quote_volume,exploratory_signal_probe,liquidity_like,single,diagnostic_or_repair_root_only,liquidity_like,single,1,26
sg_6d4a124fb7453893,"Mean(trade_quote_volume,8)",trade_quote_volume,exploratory_signal_probe,liquidity_like,single,diagnostic_or_repair_root_only,liquidity_like,single,1,26
sg_7c1e0f52799cd010,"Delta(trade_count_168h,24)",trade_count_168h,exploratory_signal_probe,liquidity_like,single,diagnostic_or_repair_root_only,liquidity_like,single,1,26
sg_e50525d06fd5073e,"Delta(trade_count_168h,72)",trade_count_168h,exploratory_signal_probe,liquidity_like,single,diagnostic_or_repair_root_only,liquidity_like,single,1,26
sg_339385e68bfc44db,"Delta(trade_quote_volume,4)",trade_quote_volume,exploratory_signal_probe,liquidity_like,single,diagnostic_or_repair_root_only,liquidity_like,single,1,27
sg_3bb8897336f358f3,"Delta(trade_quote_volume,8)",trade_quote_volume,exploratory_signal_probe,liquidity_like,single,diagnostic_or_repair_root_only,liquidity_like,single,1,27
sg_53afb9d3180af45e,"Mean(trade_quote_volume,72)",trade_quote_volume,exploratory_signal_probe,liquidity_like,single,diagnostic_or_repair_root_only,liquidity_like,single,1,27
sg_a75df10dd9f79542,"Mean(trade_quote_volume,24)",trade_quote_volume,exploratory_signal_probe,liquidity_like,single,diagnostic_or_repair_root_only,liquidity_like,single,1,27
sg_36705b7f925a91dd,"Delta(trade_quote_volume,72)",trade_quote_volume,exploratory_signal_probe,liquidity_like,single,diagnostic_or_repair_root_only,liquidity_like,single,1,28
sg_56cf62fd6e3203a1,"ZScore(Mean(trade_volume,4))",trade_volume,exploratory_signal_probe,liquidity_like,single,diagnostic_or_repair_root_only,liquidity_like,single,1,28
sg_b2363a23b7807343,volume_volatility_ratio_168h,volume_volatility_ratio_168h,exploratory_signal_probe,liquidity_like,single,diagnostic_or_repair_root_only,liquidity_like,single,1,28
sg_e21f7ed07cbcea53,"Delta(trade_quote_volume,24)",trade_quote_volume,exploratory_signal_probe,liquidity_like,single,diagnostic_or_repair_root_only,liquidity_like,single,1,28
sg_ed350c1bf038829e,"ZScore(Mean(trade_volume,8))",trade_volume,exploratory_signal_probe,liquidity_like,single,diagnostic_or_repair_root_only,liquidity_like,single,1,28
sg_35c3e7e036b89033,"ZScore(Mean(trade_volume,24))",trade_volume,exploratory_signal_probe,liquidity_like,single,diagnostic_or_repair_root_only,liquidity_like,single,1,29
sg_467d1a8650a90179,"Mean(log_quote_volume_168h,4)",log_quote_volume_168h,exploratory_signal_probe,liquidity_like,single,diagnostic_or_repair_root_only,liquidity_like,single,1,29
sg_f16379fb4c3dd7ab,"Mean(log_quote_volume_168h,8)",log_quote_volume_168h,exploratory_signal_probe,liquidity_like,single,diagnostic_or_repair_root_only,liquidity_like,single,1,29
sg_0f0ea689a355af52,"Mean(log_quote_volume_168h,24)",log_quote_volume_168h,exploratory_signal_probe,liquidity_like,single,diagnostic_or_repair_root_only,liquidity_like,single,1,30
sg_1cc99b77edbf5714,"Delta(log_quote_volume_168h,8)",log_quote_volume_168h,exploratory_signal_probe,liquidity_like,single,diagnostic_or_repair_root_only,liquidity_like,single,1,30
sg_b28be3e385e74c93,"Mean(log_quote_volume_168h,72)",log_quote_volume_168h,exploratory_signal_probe,liquidity_like,single,diagnostic_or_repair_root_only,liquidity_like,single,1,30
sg_b60379fd26fe9612,liquidity_rank_active_universe,liquidity_rank_active_universe,exploratory_signal_probe,liquidity_like,single,diagnostic_or_repair_root_only,liquidity_like,single,1,30
sg_b8b11cdd6e5fbc8e,"Delta(log_quote_volume_168h,4)",log_quote_volume_168h,exploratory_signal_probe,liquidity_like,single,diagnostic_or_repair_root_only,liquidity_like,single,1,30
sg_52aecc73d864952d,"Delta(log_quote_volume_168h,24)",log_quote_volume_168h,exploratory_signal_probe,liquidity_like,single,diagnostic_or_repair_root_only,liquidity_like,single,1,31
sg_9f61e62fa7630a89,"ZScore(Mean(age_x_liquidity,8))",age_x_liquidity,exploratory_signal_probe,liquidity_like,single,diagnostic_or_repair_root_only,liquidity_like,single,1,31
sg_c846f4da35aca698,"Delta(log_quote_volume_168h,72)",log_quote_volume_168h,exploratory_signal_probe,liquidity_like,single,diagnostic_or_repair_root_only,liquidity_like,single,1,31
sg_e16ddf8ae4310694,"ZScore(Mean(age_x_liquidity,4))",age_x_liquidity,exploratory_signal_probe,liquidity_like,single,diagnostic_or_repair_root_only,liquidity_like,single,1,31
sg_11ba2b62454f69e8,"ZScore(Mean(trade_count_168h,4))",trade_count_168h,exploratory_signal_probe,liquidity_like,single,diagnostic_or_repair_root_only,liquidity_like,single,1,32
sg_2764fa5e8798c534,"Mean(median_quote_volume_168h,4)",median_quote_volume_168h,exploratory_signal_probe,liquidity_like,single,diagnostic_or_repair_root_only,liquidity_like,single,1,32
sg_73adf1003b73379a,"ZScore(Mean(age_x_liquidity,24))",age_x_liquidity,exploratory_signal_probe,liquidity_like,single,diagnostic_or_repair_root_only,liquidity_like,single,1,32
sg_8677d5f1836b96a4,"ZScore(Mean(trade_count_168h,8))",trade_count_168h,exploratory_signal_probe,liquidity_like,single,diagnostic_or_repair_root_only,liquidity_like,single,1,32
sg_c07cb549a83bdf08,"Mean(median_quote_volume_168h,8)",median_quote_volume_168h,exploratory_signal_probe,liquidity_like,single,diagnostic_or_repair_root_only,liquidity_like,single,1,32
sg_0a7c74d18a94c4f5,"Mean(median_quote_volume_168h,24)",median_quote_volume_168h,exploratory_signal_probe,liquidity_like,single,diagnostic_or_repair_root_only,liquidity_like,single,1,33
sg_39a96a72d1e99f53,"ZScore(Mean(trade_count_168h,24))",trade_count_168h,exploratory_signal_probe,liquidity_like,single,diagnostic_or_repair_root_only,liquidity_like,single,1,33
sg_5ef158a5408b3bd1,"Mean(median_quote_volume_168h,72)",median_quote_volume_168h,exploratory_signal_probe,liquidity_like,single,diagnostic_or_repair_root_only,liquidity_like,single,1,33
sg_7ea1eeeb26f51c16,"Delta(median_quote_volume_168h,8)",median_quote_volume_168h,exploratory_signal_probe,liquidity_like,single,diagnostic_or_repair_root_only,liquidity_like,single,1,33
sg_cf9509798d1f6124,"Delta(median_quote_volume_168h,4)",median_quote_volume_168h,exploratory_signal_probe,liquidity_like,single,diagnostic_or_repair_root_only,liquidity_like,single,1,33
sg_57d399865f9dd70c,"ZScore(Mean(trade_quote_volume,8))",trade_quote_volume,exploratory_signal_probe,liquidity_like,single,diagnostic_or_repair_root_only,liquidity_like,single,1,34
sg_8a1cb4296dce09f4,"Delta(median_quote_volume_168h,72)",median_quote_volume_168h,exploratory_signal_probe,liquidity_like,single,diagnostic_or_repair_root_only,liquidity_like,single,1,34
sg_bec0a9182f2f9c22,"Delta(median_quote_volume_168h,24)",median_quote_volume_168h,exploratory_signal_probe,liquidity_like,single,diagnostic_or_repair_root_only,liquidity_like,single,1,34
sg_fe6623726f24d3e1,"ZScore(Mean(trade_quote_volume,4))",trade_quote_volume,exploratory_signal_probe,liquidity_like,single,diagnostic_or_repair_root_only,liquidity_like,single,1,34
sg_3a52eaa5ba5e6894,"ZScore(Mean(trade_quote_volume,24))",trade_quote_volume,exploratory_signal_probe,liquidity_like,single,diagnostic_or_repair_root_only,liquidity_like,single,1,35
sg_c4f59fc289bf8772,"Mean(volume_volatility_ratio_168h,8)",volume_volatility_ratio_168h,exploratory_signal_probe,liquidity_like,single,diagnostic_or_repair_root_only,liquidity_like,single,1,36
sg_f84541e845697900,"Mean(volume_volatility_ratio_168h,4)",volume_volatility_ratio_168h,exploratory_signal_probe,liquidity_like,single,diagnostic_or_repair_root_only,liquidity_like,single,1,36
sg_25e5e43ff837d0cc,"ZScore(Mean(log_quote_volume_168h,8))",log_quote_volume_168h,exploratory_signal_probe,liquidity_like,single,diagnostic_or_repair_root_only,liquidity_like,single,1,37
sg_44b52576f95e4fe0,"ZScore(Mean(log_quote_volume_168h,4))",log_quote_volume_168h,exploratory_signal_probe,liquidity_like,single,diagnostic_or_repair_root_only,liquidity_like,single,1,37
sg_71c2ea03ae09409f,"Delta(volume_volatility_ratio_168h,8)",volume_volatility_ratio_168h,exploratory_signal_probe,liquidity_like,single,diagnostic_or_repair_root_only,liquidity_like,single,1,37
sg_805a64c640bd577b,"Mean(volume_volatility_ratio_168h,72)",volume_volatility_ratio_168h,exploratory_signal_probe,liquidity_like,single,diagnostic_or_repair_root_only,liquidity_like,single,1,37
sg_a282529cbe361d89,"Delta(volume_volatility_ratio_168h,4)",volume_volatility_ratio_168h,exploratory_signal_probe,liquidity_like,single,diagnostic_or_repair_root_only,liquidity_like,single,1,37
sg_efb29e17f52f3ed7,"Mean(volume_volatility_ratio_168h,24)",volume_volatility_ratio_168h,exploratory_signal_probe,liquidity_like,single,diagnostic_or_repair_root_only,liquidity_like,single,1,37
sg_19e73259186f5296,"Delta(volume_volatility_ratio_168h,24)",volume_volatility_ratio_168h,exploratory_signal_probe,liquidity_like,single,diagnostic_or_repair_root_only,liquidity_like,single,1,38
sg_3ac77b9ba6c6e35b,"Mean(liquidity_rank_active_universe,4)",liquidity_rank_active_universe,exploratory_signal_probe,liquidity_like,single,diagnostic_or_repair_root_only,liquidity_like,single,1,38
sg_763ec2c672e1b6cd,"Delta(volume_volatility_ratio_168h,72)",volume_volatility_ratio_168h,exploratory_signal_probe,liquidity_like,single,diagnostic_or_repair_root_only,liquidity_like,single,1,38
sg_7cc1f604508a518e,"Mean(liquidity_rank_active_universe,8)",liquidity_rank_active_universe,exploratory_signal_probe,liquidity_like,single,diagnostic_or_repair_root_only,liquidity_like,single,1,38
sg_9c9098ce93e29943,"ZScore(Mean(log_quote_volume_168h,24))",log_quote_volume_168h,exploratory_signal_probe,liquidity_like,single,diagnostic_or_repair_root_only,liquidity_like,single,1,38
sg_24faf636dfea8538,"Delta(liquidity_rank_active_universe,4)",liquidity_rank_active_universe,exploratory_signal_probe,liquidity_like,single,diagnostic_or_repair_root_only,liquidity_like,single,1,39
sg_5c2e87f9f0e9e183,"Mean(liquidity_rank_active_universe,72)",liquidity_rank_active_universe,exploratory_signal_probe,liquidity_like,single,diagnostic_or_repair_root_only,liquidity_like,single,1,39
sg_67f6a417d7f6b1b3,"Mean(liquidity_rank_active_universe,24)",liquidity_rank_active_universe,exploratory_signal_probe,liquidity_like,single,diagnostic_or_repair_root_only,liquidity_like,single,1,39
sg_d096de912619edc1,"Delta(liquidity_rank_active_universe,8)",liquidity_rank_active_universe,exploratory_signal_probe,liquidity_like,single,diagnostic_or_repair_root_only,liquidity_like,single,1,39
sg_2c99d716cfdf3979,"ZScore(Mean(median_quote_volume_168h,4))",median_quote_volume_168h,exploratory_signal_probe,liquidity_like,single,diagnostic_or_repair_root_only,liquidity_like,single,1,40
sg_7c2c3de7549dd95e,"ZScore(Mean(median_quote_volume_168h,8))",median_quote_volume_168h,exploratory_signal_probe,liquidity_like,single,diagnostic_or_repair_root_only,liquidity_like,single,1,40
sg_8d4b5212065641ff,"Delta(liquidity_rank_active_universe,72)",liquidity_rank_active_universe,exploratory_signal_probe,liquidity_like,single,diagnostic_or_repair_root_only,liquidity_like,single,1,40
sg_a1155be753a41e56,"Delta(liquidity_rank_active_universe,24)",liquidity_rank_active_universe,exploratory_signal_probe,liquidity_like,single,diagnostic_or_repair_root_only,liquidity_like,single,1,40
sg_cc5a84c0914b09e8,"ZScore(Mean(median_quote_volume_168h,24))",median_quote_volume_168h,exploratory_signal_probe,liquidity_like,single,diagnostic_or_repair_root_only,liquidity_like,single,1,41
sg_5287055579ed44be,"ZScore(Mean(volume_volatility_ratio_168h,8))",volume_volatility_ratio_168h,exploratory_signal_probe,liquidity_like,single,diagnostic_or_repair_root_only,liquidity_like,single,1,44
sg_a781f336d6b73f62,"ZScore(Mean(volume_volatility_ratio_168h,4))",volume_volatility_ratio_168h,exploratory_signal_probe,liquidity_like,single,diagnostic_or_repair_root_only,liquidity_like,single,1,44
sg_142b4f8e32465516,"ZScore(Mean(volume_volatility_ratio_168h,24))",volume_volatility_ratio_168h,exploratory_signal_probe,liquidity_like,single,diagnostic_or_repair_root_only,liquidity_like,single,1,45
sg_99dbe71c0ec1f543,"ZScore(Mean(liquidity_rank_active_universe,4))",liquidity_rank_active_universe,exploratory_signal_probe,liquidity_like,single,diagnostic_or_repair_root_only,liquidity_like,single,1,46
sg_e323d3a692948415,"ZScore(Mean(liquidity_rank_active_universe,8))",liquidity_rank_active_universe,exploratory_signal_probe,liquidity_like,single,diagnostic_or_repair_root_only,liquidity_like,single,1,46
sg_2e6429a8a04fbef0,"ZScore(Mean(liquidity_rank_active_universe,24))",liquidity_rank_active_universe,exploratory_signal_probe,liquidity_like,single,diagnostic_or_repair_root_only,liquidity_like,single,1,47
sg_9ad48ccaeda9d19c,realized_vol_168h,realized_vol_168h,exploratory_signal_probe;role_mixed_allowed,liquidity_like|volatility_like;volatility_like,liquidity_shock;mean_reversion_gate;safe_div_abs;single;smooth_mul;spread_rank,diagnostic_or_repair_root_only,liquidity_like|volatility_like,liquidity_shock,1,17
sg_4aa484ded8aac3c7,"Mean(realized_vol_168h,4)",realized_vol_168h,exploratory_signal_probe;role_mixed_allowed,liquidity_like|volatility_like;volatility_like,liquidity_shock;mean_reversion_gate;safe_div_abs;single;smooth_mul;spread_rank,diagnostic_or_repair_root_only,liquidity_like|volatility_like,liquidity_shock,1,25
sg_705b04e4d3447aa1,"Mean(realized_vol_168h,8)",realized_vol_168h,exploratory_signal_probe;role_mixed_allowed,liquidity_like|volatility_like;volatility_like,liquidity_shock;mean_reversion_gate;safe_div_abs;single;smooth_mul;spread_rank,diagnostic_or_repair_root_only,liquidity_like|volatility_like,liquidity_shock,1,25
sg_3d6381109080b9da,"Delta(realized_vol_168h,8)",realized_vol_168h,exploratory_signal_probe;role_mixed_allowed,liquidity_like|volatility_like;volatility_like,liquidity_shock;mean_reversion_gate;safe_div_abs;single;smooth_mul;spread_rank,diagnostic_or_repair_root_only,liquidity_like|volatility_like,liquidity_shock,1,26
sg_6da7ed64121609aa,"Mean(realized_vol_168h,24)",realized_vol_168h,exploratory_signal_probe;role_mixed_allowed,liquidity_like|volatility_like;volatility_like,liquidity_shock;mean_reversion_gate;safe_div_abs;single;smooth_mul;spread_rank,diagnostic_or_repair_root_only,liquidity_like|volatility_like,liquidity_shock,1,26
sg_71e69d0e38166bbe,"Delta(realized_vol_168h,4)",realized_vol_168h,exploratory_signal_probe;role_mixed_allowed,liquidity_like|volatility_like;volatility_like,liquidity_shock;mean_reversion_gate;safe_div_abs;single;smooth_mul;spread_rank,diagnostic_or_repair_root_only,liquidity_like|volatility_like,liquidity_shock,1,26
sg_d3565dc44cec8d4d,"Delta(realized_vol_168h,24)",realized_vol_168h,exploratory_signal_probe;role_mixed_allowed,liquidity_like|volatility_like;volatility_like,liquidity_shock;mean_reversion_gate;safe_div_abs;single;smooth_mul;spread_rank,diagnostic_or_repair_root_only,liquidity_like|volatility_like,liquidity_shock,1,27
sg_ae8851921a8baaa5,"ZScore(Mean(realized_vol_168h,4))",realized_vol_168h,exploratory_signal_probe;role_mixed_allowed,liquidity_like|volatility_like;volatility_like,liquidity_shock;mean_reversion_gate;safe_div_abs;single;smooth_mul;spread_rank,diagnostic_or_repair_root_only,liquidity_like|volatility_like,liquidity_shock,1,33
sg_fcc3ecbea9ab5858,"ZScore(Mean(realized_vol_168h,8))",realized_vol_168h,exploratory_signal_probe;role_mixed_allowed,liquidity_like|volatility_like;volatility_like,liquidity_shock;mean_reversion_gate;safe_div_abs;single;smooth_mul;spread_rank,diagnostic_or_repair_root_only,liquidity_like|volatility_like,liquidity_shock,1,33
sg_91b57626e0858e65,"ZScore(Mean(realized_vol_168h,24))",realized_vol_168h,exploratory_signal_probe;role_mixed_allowed,liquidity_like|volatility_like;volatility_like,liquidity_shock;mean_reversion_gate;safe_div_abs;single;smooth_mul;spread_rank,diagnostic_or_repair_root_only,liquidity_like|volatility_like,liquidity_shock,1,34
sg_0c9b888833f3ab91,"Mul(Delta(trade_count,24),Abs(ZScore(trade_low)))",trade_count;trade_low,role_mixed_allowed,liquidity_like|volatility_like,liquidity_shock,diagnostic_or_repair_root_only,liquidity_like|volatility_like,liquidity_shock,2,49
sg_868208959e3065b5,"Mul(Delta(trade_count,24),Abs(ZScore(trade_high)))",trade_count;trade_high,role_mixed_allowed,liquidity_like|volatility_like,liquidity_shock,diagnostic_or_repair_root_only,liquidity_like|volatility_like,liquidity_shock,2,50
sg_741589e75bdfbf5b,"Mul(Delta(trade_count,24),Abs(ZScore(age_x_volatility)))",age_x_volatility;trade_count,role_mixed_allowed,liquidity_like|volatility_like,liquidity_shock,diagnostic_or_repair_root_only,liquidity_like|volatility_like,liquidity_shock,2,56
sg_2f71a842aed899fb,"Mul(Delta(Mean(trade_count,8),24),Abs(ZScore(trade_low)))",trade_count;trade_low,role_mixed_allowed,liquidity_like|volatility_like,liquidity_shock,diagnostic_or_repair_root_only,liquidity_like|volatility_like,liquidity_shock,2,57
sg_3536ef046370ce90,"Mul(Delta(Mean(trade_count,4),24),Abs(ZScore(trade_low)))",trade_count;trade_low,role_mixed_allowed,liquidity_like|volatility_like,liquidity_shock,diagnostic_or_repair_root_only,liquidity_like|volatility_like,liquidity_shock,2,57
sg_442c2ea32b8d92fe,"Mul(Delta(trade_count,24),Abs(ZScore(Mean(trade_low,4))))",trade_count;trade_low,role_mixed_allowed,liquidity_like|volatility_like,liquidity_shock,diagnostic_or_repair_root_only,liquidity_like|volatility_like,liquidity_shock,2,57
sg_6c8481d68564a775,"Mul(Delta(trade_count,24),Abs(ZScore(Mean(trade_low,8))))",trade_count;trade_low,role_mixed_allowed,liquidity_like|volatility_like,liquidity_shock,diagnostic_or_repair_root_only,liquidity_like|volatility_like,liquidity_shock,2,57
sg_71c85950e9d39696,"Mul(Delta(trade_count,24),Abs(ZScore(realized_vol_168h)))",realized_vol_168h;trade_count,role_mixed_allowed,liquidity_like|volatility_like,liquidity_shock,diagnostic_or_repair_root_only,liquidity_like|volatility_like,liquidity_shock,2,57
sg_24d55ea1cb06eba7,"Mul(Delta(Mean(trade_count,24),24),Abs(ZScore(trade_low)))",trade_count;trade_low,role_mixed_allowed,liquidity_like|volatility_like,liquidity_shock,diagnostic_or_repair_root_only,liquidity_like|volatility_like,liquidity_shock,2,58
sg_25151c0bb68c2db2,"Mul(Delta(trade_count,24),Abs(ZScore(Delta(trade_low,8))))",trade_count;trade_low,role_mixed_allowed,liquidity_like|volatility_like,liquidity_shock,diagnostic_or_repair_root_only,liquidity_like|volatility_like,liquidity_shock,2,58
sg_265820911ef5309b,"Mul(Delta(Delta(trade_count,4),24),Abs(ZScore(trade_low)))",trade_count;trade_low,role_mixed_allowed,liquidity_like|volatility_like,liquidity_shock,diagnostic_or_repair_root_only,liquidity_like|volatility_like,liquidity_shock,2,58
sg_3795339fc6dcdce9,"Mul(Delta(Delta(trade_count,8),24),Abs(ZScore(trade_low)))",trade_count;trade_low,role_mixed_allowed,liquidity_like|volatility_like,liquidity_shock,diagnostic_or_repair_root_only,liquidity_like|volatility_like,liquidity_shock,2,58
sg_680c4bd7b45bce3e,"Mul(Delta(Mean(trade_count,4),24),Abs(ZScore(trade_high)))",trade_count;trade_high,role_mixed_allowed,liquidity_like|volatility_like,liquidity_shock,diagnostic_or_repair_root_only,liquidity_like|volatility_like,liquidity_shock,2,58
