blueprint_id,semantic_pair,motif,label_family,label_horizon_h,score_no_may,control_ratio_premay_max,cost10_recent_oriented,robust_median_tstat_floor,skeleton_key,expression
a7ls29_b0139c0edf553236,basis_premium_like|positioning_like,spread_rank,L5_vol_adjusted_return,4,121.10510039335644,0.8485817851218039,0.1139536821784782,0.9332435721992154,basis_premium_like|positioning_like|spread_rank|db89712891c9,"Neg(Sub(CSRank(Delta(mark_index_basis_bps,12)),CSRank(ZScore(Mean(global_long_short_account_ratio_mean,3)))))"
a7ls29_e064a31369522966,basis_premium_like|positioning_like,spread_rank,L5_vol_adjusted_return,4,120.77194077121672,0.5066384305048086,0.1132785792017215,0.5888969569954631,basis_premium_like|positioning_like|spread_rank|6ae61991d3dc,"ZScore(Sub(CSRank(Delta(mark_index_basis_bps,12)),CSRank(ZScore(Mean(top_long_short_account_ratio_last,3)))))"
a7ls29_c5326e064a3fdd24,basis_premium_like|positioning_like,spread_rank,L5_vol_adjusted_return,4,120.47363046719644,0.5091269341151333,0.1129827574013115,0.5838809634665595,basis_premium_like|positioning_like|spread_rank|97621f21b878,"Clip(Sub(CSRank(Delta(mark_index_basis_bps,12)),CSRank(ZScore(Mean(top_long_short_account_ratio_last,3)))),-3,3)"
a7ls29_91a0e34d4b7aed01,basis_premium_like|positioning_like,spread_rank,L5_vol_adjusted_return,4,120.47363046719644,0.5091269341151333,0.1129827574013115,0.5838809634665595,basis_premium_like|positioning_like|spread_rank|0aff644bb835,"CSRank(Sub(CSRank(Delta(mark_index_basis_bps,12)),CSRank(ZScore(Mean(top_long_short_account_ratio_last,3)))))"
a7ls29_cb4086c4a8fbb6ca,basis_premium_like|positioning_like,spread_rank,L5_vol_adjusted_return,4,120.25656252390478,0.9750890455515538,0.1132316515694563,0.439015937285497,basis_premium_like|positioning_like|spread_rank|a4c293e0c818,"Neg(Sub(CSRank(Delta(mark_index_basis_bps,12)),CSRank(Decay(top_long_short_account_ratio_last,6))))"
a7ls29_e9a5f602134af723,basis_premium_like|positioning_like,spread_rank,L5_vol_adjusted_return,4,119.00331566691688,0.6225549774846993,0.1116258706444015,0.4042642411414133,basis_premium_like|positioning_like|spread_rank|81332a577e66,"Clip(Sub(CSRank(Delta(mark_index_basis_bps,12)),CSRank(Decay(top_long_short_account_ratio_last,6))),-3,3)"
a7ls29_3c18796f2e590080,basis_premium_like|positioning_like,spread_rank,L5_vol_adjusted_return,4,118.98795890000196,0.6379117443996256,0.1116258706444015,0.4042642411414133,basis_premium_like|positioning_like|spread_rank|6f5d8679b602,"CSRank(Sub(CSRank(Delta(mark_index_basis_bps,12)),CSRank(Decay(top_long_short_account_ratio_last,6))))"
a7ls29_97dc3c841f5e6a8f,basis_premium_like|positioning_like,spread_rank,L5_vol_adjusted_return,4,118.61630600508016,0.914067269748364,0.1115303732748285,0.6000288552263142,basis_premium_like|positioning_like|spread_rank|0aff644bb835,"CSRank(Sub(CSRank(Delta(mark_index_basis_bps,12)),CSRank(ZScore(Mean(top_long_short_account_ratio_mean,3)))))"
a7ls29_463e2cb2eb14e16c,basis_premium_like|positioning_like,spread_rank,L5_vol_adjusted_return,4,118.16647691833136,0.8941884279493383,0.1110606653462807,0.4045004357084729,basis_premium_like|positioning_like|spread_rank|b4eb27fc06b1,"ZScore(Sub(CSRank(Delta(mark_index_basis_bps,12)),CSRank(Decay(top_long_short_account_ratio_last,6))))"
a7ls29_687d8d883fcb217b,basis_premium_like|positioning_like,signed_spread,L5_vol_adjusted_return,4,115.81686962195512,0.859019091718389,0.1086758887136735,0.5351698022672051,basis_premium_like|positioning_like|signed_spread|5ac72a6cc73f,"ZScore(Mul(Sub(CSRank(Delta(mark_index_basis_bps,12)),CSRank(Decay(top_long_short_account_ratio_mean,12))),Sign(Decay(top_long_short_account_ratio_mean,48))))"
