symbol,search_eligibility,history_tier,liquidity_rank,liquidity_tier,median_hourly_quote_volume,is_core12,is_major,contract_format,meme_contract_group,is_meme_token,is_multiplier_contract,contract_unit_multiplier,btc_beta_train,btc_corr_train,btc_beta_obs_train,eth_beta_train,eth_corr_train,eth_beta_obs_train,major_beta_proxy_abs_corr,requires_beta_residual_audit
NEIROUSDT,listing_aware,listed_by_2025H1,46,top50,2843050.7184191,False,False,plain_contract,meme_plain_contract,True,False,1,1.8697685002077034,0.4022985194578959,2556,1.633327924087985,0.45429599844903845,2556,0.45429599844903845,True
PNUTUSDT,listing_aware,listed_by_2025H1,47,top50,2657282.97874,False,False,plain_contract,meme_plain_contract,True,False,1,1.2478322451792487,0.22650222182937907,1211,1.1712430295618603,0.2793008346941301,1211,0.2793008346941301,True
SEIUSDT,strict_full_history,full_2024_2026apr,48,top50,2654382.8086,False,False,plain_contract,non_meme_plain_contract,False,False,1,1.4765423662291712,0.6059612643945586,8783,1.2702771517838118,0.6364445071974691,8783,0.6364445071974691,True
ETHFIUSDT,listing_aware,listed_by_2025H1,49,top50,2481389.84276,False,False,plain_contract,non_meme_plain_contract,False,False,1,1.5987217349349436,0.5807657776661697,6920,1.5379017078865211,0.7002095326550878,6920,0.7002095326550878,True
PAXGUSDT,listing_aware,recent_only,50,top50,2454771.62166,False,False,plain_contract,non_meme_plain_contract,False,False,1,,,0,,,0,0.0,True
GALAUSDT,strict_full_history,full_2024_2026apr,51,top100,2428004.590225,False,False,plain_contract,non_meme_plain_contract,False,False,1,1.435858376611241,0.6081574626139815,8783,1.2848943574346738,0.6644081661662942,8783,0.6644081661662942,True
TONUSDT,listing_aware,listed_by_2025H1,52,top100,2331747.61937,False,False,plain_contract,non_meme_plain_contract,False,False,1,0.9291288149284358,0.53023582218479,7331,0.7900893069448982,0.5609728845428849,7331,0.5609728845428849,True
LDOUSDT,strict_full_history,full_2024_2026apr,53,top100,2275978.57175,False,False,plain_contract,non_meme_plain_contract,False,False,1,1.3000216230790622,0.558770372088296,8783,1.3400340669296356,0.7031722757212102,8783,0.7031722757212102,True
POPCATUSDT,listing_aware,listed_by_2025H1,54,top100,2223016.6566,False,False,plain_contract,meme_plain_contract,True,False,1,2.0480587997368476,0.5840623957277191,3154,1.6322270966436994,0.5963639662450656,3154,0.5963639662450656,True
1000FLOKIUSDT,strict_full_history,full_2024_2026apr,55,top100,2081358.951435,False,False,multiplier_contract,meme_multiplier_contract,True,True,1000,1.6382525345052494,0.5623663935167315,8783,1.4042129701555057,0.5884839152431202,8783,0.5884839152431202,True
HBARUSDT,strict_full_history,full_2024_2026apr,56,top100,2073535.84802,False,False,plain_contract,non_meme_plain_contract,False,False,1,1.158522447507731,0.5088581011350459,8783,1.0317881877289512,0.5532811790762953,8783,0.5532811790762953,True
1000SATSUSDT,strict_full_history,full_2024_2026apr,57,top100,2070159.2141859496,False,False,multiplier_contract,meme_multiplier_contract,True,True,1000,1.6083191678998097,0.5764940242955914,8783,1.3647431764436888,0.597223116167859,8783,0.597223116167859,True
EIGENUSDT,listing_aware,listed_by_2025H1,58,top100,2006903.063065,False,False,plain_contract,non_meme_plain_contract,False,False,1,1.4826708327348337,0.4602320901303087,2201,1.5999968543112806,0.645356975706064,2201,0.645356975706064,True
XLMUSDT,strict_full_history,full_2024_2026apr,59,top100,1960063.533045,False,False,plain_contract,non_meme_plain_contract,False,False,1,0.8913146942818115,0.48376531927372357,8783,0.7744098592164128,0.5131420957763225,8783,0.5131420957763225,True
ATOMUSDT,strict_full_history,full_2024_2026apr,60,top100,1865381.228075,False,False,plain_contract,non_meme_plain_contract,False,False,1,1.0452864146287666,0.6408207573178131,8783,0.9545977082705644,0.7144712503681585,8783,0.7144712503681585,True
BOMEUSDT,listing_aware,listed_by_2025H1,61,top100,1837185.9515155,False,False,plain_contract,meme_plain_contract,True,False,1,1.7153044591010234,0.5604042734683731,6971,1.434206739108815,0.5869885619209708,6971,0.5869885619209708,True
JUPUSDT,strict_full_history,full_2024_2026apr,62,top100,1798365.51875,False,False,plain_contract,non_meme_plain_contract,False,False,1,1.5785791527146493,0.6470754149011886,8045,1.320497505468151,0.6691336931937957,8045,0.6691336931937957,True
PENDLEUSDT,strict_full_history,full_2024_2026apr,63,top100,1667361.7462,False,False,plain_contract,non_meme_plain_contract,False,False,1,1.431860407126656,0.5564879489688487,8783,1.3770260655279511,0.6533717458999476,8783,0.6533717458999476,True
BEATUSDT,listing_aware,short_history,64,top100,1576127.573055,False,False,plain_contract,non_meme_plain_contract,False,False,1,,,0,,,0,0.0,True
PEOPLEUSDT,strict_full_history,full_2024_2026apr,65,top100,1550778.9537149998,False,False,plain_contract,non_meme_plain_contract,False,False,1,1.3500971963279502,0.37461230827694786,8783,1.2262805424635366,0.41540330738096964,8783,0.41540330738096964,True
ICPUSDT,strict_full_history,full_2024_2026apr,66,top100,1473120.7515,False,False,plain_contract,non_meme_plain_contract,False,False,1,1.2700668924466907,0.6080706711898789,8783,1.112651933010781,0.6503541171999037,8783,0.6503541171999037,True
DYDXUSDT,strict_full_history,full_2024_2026apr,67,top100,1470172.1267,False,False,plain_contract,non_meme_plain_contract,False,False,1,1.2547319442957554,0.5843723331787422,8783,1.1862551852476246,0.6744968422773341,8783,0.6744968422773341,True
TRBUSDT,strict_full_history,full_2024_2026apr,68,top100,1406577.9774,False,False,plain_contract,non_meme_plain_contract,False,False,1,1.238984623936162,0.47166399998364317,8783,1.1500906105535065,0.5345175590477076,8783,0.5345175590477076,True
GIGGLEUSDT,listing_aware,short_history,69,top100,1393160.8981,False,False,plain_contract,meme_plain_contract,True,False,1,,,0,,,0,0.0,True
RENDERUSDT,listing_aware,listed_by_2025H1,70,top100,1368523.01135,False,False,plain_contract,non_meme_plain_contract,False,False,1,1.6452991079500607,0.6693773241880826,3805,1.3474958098667196,0.6919032753212456,3805,0.6919032753212456,True
ENSUSDT,strict_full_history,full_2024_2026apr,71,top100,1353883.7899,False,False,plain_contract,non_meme_plain_contract,False,False,1,1.3172158134663543,0.4751146539419293,8783,1.3793493208938379,0.6074056966263414,8783,0.6074056966263414,True
MOODENGUSDT,listing_aware,listed_by_2025H1,72,top100,1346399.625455,False,False,plain_contract,meme_plain_contract,True,False,1,1.9374694757594981,0.2999008687181597,1621,1.6178168633386925,0.32865535138092544,1621,0.32865535138092544,True
JTOUSDT,strict_full_history,full_2024_2026apr,73,top100,1327179.9274499998,False,False,plain_contract,non_meme_plain_contract,False,False,1,1.3972785880691596,0.5297986792084824,8783,1.174997430524088,0.5439110598276578,8783,0.5439110598276578,True
TURBOUSDT,listing_aware,listed_by_2025H1,74,top100,1319192.2404406,False,False,plain_contract,meme_plain_contract,True,False,1,1.7038099356859293,0.4968415862685969,5168,1.4897703623449297,0.5405744396561355,5168,0.5405744396561355,True
ZROUSDT,listing_aware,listed_by_2025H1,75,top100,1275819.57164,False,False,plain_contract,non_meme_plain_contract,False,False,1,1.4261871096096312,0.5692229293344001,4665,1.262956480999346,0.6274706551861442,4665,0.6274706551861442,True
STXUSDT,strict_full_history,full_2024_2026apr,76,top100,1251413.17665,False,False,plain_contract,non_meme_plain_contract,False,False,1,1.5420348674746893,0.6854314595119814,8783,1.2043957102440344,0.6535851036857396,8783,0.6854314595119814,True
APEUSDT,strict_full_history,full_2024_2026apr,77,top100,1235421.6398999998,False,False,plain_contract,non_meme_plain_contract,False,False,1,1.2467570109523927,0.573026822767029,8783,1.145177863127831,0.6425829264987584,8783,0.6425829264987584,True
SPXUSDT,listing_aware,listed_by_2025H1,78,top100,1206211.4345,False,False,plain_contract,meme_plain_contract,True,False,1,1.815893019187129,0.5488602559717012,515,1.4069184973806772,0.5931050485961293,515,0.5931050485961293,True
SANDUSDT,strict_full_history,full_2024_2026apr,79,top100,1182881.0574349998,False,False,plain_contract,non_meme_plain_contract,False,False,1,1.2400392046425117,0.6058555624088664,8783,1.1121760645079384,0.6633921581895322,8783,0.6633921581895322,True
RUNEUSDT,strict_full_history,full_2024_2026apr,80,top100,1178523.7985,False,False,plain_contract,non_meme_plain_contract,False,False,1,1.5209657395314493,0.7460954875796659,8783,1.252098611020648,0.7498538424781548,8783,0.7498538424781548,True
KITEUSDT,listing_aware,short_history,81,top100,1174905.0508599998,False,False,plain_contract,non_meme_plain_contract,False,False,1,,,0,,,0,0.0,True
BERAUSDT,listing_aware,recent_only,82,top100,1130386.66886,False,False,plain_contract,non_meme_plain_contract,False,False,1,,,0,,,0,0.0,True
IPUSDT,listing_aware,recent_only,83,top100,1125104.351,False,False,plain_contract,non_meme_plain_contract,False,False,1,,,0,,,0,0.0,True
MYXUSDT,listing_aware,recent_only,84,top100,1080171.98345,False,False,plain_contract,non_meme_plain_contract,False,False,1,,,0,,,0,0.0,True
ALGOUSDT,strict_full_history,full_2024_2026apr,85,top100,1074182.671695,False,False,plain_contract,non_meme_plain_contract,False,False,1,1.245946739355185,0.6108754735803381,8783,1.0643568441649813,0.6370940859525227,8783,0.6370940859525227,True
STRKUSDT,listing_aware,listed_by_2025H1,86,top100,1063020.84857,False,False,plain_contract,non_meme_plain_contract,False,False,1,1.3226879010928445,0.5927312785498691,7566,1.2636208233328334,0.7024398794645759,7566,0.7024398794645759,True
ARKMUSDT,strict_full_history,full_2024_2026apr,87,top100,1049912.3693,False,False,plain_contract,non_meme_plain_contract,False,False,1,1.4299330773182364,0.5168881671546569,8783,1.275297210661416,0.5628016904215285,8783,0.5628016904215285,True
AIXBTUSDT,listing_aware,listed_by_2025H1,88,top100,1017219.542225,False,False,plain_contract,non_meme_plain_contract,False,False,1,1.7154655423323806,0.3048057579695917,269,1.5437324843796896,0.35692575625046574,269,0.35692575625046574,True
SUSDT,listing_aware,recent_only,89,top100,979804.54965,False,False,plain_contract,non_meme_plain_contract,False,False,1,,,0,,,0,0.0,True
KAITOUSDT,listing_aware,recent_only,90,top100,960872.25336,False,False,plain_contract,non_meme_plain_contract,False,False,1,,,0,,,0,0.0,True
POLUSDT,listing_aware,listed_by_2025H1,91,top100,954629.562035,False,False,plain_contract,non_meme_plain_contract,False,False,1,1.3039280611003143,0.6169082844264702,2627,1.2046381778102127,0.7358431626542509,2627,0.7358431626542509,True
NOTUSDT,listing_aware,listed_by_2025H1,92,top100,928997.2771725,False,False,plain_contract,non_meme_plain_contract,False,False,1,1.417594315360872,0.46469135689497637,5505,1.2030341838125707,0.5028727083228127,5505,0.5028727083228127,True
HUSDT,listing_aware,recent_only,93,top100,911381.89588,False,False,plain_contract,non_meme_plain_contract,False,False,1,,,0,,,0,0.0,True
PYTHUSDT,strict_full_history,full_2024_2026apr,94,top100,903613.4087,False,False,plain_contract,non_meme_plain_contract,False,False,1,1.4183523522022758,0.6030233987909485,8783,1.219980879111883,0.6332368217791086,8783,0.6332368217791086,True
MEMEUSDT,strict_full_history,full_2024_2026apr,95,top100,902162.9868075,False,False,plain_contract,meme_plain_contract,True,False,1,1.4977957902130545,0.5955533889612593,8783,1.3353661156118923,0.6482336211489341,8783,0.6482336211489341,True
ARUSDT,strict_full_history,full_2024_2026apr,96,top100,898689.53805,False,False,plain_contract,non_meme_plain_contract,False,False,1,1.4123767494708928,0.5501423761185131,8783,1.2154154620358282,0.5779794559289603,8783,0.5779794559289603,True
CFXUSDT,strict_full_history,full_2024_2026apr,97,top100,893677.38038,False,False,plain_contract,non_meme_plain_contract,False,False,1,1.2808560943781566,0.5772192258292418,8783,1.1559432448961204,0.6359750322131484,8783,0.6359750322131484,True
PIPPINUSDT,listing_aware,recent_only,98,top100,880755.582865,False,False,plain_contract,meme_plain_contract,True,False,1,,,0,,,0,0.0,True
WUSDT,listing_aware,listed_by_2025H1,99,top100,878124.02123,False,False,plain_contract,non_meme_plain_contract,False,False,1,1.5512745653780378,0.5845130666603824,6536,1.3577429199051962,0.6415286279236776,6536,0.6415286279236776,True
0GUSDT,listing_aware,short_history,100,top100,876051.6996,False,False,plain_contract,non_meme_plain_contract,False,False,1,,,0,,,0,0.0,True
LITUSDT,hold_quality_or_short_history,short_history,101,top200,861152.1733,False,False,plain_contract,non_meme_plain_contract,False,False,1,,,0,,,0,0.0,True
XMRUSDT,strict_full_history,full_2024_2026apr,102,top200,835577.132215,False,False,plain_contract,non_meme_plain_contract,False,False,1,0.5137896887566049,0.3420750611121936,8783,0.4416018658251651,0.3589467573315416,8783,0.3589467573315416,True
MONUSDT,listing_aware,short_history,103,top200,833969.69931,False,False,plain_contract,non_meme_plain_contract,False,False,1,,,0,,,0,0.0,True
ZECUSDT,strict_full_history,full_2024_2026apr,104,top200,832233.655255,False,False,plain_contract,non_meme_plain_contract,False,False,1,1.020571278040547,0.4997652769262429,8783,0.9326020002766466,0.5575479007881277,8783,0.5575479007881277,True
GMTUSDT,strict_full_history,full_2024_2026apr,105,top200,832028.880895,False,False,plain_contract,non_meme_plain_contract,False,False,1,1.225208649922681,0.5771986491650509,8783,1.107547408096512,0.6370018336403397,8783,0.6370018336403397,True
AXSUSDT,strict_full_history,full_2024_2026apr,106,top200,824621.1245,False,False,plain_contract,non_meme_plain_contract,False,False,1,1.1993007793301518,0.6577361100724742,8783,1.0725238353927002,0.7181143872543458,8783,0.7181143872543458,True
POWERUSDT,listing_aware,short_history,107,top200,824164.1925,False,False,plain_contract,non_meme_plain_contract,False,False,1,,,0,,,0,0.0,True
JASMYUSDT,strict_full_history,full_2024_2026apr,108,top200,813167.3364925,False,False,plain_contract,non_meme_plain_contract,False,False,1,1.4826726744140943,0.5345742749858136,8783,1.275881966370261,0.561611997219032,8783,0.561611997219032,True
AVNTUSDT,listing_aware,short_history,109,top200,812515.3054,False,False,plain_contract,non_meme_plain_contract,False,False,1,,,0,,,0,0.0,True
1000RATSUSDT,strict_full_history,full_2024_2026apr,110,top200,783775.52096,False,False,multiplier_contract,meme_multiplier_contract,True,True,1000,1.8319719964442902,0.5517530524213092,8783,1.5441861531453336,0.567791220694382,8783,0.567791220694382,True
BIOUSDT,listing_aware,listed_by_2025H1,111,top200,775884.5515099999,False,False,plain_contract,non_meme_plain_contract,False,False,1,,,0,,,0,0.0,True
IOUSDT,listing_aware,listed_by_2025H1,112,top200,757589.7408400001,False,False,plain_contract,non_meme_plain_contract,False,False,1,1.581404723138983,0.5461885176074647,4881,1.3884167100335667,0.5979910013089508,4881,0.5979910013089508,True
CHZUSDT,strict_full_history,full_2024_2026apr,113,top200,749816.60252,False,False,plain_contract,non_meme_plain_contract,False,False,1,1.1703815537077553,0.5899552160673585,8783,1.0439420266707604,0.642437767473497,8783,0.642437767473497,True
GOATUSDT,listing_aware,listed_by_2025H1,114,top200,747045.56172,False,False,plain_contract,meme_plain_contract,True,False,1,1.8921127425822681,0.417702457700208,1642,1.569440918314794,0.455424249764124,1642,0.455424249764124,True
ARCUSDT,listing_aware,recent_only,115,top200,738125.38654,False,False,plain_contract,non_meme_plain_contract,False,False,1,,,0,,,0,0.0,True
SAGAUSDT,listing_aware,listed_by_2025H1,116,top200,710838.3789850001,False,False,plain_contract,non_meme_plain_contract,False,False,1,1.5154582167686408,0.5053655759853952,6397,1.3693130730487493,0.5723019761796916,6397,0.5723019761796916,True
MOVEUSDT,listing_aware,listed_by_2025H1,117,top200,707730.52345,False,False,plain_contract,non_meme_plain_contract,False,False,1,1.1082699136007073,0.21404977133596498,537,0.8018915237767528,0.21708687664566073,537,0.21708687664566073,True
GRTUSDT,strict_full_history,full_2024_2026apr,118,top200,705281.2501950001,False,False,plain_contract,non_meme_plain_contract,False,False,1,1.3661141685272862,0.6527805368079163,8783,1.2058569621986388,0.7034595052789321,8783,0.7034595052789321,True
CAKEUSDT,strict_full_history,full_2024_2026apr,119,top200,677160.88585,False,False,plain_contract,non_meme_plain_contract,False,False,1,1.1527109011714993,0.631094290674267,8783,1.0277844931585831,0.6869719704073207,8783,0.6869719704073207,True
THETAUSDT,strict_full_history,full_2024_2026apr,120,top200,672917.760735,False,False,plain_contract,non_meme_plain_contract,False,False,1,1.3681317464104041,0.6240630905891426,8783,1.1827981711496736,0.6586797728060574,8783,0.6586797728060574,True
ZKUSDT,listing_aware,listed_by_2025H1,121,top200,668640.16013,False,False,plain_contract,non_meme_plain_contract,False,False,1,1.5090431345381694,0.620588005072399,4740,1.389580244382589,0.711871795965019,4740,0.711871795965019,True
VETUSDT,strict_full_history,full_2024_2026apr,122,top200,667631.547198,False,False,plain_contract,non_meme_plain_contract,False,False,1,1.2508640271772087,0.6345712818606773,8783,1.0698701929154222,0.6626199453748073,8783,0.6626199453748073,True
IMXUSDT,strict_full_history,full_2024_2026apr,123,top200,659700.5996,False,False,plain_contract,non_meme_plain_contract,False,False,1,1.3194778191022987,0.6388011908260369,8783,1.1871479095756747,0.7016678224218407,8783,0.7016678224218407,True
USELESSUSDT,listing_aware,short_history,124,top200,657521.9806,False,False,plain_contract,meme_plain_contract,True,False,1,,,0,,,0,0.0,True
MANAUSDT,strict_full_history,full_2024_2026apr,125,top200,643131.2302,False,False,plain_contract,non_meme_plain_contract,False,False,1,1.200404413849421,0.6232376714909335,8783,1.0768235528429217,0.6825488894558155,8783,0.6825488894558155,True
MASKUSDT,strict_full_history,full_2024_2026apr,126,top200,629496.2637499999,False,False,plain_contract,non_meme_plain_contract,False,False,1,1.1595889280856326,0.5437627276688538,8783,1.0287284017963672,0.5889375039213801,8783,0.5889375039213801,True
SYRUPUSDT,listing_aware,recent_only,127,top200,602655.05253,False,False,plain_contract,non_meme_plain_contract,False,False,1,,,0,,,0,0.0,True
