candidate_id,objective_family,label_horizon_h,orientation_from_train,oriented_validation_spread,oriented_test_spread,oriented_recent_spread,oriented_may_stress_spread,may_stress_n_dates,one_bar_lag_recent_oriented,cost10_recent_proxy,control_dominance_ratio_premay_max,pre_may_positive,lag_ok,may_stress_clean,decision
a7al2z7_0041d5fb3124fa47,M2_taker_liquidity_control_resistant,24,-1.0,0.0005697103740664405,0.0019382970084172906,-0.0001386277562626981,0.0027571194566535623,576,0.00020463362019437068,-0.002138627756262698,171.17292275525773,False,True,True,HOLD_A7AL2Z9_PRE_MAY_UNSTABLE
a7al2z7_00bf2939f831a24a,M2_taker_liquidity_control_resistant,1,-1.0,-5.125589606019264e-05,0.00023028564644782062,-2.670078009615463e-05,0.0003954713790437921,599,0.00015057744088776745,-0.0020267007800961545,54.785480562147,False,True,True,HOLD_A7AL2Z9_PRE_MAY_UNSTABLE
a7al2z7_00bf2939f831a24a,M2_taker_liquidity_control_resistant,4,-1.0,-0.00022834521616419011,0.0008192599382899043,5.608707813985501e-05,0.0014837871813101278,596,0.00020382973910605285,-0.001943912921860145,106.73384722042944,False,True,True,HOLD_A7AL2Z9_PRE_MAY_UNSTABLE
a7al2z7_00bf2939f831a24a,M2_taker_liquidity_control_resistant,8,-1.0,-0.0006201461322784687,0.001266535606648673,0.0005148485606465506,0.002171130353361488,592,0.0004917705086898192,-0.0014851514393534495,25.632402042110957,False,True,True,HOLD_A7AL2Z9_PRE_MAY_UNSTABLE
a7al2z7_00bf2939f831a24a,M2_taker_liquidity_control_resistant,24,1.0,0.00037713363056026273,-0.0009196201645313452,-0.0037453516101000925,0.00023741999793214558,576,-0.0037115832158220383,-0.005745351610100093,26.96259821122987,False,False,True,HOLD_A7AL2Z9_PRE_MAY_UNSTABLE
a7al2z7_00e90fb95f68ca2c,M2_taker_liquidity_control_resistant,1,-1.0,-3.0232926480036635e-05,4.9986389110909616e-05,2.9919956524104192e-05,-0.00010338632411922326,599,0.00012510123666876384,-0.001970080043475896,8.316773243746114,False,True,False,HOLD_A7AL2Z9_PRE_MAY_UNSTABLE
a7al2z7_00e90fb95f68ca2c,M2_taker_liquidity_control_resistant,4,-1.0,0.00011430724489295814,0.0005710645344760459,-0.0008996506809242892,-0.0003234594262032623,596,-0.0011329729934439381,-0.0028996506809242893,3.062017252059438,False,False,False,HOLD_A7AL2Z9_PRE_MAY_UNSTABLE
a7al2z7_00e90fb95f68ca2c,M2_taker_liquidity_control_resistant,8,-1.0,0.00043039625174347474,0.001338083873550307,-0.0014130526735405312,0.00017738823613310109,592,-0.0012819255106979236,-0.0034130526735405313,1.2250732274954983,False,False,True,HOLD_A7AL2Z9_PRE_MAY_UNSTABLE
a7al2z7_00e90fb95f68ca2c,M2_taker_liquidity_control_resistant,24,1.0,-0.0013835932503466386,-0.001138780595190092,-0.0003970863468259288,-0.00121903153154673,576,-0.0003544559298616827,-0.0023970863468259287,34.588605314784985,False,False,False,HOLD_A7AL2Z9_PRE_MAY_UNSTABLE
a7al2z7_014cec2ab624f1d7,M2_taker_liquidity_control_resistant,1,1.0,0.0001402095729146295,-4.0720152938813343e-05,-5.372213196892915e-05,1.5428972897448268e-05,599,-0.00021167852937566844,-0.0020537221319689293,21.49609359431852,False,False,True,HOLD_A7AL2Z9_PRE_MAY_UNSTABLE
a7al2z7_014cec2ab624f1d7,M2_taker_liquidity_control_resistant,4,-1.0,-0.0001877597408431205,-1.4055277339985392e-05,0.00044938426184174484,-7.254913701024423e-05,596,0.0004894461554507782,-0.0015506157381582552,59.93434605545998,False,True,False,HOLD_A7AL2Z9_PRE_MAY_UNSTABLE
a7al2z7_014cec2ab624f1d7,M2_taker_liquidity_control_resistant,8,-1.0,-3.760988607312574e-05,0.0005233625804487926,0.0004495033127728775,0.0005281311741061569,592,0.000540204355505625,-0.0015504966872271226,74.49865284995914,False,True,True,HOLD_A7AL2Z9_PRE_MAY_UNSTABLE
a7al2z7_014cec2ab624f1d7,M2_taker_liquidity_control_resistant,24,1.0,-0.0018173096136643583,-0.0024696165672091204,-0.004406781825372401,0.000724525196211684,576,-0.0045330260908053605,-0.006406781825372401,6.464838024353651,False,False,True,HOLD_A7AL2Z9_PRE_MAY_UNSTABLE
