arm,proposal_id,panel_id,lane_id,exact_identity,activation_identity,behaviour_cluster,economic_hypothesis,mechanism_id,algorithm,coordinate_coverage,observations,ic_mean,ic_lcb,gross_mean,net_mean,net_lcb,return_risk,worst_horizon_net_mean,time_block_positive_fraction,time_block_stability,turnover_mean,cost_drag_mean,max_weight_mean,concentration_hhi_mean,complexity,behaviour_novelty,benchmark_incremental_mean,benchmark_incremental_lcb,placebo_ic_abs,wrong_lag_ic_abs,hard_gate_pass,hard_gate_reasons,lane_scalar,development_scalar,feedback_stability_lcb,feedback_positive_block_fraction,survivor_near_miss,development_survivor,candidate_promotion,feedback_persisted
STRATIFIED_ADMISSION,epoch-candidate:5407de90ff5aac42eadd601e,main,uct_mcts,exact-signal:70de8d70fd92fac552f79fbe,activation:cf8d6493cb08c6118cf1dae5,behaviour-cluster:81a7983e2ce4bcd0419a8385,market_decoupling,cross_asset_confirmation,uct_mcts,0.9931693989071039,8724,-0.00936589038806813,-0.01585261408983635,1.000253088551403e-05,-0.0001169637445452765,-0.0001626786675942117,-5.014750633252606,-0.00017304314213546437,0.0,0.7071838683068284,0.25393255086158106,0.0001269662754307905,0.15630859188590052,0.11190401494974289,4,6.697034247666484,-3.992316970172967e-05,-0.00011152233447322561,0.006916664005014806,0.007535854530103098,True,,6.0079297659655735,-4.0701604254566135,-0.0001934680182835128,0.08333333333333333,False,False,False,False
STRATIFIED_ADMISSION,epoch-candidate:7c38a04f7dbbf0f5c850ae78,main,uct_mcts,exact-signal:5462ab58cea188b41af336df,activation:d66157debb2338d944a51919,behaviour-cluster:fb758d52efbebc1e0c59ab88,funding_event_age_decay,funding_dynamics,uct_mcts,0.12260928961748634,1077,-0.012270657605910989,-0.02992209982000877,4.429472867754135e-06,-0.00035171533442597536,-0.00047702050899247814,-5.5014651857737045,-0.0004888606401478263,0.0,0.4917633045211095,0.712289614587459,0.0003561448072937295,0.17108624028305114,0.11149096866408853,2,6.005120873555468,-0.0003691892004251365,-0.0005612306401094293,0.0166997338741724,0.013024669114259462,False,COVERAGE,4.738440834859261,-8.660702338919382,-0.0006111801416642512,0.08333333333333333,False,False,False,False
STRATIFIED_ADMISSION,epoch-candidate:61343c7c03e2dea399814038,main,uct_mcts,exact-signal:3880b05dd573152b73cbbc80,activation:6fbc54fb83c71c2f05fd590d,behaviour-cluster:7c073cfb83343c86a7f8bd53,mark_index_convergence,mark_index_deviation,uct_mcts,0.9931693989071039,8724,-0.0029741394601004254,-0.009386865816634284,-1.545081895194537e-05,-5.4803322919800305e-05,-9.849040698397865e-05,-2.4587247060255093,-8.547357724307444e-05,0.0,0.8463108539898638,0.07870500793570989,3.9352503967854934e-05,0.15349523176956148,0.11057267729691689,2,6.697034247666484,2.3860587068418477e-05,-4.223667849619478e-05,0.0032342026962158183,0.0026187934246835786,True,,6.3674423849044155,-0.6165227853615708,-0.00011452922652965728,0.25,False,False,False,False
STRATIFIED_ADMISSION,epoch-candidate:cbc1e2411fc4b07a02adc3ee,main,uct_mcts,exact-signal:ee6cc46cf05f6dbf5f9a64e0,activation:5f8ea19093859b90a5f31a08,behaviour-cluster:5365a60c781f08ed1d1502c9,oi_expansion_confirmation,oi_inventory,uct_mcts,0.9861111111111112,8662,-0.000976791230440452,-0.007742623409201965,1.898331271923212e-05,-7.149329798800159e-05,-0.00011768896271137376,-3.0333336449553787,-9.557024942729661e-05,0.0,0.8650216897218479,0.18095322141446746,9.047661070723372e-05,0.15549721780257172,0.11169268523227362,2,6.697034247666484,9.73309823951172e-06,-6.149671707477991e-05,0.0029439092576475367,0.0009195099892926802,True,,6.292186011388635,-3.484136822492774,-0.00015353291271605178,0.16666666666666666,False,False,False,False
STRATIFIED_ADMISSION,epoch-candidate:a4513c1c0a15622441429355,main,uct_mcts,exact-signal:0c27467f1a62242e8309e38b,activation:9bce25b0573c6b30e3e71af3,behaviour-cluster:d60438fe7c68dfd564a55dfa,orthogonal_volatility,orthogonal_exile,uct_mcts,0.9900956284153005,8697,0.0023148600906968495,-0.0051859241711913985,-5.153383769706989e-05,-0.0001544173351994015,-0.000210139467462359,-5.431557707852208,-0.00021907686577585865,0.0,0.6694272639633939,0.20576699500466325,0.00010288349750233163,0.1527777777777778,0.11033950617283952,2,4.311409067459929,-7.559739742728875e-05,-0.00013246329770746982,0.0004311370754282422,0.0026159096512871935,True,,3.604757952532239,-4.608463867596855,-0.0002236927478287184,0.0,False,False,False,False
STRATIFIED_ADMISSION,epoch-candidate:633fba14eb02624a5a01a131,main,uct_mcts,exact-signal:9d24aab84682d65e190d63e2,activation:2bc649a51779282b78f50ebd,behaviour-cluster:99ea48bf0f1aaff06af13051,session_transition,session_time,uct_mcts,0.49077868852459017,4311,0.004543440354895222,-0.00458319797826995,5.758774179041534e-05,-0.00033029941840885345,-0.000394169167160432,-10.136048328597072,-0.0004422906560327752,0.0,0.5910113598830495,0.7757743203985376,0.00038788716019926874,0.1531797924651961,0.11059619249811073,4,6.697034247666484,-0.00023176108131957676,-0.0003258872339576945,0.005991963874610737,0.002192624707591905,False,COVERAGE,5.300420672916076,-7.031050046323374,-0.0004788387857923086,0.08333333333333333,False,False,False,False
STRATIFIED_ADMISSION,epoch-candidate:77dee10965664d48be67bf0c,main,uct_mcts,exact-signal:c344520fc0a391a7d6f60859,activation:08444124b978150e2d5fc85e,behaviour-cluster:8e51846e4b40433b231cbaed,aggressive_flow_continuation,taker_imbalance,uct_mcts,0.9996584699453552,8781,0.013874046431157906,0.007392770883784029,2.4606357614019114e-05,-9.928249964091267e-05,-0.00014059078116345907,-4.710767239009397,-0.00012023190485532212,0.0,0.8306114806093879,0.2477777145098636,0.00012388885725493179,0.15277995261233218,0.11033917390644929,2,6.697034247666484,-2.1129219748278487e-05,-8.90171278055283e-05,0.010942808277857279,0.01363099872180204,True,,6.154122593769658,-3.895415365358285,-0.00014318329741263306,0.0,False,False,False,False
STRATIFIED_ADMISSION,epoch-candidate:68212e054d952c78afb3e958,main,uct_mcts,exact-signal:f58602ef6b4256e8eef8fb20,activation:1f2cc5523ca5947227519fa1,behaviour-cluster:877d0c90f54610e264e57c70,state_duration,temporal_state_path,uct_mcts,0.9974954462659381,8762,-0.0038444812090767627,-0.010144072627922563,-3.6375749205324675e-05,-0.00024781863468643147,-0.0002912485978237301,-11.184087871542642,-0.0002776506247333064,0.0,0.7510323069228467,0.42288577096221347,0.00021144288548110676,0.15635016627257511,0.1121481379644396,2,6.697034247666484,-0.000170005850516824,-0.00023616160692053784,7.500183618026306e-05,0.00354669317082958,True,,5.280743274531882,-5.459594653657927,-0.0003131256689300509,0.0,False,False,False,False
STRATIFIED_ADMISSION,epoch-candidate:00ea25e2f615134c2dd9b0f2,main,uct_mcts,exact-signal:d77894e52b9d80e00dbb44a6,activation:69491fd9747de234ad207e08,behaviour-cluster:5e05c6ac5d7962663d69a4a4,volatility_burst_continuation,volatility_regime,uct_mcts,0.9929417122040073,8722,-0.0013938783050036479,-0.00852306971195391,4.947326019203553e-06,-3.4470875718420366e-05,-8.692902964295806e-05,-1.2879392687987992,-6.688901831856492e-05,0.25,0.7951466740572485,0.07883640347524785,3.9418201737623915e-05,0.1527777777777778,0.11033950617283952,1,5.09252245356844,4.421107231382232e-05,-4.098333503148375e-05,0.00465766787988991,0.001408943816855627,True,,5.134711092635499,-0.3202548288033946,-0.00010860609688207278,0.4166666666666667,False,False,False,False
STRATIFIED_ADMISSION,epoch-candidate:9e4c1c77a2501ce506941a8a,main,uct_mcts,exact-signal:6bc6fff6afcdaba04ae561fd,activation:e0e1f1132849ab8534f30dde,behaviour-cluster:7b969931dc0b0328a15d28a3,basis_convergence,basis_dislocation_convergence,uct_mcts,0.12272313296903462,1078,0.01201102594785586,-0.005631375779936458,-5.775271389080233e-06,-0.00036184738199494706,-0.0004868570422920318,-5.673328501370509,-0.0004024272361254672,0.0,0.7155018188821023,0.7121442212117337,0.0003560721106058669,0.17106925655159916,0.11148846896801452,1,6.697034247666484,-0.00037930503847091783,-0.0005563049006463748,0.016566650905145596,0.013293500043223709,False,COVERAGE,5.515263782702726,-8.593170625476748,-0.0005864762849771271,0.08333333333333333,False,False,False,False
