seed_id,lane_id,field_primary,field_partner,semantic_type_primary,semantic_type_partner,semantic_pair,operator,operator_origin,window_h,expression,compiler_role,non_l7_evidence,operator_null_margin,role_gate_status,reject_reason,candidate_status,family_cap_status,motif_cap_status
a7ffcore48se_0026,N2_regime_conditioned_seed,index_close,is_forward_only,basis_premium_like,generic_numeric,basis_premium_like|generic_numeric,SpreadShortLong,repaired_native_proxy,4,"Sub(ZScore(Mean(index_close,4)),ZScore(Mean(is_forward_only,16)))",regime_neutralizer_interaction_seed,operator_or_field_control_clean_nearmiss,0.1077748962021696,pass,pass_interaction_only,eligible_interaction_seed,pass,pass
a7ffcore48se_0027,N2_regime_conditioned_seed,index_close,is_forward_only,basis_premium_like,generic_numeric,basis_premium_like|generic_numeric,WinsorZ,repaired_native_proxy,4,"Mul(Clip(ZScore(Delta(index_close,4)),-3,3),Sign(Delta(is_forward_only,4)))",regime_neutralizer_interaction_seed,operator_or_field_control_clean_nearmiss,0.1077748962021696,pass,pass_interaction_only,eligible_interaction_seed,pass,pass
a7ffcore48se_0028,N2_regime_conditioned_seed,index_close,taker_buy_quote_volume,basis_premium_like,liquidity_like,basis_premium_like|liquidity_like,AbsDelta,repaired_native_proxy,4,"Mul(Abs(Delta(index_close,4)),Sign(Delta(taker_buy_quote_volume,4)))",regime_neutralizer_interaction_seed,operator_or_field_control_clean_nearmiss,0.1077748962021696,pass,pass_interaction_only,eligible_interaction_seed,pass,pass
a7ffcore48se_0029,N2_regime_conditioned_seed,mark_trade_basis_bps,taker_buy_quote_volume,basis_premium_like,liquidity_like,basis_premium_like|liquidity_like,CSRank,native,4,"Mul(CSRank(mark_trade_basis_bps),Sign(Delta(taker_buy_quote_volume,4)))",regime_neutralizer_interaction_seed,operator_or_field_control_clean_nearmiss,0.1077748962021696,pass,pass_interaction_only,eligible_interaction_seed,pass,pass
a7ffcore48se_0030,N2_regime_conditioned_seed,mark_trade_basis_bps,taker_buy_quote_volume,basis_premium_like,liquidity_like,basis_premium_like|liquidity_like,Delta,native,4,"Mul(Delta(mark_trade_basis_bps,4),ZScore(Delta(taker_buy_quote_volume,4)))",regime_neutralizer_interaction_seed,operator_or_field_control_clean_nearmiss,0.1077748962021696,pass,pass_interaction_only,eligible_interaction_seed,pass,pass
a7ffcore48se_0031,N2_regime_conditioned_seed,index_close,taker_buy_quote_volume,basis_premium_like,liquidity_like,basis_premium_like|liquidity_like,Identity,native,4,"Mul(ZScore(index_close),Sign(Delta(taker_buy_quote_volume,4)))",regime_neutralizer_interaction_seed,operator_or_field_control_clean_nearmiss,0.1077748962021696,pass,pass_interaction_only,eligible_interaction_seed,pass,pass
a7ffcore48se_0032,N2_regime_conditioned_seed,index_close,taker_buy_quote_volume,basis_premium_like,liquidity_like,basis_premium_like|liquidity_like,SignedRankDelta,repaired_native_proxy,4,"Mul(CSRank(Delta(index_close,4)),Sign(Delta(taker_buy_quote_volume,4)))",regime_neutralizer_interaction_seed,operator_or_field_control_clean_nearmiss,0.1077748962021696,pass,pass_interaction_only,eligible_interaction_seed,pass,pass
a7ffcore48se_0033,N2_regime_conditioned_seed,index_close,taker_buy_quote_volume,basis_premium_like,liquidity_like,basis_premium_like|liquidity_like,SpreadShortLong,repaired_native_proxy,4,"Sub(ZScore(Mean(index_close,4)),ZScore(Mean(taker_buy_quote_volume,16)))",regime_neutralizer_interaction_seed,operator_or_field_control_clean_nearmiss,0.1077748962021696,pass,pass_interaction_only,eligible_interaction_seed,pass,pass
a7ffcore48se_0034,N2_regime_conditioned_seed,index_close,taker_buy_quote_volume,basis_premium_like,liquidity_like,basis_premium_like|liquidity_like,WinsorZ,repaired_native_proxy,4,"Mul(Clip(ZScore(Delta(index_close,4)),-3,3),Sign(Delta(taker_buy_quote_volume,4)))",regime_neutralizer_interaction_seed,operator_or_field_control_clean_nearmiss,0.1077748962021696,pass,pass_interaction_only,eligible_interaction_seed,pass,pass
a7ffcore48se_0035,N2_regime_conditioned_seed,index_close,open_interest_last,basis_premium_like,positioning_like,basis_premium_like|positioning_like,AbsDelta,repaired_native_proxy,4,"Mul(Abs(Delta(index_close,4)),Sign(Delta(open_interest_last,4)))",regime_neutralizer_interaction_seed,operator_or_field_control_clean_nearmiss,0.1077748962021696,pass,pass_interaction_only,eligible_interaction_seed,pass,pass
a7ffcore48se_0036,N2_regime_conditioned_seed,mark_trade_basis_bps,open_interest_last,basis_premium_like,positioning_like,basis_premium_like|positioning_like,CSRank,native,4,"Mul(CSRank(mark_trade_basis_bps),Sign(Delta(open_interest_last,4)))",regime_neutralizer_interaction_seed,operator_or_field_control_clean_nearmiss,0.1077748962021696,pass,pass_interaction_only,eligible_interaction_seed,pass,pass
a7ffcore48se_0037,N2_regime_conditioned_seed,mark_trade_basis_bps,open_interest_last,basis_premium_like,positioning_like,basis_premium_like|positioning_like,Delta,native,4,"Mul(Delta(mark_trade_basis_bps,4),ZScore(Delta(open_interest_last,4)))",regime_neutralizer_interaction_seed,operator_or_field_control_clean_nearmiss,0.1077748962021696,pass,pass_interaction_only,eligible_interaction_seed,pass,pass
a7ffcore48se_0038,N2_regime_conditioned_seed,index_close,open_interest_last,basis_premium_like,positioning_like,basis_premium_like|positioning_like,Identity,native,4,"Mul(ZScore(index_close),Sign(Delta(open_interest_last,4)))",regime_neutralizer_interaction_seed,operator_or_field_control_clean_nearmiss,0.1077748962021696,pass,pass_interaction_only,eligible_interaction_seed,pass,pass
a7ffcore48se_0039,N2_regime_conditioned_seed,index_close,open_interest_last,basis_premium_like,positioning_like,basis_premium_like|positioning_like,SignedRankDelta,repaired_native_proxy,4,"Mul(CSRank(Delta(index_close,4)),Sign(Delta(open_interest_last,4)))",regime_neutralizer_interaction_seed,operator_or_field_control_clean_nearmiss,0.1077748962021696,pass,pass_interaction_only,eligible_interaction_seed,pass,pass
a7ffcore48se_0040,N2_regime_conditioned_seed,index_close,open_interest_last,basis_premium_like,positioning_like,basis_premium_like|positioning_like,SpreadShortLong,repaired_native_proxy,4,"Sub(ZScore(Mean(index_close,4)),ZScore(Mean(open_interest_last,16)))",regime_neutralizer_interaction_seed,operator_or_field_control_clean_nearmiss,0.1077748962021696,pass,pass_interaction_only,eligible_interaction_seed,pass,pass
a7ffcore48se_0041,N2_regime_conditioned_seed,index_close,open_interest_last,basis_premium_like,positioning_like,basis_premium_like|positioning_like,WinsorZ,repaired_native_proxy,4,"Mul(Clip(ZScore(Delta(index_close,4)),-3,3),Sign(Delta(open_interest_last,4)))",regime_neutralizer_interaction_seed,operator_or_field_control_clean_nearmiss,0.1077748962021696,pass,pass_interaction_only,eligible_interaction_seed,pass,pass
a7ffcore48se_0042,N1_role_compatible_pair_seed,index_close,trade_return_1h,basis_premium_like,price_like,basis_premium_like|price_like,AbsDelta,repaired_native_proxy,4,"Mul(Abs(Delta(index_close,4)),Sign(Delta(trade_return_1h,4)))",regime_neutralizer_interaction_seed,operator_or_field_control_clean_nearmiss,0.1077748962021696,pass,pass_interaction_only,eligible_interaction_seed,pass,pass
a7ffcore48se_0043,N1_role_compatible_pair_seed,mark_trade_basis_bps,trade_return_1h,basis_premium_like,price_like,basis_premium_like|price_like,CSRank,native,4,"Mul(CSRank(mark_trade_basis_bps),Sign(Delta(trade_return_1h,4)))",regime_neutralizer_interaction_seed,operator_or_field_control_clean_nearmiss,0.1077748962021696,pass,pass_interaction_only,eligible_interaction_seed,pass,pass
a7ffcore48se_0044,N1_role_compatible_pair_seed,mark_trade_basis_bps,trade_return_1h,basis_premium_like,price_like,basis_premium_like|price_like,Delta,native,4,"Mul(Delta(mark_trade_basis_bps,4),ZScore(Delta(trade_return_1h,4)))",regime_neutralizer_interaction_seed,operator_or_field_control_clean_nearmiss,0.1077748962021696,pass,pass_interaction_only,eligible_interaction_seed,pass,pass
a7ffcore48se_0045,N1_role_compatible_pair_seed,index_close,trade_return_1h,basis_premium_like,price_like,basis_premium_like|price_like,Identity,native,4,"Mul(ZScore(index_close),Sign(Delta(trade_return_1h,4)))",regime_neutralizer_interaction_seed,operator_or_field_control_clean_nearmiss,0.1077748962021696,pass,pass_interaction_only,eligible_interaction_seed,pass,pass
a7ffcore48se_0046,N1_role_compatible_pair_seed,index_close,trade_return_1h,basis_premium_like,price_like,basis_premium_like|price_like,SignedRankDelta,repaired_native_proxy,4,"Mul(CSRank(Delta(index_close,4)),Sign(Delta(trade_return_1h,4)))",regime_neutralizer_interaction_seed,operator_or_field_control_clean_nearmiss,0.1077748962021696,pass,pass_interaction_only,eligible_interaction_seed,pass,pass
a7ffcore48se_0047,N1_role_compatible_pair_seed,index_close,trade_return_1h,basis_premium_like,price_like,basis_premium_like|price_like,SpreadShortLong,repaired_native_proxy,4,"Sub(ZScore(Mean(index_close,4)),ZScore(Mean(trade_return_1h,16)))",regime_neutralizer_interaction_seed,operator_or_field_control_clean_nearmiss,0.1077748962021696,pass,pass_interaction_only,eligible_interaction_seed,pass,pass
