shard_id,decision,label_family,count
s001,HOLD_A7LS21s001_ONE_BAR_LAG_FRAGILE,L0_raw_forward_return,16
s001,HOLD_A7LS21s001_ONE_BAR_LAG_FRAGILE,L1_cross_sectional_relative_return,16
s001,HOLD_A7LS21s001_ONE_BAR_LAG_FRAGILE,L3_liquidity_tier_relative_return,16
s001,HOLD_A7LS21s001_ONE_BAR_LAG_FRAGILE,L5_vol_adjusted_return,21
s001,HOLD_A7LS21s001_ONE_BAR_LAG_FRAGILE,L7_ranked_future_return,27
s001,HOLD_A7LS21s001_PRE_MAY_UNSTABLE,L0_raw_forward_return,20
s001,HOLD_A7LS21s001_PRE_MAY_UNSTABLE,L1_cross_sectional_relative_return,20
s001,HOLD_A7LS21s001_PRE_MAY_UNSTABLE,L3_liquidity_tier_relative_return,21
s001,HOLD_A7LS21s001_PRE_MAY_UNSTABLE,L5_vol_adjusted_return,17
s001,HOLD_A7LS21s001_PRE_MAY_UNSTABLE,L7_ranked_future_return,14
s002,A7LS21s002_NUMERIC_CLUE,L0_raw_forward_return,1
s002,A7LS21s002_NUMERIC_CLUE,L1_cross_sectional_relative_return,3
s002,A7LS21s002_NUMERIC_CLUE,L3_liquidity_tier_relative_return,3
s002,A7LS21s002_NUMERIC_CLUE,L5_vol_adjusted_return,3
s002,A7LS21s002_RANK_LABEL_DIAGNOSTIC_CLUE,L7_ranked_future_return,6
s002,HOLD_A7LS21s002_CONTROL_DOMINATED,L0_raw_forward_return,15
s002,HOLD_A7LS21s002_CONTROL_DOMINATED,L1_cross_sectional_relative_return,13
s002,HOLD_A7LS21s002_CONTROL_DOMINATED,L3_liquidity_tier_relative_return,12
s002,HOLD_A7LS21s002_CONTROL_DOMINATED,L5_vol_adjusted_return,11
s002,HOLD_A7LS21s002_CONTROL_DOMINATED,L7_ranked_future_return,11
s002,HOLD_A7LS21s002_ONE_BAR_LAG_FRAGILE,L0_raw_forward_return,12
s002,HOLD_A7LS21s002_ONE_BAR_LAG_FRAGILE,L1_cross_sectional_relative_return,12
s002,HOLD_A7LS21s002_ONE_BAR_LAG_FRAGILE,L3_liquidity_tier_relative_return,12
s002,HOLD_A7LS21s002_ONE_BAR_LAG_FRAGILE,L5_vol_adjusted_return,13
s002,HOLD_A7LS21s002_ONE_BAR_LAG_FRAGILE,L7_ranked_future_return,15
s002,HOLD_A7LS21s002_PRE_MAY_UNSTABLE,L0_raw_forward_return,20
s002,HOLD_A7LS21s002_PRE_MAY_UNSTABLE,L1_cross_sectional_relative_return,20
s002,HOLD_A7LS21s002_PRE_MAY_UNSTABLE,L3_liquidity_tier_relative_return,21
s002,HOLD_A7LS21s002_PRE_MAY_UNSTABLE,L5_vol_adjusted_return,21
s002,HOLD_A7LS21s002_PRE_MAY_UNSTABLE,L7_ranked_future_return,16
s003,A7LS21s003_NUMERIC_CLUE,L1_cross_sectional_relative_return,1
s003,HOLD_A7LS21s003_CONTROL_DOMINATED,L0_raw_forward_return,9
s003,HOLD_A7LS21s003_CONTROL_DOMINATED,L1_cross_sectional_relative_return,8
s003,HOLD_A7LS21s003_CONTROL_DOMINATED,L3_liquidity_tier_relative_return,3
s003,HOLD_A7LS21s003_CONTROL_DOMINATED,L5_vol_adjusted_return,5
s003,HOLD_A7LS21s003_CONTROL_DOMINATED,L7_ranked_future_return,14
s003,HOLD_A7LS21s003_PRE_MAY_UNSTABLE,L0_raw_forward_return,39
s003,HOLD_A7LS21s003_PRE_MAY_UNSTABLE,L1_cross_sectional_relative_return,39
s003,HOLD_A7LS21s003_PRE_MAY_UNSTABLE,L3_liquidity_tier_relative_return,45
s003,HOLD_A7LS21s003_PRE_MAY_UNSTABLE,L5_vol_adjusted_return,43
s003,HOLD_A7LS21s003_PRE_MAY_UNSTABLE,L7_ranked_future_return,34
