field,canonical_field,route,dependencies,dependency_status,in_a7aif3_field_matrix,in_extension_registry,contract_status,formula_usage_count,is_system_required,example_expression
open_interest_value_change_24h,open_interest_value_change_24h,derived_dep_generated,open_interest_value_last,deps_resolved,False,True,OK_BACKFILLED_BY_EXTENSION_REGISTRY,31,False,"ZScore(SafeDiv(Abs(ZScore(Mean(open_interest_value_change_24h,8))),Abs(Decay(account_position_divergence,120))))"
open_interest_value_last,open_interest_value_last,base_schema,,not_applicable,True,False,OK_IN_A7AIF3_CONTRACT,150,False,"ZScore(SafeDiv(Abs(ZScore(Mean(open_interest_value_last,8))),Abs(Decay(account_position_divergence,120))))"
premium_abs_168h,premium_abs_168h,latent_schema,,not_applicable,False,True,OK_BACKFILLED_BY_EXTENSION_REGISTRY,71,False,"Neg(SafeDiv(TSRank(premium_abs_168h,8),Abs(Decay(account_position_divergence,168))))"
premium_close_bps,premium_close_bps,base_schema,,not_applicable,True,False,OK_IN_A7AIF3_CONTRACT,73,False,"Neg(SafeDiv(TSRank(premium_close_bps,8),Abs(Decay(account_position_divergence,168))))"
realized_vol_168h,realized_vol_168h,latent_schema,,not_applicable,True,False,OK_IN_A7AIF3_CONTRACT,0,True,
rolling_coverage_168h,rolling_coverage_168h,latent_schema,,not_applicable,False,True,OK_BACKFILLED_BY_EXTENSION_REGISTRY,249,False,"Mul(Neg(Mul(ZScore(Mean(taker_buy_sell_volume_ratio_last,48)),Sign(TSRank(rolling_coverage_168h,6)))),Sign(Decay(top_global_account_divergence,24)))"
sqrt_listing_age_days,sqrt_listing_age_days,latent_schema,,not_applicable,False,True,OK_BACKFILLED_BY_EXTENSION_REGISTRY,86,False,"ZScore(Sub(ZScore(Mean(taker_buy_sell_volume_ratio_last,48)),CSRank(sqrt_listing_age_days)))"
stress_proxy_state,R10_stress_proxy_state,upper_alias,,not_applicable,False,True,OK_BACKFILLED_BY_EXTENSION_REGISTRY,193,False,"Mul(ZScore(Mean(taker_buy_sell_volume_ratio_mean,48)),Sign(TSRank(stress_proxy_state,240)))"
taker_buy_sell_volume_ratio_last,taker_buy_sell_volume_ratio_last,base_schema,,not_applicable,True,False,OK_IN_A7AIF3_CONTRACT,2702,False,"Sub(CSRank(Neg(Mul(ZScore(Mean(taker_buy_sell_volume_ratio_last,48)),Sign(TSRank(stress_proxy_state,504))))),CSRank(Delta(open_interest_last,24)))"
taker_buy_sell_volume_ratio_mean,taker_buy_sell_volume_ratio_mean,base_schema,,not_applicable,True,False,OK_IN_A7AIF3_CONTRACT,581,False,"Mul(Mul(ZScore(Mean(taker_buy_sell_volume_ratio_mean,48)),Sign(TSRank(liquidity_cycle_state,24))),Sign(Decay(top_global_account_divergence,24)))"
top_global_account_divergence,top_global_account_divergence,derived_dep_generated,global_long_short_account_ratio_last;top_long_short_account_ratio_last,deps_resolved,False,True,OK_BACKFILLED_BY_EXTENSION_REGISTRY,369,False,"Mul(Neg(SafeDiv(TSRank(mark_index_basis_bps,8),Abs(Decay(account_position_divergence,168)))),Sign(Decay(top_global_account_divergence,24)))"
top_long_short_account_ratio_last,top_long_short_account_ratio_last,base_schema,,not_applicable,True,False,OK_IN_A7AIF3_CONTRACT,621,False,"Neg(SafeDiv(TSRank(mark_index_basis_bps,8),Abs(Decay(top_long_short_account_ratio_last,168))))"
top_long_short_account_ratio_mean,top_long_short_account_ratio_mean,base_schema,,not_applicable,True,False,OK_IN_A7AIF3_CONTRACT,251,False,"Neg(SafeDiv(TSRank(mark_index_basis_bps,8),Abs(Decay(top_long_short_account_ratio_mean,168))))"
top_long_short_position_ratio_last,top_long_short_position_ratio_last,base_schema,,not_applicable,True,False,OK_IN_A7AIF3_CONTRACT,942,False,"Neg(SafeDiv(TSRank(mark_index_basis_bps,8),Abs(Decay(top_long_short_position_ratio_last,168))))"
top_long_short_position_ratio_mean,top_long_short_position_ratio_mean,base_schema,,not_applicable,True,False,OK_IN_A7AIF3_CONTRACT,100,False,"Neg(SafeDiv(TSRank(mark_index_basis_bps,8),Abs(Decay(top_long_short_position_ratio_mean,168))))"
trade_close,trade_close,base_schema,,not_applicable,True,False,OK_IN_A7AIF3_CONTRACT,0,True,
