candidate_id,family,expression,horizon,source_fields
a7af1_G1_crowding_x_basis_dynamic_24_c34a78c4f4de,G1_crowding_x_basis_dynamic,"Mul(Neg(ZScore(top_long_short_account_ratio_zscore_168h)),Rank(mark_index_basis_change_24h))",24,mark_index_basis_change_24h;top_long_short_account_ratio_zscore_168h
a7af1_G1_crowding_x_basis_dynamic_24_11344efd1559,G1_crowding_x_basis_dynamic,"Mul(Neg(ZScore(top_long_short_account_ratio_zscore_168h)),Rank(mark_index_basis_zscore_168h))",24,mark_index_basis_zscore_168h;top_long_short_account_ratio_zscore_168h
a7af1_G1_crowding_x_basis_dynamic_24_726363f1b1b7,G1_crowding_x_basis_dynamic,"Mul(Neg(ZScore(top_long_short_account_ratio_zscore_168h)),Rank(premium_index_change_24h))",24,premium_index_change_24h;top_long_short_account_ratio_zscore_168h
a7af1_G1_crowding_x_basis_dynamic_24_4c04054bcb80,G1_crowding_x_basis_dynamic,"Mul(Neg(ZScore(top_long_short_position_ratio_zscore_168h)),Rank(mark_index_basis_change_24h))",24,mark_index_basis_change_24h;top_long_short_position_ratio_zscore_168h
a7af1_G1_crowding_x_basis_dynamic_24_8e3e113815a1,G1_crowding_x_basis_dynamic,"Mul(Neg(ZScore(top_long_short_position_ratio_zscore_168h)),Rank(mark_index_basis_zscore_168h))",24,mark_index_basis_zscore_168h;top_long_short_position_ratio_zscore_168h
a7af1_G1_crowding_x_basis_dynamic_24_3ef3d654f9fc,G1_crowding_x_basis_dynamic,"Mul(Neg(ZScore(top_long_short_position_ratio_zscore_168h)),Rank(premium_index_change_24h))",24,premium_index_change_24h;top_long_short_position_ratio_zscore_168h
a7af1_G1_crowding_x_basis_dynamic_24_34fa2585bb2b,G1_crowding_x_basis_dynamic,"Mul(Neg(ZScore(taker_buy_sell_volume_ratio_zscore_168h)),Rank(mark_index_basis_change_24h))",24,mark_index_basis_change_24h;taker_buy_sell_volume_ratio_zscore_168h
a7af1_G1_crowding_x_basis_dynamic_24_28fa02f8f2a0,G1_crowding_x_basis_dynamic,"Mul(Neg(ZScore(taker_buy_sell_volume_ratio_zscore_168h)),Rank(mark_index_basis_zscore_168h))",24,mark_index_basis_zscore_168h;taker_buy_sell_volume_ratio_zscore_168h
a7af1_G1_crowding_x_basis_dynamic_24_0631fa273c80,G1_crowding_x_basis_dynamic,"Mul(Neg(ZScore(taker_buy_sell_volume_ratio_zscore_168h)),Rank(premium_index_change_24h))",24,premium_index_change_24h;taker_buy_sell_volume_ratio_zscore_168h
a7af1_G2_oi_dynamic_x_basis_dynamic_24_5d2709997bd7,G2_oi_dynamic_x_basis_dynamic,"Mul(ZScore(open_interest_change_24h),Rank(mark_index_basis_change_24h))",24,mark_index_basis_change_24h;open_interest_change_24h
a7af1_G2_oi_dynamic_x_basis_dynamic_24_f393cd6a8a74,G2_oi_dynamic_x_basis_dynamic,"Mul(ZScore(open_interest_change_24h),Rank(mark_index_basis_zscore_168h))",24,mark_index_basis_zscore_168h;open_interest_change_24h
a7af1_G2_oi_dynamic_x_basis_dynamic_24_044e7404996d,G2_oi_dynamic_x_basis_dynamic,"Mul(ZScore(open_interest_change_24h),Rank(premium_index_change_24h))",24,open_interest_change_24h;premium_index_change_24h
a7af1_G2_oi_dynamic_x_basis_dynamic_24_8d70e06ef3da,G2_oi_dynamic_x_basis_dynamic,"Mul(ZScore(open_interest_zscore_168h),Rank(mark_index_basis_change_24h))",24,mark_index_basis_change_24h;open_interest_zscore_168h
a7af1_G2_oi_dynamic_x_basis_dynamic_24_a38ee07b59b3,G2_oi_dynamic_x_basis_dynamic,"Mul(ZScore(open_interest_zscore_168h),Rank(mark_index_basis_zscore_168h))",24,mark_index_basis_zscore_168h;open_interest_zscore_168h
a7af1_G2_oi_dynamic_x_basis_dynamic_24_d18099457055,G2_oi_dynamic_x_basis_dynamic,"Mul(ZScore(open_interest_zscore_168h),Rank(premium_index_change_24h))",24,open_interest_zscore_168h;premium_index_change_24h
a7af1_G2_oi_dynamic_x_basis_dynamic_24_f2b45bd5be57,G2_oi_dynamic_x_basis_dynamic,"Mul(ZScore(open_interest_value_zscore_168h),Rank(mark_index_basis_change_24h))",24,mark_index_basis_change_24h;open_interest_value_zscore_168h
a7af1_G2_oi_dynamic_x_basis_dynamic_24_b283a7c2dbb2,G2_oi_dynamic_x_basis_dynamic,"Mul(ZScore(open_interest_value_zscore_168h),Rank(mark_index_basis_zscore_168h))",24,mark_index_basis_zscore_168h;open_interest_value_zscore_168h
a7af1_G2_oi_dynamic_x_basis_dynamic_24_6f636c8762a9,G2_oi_dynamic_x_basis_dynamic,"Mul(ZScore(open_interest_value_zscore_168h),Rank(premium_index_change_24h))",24,open_interest_value_zscore_168h;premium_index_change_24h
a7af1_G3_crowding_x_context_24_10e1bc1145c0,G3_crowding_x_context,"Mul(Neg(ZScore(global_long_short_account_ratio_zscore_168h)),Rank(ret_24))",24,global_long_short_account_ratio_zscore_168h;ret_24
a7af1_G3_crowding_x_context_24_d1936e5cf8d5,G3_crowding_x_context,"Mul(Neg(ZScore(global_long_short_account_ratio_zscore_168h)),Rank(mark_index_basis_change_24h))",24,global_long_short_account_ratio_zscore_168h;mark_index_basis_change_24h
a7af1_G3_crowding_x_context_24_030ccc9f4545,G3_crowding_x_context,"Mul(Neg(ZScore(global_long_short_account_ratio_zscore_168h)),Rank(premium_index_change_24h))",24,global_long_short_account_ratio_zscore_168h;premium_index_change_24h
a7af1_G3_crowding_x_context_24_3fe9ba756780,G3_crowding_x_context,"Mul(Neg(ZScore(top_long_short_account_ratio_zscore_168h)),Rank(ret_24))",24,ret_24;top_long_short_account_ratio_zscore_168h
a7af1_G3_crowding_x_context_24_c34a78c4f4de,G3_crowding_x_context,"Mul(Neg(ZScore(top_long_short_account_ratio_zscore_168h)),Rank(mark_index_basis_change_24h))",24,mark_index_basis_change_24h;top_long_short_account_ratio_zscore_168h
a7af1_G3_crowding_x_context_24_726363f1b1b7,G3_crowding_x_context,"Mul(Neg(ZScore(top_long_short_account_ratio_zscore_168h)),Rank(premium_index_change_24h))",24,premium_index_change_24h;top_long_short_account_ratio_zscore_168h
a7af1_G3_crowding_x_context_24_bdfbb3c765e1,G3_crowding_x_context,"Mul(Neg(ZScore(top_long_short_position_ratio_zscore_168h)),Rank(ret_24))",24,ret_24;top_long_short_position_ratio_zscore_168h
a7af1_G3_crowding_x_context_24_4c04054bcb80,G3_crowding_x_context,"Mul(Neg(ZScore(top_long_short_position_ratio_zscore_168h)),Rank(mark_index_basis_change_24h))",24,mark_index_basis_change_24h;top_long_short_position_ratio_zscore_168h
a7af1_G3_crowding_x_context_24_3ef3d654f9fc,G3_crowding_x_context,"Mul(Neg(ZScore(top_long_short_position_ratio_zscore_168h)),Rank(premium_index_change_24h))",24,premium_index_change_24h;top_long_short_position_ratio_zscore_168h
a7af1_G3_crowding_x_context_24_f50c168c0861,G3_crowding_x_context,"Mul(Neg(ZScore(taker_buy_sell_volume_ratio_zscore_168h)),Rank(ret_24))",24,ret_24;taker_buy_sell_volume_ratio_zscore_168h
a7af1_G3_crowding_x_context_24_34fa2585bb2b,G3_crowding_x_context,"Mul(Neg(ZScore(taker_buy_sell_volume_ratio_zscore_168h)),Rank(mark_index_basis_change_24h))",24,mark_index_basis_change_24h;taker_buy_sell_volume_ratio_zscore_168h
a7af1_G3_crowding_x_context_24_0631fa273c80,G3_crowding_x_context,"Mul(Neg(ZScore(taker_buy_sell_volume_ratio_zscore_168h)),Rank(premium_index_change_24h))",24,premium_index_change_24h;taker_buy_sell_volume_ratio_zscore_168h
a7af1_G4_oi_change_x_context_24_105456a9a4c3,G4_oi_change_x_context,"Mul(ZScore(open_interest_change_24h),Rank(ret_24))",24,open_interest_change_24h;ret_24
a7af1_G4_oi_change_x_context_24_5d2709997bd7,G4_oi_change_x_context,"Mul(ZScore(open_interest_change_24h),Rank(mark_index_basis_change_24h))",24,mark_index_basis_change_24h;open_interest_change_24h
a7af1_G4_oi_change_x_context_24_044e7404996d,G4_oi_change_x_context,"Mul(ZScore(open_interest_change_24h),Rank(premium_index_change_24h))",24,open_interest_change_24h;premium_index_change_24h
a7af1_G5_funding_basis_benchmark_24_ae1f7bb23114,G5_funding_basis_benchmark,"Mul(ZScore(funding_rate_change_3obs),Rank(mark_index_basis_change_24h))",24,funding_rate_change_3obs;mark_index_basis_change_24h
a7af1_G5_funding_basis_benchmark_24_1b7375525eb6,G5_funding_basis_benchmark,"Mul(ZScore(funding_rate_bps),Rank(premium_index_change_24h))",24,funding_rate_bps;premium_index_change_24h
a7af1_G0_basis_premium_dynamic_48_bf4d24fd0a63,G0_basis_premium_dynamic,Rank(mark_index_basis_change_24h),48,mark_index_basis_change_24h
a7af1_G0_basis_premium_dynamic_48_6ba3f6312d83,G0_basis_premium_dynamic,Neg(Rank(mark_index_basis_change_24h)),48,mark_index_basis_change_24h
a7af1_G0_basis_premium_dynamic_48_45b5ca565883,G0_basis_premium_dynamic,Rank(mark_index_basis_zscore_168h),48,mark_index_basis_zscore_168h
a7af1_G0_basis_premium_dynamic_48_d4a745b6fa68,G0_basis_premium_dynamic,Neg(Rank(mark_index_basis_zscore_168h)),48,mark_index_basis_zscore_168h
a7af1_G0_basis_premium_dynamic_48_9ff1f2f4d951,G0_basis_premium_dynamic,Rank(premium_index_change_24h),48,premium_index_change_24h
a7af1_G0_basis_premium_dynamic_48_34f0c66594e8,G0_basis_premium_dynamic,Neg(Rank(premium_index_change_24h)),48,premium_index_change_24h
a7af1_G0_basis_premium_dynamic_48_98a5afb82379,G0_basis_premium_dynamic,Rank(premium_index_bps),48,premium_index_bps
a7af1_G0_basis_premium_dynamic_48_1da5d3dcb336,G0_basis_premium_dynamic,Neg(Rank(premium_index_bps)),48,premium_index_bps
a7af1_G1_crowding_x_basis_dynamic_48_d1936e5cf8d5,G1_crowding_x_basis_dynamic,"Mul(Neg(ZScore(global_long_short_account_ratio_zscore_168h)),Rank(mark_index_basis_change_24h))",48,global_long_short_account_ratio_zscore_168h;mark_index_basis_change_24h
a7af1_G1_crowding_x_basis_dynamic_48_2db9e7972b5e,G1_crowding_x_basis_dynamic,"Mul(Neg(ZScore(global_long_short_account_ratio_zscore_168h)),Rank(mark_index_basis_zscore_168h))",48,global_long_short_account_ratio_zscore_168h;mark_index_basis_zscore_168h
a7af1_G1_crowding_x_basis_dynamic_48_030ccc9f4545,G1_crowding_x_basis_dynamic,"Mul(Neg(ZScore(global_long_short_account_ratio_zscore_168h)),Rank(premium_index_change_24h))",48,global_long_short_account_ratio_zscore_168h;premium_index_change_24h
a7af1_G1_crowding_x_basis_dynamic_48_c34a78c4f4de,G1_crowding_x_basis_dynamic,"Mul(Neg(ZScore(top_long_short_account_ratio_zscore_168h)),Rank(mark_index_basis_change_24h))",48,mark_index_basis_change_24h;top_long_short_account_ratio_zscore_168h
a7af1_G1_crowding_x_basis_dynamic_48_11344efd1559,G1_crowding_x_basis_dynamic,"Mul(Neg(ZScore(top_long_short_account_ratio_zscore_168h)),Rank(mark_index_basis_zscore_168h))",48,mark_index_basis_zscore_168h;top_long_short_account_ratio_zscore_168h
a7af1_G1_crowding_x_basis_dynamic_48_726363f1b1b7,G1_crowding_x_basis_dynamic,"Mul(Neg(ZScore(top_long_short_account_ratio_zscore_168h)),Rank(premium_index_change_24h))",48,premium_index_change_24h;top_long_short_account_ratio_zscore_168h
a7af1_G1_crowding_x_basis_dynamic_48_4c04054bcb80,G1_crowding_x_basis_dynamic,"Mul(Neg(ZScore(top_long_short_position_ratio_zscore_168h)),Rank(mark_index_basis_change_24h))",48,mark_index_basis_change_24h;top_long_short_position_ratio_zscore_168h
a7af1_G1_crowding_x_basis_dynamic_48_8e3e113815a1,G1_crowding_x_basis_dynamic,"Mul(Neg(ZScore(top_long_short_position_ratio_zscore_168h)),Rank(mark_index_basis_zscore_168h))",48,mark_index_basis_zscore_168h;top_long_short_position_ratio_zscore_168h
a7af1_G1_crowding_x_basis_dynamic_48_3ef3d654f9fc,G1_crowding_x_basis_dynamic,"Mul(Neg(ZScore(top_long_short_position_ratio_zscore_168h)),Rank(premium_index_change_24h))",48,premium_index_change_24h;top_long_short_position_ratio_zscore_168h
a7af1_G1_crowding_x_basis_dynamic_48_34fa2585bb2b,G1_crowding_x_basis_dynamic,"Mul(Neg(ZScore(taker_buy_sell_volume_ratio_zscore_168h)),Rank(mark_index_basis_change_24h))",48,mark_index_basis_change_24h;taker_buy_sell_volume_ratio_zscore_168h
a7af1_G1_crowding_x_basis_dynamic_48_28fa02f8f2a0,G1_crowding_x_basis_dynamic,"Mul(Neg(ZScore(taker_buy_sell_volume_ratio_zscore_168h)),Rank(mark_index_basis_zscore_168h))",48,mark_index_basis_zscore_168h;taker_buy_sell_volume_ratio_zscore_168h
a7af1_G1_crowding_x_basis_dynamic_48_0631fa273c80,G1_crowding_x_basis_dynamic,"Mul(Neg(ZScore(taker_buy_sell_volume_ratio_zscore_168h)),Rank(premium_index_change_24h))",48,premium_index_change_24h;taker_buy_sell_volume_ratio_zscore_168h
a7af1_G2_oi_dynamic_x_basis_dynamic_48_5d2709997bd7,G2_oi_dynamic_x_basis_dynamic,"Mul(ZScore(open_interest_change_24h),Rank(mark_index_basis_change_24h))",48,mark_index_basis_change_24h;open_interest_change_24h
a7af1_G2_oi_dynamic_x_basis_dynamic_48_f393cd6a8a74,G2_oi_dynamic_x_basis_dynamic,"Mul(ZScore(open_interest_change_24h),Rank(mark_index_basis_zscore_168h))",48,mark_index_basis_zscore_168h;open_interest_change_24h
a7af1_G2_oi_dynamic_x_basis_dynamic_48_044e7404996d,G2_oi_dynamic_x_basis_dynamic,"Mul(ZScore(open_interest_change_24h),Rank(premium_index_change_24h))",48,open_interest_change_24h;premium_index_change_24h
a7af1_G2_oi_dynamic_x_basis_dynamic_48_8d70e06ef3da,G2_oi_dynamic_x_basis_dynamic,"Mul(ZScore(open_interest_zscore_168h),Rank(mark_index_basis_change_24h))",48,mark_index_basis_change_24h;open_interest_zscore_168h
a7af1_G2_oi_dynamic_x_basis_dynamic_48_a38ee07b59b3,G2_oi_dynamic_x_basis_dynamic,"Mul(ZScore(open_interest_zscore_168h),Rank(mark_index_basis_zscore_168h))",48,mark_index_basis_zscore_168h;open_interest_zscore_168h
a7af1_G2_oi_dynamic_x_basis_dynamic_48_d18099457055,G2_oi_dynamic_x_basis_dynamic,"Mul(ZScore(open_interest_zscore_168h),Rank(premium_index_change_24h))",48,open_interest_zscore_168h;premium_index_change_24h
a7af1_G2_oi_dynamic_x_basis_dynamic_48_f2b45bd5be57,G2_oi_dynamic_x_basis_dynamic,"Mul(ZScore(open_interest_value_zscore_168h),Rank(mark_index_basis_change_24h))",48,mark_index_basis_change_24h;open_interest_value_zscore_168h
a7af1_G2_oi_dynamic_x_basis_dynamic_48_b283a7c2dbb2,G2_oi_dynamic_x_basis_dynamic,"Mul(ZScore(open_interest_value_zscore_168h),Rank(mark_index_basis_zscore_168h))",48,mark_index_basis_zscore_168h;open_interest_value_zscore_168h
a7af1_G2_oi_dynamic_x_basis_dynamic_48_6f636c8762a9,G2_oi_dynamic_x_basis_dynamic,"Mul(ZScore(open_interest_value_zscore_168h),Rank(premium_index_change_24h))",48,open_interest_value_zscore_168h;premium_index_change_24h
a7af1_G3_crowding_x_context_48_10e1bc1145c0,G3_crowding_x_context,"Mul(Neg(ZScore(global_long_short_account_ratio_zscore_168h)),Rank(ret_24))",48,global_long_short_account_ratio_zscore_168h;ret_24
a7af1_G3_crowding_x_context_48_d1936e5cf8d5,G3_crowding_x_context,"Mul(Neg(ZScore(global_long_short_account_ratio_zscore_168h)),Rank(mark_index_basis_change_24h))",48,global_long_short_account_ratio_zscore_168h;mark_index_basis_change_24h
a7af1_G3_crowding_x_context_48_030ccc9f4545,G3_crowding_x_context,"Mul(Neg(ZScore(global_long_short_account_ratio_zscore_168h)),Rank(premium_index_change_24h))",48,global_long_short_account_ratio_zscore_168h;premium_index_change_24h
a7af1_G3_crowding_x_context_48_3fe9ba756780,G3_crowding_x_context,"Mul(Neg(ZScore(top_long_short_account_ratio_zscore_168h)),Rank(ret_24))",48,ret_24;top_long_short_account_ratio_zscore_168h
a7af1_G3_crowding_x_context_48_c34a78c4f4de,G3_crowding_x_context,"Mul(Neg(ZScore(top_long_short_account_ratio_zscore_168h)),Rank(mark_index_basis_change_24h))",48,mark_index_basis_change_24h;top_long_short_account_ratio_zscore_168h
a7af1_G3_crowding_x_context_48_726363f1b1b7,G3_crowding_x_context,"Mul(Neg(ZScore(top_long_short_account_ratio_zscore_168h)),Rank(premium_index_change_24h))",48,premium_index_change_24h;top_long_short_account_ratio_zscore_168h
a7af1_G3_crowding_x_context_48_bdfbb3c765e1,G3_crowding_x_context,"Mul(Neg(ZScore(top_long_short_position_ratio_zscore_168h)),Rank(ret_24))",48,ret_24;top_long_short_position_ratio_zscore_168h
a7af1_G3_crowding_x_context_48_4c04054bcb80,G3_crowding_x_context,"Mul(Neg(ZScore(top_long_short_position_ratio_zscore_168h)),Rank(mark_index_basis_change_24h))",48,mark_index_basis_change_24h;top_long_short_position_ratio_zscore_168h
a7af1_G3_crowding_x_context_48_3ef3d654f9fc,G3_crowding_x_context,"Mul(Neg(ZScore(top_long_short_position_ratio_zscore_168h)),Rank(premium_index_change_24h))",48,premium_index_change_24h;top_long_short_position_ratio_zscore_168h
a7af1_G3_crowding_x_context_48_f50c168c0861,G3_crowding_x_context,"Mul(Neg(ZScore(taker_buy_sell_volume_ratio_zscore_168h)),Rank(ret_24))",48,ret_24;taker_buy_sell_volume_ratio_zscore_168h
a7af1_G3_crowding_x_context_48_34fa2585bb2b,G3_crowding_x_context,"Mul(Neg(ZScore(taker_buy_sell_volume_ratio_zscore_168h)),Rank(mark_index_basis_change_24h))",48,mark_index_basis_change_24h;taker_buy_sell_volume_ratio_zscore_168h
a7af1_G3_crowding_x_context_48_0631fa273c80,G3_crowding_x_context,"Mul(Neg(ZScore(taker_buy_sell_volume_ratio_zscore_168h)),Rank(premium_index_change_24h))",48,premium_index_change_24h;taker_buy_sell_volume_ratio_zscore_168h
a7af1_G4_oi_change_x_context_48_105456a9a4c3,G4_oi_change_x_context,"Mul(ZScore(open_interest_change_24h),Rank(ret_24))",48,open_interest_change_24h;ret_24
a7af1_G4_oi_change_x_context_48_5d2709997bd7,G4_oi_change_x_context,"Mul(ZScore(open_interest_change_24h),Rank(mark_index_basis_change_24h))",48,mark_index_basis_change_24h;open_interest_change_24h
a7af1_G4_oi_change_x_context_48_044e7404996d,G4_oi_change_x_context,"Mul(ZScore(open_interest_change_24h),Rank(premium_index_change_24h))",48,open_interest_change_24h;premium_index_change_24h
a7af1_G5_funding_basis_benchmark_48_ae1f7bb23114,G5_funding_basis_benchmark,"Mul(ZScore(funding_rate_change_3obs),Rank(mark_index_basis_change_24h))",48,funding_rate_change_3obs;mark_index_basis_change_24h
a7af1_G5_funding_basis_benchmark_48_1b7375525eb6,G5_funding_basis_benchmark,"Mul(ZScore(funding_rate_bps),Rank(premium_index_change_24h))",48,funding_rate_bps;premium_index_change_24h
